type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-54,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,74091,0,131,0,0,0.464304,128,[-125 48 8 0 0 0 0 0 0 0 0 0 29 5 28 7 30 7 31 8 28 9 26 10 27 11 25 12 26 12 25 12 28 12 28 12 26 12 26 11 22 12 26 12 22 13 20 12 20 12 20 11 20 11 21 11 17 9 20 8 22 7 21 7 0 0 20 6 20 5 20 5 19 4 17 4 18 3 19 3 17 3 18 2 17 2 18 0 16 0 17 -1 17 0 16 0 16 -1 17 -2 15 -2 15 -2 14 -3 14 -3 14 -3 13 -4 13 -5 12 -5 12 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-73,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,75993,0,135,0,0,0.493967,128,[-121 112 8 0 0 0 0 0 0 0 0 0 -8 39 -15 37 -21 52 -28 75 -15 40 -24 49 -21 57 -28 51 -35 54 -24 62 -40 81 -41 97 -34 81 -42 83 -38 67 -45 86 -50 78 -37 55 -44 60 -33 64 -34 48 -41 70 -33 48 -23 70 -36 94 -43 83 0 0 -42 91 -40 99 -40 93 -35 86 -28 76 -44 92 -35 90 -30 80 -30 83 -31 72 -44 106 -23 67 -35 81 -36 75 -40 86 -36 89 -37 91 -31 77 -32 97 -21 69 -27 83 -26 85 -17 56 -25 78 -12 44 -16 57 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,197892,0,239,0,0,0.587614,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -20 -14 -20 -15 -20 -16 -20 -17 -20 -17 -18 -17 -18 -18 -17 -19 -15 -19 -17 -18 -16 -19 -16 -20 -16 -19 -16 -19 -14 -18 -15 -19 -13 -18 -12 -17 -12 -16 -12 -17 -12 -16 -12 -16 -13 -16 -12 -14 -12 -14 -12 -14 0 0 -12 -13 -12 -13 -13 -11 -12 -12 -11 -10 -12 -10 -12 -10 -12 -9 -13 -9 -13 -8 -13 -8 -12 -7 -13 -7 -13 -6 -13 -6 -13 -5 -13 -6 -12 -5 -12 -4 -12 -5 -12 -4 -12 -5 -12 -3 -12 -2 -11 -2 -11 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-57,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2086191,0,37,0,0,2.47624,128,[37 80 2 0 0 0 0 0 0 0 0 0 10 -28 12 -27 12 -28 13 -30 14 -27 15 -24 15 -25 16 -23 16 -24 17 -23 17 -25 18 -25 17 -24 17 -23 17 -21 17 -23 16 -19 16 -18 15 -18 15 -18 14 -17 15 -19 13 -15 12 -18 12 -20 12 -19 0 0 10 -18 10 -19 9 -19 8 -18 8 -16 7 -18 7 -18 6 -17 5 -18 6 -17 4 -18 4 -16 3 -17 4 -17 3 -16 3 -16 2 -17 2 -16 1 -15 1 -15 0 -15 0 -15 0 -15 -1 -15 -1 -14 -2 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-67,11,1,7,1,1,1,0,0,0,0,-91,0,6,1,2086395,0,82,0,0,2.51046,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -14 -16 -15 -17 -14 -18 -14 -18 -13 -17 -13 -19 -12 -18 -11 -18 -11 -18 -10 -18 -10 -18 -10 -20 -9 -19 -9 -18 -9 -19 -9 -18 -9 -17 -8 -16 -8 -17 -8 -16 -8 -16 -8 -16 -8 -14 -8 -15 -7 -14 -8 -14 0 0 -9 -13 -8 -12 -9 -11 -9 -11 -9 -11 -9 -10 -9 -10 -9 -10 -10 -10 -10 -9 -10 -8 -9 -7 -10 -8 -10 -7 -10 -7 -11 -6 -10 -6 -10 -5 -10 -5 -10 -4 -10 -4 -10 -4 -10 -4 -10 -3 -9 -3 -9 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-57,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2412091,0,37,0,0,2.80192,128,[37 80 2 0 0 0 0 0 0 0 0 0 -28 10 -28 9 -31 10 -31 10 -30 8 -28 5 -30 6 -28 4 -29 5 -30 2 -31 3 -32 3 -30 2 -28 2 -25 1 -30 3 -26 1 -25 0 -24 1 -24 2 -23 1 -24 3 -21 0 -23 2 -23 3 -22 4 0 0 -21 4 -21 6 -20 6 -20 5 -17 5 -18 7 -18 7 -17 7 -17 8 -17 7 -17 8 -15 7 -14 8 -14 8 -14 8 -14 9 -14 10 -13 9 -12 9 -11 9 -11 9 -10 9 -10 9 -10 10 -9 9 -9 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-66,11,1,5,1,1,1,1,0,0,0,-91,2,6,1,2423964,0,110,0,0,2.83385,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -29 1 -28 0 -30 1 -30 3 -30 2 -28 3 -28 4 -28 5 -28 5 -28 6 -28 7 -28 6 -27 7 -26 7 -25 6 -26 7 -24 6 -23 5 -23 6 -23 5 -22 4 -23 4 -22 4 -21 5 -22 3 -20 0 0 2 -20 2 -20 0 -19 0 -20 0 -18 -1 -18 -1 -18 -2 -18 -2 -18 -3 -17 -4 -17 -3 -16 -4 -15 -5 -15 -5 -15 -6 -14 -6 -15 -6 -13 -6 -13 -7 -12 -7 -12 -8 -12 -8 -12 -9 -10 -8 -11 -8 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-66,11,1,5,1,1,1,1,0,0,0,-91,1,6,1,2426921,0,110,0,0,2.87559,384,[110 96 6 0 0 0 0 0 0 0 0 0 20 -15 20 -15 21 -14 23 -14 21 -13 22 -12 22 -11 22 -11 23 -10 22 -10 22 -10 23 -9 22 -9 22 -8 22 -8 22 -7 21 -7 19 -7 19 -7 20 -6 19 -7 19 -7 18 -6 17 -7 17 -7 16 -7 0 0 16 -7 14 -7 15 -8 14 -8 13 -8 13 -9 13 -9 12 -9 12 -10 11 -9 10 -10 10 -9 10 -10 9 -10 9 -10 8 -11 8 -11 7 -10 7 -10 6 -10 7 -10 5 -10 5 -10 4 -10 4 -10 3 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,2,1,1,1,1,0,0,0,-91,1,6,1,2445855,0,110,0,0,2.91698,384,[110 96 6 0 0 0 0 0 0 0 0 0 -9 22 -10 21 -9 23 -12 22 -11 22 -11 19 -13 21 -13 17 -13 19 -14 19 -15 19 -16 19 -14 18 -15 18 -15 16 -14 19 -13 16 -14 16 -12 16 -13 15 -13 14 -12 15 -13 13 -11 15 -12 16 -10 14 0 0 -10 15 -8 15 -7 15 -7 15 -8 14 -6 14 -7 14 -5 13 -5 14 -3 11 -3 14 -3 12 -3 12 -2 12 -1 13 0 12 -1 14 0 11 0 10 1 10 0 11 1 11 1 11 2 10 1 10 2 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,1,1,1,1,1,0,0,0,-91,1,6,1,2446162,0,110,0,0,2.95833,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 23 -1 24 -2 25 -4 25 -4 23 -5 22 -6 23 -7 21 -7 22 -7 22 -8 23 -9 23 -8 22 -9 21 -10 20 -8 22 -8 19 -8 18 -7 18 -8 17 -8 17 -7 18 -8 15 -7 17 -7 18 -5 16 0 0 -5 16 -4 16 -3 16 -2 16 -4 15 -3 15 -3 15 -2 14 -1 15 0 13 0 14 0 13 0 13 1 13 1 12 2 12 2 13 3 10 3 11 3 10 2 10 3 10 4 10 4 9 3 9 4 8 0 0 0 0 0 0 0 0 0 0 ]
