type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-58,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,68230,0,131,0,0,0.457673,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -26 9 -27 9 -29 9 -31 11 -28 8 -27 6 -28 7 -28 4 -29 5 -29 4 -30 7 -31 7 -29 6 -30 5 -26 3 -31 5 -27 3 -26 2 -26 2 -25 2 -25 2 -26 2 -23 2 -24 4 -25 5 -23 5 0 0 -21 5 -22 5 -21 7 -21 6 -18 5 -19 6 -19 7 -17 6 -18 6 -17 7 -17 9 -15 6 -15 8 -15 8 -14 7 -14 8 -14 8 -13 7 -12 7 -12 6 -12 6 -11 7 -11 7 -10 7 -9 6 -9 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-58,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,70050,0,135,0,0,0.489259,128,[-121 112 8 0 0 0 0 0 0 0 0 0 26 2 26 3 29 3 30 3 28 4 25 7 26 6 26 6 27 7 27 7 28 7 29 7 28 7 27 7 25 9 29 8 25 9 24 10 23 9 23 9 20 7 24 8 21 10 23 6 23 6 21 5 0 0 21 5 22 3 20 3 21 3 17 3 19 2 18 2 17 2 19 1 16 2 16 -1 15 0 16 0 16 0 15 -2 15 -1 15 -2 14 -1 14 -2 13 -2 13 -2 12 -2 12 -2 12 -3 11 -2 10 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-66,11,1,5,1,1,1,0,0,0,0,-94,0,6,1,190817,0,239,0,0,0.579737,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 21 -4 22 -4 21 -3 23 -3 22 -2 22 0 23 0 23 0 23 0 23 0 24 0 23 0 23 1 22 1 22 1 23 1 21 2 21 2 21 1 21 2 20 3 21 2 18 2 18 1 19 0 18 0 0 0 18 1 17 -1 17 -1 16 -2 16 -1 15 0 16 -1 15 -3 15 -2 14 -3 14 -4 14 -3 14 -4 13 -3 13 -4 11 -5 12 -4 11 -5 11 -4 10 -5 10 -4 10 -4 9 -5 9 -5 8 -5 8 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-59,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2089900,0,37,0,0,2.47917,128,[37 80 2 0 0 0 0 0 0 0 0 0 18 21 17 21 18 23 18 23 16 23 14 21 14 23 12 22 14 23 12 23 14 23 14 23 13 22 12 22 10 20 12 23 9 20 9 20 9 18 9 19 9 17 10 18 8 16 10 16 12 17 11 16 0 0 11 14 11 14 11 13 11 13 10 11 11 11 12 11 11 10 12 10 11 10 12 9 11 8 12 8 11 8 11 8 11 7 12 7 11 6 11 6 11 5 11 5 11 4 11 4 11 4 10 3 9 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-72,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2091716,0,82,0,0,2.50871,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -41 -27 -33 -13 -59 -31 -65 -47 -47 -34 -46 -32 -48 -29 -42 -32 -49 -46 -56 -42 -71 -51 -85 -68 -74 -44 -63 -60 -56 -51 -80 -68 -65 -62 -43 -46 -48 -58 -58 -56 -45 -48 -56 -60 -38 -41 -72 -62 -86 -66 -72 -67 0 0 -77 -76 -75 -73 -82 -65 -76 -61 -66 -49 -77 -64 -78 -67 -84 -61 -79 -67 -61 -66 -74 -74 -52 -39 -59 -53 -53 -60 -63 -68 -77 -70 -83 -77 -62 -61 -64 -62 -49 -48 -64 -52 -69 -57 -54 -41 -61 -59 -50 -36 -48 -38 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-57,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2421539,0,37,0,0,2.81061,128,[37 80 2 0 0 0 0 0 0 0 0 0 24 23 24 24 24 25 26 26 22 25 19 25 21 26 18 26 19 26 17 26 20 27 20 28 18 26 18 26 15 26 18 27 14 25 13 23 14 24 14 22 13 22 15 22 11 20 15 20 17 21 16 19 0 0 16 18 16 18 17 17 15 16 15 14 16 14 17 14 16 13 17 12 16 12 17 12 15 11 17 10 18 11 15 10 17 10 17 9 16 9 16 8 15 8 15 8 15 7 15 6 15 6 14 6 13 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-66,11,1,5,1,1,1,1,0,0,0,-92,2,6,1,2437423,0,110,0,0,2.84132,384,[110 96 6 0 0 0 0 0 0 0 0 0 10 20 10 20 10 21 8 21 8 21 7 20 6 21 6 21 5 22 5 22 5 22 4 22 4 21 4 21 3 20 3 21 3 19 2 19 2 18 2 19 2 19 2 18 2 18 2 17 2 18 3 16 0 0 3 17 3 16 4 15 5 15 4 14 4 14 4 14 5 13 5 14 5 13 6 13 6 13 6 12 6 12 6 11 6 11 7 11 7 10 6 10 7 10 6 9 7 9 6 9 7 8 7 9 7 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,4,1,1,1,1,0,0,0,-92,2,6,1,2454680,0,110,0,0,2.87659,384,[110 96 6 0 0 0 0 0 0 0 0 0 -23 7 -24 6 -24 7 -24 5 -24 5 -23 4 -24 2 -24 2 -25 1 -24 2 -24 2 -25 1 -23 1 -23 1 -23 -1 -23 0 -22 0 -21 0 -21 0 -20 -1 -20 -1 -21 -1 -19 0 -19 1 -19 1 -19 2 0 0 -18 1 -17 3 -17 3 -17 3 -16 3 -16 3 -16 4 -15 4 -16 4 -14 5 -14 6 -13 6 -13 6 -13 6 -13 6 -12 7 -13 7 -11 7 -11 7 -11 7 -11 6 -11 6 -10 7 -9 7 -10 7 -9 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,3,1,1,1,1,0,0,0,-92,2,6,1,2454988,0,110,0,0,2.91688,384,[110 96 6 0 0 0 0 0 0 0 0 0 -25 -1 -23 -2 -25 -2 -25 -4 -25 -4 -24 -5 -23 -6 -22 -6 -24 -6 -22 -6 -23 -6 -24 -7 -24 -6 -23 -7 -22 -7 -23 -7 -21 -7 -20 -7 -19 -7 -20 -7 -18 -7 -19 -7 -18 -6 -18 -5 -19 -5 -18 -4 0 0 -19 -4 -18 -3 -17 -2 -17 -2 -17 -2 -16 -2 -17 -2 -15 -1 -17 -1 -15 0 -16 1 -15 1 -15 2 -14 2 -15 2 -14 2 -14 3 -13 3 -13 3 -13 3 -13 2 -13 3 -12 4 -11 4 -12 4 -11 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,2,1,1,1,1,0,0,0,-92,2,6,1,2458004,0,110,0,0,2.96014,384,[110 96 6 0 0 0 0 0 0 0 0 0 23 -9 23 -8 23 -7 25 -5 24 -5 22 -4 23 -3 22 -2 24 -2 22 -2 24 -3 24 -3 23 -2 23 -1 22 0 23 -1 21 0 20 0 19 -1 19 1 20 1 19 0 18 0 18 -2 20 -1 18 -2 0 0 18 -2 17 -3 16 -4 16 -4 16 -3 16 -4 16 -5 15 -4 15 -5 13 -6 13 -7 13 -6 12 -6 12 -7 13 -6 11 -8 13 -8 10 -8 10 -8 9 -7 10 -7 10 -7 10 -7 8 -8 8 -8 7 -8 0 0 0 0 0 0 0 0 0 0 ]
