type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-57,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,69719,0,131,0,0,0.461091,128,[-125 48 8 0 0 0 0 0 0 0 0 0 16 -18 17 -17 18 -19 19 -20 19 -18 19 -15 20 -15 21 -13 22 -15 21 -14 22 -17 22 -17 22 -15 21 -15 20 -12 22 -15 20 -11 20 -11 19 -11 19 -10 19 -9 20 -11 17 -8 17 -12 17 -14 17 -12 0 0 16 -12 15 -13 15 -13 14 -13 12 -11 13 -12 13 -12 12 -11 12 -12 11 -12 10 -13 9 -12 9 -12 9 -12 8 -11 8 -11 7 -13 7 -11 7 -11 6 -11 6 -10 5 -11 5 -10 4 -11 3 -10 3 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-57,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,72301,0,135,0,0,0.495724,128,[-121 112 8 0 0 0 0 0 0 0 0 0 11 -24 12 -24 12 -25 13 -27 13 -24 14 -23 14 -24 15 -22 15 -24 16 -22 16 -25 17 -24 17 -23 16 -23 16 -21 17 -23 17 -20 16 -18 16 -19 15 -19 14 -18 15 -19 14 -15 13 -18 13 -20 13 -19 0 0 11 -19 11 -18 10 -19 9 -17 9 -16 8 -17 8 -17 8 -16 7 -16 7 -14 6 -17 5 -14 5 -16 5 -16 5 -14 4 -15 3 -16 3 -14 2 -14 2 -13 1 -13 1 -13 1 -13 0 -12 0 -12 0 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,5,1,1,1,0,0,0,0,-94,0,6,1,198966,0,239,0,0,0.589902,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -19 16 -19 16 -20 16 -22 15 -21 16 -21 14 -22 13 -22 12 -23 13 -24 13 -23 12 -24 12 -24 11 -24 11 -24 10 -24 11 -22 10 -23 10 -22 9 -23 8 -21 8 -21 8 -22 8 -20 8 -21 8 -19 8 0 0 -19 7 -18 9 -16 9 -17 9 -16 8 -16 9 -16 8 -14 9 -14 9 -14 8 -13 10 -12 9 -12 9 -10 9 -10 9 -10 9 -9 9 -8 9 -9 9 -8 8 -8 9 -7 9 -7 8 -5 8 -6 8 -5 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-59,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2093261,0,37,0,0,2.48445,128,[37 80 2 0 0 0 0 0 0 0 0 0 22 17 23 18 23 18 25 21 21 20 21 21 21 21 20 21 21 22 19 21 22 23 22 24 21 23 20 21 18 22 20 22 17 23 14 20 16 21 16 20 15 20 17 20 13 18 16 17 18 19 17 17 0 0 16 15 15 15 16 15 14 14 13 12 16 12 15 13 13 10 16 10 14 9 14 10 12 8 14 7 14 8 12 7 14 7 13 5 13 6 11 5 11 4 12 3 12 3 11 3 12 2 10 2 9 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-59,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2096485,0,82,0,0,2.51451,128,[82 -96 4 0 0 0 0 0 0 0 0 0 25 -5 25 -4 27 -4 28 -4 27 -3 25 -1 26 -1 26 0 27 -1 27 0 28 -2 29 -1 28 -1 27 -1 24 1 28 -1 24 2 25 2 23 1 24 1 22 1 24 0 20 1 21 -1 23 -3 21 -2 0 0 20 -3 20 -4 19 -4 17 -3 16 -4 18 -4 17 -5 15 -4 16 -6 14 -4 14 -6 13 -6 12 -6 13 -6 13 -6 12 -7 12 -8 10 -7 10 -7 10 -6 9 -8 8 -7 8 -7 7 -8 6 -8 6 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-58,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2404565,0,37,0,0,2.79558,128,[37 80 2 0 0 0 0 0 0 0 0 0 -13 19 -13 19 -15 22 -15 22 -15 20 -15 18 -16 19 -16 17 -16 19 -19 18 -19 19 -20 19 -19 18 -18 17 -17 15 -18 20 -17 15 -17 14 -16 14 -16 15 -16 14 -16 15 -15 12 -15 14 -15 15 -14 14 0 0 -12 14 -12 15 -11 14 -11 14 -10 12 -10 13 -9 14 -9 12 -8 13 -9 12 -8 13 -7 11 -6 12 -6 11 -6 11 -5 11 -5 12 -4 10 -3 10 -3 10 -3 9 -2 9 -2 9 -2 9 -2 8 -2 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-66,11,1,4,1,1,1,1,0,0,0,-92,3,6,1,2425920,0,110,0,0,2.82947,384,[110 96 6 0 0 0 0 0 0 0 0 0 -6 -22 -5 -23 -6 -23 -5 -25 -4 -25 -5 -24 -2 -25 -1 -24 -2 -25 -1 -24 -2 -26 -1 -27 -1 -26 -1 -26 1 -25 -1 -26 0 -24 0 -24 -1 -23 1 -23 2 -22 1 -22 1 -20 -1 -21 0 -22 -1 -20 0 0 -1 -19 -2 -18 -2 -19 -3 -17 -1 -17 -2 -18 -2 -18 -3 -16 -3 -16 -4 -14 -5 -14 -5 -12 -5 -13 -5 -12 -5 -12 -7 -11 -6 -12 -6 -10 -6 -10 -6 -9 -6 -9 -6 -8 -6 -8 -8 -7 -6 -7 -6 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-66,11,1,3,1,1,1,1,0,0,0,-92,2,6,1,2441051,0,110,0,0,2.87273,384,[110 96 6 0 0 0 0 0 0 0 0 0 -19 -15 -18 -15 -20 -16 -19 -17 -19 -17 -17 -17 -17 -18 -17 -18 -17 -19 -17 -19 -17 -20 -16 -20 -16 -20 -16 -21 -15 -20 -17 -21 -14 -19 -15 -20 -14 -19 -14 -18 -13 -18 -13 -19 -13 -19 -13 -18 -13 -18 -13 -16 0 0 -13 -17 -13 -15 -13 -13 -13 -14 -12 -14 -12 -13 -13 -13 -11 -11 -12 -11 -13 -10 -12 -9 -11 -9 -12 -8 -12 -7 -12 -7 -11 -6 -12 -6 -11 -5 -10 -5 -10 -4 -10 -4 -10 -4 -9 -4 -9 -3 -9 -3 -9 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,2,1,1,1,1,0,0,0,-92,2,6,1,2441316,0,110,0,0,2.92006,384,[110 96 6 0 0 0 0 0 0 0 0 0 15 21 14 21 17 22 14 25 15 24 12 23 12 25 12 23 13 26 11 25 12 27 13 27 10 27 10 27 8 25 12 28 10 25 9 25 8 23 8 23 7 23 9 24 6 22 7 22 8 24 9 21 0 0 9 20 10 19 10 19 10 17 8 17 9 16 9 17 10 14 11 14 10 12 11 11 9 12 10 11 11 9 11 9 11 8 11 8 10 6 9 6 9 5 10 5 10 5 9 4 10 4 9 4 8 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,1,1,1,1,1,0,0,0,-92,2,6,1,2441601,0,110,0,0,2.9574,384,[110 96 6 0 0 0 0 0 0 0 0 0 18 -17 18 -15 19 -17 21 -16 21 -15 20 -13 21 -13 21 -12 22 -13 22 -13 25 -11 24 -12 24 -12 24 -11 22 -9 24 -12 22 -10 21 -9 20 -9 20 -8 21 -8 21 -10 19 -7 19 -8 21 -9 18 -9 0 0 18 -9 17 -10 16 -10 15 -10 15 -8 14 -10 15 -9 12 -9 13 -9 11 -10 11 -10 10 -9 10 -9 9 -10 9 -9 7 -10 8 -11 6 -9 6 -10 4 -9 5 -10 5 -9 4 -9 3 -9 3 -8 3 -8 0 0 0 0 0 0 0 0 0 0 ]
