type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-60,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,70156,0,131,0,0,0.46125,128,[-125 48 8 0 0 0 0 0 0 0 0 0 2 28 1 27 0 29 0 30 -2 28 -3 25 -3 27 -5 24 -4 26 -7 25 -5 27 -7 26 -6 24 -6 24 -6 21 -5 24 -5 21 -5 19 -5 19 -5 19 -4 18 -4 19 -5 16 -2 18 -1 19 -2 18 0 0 0 17 1 17 1 16 2 16 1 14 3 15 3 16 2 15 4 14 3 14 4 14 3 13 4 13 5 13 5 12 5 11 6 12 6 11 6 10 6 10 7 9 7 8 7 8 8 8 7 7 8 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-68,11,1,5,1,1,1,0,0,0,0,-94,0,6,1,71744,0,135,0,0,0.489688,384,[-121 112 8 0 0 0 0 0 0 0 0 0 21 -2 22 0 23 0 23 2 22 3 21 3 21 4 20 4 21 5 20 5 20 5 21 5 18 6 19 5 18 5 18 4 17 5 16 4 15 5 16 4 16 3 15 4 16 3 14 3 15 2 14 2 0 0 14 1 14 0 13 0 14 -1 12 0 13 -1 13 -2 12 -2 12 -3 12 -2 12 -3 11 -3 10 -4 10 -5 10 -5 10 -5 9 -6 9 -5 9 -7 7 -7 8 -6 7 -7 7 -7 6 -7 6 -7 4 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-70,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,179922,0,239,0,0,0.570514,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 10 15 10 16 10 16 8 17 8 17 8 16 7 17 7 17 7 16 5 17 6 17 5 16 5 15 3 15 4 15 4 14 4 14 4 13 4 13 3 13 4 12 4 13 4 12 4 11 4 11 4 11 0 0 6 10 5 10 7 8 6 8 6 8 7 7 6 7 6 7 7 6 7 6 6 6 7 6 8 5 7 5 7 4 7 4 8 4 8 3 8 3 7 2 8 2 7 1 7 0 7 0 7 0 7 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-72,11,1,7,1,1,1,0,0,0,0,-92,0,6,1,2080458,0,82,0,0,2.47133,384,[82 -96 4 0 0 0 0 0 0 0 0 0 18 -2 18 -1 18 0 18 0 18 2 18 2 18 3 17 4 17 3 16 5 17 5 16 4 15 4 15 5 13 4 15 4 14 5 13 5 13 4 13 5 12 4 12 4 12 3 11 3 11 2 11 2 0 0 11 2 10 1 11 2 11 0 10 0 10 0 10 0 9 -1 9 -1 9 -1 10 -2 8 -2 8 -1 9 -3 8 -2 8 -3 8 -3 7 -4 8 -4 6 -5 7 -3 6 -5 6 -5 5 -5 6 -5 5 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-62,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2080583,0,37,0,0,2.49869,128,[37 80 2 0 0 0 0 0 0 0 0 0 13 24 11 24 12 25 12 27 10 25 7 24 8 25 6 23 6 25 5 24 6 25 6 26 5 24 4 23 3 21 5 23 2 21 2 19 3 19 4 18 3 18 4 18 2 16 5 16 6 18 6 16 0 0 6 15 7 15 7 15 7 14 6 13 8 13 9 14 7 12 9 11 8 10 9 12 8 11 9 10 9 11 8 10 9 9 10 9 9 8 9 8 9 6 9 6 9 5 10 5 10 5 9 4 9 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-60,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2397667,0,37,0,0,2.78838,128,[37 80 2 0 0 0 0 0 0 0 0 0 26 -11 25 -9 28 -10 28 -9 27 -7 25 -4 26 -4 24 -2 26 -2 25 -2 27 -3 26 -3 25 -2 24 -2 21 -1 24 -2 20 0 20 0 19 0 20 0 18 -1 20 -1 16 -1 17 -3 19 -4 18 -4 0 0 17 -4 17 -5 17 -6 16 -5 14 -5 15 -6 16 -7 14 -6 14 -8 14 -7 14 -8 13 -7 13 -8 13 -8 13 -8 12 -9 13 -10 12 -9 12 -9 11 -9 11 -9 10 -9 10 -10 9 -11 9 -10 8 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-70,11,1,7,1,1,1,1,0,0,0,-92,3,6,1,2401279,0,110,0,0,2.81979,384,[110 96 6 0 0 0 0 0 0 0 0 0 13 -14 13 -13 14 -13 15 -12 15 -12 15 -10 15 -11 15 -9 15 -9 15 -9 16 -8 15 -8 15 -8 14 -9 13 -7 13 -8 13 -7 12 -6 13 -7 12 -7 11 -7 12 -7 12 -7 9 -7 10 -7 10 -7 0 0 9 -7 9 -8 8 -8 9 -8 8 -8 7 -9 7 -9 7 -9 7 -9 6 -9 6 -9 5 -10 5 -9 5 -9 6 -9 4 -9 4 -10 4 -9 3 -9 3 -10 3 -9 3 -10 2 -9 1 -10 1 -9 1 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-69,11,1,6,1,1,1,1,0,0,0,-92,1,6,1,2409760,0,110,0,0,2.85872,384,[110 96 6 0 0 0 0 0 0 0 0 0 -3 -21 -2 -21 -1 -21 -1 -21 -1 -20 1 -20 1 -19 1 -19 2 -20 2 -19 2 -19 3 -18 3 -19 3 -18 3 -18 3 -18 2 -16 3 -16 1 -16 2 -15 2 -15 1 -15 2 -15 0 -14 1 -16 0 -14 0 0 0 -13 -1 -13 -2 -13 -2 -13 -2 -13 -3 -13 -2 -13 -3 -12 -4 -12 -3 -12 -4 -12 -5 -11 -5 -11 -6 -11 -6 -11 -6 -11 -6 -11 -6 -10 -6 -9 -8 -9 -7 -9 -7 -9 -7 -8 -8 -8 -8 -8 -8 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-69,11,1,6,1,1,1,1,0,0,0,-92,1,6,1,2549063,0,110,0,0,2.9396,384,[110 96 6 0 0 0 0 0 0 0 0 0 -12 13 -14 13 -13 14 -15 13 -14 12 -15 11 -15 11 -15 10 -15 10 -15 9 -16 9 -15 9 -15 8 -15 8 -14 7 -15 9 -14 6 -14 8 -13 7 -12 7 -12 6 -12 6 -13 6 -11 7 -12 7 -11 8 0 0 -11 7 -10 8 -10 7 -9 7 -9 7 -9 8 -9 7 -8 8 -9 8 -8 8 -8 9 -7 9 -7 8 -7 9 -7 9 -7 9 -6 10 -6 9 -6 9 -5 9 -5 10 -5 9 -4 9 -3 10 -4 10 -4 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-69,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2588506,0,110,0,0,2.97856,384,[110 96 6 0 0 0 0 0 0 0 0 0 -16 8 -17 7 -17 7 -18 7 -17 6 -18 5 -18 5 -18 3 -18 2 -16 3 -18 3 -18 2 -17 2 -17 2 -17 2 -16 1 -15 2 -16 1 -16 1 -16 1 -15 1 -16 2 -15 2 -14 1 -15 2 -14 3 0 0 -14 3 -14 2 -13 2 -14 2 -12 4 -13 3 -13 3 -13 4 -13 4 -13 4 -12 5 -12 5 -13 6 -12 6 -12 6 -12 6 -12 6 -12 7 -12 6 -11 6 -12 7 -11 6 -10 7 -10 7 -10 7 -10 9 0 0 0 0 0 0 0 0 0 0 ]
