type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-60,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,68296,0,131,0,0,0.460053,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -14 -30 -12 -30 -11 -33 -12 -33 -10 -32 -7 -30 -7 -31 -5 -29 -6 -30 -5 -30 -7 -30 -7 -30 -6 -28 -5 -27 -3 -25 -6 -27 -4 -23 -4 -23 -4 -22 -4 -21 -4 -20 -5 -21 -4 -18 -6 -18 -8 -18 -7 -17 0 0 -8 -16 -9 -15 -9 -13 -9 -13 -8 -12 -9 -12 -9 -11 -8 -10 -9 -9 -9 -9 -10 -8 -9 -7 -10 -6 -9 -6 -10 -5 -10 -4 -10 -4 -9 -3 -9 -2 -9 -2 -8 -1 -8 0 -8 0 -8 2 -8 2 -7 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-76,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,70104,0,135,0,0,0.495113,128,[-121 112 8 0 0 0 0 0 0 0 0 0 -48 -33 -42 -20 -68 -42 -86 -58 -71 -39 -66 -49 -62 -47 -48 -47 -55 -65 -63 -67 -75 -67 -62 -82 -60 -69 -48 -76 -41 -63 -64 -92 -29 -78 -13 -56 -28 -65 -35 -73 -30 -60 -42 -79 -18 -43 -57 -81 -70 -76 -65 -78 0 0 -60 -85 -58 -71 -77 -69 -66 -60 -55 -46 -60 -67 -55 -70 -61 -52 -59 -57 -47 -80 -56 -82 -52 -48 -46 -43 -36 -73 -41 -71 -57 -64 -54 -65 -54 -56 -43 -61 -40 -59 -54 -53 -60 -47 -44 -40 -48 -47 -43 -31 -42 -36 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-68,11,1,5,1,1,1,0,0,0,0,-94,0,6,1,195295,0,239,0,0,0.586568,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 20 -1 20 -1 21 0 20 1 20 1 19 3 19 3 18 3 19 3 18 2 18 3 17 4 16 3 16 4 16 3 16 3 14 3 14 3 14 3 13 2 13 2 12 2 13 2 11 0 11 0 11 1 0 0 11 0 10 -1 10 -2 9 -2 9 -2 8 -2 8 -3 8 -3 7 -3 6 -3 7 -4 6 -4 5 -5 4 -5 5 -4 4 -5 3 -5 3 -5 3 -5 1 -5 1 -5 1 -5 1 -6 -1 -5 -1 -6 -1 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2082705,0,37,0,0,2.47429,128,[37 80 2 0 0 0 0 0 0 0 0 0 1 -29 1 -28 1 -30 2 -31 3 -29 4 -27 4 -28 5 -26 5 -28 5 -27 6 -28 7 -29 6 -27 6 -26 5 -23 5 -26 6 -23 6 -22 5 -22 4 -22 3 -21 3 -22 3 -19 2 -20 1 -21 1 -20 0 0 0 -19 -1 -18 -2 -17 -2 -17 -2 -15 -4 -16 -3 -16 -3 -15 -5 -15 -4 -14 -4 -14 -4 -13 -4 -13 -5 -13 -4 -13 -5 -12 -5 -12 -5 -11 -5 -11 -5 -10 -5 -10 -4 -9 -4 -10 -5 -9 -3 -8 -3 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2084401,0,82,0,0,2.50766,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -13 -26 -11 -25 -12 -28 -12 -28 -11 -28 -8 -26 -9 -27 -8 -26 -8 -28 -6 -28 -7 -28 -7 -29 -6 -27 -6 -26 -5 -24 -7 -27 -5 -23 -5 -23 -5 -21 -5 -22 -5 -21 -6 -21 -5 -19 -6 -19 -7 -19 -7 -18 0 0 -8 -17 -9 -17 -9 -15 -9 -16 -8 -13 -9 -14 -9 -13 -8 -12 -10 -14 -8 -10 -10 -11 -9 -11 -9 -11 -9 -10 -9 -10 -9 -9 -10 -9 -7 -9 -8 -9 -8 -8 -7 -8 -8 -7 -7 -7 -6 -7 -6 -7 -6 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2388322,0,37,0,0,2.77972,128,[37 80 2 0 0 0 0 0 0 0 0 0 27 -14 29 -12 29 -12 31 -13 29 -10 27 -9 28 -7 26 -6 27 -6 26 -5 27 -7 28 -6 26 -6 24 -5 23 -4 24 -5 22 -3 20 -3 19 -4 19 -4 17 -4 18 -5 15 -4 15 -6 15 -7 15 -7 0 0 13 -7 12 -8 12 -8 11 -8 9 -8 9 -9 9 -8 7 -9 7 -9 6 -8 6 -9 5 -8 4 -9 3 -9 3 -8 2 -9 2 -9 1 -9 0 -8 -1 -8 -1 -7 -2 -7 -3 -6 -4 -6 -4 -5 -5 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-72,11,1,5,1,1,1,1,0,0,0,-92,4,6,1,2400691,0,110,0,0,2.81035,384,[110 96 6 0 0 0 0 0 0 0 0 0 -14 -14 -13 -12 -14 -14 -12 -14 -12 -14 -12 -14 -12 -15 -11 -15 -11 -15 -9 -14 -8 -15 -9 -15 -8 -14 -8 -15 -8 -14 -8 -13 -7 -12 -7 -12 -7 -12 -7 -11 -6 -11 -6 -11 -6 -9 -6 -9 -6 -10 -7 -8 0 0 -8 -7 -7 -7 -7 -6 -8 -7 -7 -5 -7 -6 -7 -5 -7 -5 -8 -4 -7 -3 -7 -3 -7 -3 -6 -2 -6 -2 -6 -2 -6 -1 -6 0 -6 -1 -6 0 -5 1 -5 1 -4 1 -4 1 -4 3 -4 3 -4 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-72,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2502698,0,110,0,0,2.89381,384,[110 96 6 0 0 0 0 0 0 0 0 0 11 -15 11 -15 11 -14 12 -14 12 -13 12 -12 12 -13 12 -12 12 -11 12 -11 12 -9 13 -10 12 -10 12 -9 11 -9 12 -9 11 -9 11 -8 10 -8 10 -8 8 -8 9 -8 8 -6 8 -7 9 -7 8 -7 0 0 7 -7 6 -9 6 -8 6 -8 4 -8 4 -8 4 -8 3 -8 3 -8 2 -7 2 -8 2 -8 2 -8 0 -8 1 -7 0 -8 0 -8 -1 -9 -1 -8 -1 -8 -2 -8 -3 -8 -3 -8 -4 -8 -3 -7 -4 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-70,11,1,6,1,1,1,1,0,0,0,-92,1,6,1,2575423,0,110,0,0,2.96658,384,[110 96 6 0 0 0 0 0 0 0 0 0 15 -15 15 -15 16 -14 15 -14 17 -13 16 -13 17 -11 17 -9 18 -9 18 -10 17 -9 17 -9 17 -9 16 -9 16 -9 16 -8 15 -8 15 -7 14 -7 13 -7 14 -7 13 -8 13 -7 11 -8 12 -7 12 -7 0 0 12 -7 10 -7 9 -9 8 -8 9 -8 8 -8 8 -8 7 -9 7 -9 7 -10 5 -9 5 -9 6 -8 5 -9 5 -9 5 -10 5 -9 3 -9 3 -8 3 -9 3 -9 1 -9 1 -8 0 -9 1 -8 -1 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-69,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2683725,0,110,0,0,3.07487,384,[110 96 6 0 0 0 0 0 0 0 0 0 -17 12 -17 11 -18 10 -19 10 -18 10 -19 7 -19 8 -18 7 -19 6 -19 7 -18 6 -18 4 -17 4 -19 4 -17 4 -17 4 -16 4 -17 4 -15 3 -15 3 -15 3 -15 3 -15 3 -14 3 -15 3 -14 4 0 0 -14 4 -13 5 -14 5 -12 6 -12 5 -11 4 -13 5 -12 6 -12 6 -11 7 -11 7 -9 5 -9 6 -9 6 -8 6 -8 7 -8 7 -8 7 -7 7 -7 6 -7 7 -6 7 -6 8 -5 8 -4 8 -3 7 0 0 0 0 0 0 0 0 0 0 ]
