type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-55,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,69564,0,131,0,0,0.461076,128,[-125 48 8 0 0 0 0 0 0 0 0 0 1 22 0 22 -1 24 -1 25 -3 24 -3 23 -4 24 -4 22 -5 24 -5 23 -4 26 -5 27 -5 26 -6 25 -7 22 -7 26 -9 23 -9 21 -9 22 -8 22 -8 21 -9 23 -8 19 -6 22 -6 24 -6 23 0 0 -7 22 -7 24 -6 23 -6 22 -5 19 -5 21 -5 22 -5 20 -4 21 -5 20 -3 21 -3 18 -3 20 -4 20 -4 19 -3 19 -2 20 -2 18 -2 18 -1 18 -1 17 -1 17 1 17 2 17 2 15 2 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,70018,0,135,0,0,0.492211,384,[-121 112 8 0 0 0 0 0 0 0 0 0 11 -12 12 -11 12 -11 13 -11 13 -10 14 -10 14 -10 14 -9 15 -9 14 -9 15 -9 15 -9 15 -8 15 -8 15 -8 17 -8 16 -7 15 -8 15 -7 15 -6 15 -7 15 -5 15 -6 14 -6 14 -7 14 -7 0 0 14 -6 13 -7 14 -7 13 -7 13 -7 13 -7 13 -7 12 -7 11 -7 10 -9 11 -8 11 -8 11 -8 11 -8 11 -8 10 -8 10 -9 9 -9 9 -9 8 -9 8 -9 8 -9 7 -10 6 -10 6 -9 6 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-57,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,224488,0,239,0,0,0.615835,128,[-17 -16 14 0 0 0 0 0 0 0 0 0 20 -2 19 -2 22 -1 23 -1 22 0 21 1 22 2 21 3 23 3 23 5 24 3 26 4 24 4 24 5 22 5 25 5 22 6 20 7 21 6 21 6 20 6 23 6 18 6 21 5 23 4 22 5 0 0 21 4 22 3 22 2 20 2 18 2 20 2 20 2 18 1 19 1 18 2 19 0 16 0 17 -1 17 -1 16 0 16 -1 17 -3 15 -3 14 -3 13 -3 13 -4 13 -5 12 -5 12 -6 11 -5 10 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-55,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,3084326,0,37,0,0,3.47566,128,[37 80 2 0 0 0 0 0 0 0 0 0 -13 -14 -13 -15 -14 -16 -15 -18 -13 -17 -11 -18 -11 -18 -10 -18 -11 -19 -10 -18 -12 -20 -12 -21 -11 -20 -11 -20 -9 -20 -12 -21 -9 -21 -7 -19 -8 -20 -8 -20 -8 -20 -9 -21 -6 -18 -10 -20 -11 -21 -10 -20 0 0 -11 -20 -10 -20 -12 -21 -10 -19 -9 -18 -11 -19 -11 -20 -10 -18 -12 -18 -10 -17 -12 -18 -11 -16 -12 -16 -12 -18 -10 -17 -12 -17 -13 -16 -12 -17 -12 -16 -12 -16 -13 -15 -13 -15 -13 -14 -15 -14 -14 -13 -14 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,7,1,1,1,0,0,0,0,-91,0,6,1,3084584,0,82,0,0,3.5157,384,[82 -96 4 0 0 0 0 0 0 0 0 0 10 10 10 10 10 11 10 12 10 12 9 13 9 13 8 13 8 14 8 14 7 15 8 15 8 15 7 16 7 15 7 16 6 15 6 14 6 15 6 15 6 15 6 15 5 15 6 15 5 15 5 15 0 0 6 15 6 15 6 15 6 14 6 14 7 13 6 14 6 13 6 12 7 12 6 12 7 12 8 12 7 12 7 12 7 11 8 12 8 10 7 10 9 10 8 10 8 8 10 9 10 9 9 9 10 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-55,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,3401942,0,37,0,0,3.79309,128,[37 80 2 0 0 0 0 0 0 0 0 0 -17 2 -17 0 -19 0 -20 0 -19 -1 -17 -2 -19 -2 -18 -3 -20 -2 -20 -4 -22 -3 -23 -4 -22 -4 -21 -4 -19 -5 -24 -4 -20 -5 -20 -6 -19 -6 -20 -5 -20 -6 -22 -6 -18 -6 -20 -5 -23 -5 -21 -5 0 0 -21 -4 -23 -4 -22 -3 -21 -3 -18 -3 -21 -3 -21 -2 -20 -3 -21 -2 -20 -3 -21 -1 -18 -2 -19 -1 -19 -1 -19 -1 -19 0 -21 1 -18 0 -18 1 -18 1 -18 1 -18 2 -18 3 -18 4 -16 3 -16 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,6,1,1,1,1,0,0,0,-91,2,6,1,3416593,0,110,0,0,3.82786,384,[110 96 6 0 0 0 0 0 0 0 0 0 11 11 11 11 12 12 11 13 12 14 10 14 10 15 9 16 10 16 11 17 10 17 10 18 10 18 10 20 9 19 9 19 8 18 8 19 9 18 8 20 8 19 7 19 7 19 7 19 8 19 8 19 0 0 8 18 8 18 7 19 8 16 9 16 10 17 8 17 9 17 9 17 10 16 9 15 10 14 10 15 10 13 10 14 10 13 11 13 10 11 13 12 11 11 11 12 11 10 12 11 12 8 13 9 12 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,7,1,1,1,1,0,0,0,-91,1,6,1,3416851,0,110,0,0,3.86569,384,[110 96 6 0 0 0 0 0 0 0 0 0 -7 -13 -7 -13 -7 -14 -6 -14 -6 -15 -5 -15 -5 -16 -4 -16 -4 -17 -4 -17 -4 -17 -3 -18 -4 -18 -4 -17 -3 -17 -2 -18 -2 -18 -2 -17 -2 -17 -1 -18 -1 -18 0 -18 0 -18 -2 -18 -1 -17 -1 -18 0 0 0 -18 -2 -17 -1 -17 -2 -17 -2 -16 -1 -16 -1 -16 -1 -16 -1 -16 -2 -16 -3 -15 -3 -15 -4 -15 -3 -14 -3 -14 -4 -14 -4 -15 -4 -14 -4 -14 -4 -13 -5 -13 -5 -13 -6 -13 -7 -12 -6 -12 -7 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,6,1,1,1,1,0,0,0,-91,1,6,1,3417025,0,110,0,0,3.91012,384,[110 96 6 0 0 0 0 0 0 0 0 0 -12 9 -12 10 -13 9 -14 9 -15 9 -14 8 -16 7 -16 8 -17 7 -17 7 -18 6 -18 6 -19 6 -19 6 -19 6 -20 6 -19 5 -19 5 -19 4 -19 4 -19 4 -20 3 -19 4 -19 3 -20 3 -19 3 0 0 -19 3 -18 4 -18 3 -18 4 -18 4 -17 4 -18 4 -18 4 -18 4 -17 5 -16 4 -17 5 -16 5 -15 6 -16 5 -15 6 -15 6 -14 6 -14 6 -14 6 -14 7 -14 7 -13 7 -12 8 -13 8 -12 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,5,1,1,1,1,0,0,0,-91,1,6,1,3417326,0,110,0,0,3.95039,384,[110 96 6 0 0 0 0 0 0 0 0 0 -11 7 -12 7 -12 7 -13 7 -14 7 -14 6 -14 6 -15 6 -15 6 -16 5 -17 5 -17 5 -17 4 -17 4 -17 4 -19 5 -17 4 -17 3 -17 3 -17 3 -17 2 -17 3 -17 2 -17 3 -17 3 -17 3 0 0 -17 3 -17 3 -16 3 -17 3 -16 3 -16 3 -16 3 -15 3 -15 4 -15 4 -15 5 -15 4 -14 4 -13 5 -14 5 -13 6 -13 6 -12 6 -12 6 -11 7 -12 6 -11 6 -12 7 -11 7 -11 8 -10 8 0 0 0 0 0 0 0 0 0 0 ]
