type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-54,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,68210,0,131,0,0,0.459244,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -12 22 -13 21 -15 22 -16 24 -16 21 -17 19 -18 20 -19 18 -20 19 -20 18 -20 22 -21 21 -20 21 -20 20 -20 17 -23 20 -21 16 -20 14 -21 15 -21 14 -21 14 -22 15 -19 12 -18 16 -20 18 -19 17 0 0 -19 16 -18 16 -18 17 -17 15 -16 14 -16 15 -16 16 -15 13 -14 15 -14 14 -13 16 -11 14 -11 15 -11 15 -11 14 -10 15 -9 16 -8 14 -8 14 -7 14 -6 14 -5 14 -4 15 -3 15 -2 15 -2 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-62,11,1,5,1,1,1,0,0,0,0,-94,0,6,1,70073,0,135,0,0,0.494584,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -11 -12 -10 -13 -11 -14 -10 -14 -9 -14 -8 -14 -8 -15 -7 -15 -8 -16 -7 -16 -7 -16 -7 -17 -7 -17 -6 -17 -5 -16 -6 -17 -5 -16 -5 -16 -5 -16 -4 -16 -4 -16 -5 -16 -3 -15 -4 -15 -4 -15 -4 -15 0 0 -4 -15 -5 -14 -5 -14 -5 -14 -5 -13 -5 -13 -5 -13 -5 -12 -6 -11 -6 -11 -6 -11 -6 -10 -6 -10 -6 -9 -6 -9 -7 -8 -7 -9 -7 -7 -7 -7 -8 -6 -8 -7 -8 -6 -9 -6 -9 -5 -9 -5 -9 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-61,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,191255,0,239,0,0,0.5818,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 2 15 2 16 1 16 1 16 1 17 0 17 -1 17 -2 17 -2 18 -2 18 -3 18 -3 18 -3 17 -4 17 -4 17 -5 17 -6 17 -5 16 -5 16 -5 16 -6 16 -5 16 -6 16 -4 15 -6 16 -5 16 0 0 -5 15 -4 15 -5 15 -4 15 -4 13 -4 14 -4 14 -3 14 -3 15 -3 13 -2 13 -2 13 -1 13 -1 13 -1 13 -1 12 0 13 0 12 1 12 1 12 1 12 2 12 3 12 3 11 3 12 3 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-55,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2086075,0,37,0,0,2.47691,128,[37 80 2 0 0 0 0 0 0 0 0 0 -14 11 -14 9 -16 7 -19 10 -17 9 -17 7 -17 10 -19 8 -21 7 -20 8 -21 9 -22 8 -22 8 -21 7 -19 6 -23 8 -21 5 -21 4 -20 5 -20 5 -20 6 -22 6 -19 4 -20 5 -22 7 -21 6 0 0 -21 7 -21 7 -20 8 -20 7 -17 6 -18 7 -19 8 -18 7 -18 8 -18 7 -18 8 -16 6 -16 7 -17 7 -16 7 -15 8 -17 9 -14 8 -14 8 -14 9 -13 9 -13 10 -13 10 -12 10 -12 10 -11 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,7,1,1,1,0,0,0,0,-91,0,6,1,2096706,0,82,0,0,2.50917,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -18 0 -18 0 -18 -1 -19 -2 -20 -2 -19 -3 -19 -3 -20 -4 -19 -5 -20 -5 -20 -6 -20 -6 -20 -6 -20 -7 -19 -7 -20 -7 -20 -7 -19 -7 -19 -7 -18 -8 -19 -8 -19 -8 -18 -8 -18 -7 -18 -8 -17 -8 0 0 -17 -7 -17 -7 -17 -7 -17 -6 -16 -6 -16 -6 -17 -6 -16 -6 -16 -5 -16 -5 -16 -4 -15 -4 -15 -3 -16 -3 -15 -3 -15 -2 -15 -2 -14 -1 -14 -1 -14 -1 -14 0 -14 1 -14 1 -14 2 -14 2 -13 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-58,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2415339,0,37,0,0,2.806,128,[37 80 2 0 0 0 0 0 0 0 0 0 -19 -3 -19 -4 -21 -5 -22 -5 -20 -7 -19 -7 -20 -8 -19 -9 -21 -9 -20 -9 -22 -8 -23 -9 -22 -9 -21 -10 -19 -10 -23 -11 -20 -12 -18 -12 -19 -11 -19 -12 -19 -12 -20 -13 -16 -10 -19 -10 -22 -10 -21 -11 0 0 -20 -11 -21 -11 -21 -10 -19 -10 -17 -9 -18 -10 -19 -10 -18 -9 -19 -8 -18 -8 -19 -7 -17 -6 -18 -5 -18 -7 -16 -7 -17 -6 -18 -6 -16 -5 -17 -5 -16 -4 -15 -2 -15 -3 -15 -2 -15 0 -15 1 -13 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-68,11,1,7,1,1,1,1,0,0,0,-91,3,6,1,2416034,0,110,0,0,2.84319,384,[110 96 6 0 0 0 0 0 0 0 0 0 -6 13 -7 14 -7 14 -8 14 -8 14 -8 13 -9 13 -9 14 -10 14 -10 14 -11 14 -11 14 -11 13 -12 13 -12 14 -12 14 -12 13 -12 12 -12 12 -12 12 -12 13 -13 13 -12 12 -12 12 -12 12 -12 12 0 0 -11 11 -11 12 -10 12 -10 12 -11 11 -10 11 -11 12 -10 13 -9 10 -8 12 -7 12 -8 12 -6 10 -5 10 -8 10 -6 10 -5 11 -6 12 -6 10 -6 11 -5 10 -3 10 -2 10 -2 13 -1 12 -2 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-67,11,1,6,1,1,1,1,0,0,0,-91,2,6,1,2423505,0,110,0,0,2.88562,384,[110 96 6 0 0 0 0 0 0 0 0 0 12 -2 12 -2 13 -1 14 -1 13 0 14 -1 14 0 14 1 15 1 15 2 14 2 15 3 15 3 15 3 15 4 14 4 14 3 14 3 14 4 14 4 14 5 13 5 13 4 13 4 14 4 14 3 0 0 13 4 13 4 13 4 12 3 12 4 13 4 13 3 12 3 12 3 12 1 11 2 12 2 12 1 12 1 11 1 11 1 11 0 10 0 10 -1 9 -1 9 -1 10 -1 9 -2 9 -2 9 -3 9 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,6,1,1,1,1,0,0,0,-91,1,6,1,2607934,0,110,0,0,2.99837,384,[110 96 6 0 0 0 0 0 0 0 0 0 5 -14 5 -14 5 -16 6 -15 7 -14 8 -14 8 -14 8 -14 9 -14 10 -14 10 -14 11 -14 10 -13 11 -13 10 -13 11 -13 11 -13 11 -13 11 -11 11 -12 11 -12 11 -12 12 -11 11 -11 12 -11 11 -11 0 0 10 -11 10 -11 10 -10 9 -11 9 -10 9 -11 9 -10 8 -11 8 -11 7 -11 7 -11 7 -10 6 -10 6 -10 6 -11 5 -11 5 -11 4 -11 3 -11 3 -11 3 -11 2 -11 2 -12 1 -12 2 -12 1 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,7,1,1,1,1,0,0,0,-91,1,6,1,2684477,0,110,0,0,3.07468,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 -15 1 -14 3 -14 3 -14 4 -15 4 -14 4 -14 5 -15 6 -14 6 -15 6 -15 6 -15 7 -15 7 -15 7 -14 8 -15 8 -14 7 -14 7 -14 8 -13 7 -13 7 -14 8 -14 7 -13 8 -13 7 -13 0 0 8 -13 7 -13 7 -12 7 -13 6 -12 6 -13 6 -12 5 -12 6 -13 5 -13 5 -13 4 -12 4 -13 4 -12 4 -12 3 -12 3 -13 3 -12 2 -12 2 -12 2 -12 1 -13 1 -13 0 -12 0 -13 0 -12 0 0 0 0 0 0 0 0 0 0 ]
