type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,78:21:84:7E:97:F9,-47,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,52152,0,131,0,0,0.451504,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -20 -20 -19 -21 -20 -21 -20 -23 -18 -22 -15 -22 -15 -23 -14 -22 -15 -24 -13 -23 -16 -24 -15 -25 -14 -24 -14 -23 -12 -22 -15 -24 -11 -22 -10 -22 -11 -21 -10 -21 -10 -21 -11 -22 -9 -19 -11 -19 -13 -21 -12 -20 0 0 -12 -19 -13 -19 -13 -18 -13 -18 -12 -16 -13 -17 -14 -17 -12 -16 -14 -16 -13 -16 -15 -15 -13 -14 -15 -14 -15 -14 -14 -14 -15 -14 -16 -14 -15 -13 -15 -13 -15 -12 -15 -12 -16 -12 -16 -11 -17 -10 -16 -10 -16 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,52669,0,135,0,0,0.493643,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -1 -26 -1 -25 0 -25 1 -25 2 -26 3 -24 3 -24 4 -24 4 -25 5 -23 5 -24 5 -23 6 -23 6 -23 6 -22 5 -23 5 -21 5 -22 6 -20 6 -20 6 -20 6 -20 5 -20 4 -19 5 -19 4 -19 0 0 3 -18 3 -19 2 -18 2 -18 2 -17 2 -17 1 -17 1 -17 0 -17 0 -17 -1 -17 -1 -17 -2 -17 -2 -16 -3 -17 -3 -16 -4 -17 -4 -16 -4 -16 -4 -16 -4 -15 -5 -15 -5 -16 -6 -15 -6 -15 -6 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,181769,0,239,0,0,0.580624,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 20 -3 19 -3 21 -2 20 -1 21 -1 19 0 20 1 19 1 20 1 19 2 20 2 19 3 19 3 18 3 18 3 19 4 17 4 17 4 16 3 17 4 16 3 16 3 16 4 15 3 16 3 15 3 0 0 14 3 15 2 14 2 15 2 14 1 14 1 14 1 13 0 14 0 13 0 13 -1 13 -1 13 -1 13 -2 13 -1 12 -2 13 -3 12 -3 12 -3 12 -3 12 -4 12 -4 12 -4 12 -5 12 -4 11 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-48,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,2084632,0,37,0,0,2.4838,128,[37 80 2 0 0 0 0 0 0 0 0 0 -10 26 -12 24 -13 28 -12 26 -15 25 -13 22 -14 23 -16 21 -16 22 -17 22 -16 23 -17 23 -16 22 -16 21 -16 18 -17 23 -16 19 -17 19 -15 17 -15 17 -16 16 -16 18 -15 16 -13 17 -13 20 -13 17 0 0 -12 18 -12 19 -10 19 -11 19 -9 16 -10 18 -10 19 -10 16 -8 19 -9 18 -7 19 -7 17 -7 19 -7 18 -6 18 -5 17 -5 20 -5 17 -5 18 -4 18 -4 18 -3 19 -2 19 -2 19 -2 18 -2 18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,0,0,0,0,-93,0,6,1,2085205,0,82,0,0,2.51811,384,[82 -96 4 0 0 0 0 0 0 0 0 0 3 -14 5 -14 4 -12 6 -13 6 -10 4 -12 6 -12 7 -12 6 -12 7 -12 7 -12 6 -11 6 -11 7 -11 7 -11 7 -10 7 -10 7 -10 6 -9 6 -10 6 -9 6 -10 6 -9 6 -9 6 -10 6 -9 0 0 5 -9 5 -9 4 -9 4 -9 4 -8 3 -9 4 -9 3 -9 4 -9 3 -8 2 -9 3 -9 2 -10 2 -9 2 -10 1 -8 1 -10 1 -9 1 -9 1 -9 1 -10 0 -9 0 -10 -1 -9 -1 -9 -1 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-47,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,2420811,0,37,0,0,2.81977,128,[37 80 2 0 0 0 0 0 0 0 0 0 -26 10 -26 9 -28 11 -28 10 -28 9 -25 6 -27 8 -25 5 -27 7 -28 3 -28 4 -30 4 -28 3 -27 3 -25 3 -28 6 -25 2 -25 2 -23 2 -24 4 -23 3 -25 4 -22 1 -22 3 -24 4 -23 4 0 0 -22 6 -23 7 -21 7 -21 7 -18 6 -19 8 -20 9 -19 8 -19 10 -20 8 -20 8 -18 7 -18 9 -18 9 -18 10 -17 10 -18 12 -17 10 -16 12 -16 12 -15 12 -16 13 -16 13 -16 13 -16 12 -15 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,1,0,0,0,-93,3,6,1,2421213,0,110,0,0,2.85257,384,[110 96 6 0 0 0 0 0 0 0 0 0 -18 13 -18 13 -19 13 -19 12 -20 12 -19 11 -19 11 -20 9 -20 10 -20 9 -20 8 -21 7 -20 7 -20 7 -20 7 -20 7 -19 7 -19 6 -19 6 -18 6 -18 6 -18 6 -17 5 -17 5 -18 5 -17 6 0 0 -16 6 -16 7 -15 6 -15 7 -15 7 -14 7 -14 8 -14 8 -13 8 -13 8 -13 8 -13 8 -12 9 -12 9 -12 10 -11 10 -12 10 -11 10 -11 10 -11 11 -10 10 -10 11 -10 11 -10 12 -10 11 -10 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,2430636,0,110,0,0,2.89451,384,[110 96 6 0 0 0 0 0 0 0 0 0 19 -7 19 -6 20 -6 20 -5 20 -4 20 -4 20 -3 20 -3 21 -3 20 -2 20 -2 20 -2 19 -1 19 -1 19 -1 19 0 18 0 18 0 17 -1 18 0 17 0 17 0 17 0 16 -1 17 -1 16 -1 0 0 16 -2 16 -1 15 -2 15 -2 14 -3 14 -3 14 -3 14 -4 14 -4 13 -4 13 -5 13 -5 13 -6 13 -6 13 -6 12 -6 13 -7 12 -7 12 -7 11 -8 11 -8 11 -9 11 -9 10 -9 10 -9 10 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,1,0,0,0,-93,2,6,1,2605574,0,110,0,0,3.00434,384,[110 96 6 0 0 0 0 0 0 0 0 0 -20 -14 -18 -14 -19 -15 -17 -15 -17 -16 -16 -15 -16 -16 -15 -17 -16 -17 -15 -17 -15 -17 -14 -18 -14 -17 -13 -17 -13 -16 -14 -18 -12 -17 -13 -16 -12 -15 -12 -16 -11 -16 -11 -16 -12 -16 -11 -15 -12 -15 -11 -14 0 0 -11 -14 -12 -13 -11 -12 -12 -13 -11 -12 -12 -12 -12 -11 -12 -11 -12 -11 -13 -10 -13 -10 -13 -10 -13 -9 -13 -8 -14 -9 -13 -8 -14 -8 -13 -7 -14 -7 -14 -7 -14 -7 -14 -6 -15 -6 -15 -5 -15 -6 -15 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,2681259,0,110,0,0,3.07989,384,[110 96 6 0 0 0 0 0 0 0 0 0 22 5 21 6 21 6 21 7 21 7 20 8 20 9 19 9 20 9 19 10 19 10 18 10 18 10 17 10 17 10 18 11 16 10 17 10 16 9 16 10 15 10 16 9 15 10 15 9 15 9 15 8 0 0 15 8 15 7 15 6 15 6 14 6 14 5 14 5 14 5 14 4 14 4 14 3 14 3 14 2 14 2 15 2 14 1 15 1 15 0 14 0 14 0 14 0 14 -1 15 -1 15 -2 15 -2 14 -2 0 0 0 0 0 0 0 0 0 0 ]
