type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-53,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,75024,0,131,0,0,0.469136,128,[-125 48 8 0 0 0 0 0 0 0 0 0 11 14 10 13 12 16 12 16 11 16 8 15 9 17 7 17 8 18 7 19 9 20 9 21 8 20 8 19 6 18 9 21 6 18 5 19 5 18 5 19 5 18 6 20 4 18 6 19 8 20 7 19 0 0 7 19 8 20 9 18 8 19 6 16 8 18 8 18 6 17 9 17 7 18 9 18 7 15 9 16 8 16 9 17 9 15 11 17 9 15 9 15 10 15 10 15 10 14 11 15 12 14 11 13 11 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-62,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,77537,0,135,0,0,0.497454,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -7 -12 -7 -13 -7 -15 -7 -14 -7 -15 -6 -14 -6 -13 -6 -15 -6 -16 -5 -15 -4 -15 -3 -18 -3 -16 -3 -16 -3 -16 -3 -18 -3 -16 -3 -16 -4 -15 -3 -16 -2 -16 -3 -16 -2 -16 -2 -15 -2 -15 -2 -15 0 0 -2 -15 -2 -15 -2 -14 -3 -15 -3 -14 -3 -14 -3 -14 -3 -14 -4 -13 -4 -14 -3 -13 -3 -14 -3 -13 -4 -12 -4 -13 -5 -12 -5 -13 -5 -12 -5 -12 -6 -12 -6 -12 -6 -11 -6 -12 -7 -12 -7 -12 -7 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-62,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,197072,0,239,0,0,0.590683,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -15 -3 -14 -6 -15 -4 -15 -4 -16 -5 -14 -5 -14 -5 -16 -6 -15 -7 -16 -7 -16 -8 -14 -8 -16 -8 -15 -9 -15 -8 -15 -8 -14 -8 -15 -9 -14 -8 -14 -9 -14 -9 -13 -9 -13 -9 -13 -9 -13 -10 -13 -9 0 0 -12 -8 -13 -8 -13 -9 -14 -8 -13 -7 -13 -8 -12 -7 -13 -7 -13 -7 -13 -6 -13 -6 -13 -6 -12 -5 -13 -5 -13 -6 -13 -4 -13 -5 -12 -4 -13 -4 -12 -3 -13 -3 -13 -3 -14 -2 -13 -2 -13 -2 -13 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,7,1,1,1,0,0,0,0,-91,0,6,1,3081835,0,82,0,0,3.47572,384,[82 -96 4 0 0 0 0 0 0 0 0 0 10 -12 10 -12 11 -12 12 -12 13 -12 13 -12 13 -12 14 -11 15 -11 15 -11 15 -11 16 -11 16 -10 16 -10 16 -10 17 -10 16 -9 16 -10 16 -8 17 -9 16 -9 16 -8 17 -8 16 -8 16 -8 16 -8 0 0 15 -8 15 -8 15 -8 15 -8 14 -7 14 -9 14 -8 13 -8 14 -9 13 -9 13 -9 12 -9 12 -9 11 -10 12 -10 11 -10 11 -11 10 -10 10 -11 9 -11 9 -11 8 -11 8 -12 8 -12 8 -12 7 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,3081952,0,37,0,0,3.50931,128,[37 80 2 0 0 0 0 0 0 0 0 0 17 8 18 9 18 10 21 10 18 11 17 12 17 13 16 13 18 14 17 14 20 15 20 16 19 16 19 16 17 16 19 18 16 17 14 17 15 18 14 18 14 18 15 19 12 16 16 16 18 18 17 17 0 0 16 17 16 17 18 16 16 15 14 14 16 15 16 16 14 15 15 14 14 14 17 13 14 12 16 12 16 13 14 12 16 12 17 11 16 11 15 11 15 10 15 9 16 9 16 8 17 7 16 6 16 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,3397905,0,37,0,0,3.79164,128,[37 80 2 0 0 0 0 0 0 0 0 0 -18 8 -18 8 -19 8 -21 9 -20 7 -19 6 -21 7 -20 5 -22 6 -22 5 -23 7 -25 6 -24 5 -24 5 -22 4 -25 5 -23 3 -22 1 -22 2 -22 2 -22 2 -24 2 -20 1 -22 3 -24 4 -23 4 0 0 -22 4 -23 4 -23 5 -21 4 -19 3 -20 5 -21 5 -19 4 -21 6 -19 4 -20 6 -17 5 -18 6 -19 6 -18 6 -18 7 -18 9 -17 8 -17 8 -16 8 -15 9 -16 10 -15 10 -15 12 -15 11 -14 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,6,1,1,1,1,0,0,0,-91,4,6,1,3411322,0,110,0,0,3.82353,384,[110 96 6 0 0 0 0 0 0 0 0 0 11 -5 11 -5 12 -4 13 -4 13 -3 13 -4 13 -3 13 -3 14 -3 14 -2 14 -2 15 -1 15 -1 15 -1 15 0 15 0 15 0 14 0 14 1 14 1 14 1 14 1 13 1 14 1 14 1 14 1 0 0 13 1 13 1 14 1 13 1 12 1 13 0 13 1 12 0 12 0 12 -1 11 -1 11 0 11 -1 11 -2 11 -1 11 -2 11 -2 10 -3 11 -3 10 -4 10 -3 10 -4 10 -4 10 -5 10 -5 10 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-66,11,1,7,1,1,1,1,0,0,0,-91,1,6,1,3500570,0,110,0,0,3.8941,384,[110 96 6 0 0 0 0 0 0 0 0 0 13 -4 13 -4 14 -4 14 -3 14 -3 14 -2 15 -2 15 -2 15 -2 15 -1 15 -1 15 -1 16 -1 15 0 15 1 16 0 15 1 15 1 14 1 15 2 15 1 15 1 14 1 14 2 15 2 14 1 0 0 14 1 14 1 13 1 13 0 12 1 12 1 12 0 13 0 12 0 13 -1 12 -1 11 -1 11 -1 11 -2 12 -2 11 -2 11 -2 10 -2 10 -3 10 -4 11 -4 9 -4 10 -5 9 -6 9 -6 10 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-67,11,1,7,1,1,1,1,0,0,0,-91,1,6,1,3576021,0,110,0,0,3.97042,384,[110 96 6 0 0 0 0 0 0 0 0 0 3 14 5 13 3 16 2 14 1 15 4 14 2 14 2 17 0 15 3 16 0 16 0 15 -1 17 -1 17 -1 16 0 17 -1 16 -2 17 -2 15 -1 15 -2 15 0 16 -4 15 -2 17 -1 17 -3 14 0 0 -2 15 -2 16 -1 15 -1 13 0 14 -1 14 0 14 -1 14 0 11 -1 13 0 13 0 13 1 13 1 12 1 12 2 11 2 11 2 11 2 11 3 11 3 11 4 11 4 10 4 10 5 10 5 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-66,11,1,7,1,1,1,1,0,0,0,-91,1,6,1,3678463,0,110,0,0,4.07273,384,[110 96 6 0 0 0 0 0 0 0 0 0 -6 -12 -4 -12 -5 -15 -4 -15 -4 -14 -4 -15 -4 -16 -2 -15 -3 -16 -3 -15 -3 -16 -2 -16 -2 -16 -2 -15 -2 -15 -2 -16 -1 -15 -1 -15 -1 -15 -1 -16 -1 -15 -1 -15 -1 -15 -1 -15 -1 -15 0 -15 0 0 0 -14 -2 -14 -1 -14 -1 -13 -2 -13 -1 -13 -2 -14 -2 -13 -3 -12 -3 -13 -2 -12 -3 -12 -3 -11 -3 -11 -4 -11 -4 -10 -4 -10 -4 -11 -4 -9 -5 -9 -5 -9 -5 -9 -5 -9 -6 -9 -6 -8 -7 -8 0 0 0 0 0 0 0 0 0 0 ]
