type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,78:21:84:7E:97:F9,-46,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,52090,0,131,0,0,0.450533,128,[-125 48 8 0 0 0 0 0 0 0 0 0 19 -19 19 -17 20 -19 20 -19 20 -17 19 -14 20 -15 19 -13 21 -14 22 -13 22 -14 23 -14 22 -13 22 -12 20 -11 22 -14 20 -10 20 -10 19 -10 19 -11 18 -10 20 -11 18 -9 17 -10 19 -13 18 -12 0 0 17 -12 18 -13 17 -13 17 -14 14 -11 15 -14 15 -14 14 -13 15 -15 15 -13 15 -15 13 -13 14 -14 14 -14 14 -14 13 -15 14 -17 13 -15 12 -15 12 -16 12 -16 13 -17 13 -17 12 -17 12 -16 12 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-55,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,52637,0,135,0,0,0.488225,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -21 3 -22 3 -22 2 -22 1 -21 0 -21 0 -21 0 -21 -1 -21 -1 -21 -1 -21 -2 -21 -2 -21 -2 -20 -3 -20 -2 -20 -3 -19 -3 -19 -3 -19 -3 -18 -3 -18 -3 -18 -3 -17 -3 -17 -2 -18 -2 -17 -2 0 0 -17 -2 -17 -1 -17 -1 -17 0 -16 0 -16 0 -16 0 -16 1 -16 1 -15 2 -16 2 -15 2 -15 3 -16 3 -15 3 -15 4 -15 4 -15 4 -15 5 -15 5 -15 5 -15 5 -15 6 -15 6 -14 6 -14 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-55,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,185650,0,239,0,0,0.583608,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -15 -17 -15 -17 -13 -18 -13 -19 -12 -18 -12 -18 -11 -19 -11 -19 -10 -19 -10 -19 -10 -20 -10 -20 -8 -19 -9 -19 -8 -19 -8 -19 -7 -18 -7 -18 -8 -18 -7 -17 -7 -18 -7 -17 -7 -17 -7 -16 -7 -17 -7 -16 0 0 -8 -16 -8 -16 -8 -15 -8 -15 -8 -14 -8 -15 -8 -14 -9 -14 -9 -14 -9 -13 -10 -13 -10 -13 -10 -12 -11 -13 -10 -12 -11 -12 -11 -12 -12 -12 -12 -11 -12 -11 -12 -11 -12 -11 -12 -11 -13 -10 -13 -11 -13 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,0,0,0,0,-92,0,6,1,2092289,0,82,0,0,2.49051,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -5 18 -6 18 -6 17 -8 17 -7 17 -7 16 -8 16 -8 16 -9 16 -9 15 -9 15 -9 15 -10 15 -10 15 -10 14 -10 14 -10 13 -9 13 -9 13 -9 13 -9 13 -9 13 -8 12 -8 12 -9 12 -8 12 0 0 -7 12 -7 12 -7 12 -6 12 -6 12 -6 12 -6 12 -5 12 -5 13 -4 12 -4 12 -4 12 -3 13 -3 13 -3 12 -2 13 -2 13 -2 13 -2 13 -1 13 -1 13 -1 14 -1 13 -1 13 -1 13 0 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-47,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2092414,0,37,0,0,2.52246,128,[37 80 2 0 0 0 0 0 0 0 0 0 5 25 3 24 3 26 4 26 2 25 0 23 0 23 -1 23 -1 24 -1 23 0 24 -1 26 -1 24 -1 24 -2 22 -2 24 -3 21 -4 20 -3 19 -3 19 -3 19 -3 21 -3 18 -1 18 0 21 0 20 0 0 0 20 0 20 1 20 1 19 1 16 2 18 2 19 1 17 3 19 2 17 3 18 3 17 4 18 4 19 3 18 4 18 6 19 5 17 4 17 5 17 5 17 6 18 7 17 7 17 7 17 7 17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-46,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2411601,0,37,0,0,2.80964,128,[37 80 2 0 0 0 0 0 0 0 0 0 -18 -18 -17 -19 -18 -20 -19 -20 -17 -20 -14 -19 -15 -20 -13 -19 -14 -21 -13 -21 -14 -22 -15 -23 -13 -22 -13 -21 -11 -20 -14 -22 -10 -21 -10 -20 -10 -19 -10 -19 -10 -18 -11 -20 -9 -18 -11 -18 -13 -20 -12 -18 0 0 -13 -18 -13 -18 -13 -18 -13 -17 -11 -15 -14 -16 -14 -16 -13 -15 -15 -16 -13 -15 -14 -16 -13 -14 -14 -14 -14 -15 -14 -15 -15 -15 -16 -15 -15 -14 -15 -13 -15 -13 -15 -13 -16 -14 -16 -13 -17 -13 -16 -13 -16 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,7,1,1,1,1,0,0,0,-92,3,6,1,2413803,0,110,0,0,2.85006,384,[110 96 6 0 0 0 0 0 0 0 0 0 -24 -2 -23 -3 -24 -4 -24 -5 -23 -5 -22 -6 -22 -6 -22 -7 -22 -8 -22 -8 -22 -7 -22 -7 -21 -8 -21 -8 -21 -8 -20 -9 -19 -8 -19 -8 -19 -8 -19 -8 -18 -8 -19 -8 -18 -7 -18 -6 -19 -7 -18 -6 0 0 -18 -6 -18 -5 -17 -5 -18 -5 -18 -4 -17 -4 -18 -4 -17 -3 -17 -4 -17 -2 -18 -1 -17 -1 -18 -1 -18 -1 -17 0 -17 0 -18 1 -17 1 -17 1 -17 1 -17 1 -18 2 -18 2 -17 3 -17 3 -17 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2430892,0,110,0,0,2.89377,384,[110 96 6 0 0 0 0 0 0 0 0 0 -10 -16 -9 -16 -9 -17 -8 -17 -8 -17 -7 -17 -6 -17 -6 -17 -6 -18 -5 -17 -5 -18 -5 -18 -5 -17 -4 -17 -4 -17 -4 -17 -3 -17 -4 -16 -4 -16 -3 -16 -3 -16 -3 -16 -4 -15 -3 -15 -3 -16 -4 -15 0 0 -4 -15 -4 -15 -4 -14 -4 -14 -4 -14 -4 -14 -5 -14 -5 -14 -5 -14 -6 -13 -6 -13 -6 -13 -6 -13 -7 -13 -7 -13 -7 -13 -7 -13 -7 -13 -7 -12 -7 -13 -8 -13 -7 -13 -8 -12 -9 -13 -9 -13 -9 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,1,0,0,0,-92,3,6,1,2677056,0,110,0,0,3.07493,384,[110 96 6 0 0 0 0 0 0 0 0 0 19 -8 19 -8 19 -7 20 -6 19 -6 20 -5 20 -5 19 -4 20 -4 19 -3 19 -2 20 -2 19 -2 19 -2 19 -1 18 -1 18 -1 17 -1 17 -1 17 -1 17 -1 17 -2 16 -1 16 -1 16 -1 16 -2 0 0 16 -2 15 -2 15 -3 15 -3 15 -3 14 -3 14 -4 14 -4 14 -4 14 -4 14 -5 14 -5 14 -5 14 -6 13 -6 13 -6 13 -7 13 -7 12 -7 12 -7 12 -7 13 -8 13 -8 13 -9 12 -8 12 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2775386,0,110,0,0,3.17322,384,[110 96 6 0 0 0 0 0 0 0 0 0 19 -10 19 -9 20 -8 21 -8 20 -7 20 -6 20 -6 20 -6 20 -5 20 -5 20 -4 20 -4 20 -3 20 -3 19 -3 19 -2 18 -2 18 -2 18 -2 18 -2 17 -2 18 -2 17 -3 17 -2 17 -2 16 -3 0 0 16 -3 16 -3 16 -3 15 -4 15 -4 15 -4 16 -4 14 -5 15 -5 14 -5 14 -6 14 -6 14 -6 14 -7 14 -6 13 -7 14 -7 13 -8 13 -8 13 -8 13 -8 13 -8 13 -9 13 -9 13 -9 13 -9 0 0 0 0 0 0 0 0 0 0 ]
