type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,78:21:84:7E:97:F9,-46,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,59079,0,131,0,0,0.459296,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -21 15 -21 13 -22 14 -23 14 -23 12 -21 10 -22 11 -22 9 -23 10 -23 9 -23 10 -24 10 -23 9 -23 9 -21 7 -24 9 -22 7 -21 6 -20 6 -20 7 -20 7 -21 8 -18 6 -18 8 -20 9 -19 9 0 0 -19 9 -19 10 -18 10 -18 10 -16 8 -16 10 -17 11 -16 10 -16 12 -16 10 -16 12 -15 11 -15 12 -15 13 -15 11 -15 12 -15 14 -13 12 -14 13 -13 14 -13 14 -14 15 -13 15 -12 15 -13 15 -12 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,63341,0,135,0,0,0.493959,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -20 -5 -21 -6 -20 -6 -20 -7 -19 -8 -19 -8 -19 -9 -18 -9 -19 -9 -18 -9 -17 -10 -18 -10 -17 -10 -16 -10 -17 -10 -16 -10 -16 -10 -15 -9 -16 -9 -15 -9 -15 -9 -15 -9 -14 -9 -14 -8 -15 -9 -14 -9 0 0 -14 -8 -14 -7 -14 -7 -14 -7 -14 -6 -14 -6 -14 -5 -14 -5 -14 -5 -14 -4 -14 -4 -14 -3 -14 -3 -15 -3 -14 -3 -15 -3 -15 -2 -15 -2 -15 -1 -15 -1 -15 -1 -15 -1 -15 0 -15 0 -15 0 -15 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-55,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,182085,0,239,0,0,0.581803,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 9 -19 9 -19 10 -19 10 -19 11 -18 11 -18 11 -17 12 -17 12 -17 13 -16 13 -15 14 -15 14 -15 13 -14 13 -14 13 -15 12 -13 12 -13 12 -13 12 -13 11 -13 12 -13 11 -12 12 -12 12 -12 11 -13 0 0 10 -13 9 -12 9 -13 9 -13 8 -12 8 -13 8 -13 8 -13 7 -13 7 -13 7 -13 7 -13 7 -14 6 -14 5 -14 5 -14 5 -14 4 -14 4 -14 4 -15 4 -15 3 -15 4 -15 3 -16 3 -15 3 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-48,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2084802,0,37,0,0,2.48484,128,[37 80 2 0 0 0 0 0 0 0 0 0 -18 17 -18 16 -19 17 -20 17 -20 15 -19 13 -19 14 -19 13 -20 14 -21 12 -21 12 -23 12 -21 11 -21 11 -19 10 -21 13 -19 10 -19 10 -18 9 -17 10 -17 10 -18 11 -17 8 -17 9 -18 11 -17 11 0 0 -16 12 -16 13 -15 13 -15 13 -13 11 -13 13 -13 14 -12 13 -12 15 -13 13 -13 14 -12 12 -12 14 -12 14 -12 14 -11 15 -11 16 -11 15 -10 15 -10 15 -9 16 -10 17 -10 16 -10 16 -10 16 -9 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,0,0,0,0,-91,0,6,1,2085014,0,82,0,0,2.52045,384,[82 -96 4 0 0 0 0 0 0 0 0 0 13 17 13 18 12 18 11 19 10 19 10 18 9 19 9 19 9 19 8 19 8 19 8 20 7 19 6 19 7 19 6 19 5 18 6 18 5 17 6 17 5 17 5 17 5 17 5 16 5 17 6 16 0 0 6 15 6 15 6 14 7 14 6 14 7 13 7 14 8 13 8 13 8 13 8 13 8 13 9 12 10 12 10 12 10 12 10 11 10 11 11 11 11 10 11 11 11 10 12 11 12 10 12 10 11 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-48,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2394091,0,37,0,0,2.79393,128,[37 80 2 0 0 0 0 0 0 0 0 0 -17 19 -18 18 -19 18 -20 20 -19 16 -19 15 -19 15 -19 14 -20 14 -20 13 -20 15 -21 16 -20 15 -20 14 -20 12 -21 14 -20 11 -19 10 -19 11 -18 11 -18 11 -19 11 -16 9 -17 12 -18 13 -17 13 0 0 -17 13 -16 13 -16 14 -15 13 -14 12 -14 14 -15 14 -13 13 -14 15 -13 13 -14 15 -12 14 -13 15 -13 16 -13 14 -13 15 -12 16 -12 16 -12 16 -11 16 -11 16 -12 17 -10 16 -10 17 -10 17 -10 17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,6,1,1,1,1,0,0,0,-91,2,6,1,2401009,0,110,0,0,2.82989,384,[110 96 6 0 0 0 0 0 0 0 0 0 20 7 20 8 19 8 19 10 19 10 18 10 18 11 17 12 17 12 17 12 17 12 17 12 16 12 15 12 14 13 16 13 14 12 14 12 13 12 13 12 13 12 13 12 13 11 13 11 13 11 13 11 0 0 13 11 13 10 13 9 13 9 12 9 13 9 13 9 13 8 13 9 13 7 14 7 13 7 13 7 14 7 14 6 14 5 14 6 14 5 15 6 14 5 15 5 15 5 15 4 15 3 15 3 15 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-58,11,1,7,1,1,1,1,0,0,0,-91,1,6,1,2401468,0,110,0,0,2.86756,384,[110 96 6 0 0 0 0 0 0 0 0 0 7 18 6 18 5 19 5 19 4 19 4 18 3 19 2 18 2 19 2 18 1 19 1 19 1 18 1 18 0 18 0 18 0 17 0 17 -1 17 -1 16 0 16 -1 16 0 15 -1 15 0 16 0 15 0 0 0 15 0 15 0 15 1 14 1 14 1 14 1 14 2 13 2 14 3 14 3 14 3 13 3 13 4 13 4 13 4 13 4 14 5 13 5 13 5 13 5 13 5 13 6 13 6 13 6 13 7 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,6,1,1,1,1,0,0,0,-91,1,6,1,2401732,0,110,0,0,2.90357,384,[110 96 6 0 0 0 0 0 0 0 0 0 -22 4 -22 4 -23 3 -23 2 -23 1 -22 0 -22 0 -22 0 -22 -1 -22 -1 -22 -2 -22 -2 -21 -2 -21 -3 -21 -3 -21 -3 -20 -3 -20 -3 -20 -3 -20 -3 -19 -3 -19 -3 -18 -3 -18 -3 -19 -3 -18 -2 0 0 -18 -2 -17 -1 -17 -1 -17 -1 -17 -1 -17 -1 -17 0 -16 0 -17 0 -16 1 -16 2 -16 2 -16 2 -16 3 -16 2 -16 3 -16 4 -16 4 -16 4 -15 4 -16 4 -16 5 -16 5 -16 6 -16 5 -16 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,5,1,1,1,1,0,0,0,-91,1,6,1,2401988,0,110,0,0,2.94584,384,[110 96 6 0 0 0 0 0 0 0 0 0 -2 -20 -1 -20 0 -21 1 -21 1 -21 1 -20 2 -20 3 -19 3 -20 3 -20 4 -20 4 -20 4 -19 4 -19 4 -18 4 -19 4 -17 4 -18 4 -17 5 -17 4 -17 5 -17 4 -17 3 -17 4 -17 3 -16 0 0 3 -16 3 -16 2 -16 1 -16 2 -15 2 -16 2 -16 1 -15 0 -16 -1 -16 -1 -15 -1 -15 -1 -15 -1 -15 -2 -16 -3 -15 -3 -16 -3 -15 -3 -15 -4 -15 -3 -15 -4 -15 -4 -16 -5 -15 -5 -16 -5 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,4,1,1,1,1,0,0,0,-91,1,6,1,2402317,0,110,0,0,2.98769,384,[110 96 6 0 0 0 0 0 0 0 0 0 -18 -10 -18 -10 -18 -11 -18 -12 -17 -13 -16 -12 -16 -13 -15 -13 -15 -14 -14 -14 -15 -14 -15 -15 -14 -14 -14 -14 -13 -14 -15 -15 -13 -14 -12 -14 -12 -13 -12 -14 -11 -14 -12 -14 -11 -14 -12 -13 -13 -13 -12 -12 0 0 -12 -13 -12 -11 -12 -11 -13 -11 -12 -11 -13 -11 -13 -11 -13 -10 -13 -10 -13 -9 -13 -9 -13 -8 -14 -8 -14 -8 -14 -8 -14 -7 -15 -7 -14 -6 -14 -7 -14 -6 -15 -7 -15 -6 -15 -7 -16 -5 -15 -6 -15 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-54,11,1,1,1,1,1,1,0,0,0,-91,1,6,1,2432749,0,110,0,0,3.03546,384,[110 96 6 0 0 0 0 0 0 0 0 0 18 -3 18 -3 18 -3 20 -2 18 -1 18 0 18 1 17 1 17 2 17 2 18 2 18 2 18 2 18 3 17 3 18 2 16 3 15 3 16 2 15 3 15 4 16 3 14 4 15 2 16 3 15 2 0 0 15 2 15 0 15 1 14 0 15 1 15 0 15 0 14 0 15 -1 13 -2 14 -3 13 -2 14 -2 14 -3 13 -3 14 -4 15 -4 13 -5 13 -4 12 -5 13 -4 13 -5 13 -5 13 -7 13 -5 13 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-53,11,1,0,1,1,1,1,0,0,0,-91,1,6,1,2433093,0,110,0,0,3.0731,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -17 0 -17 0 -18 2 -19 2 -17 3 -16 3 -17 3 -15 3 -16 4 -15 5 -18 5 -18 5 -17 6 -16 6 -15 5 -17 5 -15 5 -14 5 -14 5 -13 6 -14 6 -15 6 -12 6 -14 6 -16 4 -14 0 0 4 -15 3 -14 3 -16 2 -14 4 -14 3 -14 4 -15 3 -13 2 -15 0 -12 0 -14 2 -13 1 -14 0 -14 0 -13 -2 -14 -1 -16 -2 -13 -2 -14 -3 -13 -1 -14 -2 -14 -2 -14 -3 -14 -1 -14 -3 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-53,11,1,0,1,1,1,1,0,0,0,-91,1,6,1,2637881,0,110,0,0,3.1144,384,[110 96 6 0 0 0 0 0 0 0 0 0 -9 -17 -8 -16 -9 -18 -8 -20 -7 -18 -5 -17 -6 -18 -4 -17 -5 -18 -3 -18 -4 -20 -4 -20 -4 -19 -2 -19 -2 -17 -4 -20 -3 -17 -2 -17 -2 -16 -2 -16 -1 -16 -2 -17 0 -16 -1 -16 -2 -19 -2 -16 0 0 -3 -17 -4 -16 -5 -17 -6 -16 -2 -16 -4 -16 -4 -16 -4 -15 -5 -15 -6 -13 -7 -14 -4 -14 -6 -14 -7 -13 -7 -14 -9 -13 -9 -15 -9 -12 -9 -12 -9 -11 -8 -13 -9 -13 -9 -13 -10 -12 -8 -13 -9 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-54,11,1,2,1,1,1,1,0,0,0,-91,1,6,1,2720940,0,110,0,0,3.15896,384,[110 96 6 0 0 0 0 0 0 0 0 0 6 -17 7 -17 7 -18 9 -18 9 -17 8 -15 9 -15 9 -14 10 -15 10 -15 10 -15 11 -16 11 -15 11 -15 11 -13 11 -15 10 -13 10 -12 10 -12 10 -12 11 -12 11 -13 10 -11 9 -12 11 -14 9 -13 0 0 9 -13 8 -13 9 -13 7 -13 8 -12 8 -13 8 -13 7 -13 7 -14 4 -13 5 -14 5 -13 5 -14 4 -14 5 -13 3 -14 4 -15 2 -14 3 -14 2 -13 3 -14 3 -14 2 -15 1 -15 2 -15 1 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-54,11,1,1,1,1,1,1,0,0,0,-91,1,6,1,2721201,0,110,0,0,3.20044,384,[110 96 6 0 0 0 0 0 0 0 0 0 14 11 14 11 14 11 13 13 12 12 11 12 12 13 11 13 11 14 10 13 10 15 11 15 10 14 9 15 8 14 10 15 8 14 8 13 8 13 8 13 7 13 8 13 7 13 8 12 9 14 8 12 0 0 9 12 9 11 10 12 10 10 8 11 9 11 10 11 9 9 11 10 9 8 11 8 9 9 10 9 11 8 11 8 12 7 12 8 12 6 12 6 12 5 12 6 12 6 12 6 13 5 12 7 12 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-53,11,1,0,1,1,1,1,0,0,0,-91,1,6,1,2721591,0,110,0,0,3.23742,384,[110 96 6 0 0 0 0 0 0 0 0 0 -18 -6 -18 -7 -18 -7 -19 -9 -17 -8 -15 -9 -16 -10 -14 -10 -15 -10 -14 -10 -16 -12 -17 -12 -16 -12 -15 -12 -13 -12 -16 -13 -14 -12 -11 -12 -12 -11 -11 -11 -11 -12 -12 -12 -10 -12 -12 -11 -14 -13 -13 -11 0 0 -13 -12 -13 -10 -14 -11 -13 -9 -11 -11 -13 -10 -13 -11 -12 -9 -13 -9 -12 -6 -14 -7 -12 -8 -13 -8 -13 -6 -13 -7 -15 -6 -15 -7 -14 -5 -14 -5 -13 -4 -14 -6 -14 -6 -15 -5 -15 -4 -14 -6 -14 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,4,1,1,1,1,0,0,0,-91,1,6,1,2721998,0,110,0,0,3.28435,384,[110 96 6 0 0 0 0 0 0 0 0 0 18 -8 18 -8 18 -8 19 -7 19 -6 18 -5 19 -4 18 -4 19 -3 18 -4 19 -3 19 -3 19 -2 19 -2 18 -2 19 -2 17 -1 17 -1 17 -2 17 -1 16 -1 17 -1 16 0 16 -1 17 -1 16 -2 0 0 16 -2 15 -3 15 -3 15 -3 15 -2 15 -3 15 -3 14 -4 15 -4 13 -5 14 -5 13 -5 14 -6 14 -6 14 -6 13 -7 14 -7 13 -7 13 -7 12 -8 13 -7 13 -8 13 -8 12 -9 13 -8 12 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-54,11,1,1,1,1,1,1,0,0,0,-91,1,6,1,2761751,0,110,0,0,3.32455,384,[110 96 6 0 0 0 0 0 0 0 0 0 12 -14 12 -13 13 -14 15 -13 15 -12 13 -10 15 -10 14 -9 15 -10 15 -9 16 -10 17 -10 16 -9 16 -9 16 -7 16 -9 14 -7 15 -7 14 -7 15 -6 15 -5 15 -7 14 -5 14 -7 15 -7 13 -7 0 0 14 -7 13 -9 13 -9 13 -9 13 -7 13 -8 13 -8 12 -8 12 -9 10 -9 10 -10 10 -9 11 -10 10 -10 10 -10 9 -10 11 -12 8 -11 9 -10 8 -11 9 -11 9 -11 9 -12 8 -13 9 -11 8 -12 0 0 0 0 0 0 0 0 0 0 ]
