type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,58:BF:25:17:9A:5C,-57,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1195268,0,157,0,0,1.57667,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -15 -18 -15 -19 -13 -19 -14 -20 -12 -20 -12 -20 -11 -20 -10 -20 -10 -21 -10 -20 -9 -20 -9 -21 -9 -20 -8 -20 -8 -20 -7 -20 -7 -19 -7 -18 -7 -19 -7 -18 -7 -18 -7 -18 -6 -17 -7 -17 -7 -17 -7 -17 0 0 -8 -15 -7 -15 -8 -16 -8 -15 -8 -15 -9 -14 -9 -14 -9 -14 -9 -13 -10 -13 -10 -13 -10 -13 -11 -13 -11 -13 -10 -12 -12 -12 -11 -11 -11 -11 -12 -11 -12 -11 -12 -11 -13 -11 -13 -10 -13 -10 -13 -10 -13 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-57,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1285279,0,135,0,0,1.66644,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -23 -2 -23 -3 -24 -3 -23 -5 -23 -6 -22 -6 -22 -6 -22 -7 -22 -7 -21 -8 -21 -8 -21 -8 -20 -9 -20 -9 -20 -9 -20 -9 -18 -8 -18 -8 -18 -8 -18 -9 -17 -9 -18 -9 -17 -8 -17 -7 -17 -8 -17 -7 0 0 -16 -6 -16 -6 -16 -6 -17 -5 -16 -5 -16 -5 -16 -5 -16 -4 -16 -3 -16 -3 -16 -2 -16 -2 -16 -2 -16 -1 -16 0 -17 0 -16 -1 -16 0 -16 0 -16 1 -16 1 -17 1 -17 1 -16 2 -16 3 -16 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-57,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1341174,0,390,0,0,1.72225,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -9 -21 -9 -22 -8 -22 -7 -22 -6 -23 -5 -23 -4 -22 -4 -22 -3 -23 -4 -22 -3 -22 -3 -23 -3 -21 -2 -21 -2 -21 -2 -21 -1 -20 -2 -20 -2 -19 -1 -19 -1 -19 -2 -19 -2 -18 -2 -18 -2 -18 -2 -17 0 0 -3 -17 -3 -17 -3 -17 -4 -16 -4 -16 -4 -16 -4 -16 -5 -16 -5 -16 -6 -15 -6 -15 -6 -14 -7 -14 -8 -15 -7 -14 -8 -14 -9 -15 -8 -14 -8 -14 -9 -14 -9 -14 -10 -14 -10 -14 -11 -13 -10 -13 -10 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-57,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1403751,0,390,0,0,1.78461,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -16 17 -16 16 -17 15 -17 14 -18 14 -17 14 -18 13 -18 12 -18 12 -18 11 -18 12 -18 11 -18 10 -18 10 -18 9 -19 9 -17 9 -17 9 -17 8 -17 8 -17 7 -17 7 -16 8 -15 8 -15 8 -15 9 0 0 -15 8 -14 8 -13 9 -14 9 -13 8 -13 8 -13 9 -12 9 -12 10 -12 10 -12 11 -11 10 -11 11 -10 11 -11 11 -10 11 -10 12 -10 12 -10 12 -9 12 -9 12 -9 12 -9 13 -7 13 -8 13 -8 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1450267,0,82,0,0,1.83118,384,[82 -96 4 0 0 0 0 0 0 0 0 0 22 2 21 3 22 3 22 5 22 5 21 6 20 6 19 7 20 7 20 7 19 8 19 9 18 9 18 8 17 9 17 9 16 8 16 8 16 8 16 8 16 9 16 8 15 8 15 7 15 8 15 7 0 0 14 6 15 7 15 6 14 5 15 5 15 5 14 5 14 4 14 4 14 4 14 3 14 3 15 2 15 2 15 2 15 2 15 1 15 0 15 0 15 0 15 0 15 0 15 0 15 -1 15 -1 15 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1835998,0,82,0,0,2.21696,384,[82 -96 4 0 0 0 0 0 0 0 0 0 6 19 6 20 5 20 4 20 4 20 3 20 2 19 2 20 1 20 1 19 0 20 0 19 0 19 0 19 0 19 -1 18 0 18 0 17 0 17 0 17 0 16 0 17 -1 16 0 15 0 16 0 16 0 0 1 16 1 15 1 15 2 15 2 15 2 14 2 14 3 14 2 14 3 14 3 14 4 14 4 14 5 14 4 13 5 14 6 13 6 13 6 13 6 13 7 13 7 13 7 13 8 13 7 13 8 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1837561,0,82,0,0,2.24406,384,[82 -96 4 0 0 0 0 0 0 0 0 0 13 -15 14 -14 14 -16 16 -14 16 -13 18 -13 17 -12 16 -11 16 -11 17 -10 18 -10 17 -8 17 -8 17 -8 17 -8 16 -9 15 -8 16 -8 16 -8 16 -8 15 -8 15 -8 15 -8 14 -7 15 -7 14 -8 0 0 14 -8 13 -8 13 -8 13 -9 12 -8 13 -9 12 -9 12 -10 11 -10 10 -9 10 -10 11 -10 11 -10 10 -10 11 -11 9 -11 11 -12 10 -12 9 -12 9 -13 9 -12 8 -13 10 -13 9 -13 9 -13 8 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,2336115,0,82,0,0,2.71703,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -16 -15 -15 -16 -15 -17 -14 -17 -13 -17 -12 -17 -12 -17 -12 -17 -11 -18 -11 -18 -10 -18 -10 -18 -10 -18 -10 -18 -9 -17 -9 -18 -8 -17 -9 -17 -8 -16 -8 -16 -8 -16 -8 -17 -8 -15 -8 -15 -8 -15 -8 -14 0 0 -8 -14 -9 -14 -9 -14 -9 -13 -9 -13 -9 -13 -9 -13 -10 -13 -9 -12 -10 -12 -10 -11 -11 -11 -11 -11 -11 -11 -11 -11 -12 -11 -12 -11 -12 -10 -12 -10 -12 -10 -12 -10 -13 -10 -13 -10 -14 -9 -13 -10 -13 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,2836063,0,82,0,0,3.21702,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -21 -4 -21 -4 -21 -5 -21 -6 -21 -7 -19 -7 -20 -7 -19 -8 -19 -8 -19 -9 -18 -8 -18 -9 -18 -9 -18 -10 -17 -9 -17 -9 -16 -9 -16 -9 -16 -9 -16 -9 -16 -9 -16 -9 -15 -8 -15 -8 -15 -8 -15 -7 0 0 -15 -7 -15 -7 -15 -6 -15 -6 -15 -5 -15 -6 -15 -5 -15 -5 -15 -4 -15 -3 -15 -3 -15 -3 -15 -3 -15 -2 -14 -2 -15 -2 -15 -2 -15 -1 -15 -1 -16 0 -15 0 -16 0 -16 1 -16 1 -15 1 -15 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-59,11,1,7,1,1,1,0,0,0,1,-91,0,6,1,3092416,0,82,0,0,3.47333,384,[82 -96 4 0 0 0 0 0 0 0 0 0 17 -10 18 -9 19 -8 19 -7 19 -7 19 -7 18 -6 18 -6 18 -5 19 -4 18 -4 18 -4 18 -3 18 -3 18 -3 17 -3 17 -3 16 -3 17 -2 17 -2 17 -2 16 -2 15 -3 15 -3 16 -3 15 -3 0 0 15 -3 15 -3 14 -3 14 -4 14 -4 14 -4 14 -4 13 -5 13 -5 13 -6 13 -6 12 -6 12 -6 13 -7 12 -7 13 -8 13 -8 12 -8 12 -8 11 -9 12 -8 12 -9 12 -9 12 -9 11 -9 11 -10 0 0 0 0 0 0 0 0 0 0 ]
