type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-53,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,70697,0,131,0,0,0.461284,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -21 -10 -20 -11 -22 -12 -23 -13 -21 -14 -18 -14 -20 -14 -18 -14 -20 -15 -19 -17 -21 -17 -21 -18 -20 -17 -19 -17 -17 -16 -21 -18 -17 -17 -15 -17 -15 -17 -16 -16 -15 -16 -17 -17 -14 -16 -16 -16 -18 -17 -17 -16 0 0 -17 -15 -18 -15 -18 -14 -17 -14 -15 -12 -17 -13 -17 -12 -16 -12 -17 -11 -16 -12 -17 -12 -15 -10 -15 -10 -16 -10 -15 -10 -16 -9 -17 -8 -16 -8 -15 -7 -16 -6 -16 -6 -16 -5 -16 -5 -17 -4 -15 -4 -15 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,72400,0,135,0,0,0.501089,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -18 3 -17 3 -19 2 -19 1 -19 1 -19 0 -19 0 -19 -1 -19 0 -20 -1 -19 -1 -20 -2 -19 -2 -19 -2 -19 -3 -19 -3 -19 -3 -19 -3 -18 -4 -18 -3 -18 -3 -18 -3 -18 -3 -17 -3 -18 -3 -17 -2 0 0 -17 -2 -17 -2 -16 0 -16 -1 -16 -1 -16 -1 -15 -1 -15 0 -15 0 -15 0 -14 1 -14 1 -13 2 -13 2 -13 2 -13 3 -13 3 -12 4 -12 3 -11 5 -12 4 -12 5 -11 5 -10 6 -10 6 -10 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,209048,0,239,0,0,0.599175,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -16 8 -16 7 -18 6 -18 6 -18 5 -18 5 -19 5 -19 4 -20 3 -19 3 -19 3 -20 3 -20 2 -20 1 -20 1 -21 3 -18 1 -19 1 -18 2 -18 1 -19 1 -18 1 -18 2 -17 1 -18 1 -17 1 0 0 -17 2 -16 2 -15 2 -16 3 -16 2 -15 3 -15 2 -15 3 -14 3 -14 4 -14 4 -13 4 -13 4 -13 5 -12 5 -12 6 -12 6 -11 6 -11 6 -10 7 -11 7 -10 7 -10 7 -9 8 -9 8 -8 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,0,0,0,0,0,0,0,0,0,-90,0,6,1,2083713,0,37,0,0,2.47411,128,[37 80 2 0 0 0 0 0 0 0 0 0 24 7 24 9 25 9 27 10 24 11 23 12 24 13 21 14 23 14 22 15 26 15 26 16 24 15 24 15 21 16 25 17 20 17 18 17 20 17 19 17 18 17 20 18 16 16 20 15 22 16 21 16 0 0 20 15 20 15 21 14 19 13 18 13 19 13 20 13 17 12 19 12 17 11 20 10 17 9 18 8 18 10 17 9 18 8 19 7 18 7 18 6 17 6 17 5 18 4 18 3 19 2 18 2 17 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-66,11,1,7,1,1,1,0,0,0,0,-90,0,6,1,2084453,0,82,0,0,2.50415,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -7 13 -7 12 -8 13 -8 12 -8 12 -9 12 -9 12 -10 12 -10 12 -11 11 -11 12 -12 11 -11 11 -12 11 -11 10 -12 11 -12 10 -12 10 -11 9 -11 9 -11 10 -12 10 -12 9 -11 9 -12 9 -11 9 0 0 -11 9 -10 9 -9 9 -10 9 -9 8 -9 8 -9 9 -9 8 -8 8 -7 9 -7 9 -7 9 -6 9 -6 9 -6 9 -5 9 -5 9 -4 9 -4 9 -4 9 -4 9 -4 9 -3 10 -2 9 -2 10 -2 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-57,11,0,0,0,0,0,0,0,0,0,-90,0,6,1,2407458,0,37,0,0,2.79764,128,[37 80 2 0 0 0 0 0 0 0 0 0 -20 -12 -20 -14 -21 -14 -24 -15 -20 -15 -19 -17 -20 -16 -18 -17 -19 -18 -18 -18 -21 -19 -21 -21 -20 -20 -19 -20 -17 -20 -20 -21 -17 -21 -14 -20 -15 -20 -16 -20 -15 -19 -16 -20 -13 -18 -15 -19 -18 -20 -17 -20 0 0 -17 -19 -16 -18 -18 -19 -16 -17 -15 -16 -16 -16 -17 -16 -15 -15 -16 -14 -14 -14 -17 -14 -14 -13 -15 -12 -16 -13 -14 -12 -16 -12 -16 -11 -16 -11 -15 -9 -15 -9 -15 -8 -16 -7 -15 -7 -17 -6 -15 -6 -16 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-67,11,1,7,1,1,1,1,0,0,0,-90,3,6,1,2418279,0,110,0,0,2.83746,384,[110 96 6 0 0 0 0 0 0 0 0 0 3 15 2 15 2 15 1 16 1 16 1 16 0 17 0 16 0 16 -1 17 -2 17 -2 17 -2 17 -3 17 -2 16 -3 17 -3 16 -3 16 -3 15 -3 17 -4 15 -3 16 -5 15 -3 15 -4 15 -4 14 0 0 -3 14 -3 14 -3 14 -3 14 -2 13 -2 13 -2 13 -2 13 -1 12 -2 12 -1 11 -1 12 0 12 0 11 0 11 0 11 1 11 1 10 1 11 2 9 2 10 3 9 3 10 3 9 4 9 4 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-67,11,1,7,1,1,1,1,0,0,0,-90,1,6,1,2419606,0,110,0,0,2.8752,384,[110 96 6 0 0 0 0 0 0 0 0 0 5 16 4 16 5 17 4 17 3 18 3 18 3 18 2 18 1 19 2 19 0 19 0 20 0 19 0 19 0 19 -1 19 -1 18 -1 19 -1 19 -1 18 0 19 -2 18 -1 18 -1 18 -1 18 -2 17 0 0 -2 17 -1 17 -1 17 -1 15 0 15 0 15 0 15 1 15 0 14 1 14 1 14 2 13 2 13 2 13 2 12 3 12 3 12 4 11 4 10 4 10 5 11 5 10 6 9 6 9 6 9 7 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-67,11,1,7,1,1,1,1,0,0,0,-90,1,6,1,2610609,0,110,0,0,3.00059,384,[110 96 6 0 0 0 0 0 0 0 0 0 11 9 11 10 12 11 11 12 11 12 10 12 10 13 9 13 10 14 10 14 9 14 9 15 9 15 9 15 8 14 8 16 7 14 8 15 7 14 7 15 6 14 7 15 7 14 7 14 7 14 6 14 0 0 6 13 6 14 7 13 7 13 7 12 6 12 6 12 7 11 6 12 7 10 8 10 8 10 7 10 8 9 7 9 7 8 9 9 8 8 8 7 8 7 8 7 8 7 9 6 10 5 9 6 9 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-66,11,1,6,1,1,1,1,0,0,0,-90,1,6,1,2689061,0,110,0,0,3.07903,384,[110 96 6 0 0 0 0 0 0 0 0 0 -15 -2 -15 -2 -16 -3 -17 -3 -17 -4 -16 -4 -16 -4 -16 -5 -16 -5 -17 -6 -16 -6 -17 -7 -16 -7 -17 -8 -16 -7 -17 -8 -16 -7 -16 -8 -16 -8 -17 -8 -15 -8 -15 -8 -15 -8 -15 -8 -15 -9 -15 -8 0 0 -15 -8 -14 -7 -15 -7 -15 -6 -14 -7 -14 -6 -14 -6 -13 -6 -14 -6 -14 -5 -13 -4 -13 -5 -13 -4 -13 -3 -13 -3 -12 -3 -13 -2 -12 -2 -12 -1 -12 -1 -12 -1 -12 0 -12 0 -11 1 -12 1 -11 1 0 0 0 0 0 0 0 0 0 0 ]
