type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-54,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,73955,0,131,0,0,0.464924,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -11 17 -12 17 -13 19 -14 20 -14 18 -15 17 -16 17 -17 15 -17 17 -18 15 -19 18 -20 18 -19 17 -20 17 -19 14 -21 18 -20 14 -20 12 -20 13 -20 13 -20 13 -20 14 -18 11 -19 14 -20 16 -20 16 0 0 -19 15 -19 16 -18 17 -17 14 -17 13 -16 15 -17 16 -16 13 -15 16 -15 13 -16 16 -13 14 -13 15 -14 15 -13 14 -12 15 -12 16 -11 15 -11 16 -10 15 -10 15 -9 16 -8 15 -7 17 -7 16 -7 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,74428,0,135,0,0,0.500684,384,[-121 112 8 0 0 0 0 0 0 0 0 0 12 6 12 6 12 8 12 8 13 8 12 9 12 9 12 10 13 10 12 11 12 11 11 12 12 12 10 13 11 13 10 13 10 14 9 13 9 13 9 13 9 13 9 13 9 13 9 12 9 13 9 12 0 0 9 12 9 12 9 12 9 11 8 11 8 11 9 11 8 11 8 9 9 9 9 9 9 9 9 8 9 8 9 8 9 8 9 7 9 6 9 6 10 6 10 6 10 5 10 5 10 4 10 4 11 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-55,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,192530,0,239,0,0,0.583302,128,[-17 -16 14 0 0 0 0 0 0 0 0 0 -8 10 -8 10 -9 11 -9 12 -10 11 -10 10 -10 10 -11 9 -11 10 -12 9 -12 11 -13 11 -13 11 -13 10 -12 9 -14 11 -13 8 -13 7 -13 7 -13 8 -12 8 -13 8 -12 6 -12 8 -13 9 -13 9 0 0 -12 9 -12 9 -12 9 -11 9 -10 8 -11 9 -11 9 -10 8 -10 9 -10 8 -10 9 -9 8 -8 9 -9 9 -8 8 -8 9 -8 10 -7 9 -7 8 -6 9 -6 9 -5 9 -5 10 -4 10 -4 9 -4 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2095852,0,37,0,0,2.48663,128,[37 80 2 0 0 0 0 0 0 0 0 0 11 -15 11 -14 13 -16 14 -17 14 -15 14 -13 16 -14 15 -13 17 -14 18 -14 19 -16 20 -15 20 -15 20 -14 19 -12 22 -15 20 -11 20 -10 20 -10 21 -11 21 -10 23 -11 20 -8 21 -11 23 -12 22 -12 0 0 21 -12 22 -12 21 -12 20 -11 18 -9 19 -11 21 -11 19 -10 19 -11 19 -10 19 -13 16 -10 16 -12 17 -11 17 -10 16 -11 17 -13 15 -12 14 -11 14 -12 14 -12 13 -13 12 -13 12 -14 11 -13 11 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-66,11,1,7,1,1,1,0,0,0,0,-92,0,6,1,2098246,0,82,0,0,2.52282,384,[82 -96 4 0 0 0 0 0 0 0 0 0 10 5 11 6 11 6 11 7 11 8 11 8 11 9 11 9 11 9 11 10 11 10 10 11 11 11 11 11 10 11 10 13 10 12 10 13 10 12 10 12 9 12 10 12 9 13 9 12 9 12 8 12 0 0 8 12 8 12 8 11 8 11 9 10 8 11 8 10 9 10 10 10 8 10 8 10 9 9 9 9 9 8 9 9 9 8 10 8 10 6 9 6 10 6 10 5 10 5 10 4 10 4 11 4 10 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,7,1,1,1,1,0,0,0,-92,3,6,1,2426621,0,110,0,0,2.81724,384,[110 96 6 0 0 0 0 0 0 0 0 0 0 14 -1 14 -2 13 -2 15 -3 15 -3 14 -3 14 -4 15 -4 14 -4 14 -5 15 -6 14 -6 14 -6 15 -6 14 -7 16 -7 14 -7 15 -7 12 -7 14 -7 14 -8 16 -7 13 -7 13 -8 15 -7 15 0 0 -7 13 -7 13 -7 14 -6 13 -8 13 -7 12 -7 13 -6 13 -6 13 -6 13 -6 13 -5 12 -4 12 -3 12 -4 12 -4 13 -3 12 -2 12 -2 12 -2 11 -1 12 -1 12 0 12 0 12 -1 13 0 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2426779,0,37,0,0,2.84871,128,[37 80 2 0 0 0 0 0 0 0 0 0 18 -4 18 -3 20 -3 21 -3 21 -2 19 -1 21 -1 20 1 21 1 21 1 24 0 24 1 24 1 23 1 21 3 26 2 22 4 21 4 21 4 22 5 21 5 23 4 20 5 22 4 24 3 23 4 0 0 23 4 24 4 23 4 23 3 19 2 21 3 22 3 20 3 22 2 20 4 22 2 19 2 20 1 20 2 19 2 19 1 21 0 19 0 18 0 18 -1 18 -1 18 -2 18 -3 19 -4 17 -3 17 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-66,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2430456,0,110,0,0,2.88535,384,[110 96 6 0 0 0 0 0 0 0 0 0 -9 9 -8 9 -9 9 -10 10 -9 9 -10 9 -10 8 -11 9 -12 9 -11 9 -12 10 -12 8 -13 8 -13 8 -13 8 -14 8 -14 7 -14 7 -14 7 -14 7 -14 6 -14 6 -13 6 -14 6 -14 6 -14 7 0 0 -14 6 -13 6 -14 5 -13 5 -12 6 -13 5 -13 5 -12 5 -12 6 -12 6 -12 6 -11 7 -11 7 -10 7 -11 6 -11 7 -10 6 -10 7 -10 7 -9 7 -9 7 -9 8 -8 8 -8 8 -8 9 -7 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,5,1,1,1,1,0,0,0,-92,1,6,1,2622580,0,110,0,0,3.01297,384,[110 96 6 0 0 0 0 0 0 0 0 0 11 3 11 3 12 3 12 4 12 4 12 5 12 6 12 6 13 6 13 6 12 7 13 8 13 9 13 9 12 9 13 10 12 10 12 9 12 9 12 10 12 11 12 11 11 10 12 10 12 11 11 10 0 0 11 10 12 10 11 10 11 9 10 9 11 10 11 9 11 9 10 8 11 8 11 7 11 8 11 8 12 6 12 6 12 5 13 6 11 6 10 5 8 2 11 5 10 5 13 0 12 3 13 2 13 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-67,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2691161,0,110,0,0,3.08131,384,[110 96 6 0 0 0 0 0 0 0 0 0 -5 9 -6 9 -6 9 -7 9 -7 10 -7 9 -8 9 -8 10 -9 9 -10 9 -10 9 -11 9 -11 9 -11 9 -11 9 -12 9 -12 8 -12 8 -12 8 -12 9 -13 8 -12 8 -13 8 -13 7 -14 7 -13 7 0 0 -13 7 -13 7 -13 7 -13 7 -13 6 -12 7 -13 7 -12 6 -12 6 -12 7 -12 7 -11 7 -10 7 -10 8 -10 7 -10 7 -10 8 -9 8 -9 8 -8 9 -9 9 -8 9 -8 9 -8 9 -8 9 -7 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-67,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2781810,0,110,0,0,3.17218,384,[110 96 6 0 0 0 0 0 0 0 0 0 -13 -6 -13 -7 -13 -6 -13 -7 -13 -8 -13 -8 -13 -9 -12 -10 -13 -11 -13 -11 -13 -12 -13 -13 -13 -12 -12 -13 -12 -14 -12 -14 -12 -14 -11 -14 -11 -14 -11 -16 -11 -14 -10 -15 -10 -15 -10 -15 -11 -16 -10 -14 0 0 -9 -15 -10 -15 -10 -15 -10 -14 -9 -15 -10 -14 -9 -14 -9 -14 -9 -14 -10 -13 -10 -13 -9 -12 -9 -11 -10 -12 -9 -12 -10 -11 -11 -11 -11 -10 -10 -10 -11 -9 -10 -10 -12 -9 -12 -9 -11 -7 -12 -8 -12 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-66,11,1,6,1,1,1,1,0,0,0,-92,1,6,1,2882847,0,110,0,0,3.27327,384,[110 96 6 0 0 0 0 0 0 0 0 0 8 -11 8 -12 8 -11 10 -12 10 -12 10 -12 11 -12 12 -12 13 -12 13 -11 15 -12 15 -11 15 -12 15 -12 15 -12 17 -12 18 -10 16 -9 17 -10 18 -10 18 -9 17 -10 17 -9 16 -9 18 -9 17 -9 0 0 17 -7 16 -8 16 -10 15 -7 16 -7 18 -8 15 -8 14 -8 15 -8 14 -9 14 -8 14 -9 13 -8 12 -10 12 -9 11 -9 12 -9 10 -10 10 -10 9 -9 9 -10 9 -10 8 -11 7 -11 7 -10 7 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-66,11,1,6,1,1,1,1,0,0,0,-92,1,6,1,2980594,0,110,0,0,3.37095,384,[110 96 6 0 0 0 0 0 0 0 0 0 -10 1 -10 0 -12 0 -12 0 -12 0 -12 -1 -12 -1 -12 -1 -13 -2 -14 -2 -14 -3 -14 -3 -14 -3 -15 -3 -15 -4 -16 -4 -14 -4 -14 -4 -15 -6 -15 -6 -15 -5 -15 -6 -15 -6 -14 -6 -15 -7 -14 -6 0 0 -15 -6 -15 -6 -14 -6 -14 -6 -13 -6 -13 -6 -14 -6 -13 -5 -13 -5 -13 -4 -13 -4 -13 -4 -13 -3 -12 -3 -12 -3 -12 -2 -12 -3 -11 -2 -12 -2 -12 -1 -12 -1 -12 0 -11 0 -11 1 -11 0 -11 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,5,1,1,1,1,0,0,0,-92,1,6,1,3077989,0,110,0,0,3.46832,384,[110 96 6 0 0 0 0 0 0 0 0 0 -8 -8 -9 -7 -10 -8 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -9 -10 -10 -11 -9 -12 -9 -12 -10 -12 -9 -13 -9 -12 -10 -14 -8 -13 -8 -14 -9 -14 -8 -14 -8 -14 -9 -15 -7 -15 -8 -15 -8 -16 -8 -15 0 0 -8 -15 -8 -15 -8 -15 -8 -15 -7 -15 -8 -15 -7 -15 -8 -15 -7 -14 -8 -14 -8 -14 -8 -14 -8 -13 -8 -13 -7 -13 -8 -13 -9 -13 -8 -12 -8 -12 -9 -12 -8 -12 -9 -12 -9 -12 -9 -11 -9 -11 -9 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-66,11,1,6,1,1,1,1,0,0,0,-92,1,6,1,3180675,0,110,0,0,3.5711,384,[110 96 6 0 0 0 0 0 0 0 0 0 -10 -4 -10 -4 -10 -5 -11 -5 -11 -5 -11 -6 -12 -6 -10 -7 -11 -7 -12 -8 -12 -8 -12 -9 -13 -9 -12 -10 -12 -9 -12 -11 -11 -10 -12 -10 -11 -10 -11 -11 -10 -11 -11 -12 -11 -12 -12 -12 -11 -13 -11 -12 0 0 -10 -12 -11 -11 -10 -12 -11 -12 -10 -11 -10 -12 -10 -12 -10 -12 -10 -12 -10 -11 -10 -10 -10 -10 -11 -10 -10 -10 -10 -10 -10 -9 -10 -9 -10 -9 -10 -8 -10 -8 -10 -8 -11 -7 -11 -7 -11 -6 -11 -6 -10 -6 0 0 0 0 0 0 0 0 0 0 ]
