type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-52,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,68236,0,131,0,0,0.458358,128,[-125 48 8 0 0 0 0 0 0 0 0 0 9 16 8 15 9 18 9 18 8 18 6 17 7 18 5 18 6 19 4 20 6 21 5 22 4 20 4 20 3 18 6 22 3 18 3 19 2 18 3 19 2 18 3 19 1 17 3 18 4 20 4 19 0 0 5 18 5 19 6 17 6 18 4 15 6 16 6 17 5 16 7 15 5 16 7 16 5 14 7 14 6 14 7 14 8 13 9 14 7 12 8 12 9 12 9 12 9 12 10 12 10 11 10 10 10 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-53,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,72481,0,135,0,0,0.485887,128,[-121 112 8 0 0 0 0 0 0 0 0 0 -15 8 -15 8 -17 8 -17 8 -17 7 -16 6 -17 6 -17 5 -18 6 -18 4 -19 5 -20 4 -19 4 -19 4 -17 3 -20 4 -18 3 -18 2 -17 1 -18 2 -17 2 -18 3 -17 1 -18 3 -18 3 -18 3 0 0 -17 4 -18 4 -16 4 -17 4 -15 3 -15 5 -16 5 -15 4 -15 6 -15 4 -15 5 -14 4 -14 5 -14 6 -14 5 -13 6 -14 7 -12 6 -12 7 -11 6 -12 8 -11 8 -11 8 -11 8 -10 7 -10 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-61,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,230023,0,239,0,0,0.619695,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 0 16 0 16 0 16 -1 17 -2 18 -2 16 -2 17 -3 16 -3 17 -4 17 -5 17 -5 17 -5 17 -5 17 -5 17 -6 18 -6 16 -6 16 -6 15 -6 16 -6 16 -6 16 -7 15 -6 15 -6 15 -6 15 0 0 -6 15 -5 14 -5 14 -5 15 -4 13 -4 14 -4 13 -3 14 -4 13 -3 14 -3 13 -2 13 -2 13 -2 12 -1 13 0 12 0 13 0 12 1 12 1 12 1 12 2 12 2 12 3 12 2 11 3 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,3079612,0,37,0,0,3.46958,128,[37 80 2 0 0 0 0 0 0 0 0 0 4 -20 4 -19 5 -22 5 -23 6 -21 7 -19 7 -21 9 -19 9 -21 10 -20 11 -22 12 -22 11 -21 11 -20 11 -18 12 -22 11 -19 12 -17 12 -17 12 -18 11 -18 12 -19 11 -16 11 -18 12 -20 11 -19 0 0 10 -19 10 -19 9 -19 9 -18 8 -16 8 -18 8 -19 7 -17 7 -18 8 -17 7 -19 6 -16 5 -17 5 -17 5 -17 4 -17 4 -18 4 -17 2 -17 2 -17 1 -17 1 -18 1 -17 0 -18 0 -17 -1 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,5,1,1,1,0,0,0,0,-91,0,6,1,3080437,0,82,0,0,3.50285,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -17 -3 -17 -3 -18 -4 -18 -5 -18 -6 -17 -6 -17 -7 -17 -7 -18 -8 -17 -9 -17 -9 -17 -10 -17 -10 -17 -11 -16 -11 -17 -11 -15 -10 -16 -11 -15 -11 -15 -11 -15 -11 -15 -11 -14 -11 -15 -11 -15 -11 -14 -10 0 0 -14 -10 -14 -10 -14 -9 -15 -9 -13 -9 -13 -9 -14 -9 -14 -8 -14 -7 -14 -7 -14 -6 -13 -6 -13 -6 -13 -5 -14 -5 -13 -4 -14 -4 -13 -3 -13 -2 -14 -2 -13 -2 -13 -2 -14 -1 -14 0 -14 0 -13 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,3393417,0,37,0,0,3.78318,128,[37 80 2 0 0 0 0 0 0 0 0 0 -3 18 -4 18 -4 20 -5 21 -6 20 -7 18 -8 19 -8 18 -9 19 -10 19 -10 20 -11 21 -10 20 -11 20 -11 18 -11 21 -12 17 -12 16 -12 16 -12 17 -12 16 -12 17 -12 14 -11 16 -12 18 -12 18 0 0 -11 17 -11 18 -10 18 -10 16 -9 15 -9 16 -9 17 -9 15 -8 17 -9 16 -8 17 -7 15 -7 16 -7 16 -7 15 -6 16 -5 17 -5 15 -4 15 -4 15 -3 15 -3 16 -2 16 -2 16 -1 16 -1 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,7,1,1,1,1,0,0,0,-91,3,6,1,3399392,0,110,0,0,3.81642,384,[110 96 6 0 0 0 0 0 0 0 0 0 14 5 15 6 15 6 15 7 15 9 15 9 15 10 14 10 14 10 13 11 13 12 14 13 13 12 13 12 13 12 12 13 12 13 12 13 12 13 12 13 11 14 11 13 10 13 10 12 10 13 11 12 0 0 10 12 10 12 10 12 10 11 10 11 10 11 10 11 10 10 10 9 10 10 11 8 10 8 11 8 11 8 10 7 11 7 11 6 11 6 11 5 12 5 12 5 11 4 13 3 12 3 12 3 13 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,7,1,1,1,1,0,0,0,-91,1,6,1,3403639,0,110,0,0,3.85463,384,[110 96 6 0 0 0 0 0 0 0 0 0 -12 -11 -11 -12 -12 -13 -11 -13 -11 -14 -10 -14 -10 -14 -10 -14 -9 -15 -9 -16 -8 -16 -8 -16 -8 -17 -8 -16 -7 -16 -8 -17 -7 -16 -7 -16 -6 -16 -6 -16 -7 -16 -7 -17 -6 -16 -6 -15 -7 -16 -6 -15 0 0 -6 -15 -7 -14 -6 -14 -6 -14 -7 -14 -7 -14 -7 -13 -7 -13 -7 -13 -7 -12 -7 -12 -8 -11 -8 -11 -8 -11 -8 -11 -9 -10 -9 -10 -9 -9 -9 -8 -9 -8 -10 -8 -11 -8 -11 -8 -11 -7 -11 -7 -11 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,6,1,1,1,1,0,0,0,-91,2,6,1,3604253,0,110,0,0,3.99388,384,[110 96 6 0 0 0 0 0 0 0 0 0 -16 6 -16 5 -16 5 -18 5 -20 7 -18 4 -17 3 -18 3 -20 3 -21 1 -19 1 -20 2 -20 1 -19 0 -18 0 -19 1 -17 0 -19 0 -18 0 -18 0 -18 -1 -19 -1 -18 -1 -17 -1 -18 -2 -18 -1 0 0 -17 0 -17 0 -16 0 -17 1 -16 0 -16 1 -15 1 -15 1 -16 2 -16 2 -15 3 -14 3 -14 3 -14 4 -14 4 -14 4 -14 5 -13 5 -12 5 -12 6 -13 6 -12 6 -12 7 -12 7 -12 8 -11 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,6,1,1,1,1,0,0,0,-91,1,6,1,3706589,0,110,0,0,4.09611,384,[110 96 6 0 0 0 0 0 0 0 0 0 -15 -9 -15 -9 -16 -10 -15 -11 -15 -11 -14 -11 -15 -11 -15 -12 -14 -13 -15 -14 -13 -14 -14 -15 -13 -14 -13 -15 -12 -14 -14 -16 -12 -14 -12 -15 -12 -15 -12 -16 -12 -15 -12 -15 -11 -15 -11 -15 -11 -16 -11 -14 0 0 -11 -14 -11 -15 -11 -13 -12 -13 -11 -13 -11 -13 -11 -13 -11 -12 -11 -12 -12 -12 -11 -11 -11 -11 -11 -10 -12 -9 -12 -10 -12 -8 -13 -9 -12 -8 -12 -8 -12 -7 -13 -7 -13 -7 -14 -7 -13 -5 -13 -6 -13 -4 0 0 0 0 0 0 0 0 0 0 ]
