type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,78:21:84:7E:97:F9,-46,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,55641,0,131,0,0,0.454009,128,[-125 48 8 0 0 0 0 0 0 0 0 0 22 14 21 15 23 16 24 16 21 17 18 17 19 17 17 17 19 18 17 19 19 20 19 21 17 19 17 19 15 18 19 19 15 18 14 18 14 17 14 17 14 16 15 18 12 16 14 16 16 17 15 16 0 0 16 15 17 15 17 14 17 14 14 12 17 12 17 12 16 12 18 11 16 12 17 12 15 11 17 11 18 11 17 10 18 10 20 10 18 9 18 9 18 8 18 8 19 8 19 8 20 8 19 8 18 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,56145,0,135,0,0,0.484881,384,[-121 112 8 0 0 0 0 0 0 0 0 0 6 -19 6 -19 8 -19 8 -18 9 -19 9 -17 9 -17 9 -17 9 -17 11 -16 11 -16 11 -16 11 -15 11 -15 11 -14 11 -15 10 -14 10 -15 10 -13 10 -13 10 -13 10 -13 10 -13 9 -13 10 -13 8 -13 0 0 8 -13 8 -13 7 -12 7 -13 7 -13 6 -13 6 -13 6 -13 6 -13 5 -14 5 -13 5 -13 4 -14 4 -13 3 -14 3 -14 3 -14 2 -14 2 -14 1 -14 2 -14 2 -15 2 -15 1 -15 1 -15 0 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,172840,0,239,0,0,0.570707,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -7 -20 -6 -21 -5 -21 -4 -21 -4 -20 -3 -20 -3 -21 -2 -20 -2 -20 -1 -20 -1 -20 -1 -20 0 -19 0 -19 0 -19 0 -19 0 -18 0 -18 1 -17 1 -18 1 -17 1 -17 0 -17 1 -16 0 -17 -1 -16 0 0 -1 -16 -1 -15 -1 -15 -2 -16 -2 -15 -2 -15 -2 -15 -2 -15 -3 -15 -3 -15 -4 -14 -4 -14 -4 -14 -4 -14 -5 -14 -6 -14 -5 -14 -6 -14 -6 -14 -7 -14 -6 -14 -6 -14 -6 -14 -7 -14 -7 -13 -8 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-48,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,2077894,0,37,0,0,2.47667,128,[37 80 2 0 0 0 0 0 0 0 0 0 22 -15 21 -13 24 -15 24 -14 24 -13 22 -10 23 -10 23 -8 24 -9 24 -8 24 -10 26 -9 24 -8 23 -9 22 -6 25 -9 22 -6 22 -6 21 -6 21 -6 20 -5 22 -7 19 -5 20 -7 22 -9 20 -8 0 0 20 -9 20 -10 19 -10 19 -10 17 -8 18 -10 19 -11 17 -9 18 -11 18 -10 18 -12 16 -10 16 -12 17 -12 17 -12 16 -12 17 -14 16 -13 16 -12 16 -13 15 -13 16 -14 16 -14 15 -15 15 -14 14 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,0,0,0,0,-93,0,6,1,2078304,0,82,0,0,2.51086,384,[82 -96 4 0 0 0 0 0 0 0 0 0 17 13 16 13 16 14 15 15 14 14 14 15 15 15 13 15 14 15 13 15 13 16 12 16 11 16 11 16 10 16 11 16 11 15 10 15 10 14 10 14 9 15 10 14 10 14 9 14 9 14 10 13 0 0 10 13 10 12 10 12 11 12 10 11 10 11 10 11 11 10 12 10 11 10 11 9 11 9 12 9 12 9 12 8 12 8 12 8 13 7 13 7 13 7 14 7 13 6 14 6 14 6 14 6 15 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-47,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,2391931,0,37,0,0,2.78982,128,[37 80 2 0 0 0 0 0 0 0 0 0 -14 -21 -13 -21 -14 -22 -13 -24 -12 -23 -10 -20 -10 -22 -8 -22 -9 -24 -8 -23 -9 -24 -10 -24 -9 -23 -8 -24 -6 -22 -8 -24 -5 -21 -5 -21 -5 -20 -5 -20 -5 -20 -6 -21 -4 -18 -6 -19 -9 -21 -8 -19 0 0 -8 -20 -8 -20 -9 -19 -8 -18 -7 -16 -9 -18 -9 -18 -9 -17 -11 -18 -9 -16 -11 -16 -9 -16 -11 -16 -11 -17 -10 -17 -11 -17 -13 -17 -11 -16 -12 -16 -12 -15 -13 -15 -13 -16 -13 -15 -14 -15 -13 -15 -13 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,1,0,0,0,-93,3,6,1,2402130,0,110,0,0,2.82782,384,[110 96 6 0 0 0 0 0 0 0 0 0 -20 -10 -19 -11 -18 -11 -18 -13 -18 -13 -17 -13 -17 -14 -16 -14 -16 -14 -15 -14 -16 -14 -15 -15 -14 -15 -15 -14 -14 -15 -14 -15 -14 -15 -13 -14 -13 -14 -12 -14 -12 -14 -12 -14 -12 -13 -12 -13 -12 -13 -12 -13 0 0 -13 -12 -12 -12 -12 -12 -13 -11 -12 -10 -12 -10 -12 -10 -12 -10 -13 -10 -13 -9 -14 -9 -13 -9 -13 -8 -14 -8 -14 -8 -14 -8 -14 -7 -15 -7 -15 -7 -15 -7 -15 -7 -15 -7 -15 -6 -15 -6 -16 -6 -16 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,2403564,0,110,0,0,2.87555,384,[110 96 6 0 0 0 0 0 0 0 0 0 -21 7 -21 7 -21 6 -21 6 -21 5 -21 4 -21 3 -21 2 -21 2 -21 2 -21 1 -21 1 -20 1 -21 1 -20 1 -20 0 -20 1 -19 0 -19 0 -18 0 -19 0 -18 0 -18 0 -17 0 -18 0 -17 1 0 0 -17 1 -17 2 -16 2 -16 2 -16 2 -16 2 -15 3 -15 3 -16 3 -15 4 -15 4 -15 5 -15 5 -15 6 -15 5 -14 6 -14 6 -14 6 -14 7 -14 7 -14 7 -14 8 -14 8 -14 9 -14 8 -14 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,6,1,1,1,1,0,0,0,-93,2,6,1,2602170,0,110,0,0,2.99998,384,[110 96 6 0 0 0 0 0 0 0 0 0 18 -11 18 -10 18 -10 18 -9 19 -9 18 -8 19 -7 19 -6 19 -6 19 -6 19 -5 19 -5 18 -5 19 -4 18 -4 19 -4 17 -3 18 -3 17 -3 17 -3 17 -2 17 -3 17 -2 16 -3 16 -3 16 -3 0 0 15 -3 15 -4 15 -4 15 -4 14 -4 15 -4 14 -4 14 -5 14 -5 13 -5 13 -6 13 -7 13 -7 13 -7 13 -7 12 -8 13 -8 12 -8 12 -8 12 -9 13 -8 12 -9 12 -10 12 -10 12 -10 11 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,2673770,0,110,0,0,3.07125,384,[110 96 6 0 0 0 0 0 0 0 0 0 -22 8 -22 7 -23 6 -22 5 -22 4 -22 4 -23 3 -22 2 -22 2 -22 1 -22 1 -23 1 -22 1 -21 1 -21 0 -22 0 -20 0 -20 1 -20 0 -19 -1 -19 -1 -20 -1 -19 0 -18 0 -18 0 -18 1 0 0 -18 1 -17 2 -17 2 -17 2 -17 2 -17 2 -16 2 -17 3 -17 3 -16 4 -16 5 -16 5 -15 5 -15 5 -16 6 -16 6 -15 6 -15 7 -15 7 -15 7 -15 7 -15 7 -15 8 -15 9 -15 9 -15 9 0 0 0 0 0 0 0 0 0 0 ]
