type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-53,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,68456,0,131,0,0,0.458176,128,[-125 48 8 0 0 0 0 0 0 0 0 0 12 -20 13 -19 15 -21 16 -22 16 -20 17 -18 18 -19 18 -16 20 -17 19 -16 21 -20 22 -19 21 -18 20 -17 20 -15 23 -18 21 -14 21 -13 21 -13 21 -13 20 -12 21 -14 19 -10 19 -15 21 -17 20 -15 0 0 19 -15 19 -15 19 -16 18 -14 16 -13 18 -14 18 -15 16 -13 16 -15 16 -14 16 -16 14 -14 13 -15 15 -15 13 -14 13 -15 12 -17 12 -15 11 -15 10 -15 10 -16 9 -16 8 -17 7 -18 7 -17 6 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,69063,0,135,0,0,0.493934,384,[-121 112 8 0 0 0 0 0 0 0 0 0 4 -16 5 -17 5 -16 6 -16 7 -15 8 -16 8 -16 8 -16 9 -16 8 -15 9 -16 10 -16 10 -15 11 -15 12 -15 11 -14 12 -15 11 -14 11 -14 11 -13 11 -13 11 -12 11 -13 10 -13 10 -13 10 -13 0 0 10 -13 9 -12 9 -13 8 -13 9 -12 8 -13 9 -12 7 -13 7 -14 7 -13 6 -12 5 -12 5 -12 4 -13 5 -12 4 -13 4 -12 3 -13 3 -12 2 -13 3 -13 1 -13 0 -12 -1 -12 0 -13 -1 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,198315,0,239,0,0,0.587581,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -16 4 -16 4 -17 4 -17 2 -18 2 -17 2 -17 1 -18 0 -18 1 -18 -1 -18 -1 -18 -1 -18 -1 -18 -3 -18 -2 -19 -2 -18 -3 -18 -2 -17 -4 -18 -3 -17 -4 -17 -3 -17 -3 -16 -3 -18 -3 -17 -3 0 0 -16 -3 -17 -2 -16 -2 -16 -2 -15 -2 -16 -2 -15 -2 -15 -2 -15 -1 -15 0 -15 0 -14 0 -14 0 -14 1 -14 1 -13 1 -13 1 -13 2 -13 3 -12 3 -12 3 -12 4 -12 4 -12 5 -11 5 -11 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-58,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2084385,0,37,0,0,2.4739,128,[37 80 2 0 0 0 0 0 0 0 0 0 9 10 8 11 9 12 9 12 9 13 7 12 8 13 7 13 7 14 6 15 7 16 6 16 6 16 6 16 5 15 6 17 4 15 3 15 4 15 4 15 4 15 5 16 2 14 3 15 5 16 4 15 0 0 5 14 5 15 6 14 5 14 4 12 6 13 6 13 5 12 6 12 5 12 6 12 4 11 5 11 6 11 6 11 7 10 7 10 6 9 7 8 7 8 8 8 8 7 8 8 9 7 8 7 9 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-58,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2086133,0,82,0,0,2.50005,128,[82 -96 4 0 0 0 0 0 0 0 0 0 13 2 13 3 15 3 15 3 16 5 13 5 14 5 13 6 15 5 14 8 15 7 16 8 15 8 15 8 13 8 16 8 12 9 13 9 12 8 12 9 12 9 14 9 11 9 13 9 14 9 13 8 0 0 13 8 14 8 13 7 14 8 11 6 13 7 13 6 12 6 13 6 13 6 12 6 10 5 11 5 11 5 12 4 11 3 13 3 11 3 10 2 11 1 11 1 11 0 12 0 12 -1 11 -1 11 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-57,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2347156,0,37,0,0,2.73652,128,[37 80 2 0 0 0 0 0 0 0 0 0 20 4 20 5 22 5 23 6 22 8 19 8 22 8 21 9 22 10 21 11 24 12 24 13 22 12 21 13 19 12 24 13 19 14 18 14 18 13 19 14 18 13 20 14 16 13 19 13 20 14 19 13 0 0 19 12 20 13 20 11 19 11 17 10 19 10 20 10 17 10 19 9 17 10 19 9 16 9 17 8 17 8 17 8 17 6 19 6 17 5 16 5 16 3 16 3 16 2 17 2 17 1 15 1 16 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-67,11,1,6,1,1,1,1,0,0,0,-91,3,6,1,2398554,0,110,0,0,2.78832,384,[110 96 6 0 0 0 0 0 0 0 0 0 -14 5 -14 5 -15 4 -15 3 -17 4 -15 3 -17 2 -17 2 -18 2 -18 1 -18 0 -18 0 -18 0 -18 -1 -17 0 -19 0 -17 0 -18 0 -17 -1 -17 -1 -17 -2 -17 -1 -17 -1 -17 -2 -17 -1 -17 -1 0 0 -16 -1 -17 -1 -15 0 -17 -1 -14 -1 -14 -1 -15 -1 -16 0 -15 1 -14 2 -13 2 -13 1 -13 2 -12 2 -12 3 -11 3 -12 3 -12 4 -11 4 -10 5 -11 5 -10 5 -10 6 -9 6 -9 6 -8 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,5,1,1,1,1,0,0,0,-91,1,6,1,2496139,0,110,0,0,2.88528,384,[110 96 6 0 0 0 0 0 0 0 0 0 2 14 1 14 1 15 0 15 0 16 -2 15 -1 16 -2 16 -2 16 -2 16 -3 17 -4 17 -4 17 -4 16 -4 16 -5 17 -5 16 -5 16 -5 15 -5 16 -6 15 -5 16 -7 15 -5 15 -6 16 -5 15 0 0 -5 15 -4 15 -4 15 -5 14 -4 14 -3 14 -4 14 -3 13 -3 14 -2 13 -2 13 -2 13 -1 13 -1 13 -1 12 0 12 0 12 1 11 1 11 2 10 2 11 2 10 3 10 4 10 3 10 4 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-66,11,1,6,1,1,1,1,0,0,0,-91,1,6,1,2585508,0,110,0,0,2.97461,384,[110 96 6 0 0 0 0 0 0 0 0 0 -14 4 -14 4 -15 3 -16 3 -16 3 -15 3 -16 2 -17 2 -17 1 -18 1 -17 0 -18 0 -18 -1 -18 -1 -17 -1 -18 -2 -17 -2 -17 -1 -16 -2 -17 -2 -17 -3 -17 -3 -17 -3 -16 -2 -17 -2 -16 -2 0 0 -17 -2 -16 -1 -15 -1 -16 -1 -14 -2 -15 -1 -15 -1 -15 0 -15 0 -14 1 -14 1 -14 1 -13 1 -12 2 -13 2 -12 3 -12 2 -11 3 -11 3 -10 4 -11 4 -11 4 -11 5 -10 5 -9 6 -9 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,5,1,1,1,1,0,0,0,-91,1,6,1,2680913,0,110,0,0,3.07,384,[110 96 6 0 0 0 0 0 0 0 0 0 -8 14 -9 13 -10 13 -12 13 -12 13 -11 11 -12 12 -12 13 -13 12 -14 12 -15 12 -15 12 -16 10 -16 10 -16 10 -18 11 -16 11 -16 10 -16 9 -16 9 -16 8 -15 8 -16 8 -16 8 -17 9 -16 9 0 0 -16 9 -15 9 -15 8 -14 9 -13 7 -14 9 -14 9 -13 9 -13 10 -12 10 -12 9 -11 8 -11 9 -10 10 -11 10 -10 10 -9 10 -9 10 -8 10 -7 11 -7 11 -7 10 -6 11 -5 11 -6 12 -5 12 0 0 0 0 0 0 0 0 0 0 ]
