type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,78:21:84:7E:97:F9,-47,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,53268,0,131,0,0,0.451798,128,[-125 48 8 0 0 0 0 0 0 0 0 0 19 -18 19 -17 21 -18 22 -18 22 -16 20 -13 21 -14 21 -12 22 -14 23 -11 23 -13 24 -12 23 -11 22 -11 21 -10 23 -13 21 -10 21 -10 20 -9 20 -10 19 -9 21 -11 19 -8 19 -10 20 -11 19 -11 0 0 19 -12 18 -13 18 -13 18 -13 16 -11 16 -13 17 -14 16 -13 16 -15 16 -13 16 -14 15 -12 15 -14 15 -14 15 -15 15 -15 15 -17 14 -15 13 -15 13 -16 13 -16 14 -17 14 -17 14 -17 14 -16 13 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,54051,0,135,0,0,0.488147,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -21 3 -21 3 -21 2 -21 1 -21 0 -21 0 -21 0 -20 -1 -20 -1 -20 -2 -20 -2 -20 -3 -19 -3 -20 -3 -19 -3 -20 -3 -19 -3 -19 -3 -18 -3 -18 -3 -18 -2 -18 -3 -17 -2 -17 -2 -17 -3 -17 -2 0 0 -17 -2 -17 -1 -16 -1 -17 -1 -16 0 -16 0 -16 0 -16 1 -15 1 -15 1 -16 1 -15 2 -15 2 -16 3 -15 2 -15 3 -16 3 -15 3 -15 4 -15 4 -15 4 -15 5 -15 5 -15 5 -15 5 -15 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,176651,0,239,0,0,0.574693,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -18 -13 -17 -13 -17 -14 -16 -14 -16 -15 -15 -15 -15 -15 -14 -15 -15 -16 -14 -16 -13 -16 -13 -17 -13 -16 -12 -16 -12 -16 -12 -16 -11 -15 -12 -15 -11 -14 -11 -15 -10 -15 -12 -15 -11 -15 -10 -14 -11 -14 -11 -14 0 0 -12 -13 -12 -13 -11 -13 -12 -12 -11 -11 -12 -11 -12 -11 -12 -11 -13 -11 -13 -10 -13 -10 -12 -9 -13 -9 -13 -9 -14 -9 -14 -9 -14 -9 -14 -8 -14 -8 -15 -8 -15 -7 -15 -7 -15 -7 -15 -7 -15 -7 -15 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-58,11,1,7,1,1,1,0,0,0,0,-93,0,6,1,2080466,0,82,0,0,2.47877,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -1 12 -2 12 -1 12 -2 12 -5 13 -3 10 -3 11 -3 11 -4 11 -3 12 -4 11 -4 11 -5 9 -5 10 -5 10 -5 10 -5 9 -4 10 -4 10 -5 10 -5 9 -5 9 -4 9 -4 9 -4 9 -4 9 0 0 -4 9 -4 9 -3 9 -3 9 -3 8 -3 9 -3 9 -2 8 -2 8 -2 9 -2 9 -2 8 -2 8 -1 8 -1 8 0 8 -1 9 0 8 0 8 0 9 0 8 0 9 0 9 0 9 1 9 1 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-48,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,2080591,0,37,0,0,2.50654,128,[37 80 2 0 0 0 0 0 0 0 0 0 16 16 16 17 18 17 18 17 16 19 13 16 14 18 12 17 13 18 11 19 11 20 12 20 12 20 10 19 9 19 12 19 9 18 9 18 9 17 9 17 9 16 10 17 7 16 9 16 10 17 9 17 0 0 11 16 11 15 11 15 12 15 10 14 11 14 12 14 11 13 12 13 11 13 12 13 10 12 11 13 12 13 13 12 13 11 14 13 13 12 13 10 14 11 13 11 14 11 14 11 14 12 14 11 14 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-47,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,2392036,0,37,0,0,2.79019,128,[37 80 2 0 0 0 0 0 0 0 0 0 25 -9 25 -7 27 -8 27 -8 27 -6 24 -4 25 -4 24 -3 26 -3 25 -3 26 -3 27 -3 26 -3 25 -2 23 -1 27 -2 23 0 23 0 22 0 22 0 22 -1 23 -1 20 0 21 -2 23 -3 22 -3 0 0 22 -3 22 -3 21 -4 22 -4 19 -4 20 -5 21 -6 19 -5 21 -6 19 -6 20 -7 18 -6 20 -7 20 -7 20 -6 20 -7 21 -9 18 -8 18 -8 18 -9 18 -9 19 -10 19 -10 19 -11 18 -10 18 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,1,0,0,0,-93,3,6,1,2399213,0,110,0,0,2.82161,384,[110 96 6 0 0 0 0 0 0 0 0 0 20 7 19 7 19 8 18 9 18 9 18 10 18 11 17 11 17 11 16 10 16 11 16 11 16 11 15 12 15 12 15 11 14 11 14 11 14 11 14 11 13 11 13 11 13 10 13 10 13 10 13 10 0 0 13 10 13 9 13 8 13 8 13 8 13 8 13 7 13 7 13 7 13 6 14 6 13 5 14 5 14 5 14 5 14 4 14 4 15 4 14 4 15 3 14 3 15 3 15 2 15 2 15 2 15 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-58,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,2402717,0,110,0,0,2.8592,384,[110 96 6 0 0 0 0 0 0 0 0 0 -20 4 -20 3 -21 2 -21 1 -21 1 -20 0 -20 -1 -20 -1 -20 -2 -20 -1 -20 -1 -19 -2 -20 -2 -19 -2 -19 -2 -19 -3 -18 -2 -18 -3 -18 -2 -17 -3 -17 -3 -17 -2 -17 -2 -17 -1 -17 -2 -17 -1 0 0 -16 -2 -16 -1 -16 0 -16 0 -15 0 -15 0 -15 0 -14 0 -15 1 -14 2 -15 2 -15 2 -15 3 -15 3 -15 3 -14 3 -15 4 -14 4 -14 4 -15 4 -14 4 -14 5 -14 6 -14 6 -14 6 -14 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,1,0,0,0,-93,2,6,1,2584465,0,110,0,0,2.98242,384,[110 96 6 0 0 0 0 0 0 0 0 0 21 -1 21 0 21 1 21 2 21 2 20 3 20 3 19 3 20 4 20 4 19 5 19 5 19 5 18 6 18 5 18 5 17 6 18 5 16 4 17 5 16 5 17 4 16 5 15 4 16 4 16 4 0 0 16 4 16 3 15 3 16 2 15 2 15 2 15 1 15 1 15 1 15 0 15 0 14 0 15 -1 14 -1 15 -1 14 -1 15 -2 14 -2 15 -3 14 -3 15 -3 15 -4 16 -4 15 -4 15 -4 14 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,6,1,1,1,1,0,0,0,-93,1,6,1,2675163,0,110,0,0,3.07307,384,[110 96 6 0 0 0 0 0 0 0 0 0 -14 15 -14 15 -15 14 -16 14 -16 13 -16 13 -15 12 -16 12 -16 11 -16 11 -16 11 -17 11 -16 10 -16 10 -17 10 -16 9 -16 10 -15 9 -16 9 -15 8 -16 8 -15 8 -14 8 -15 9 -15 9 -14 9 0 0 -13 9 -13 9 -13 10 -12 10 -12 10 -12 10 -12 10 -12 9 -11 10 -10 10 -10 11 -10 11 -10 11 -10 12 -9 11 -9 12 -9 12 -8 12 -8 12 -8 12 -8 13 -8 13 -7 13 -7 13 -7 13 -6 13 0 0 0 0 0 0 0 0 0 0 ]
