type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1409699,0,157,0,0,1.79229,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 21 -4 20 -3 21 -3 21 -2 21 -1 20 -1 20 0 20 1 20 1 20 1 20 2 20 2 20 2 20 2 18 3 19 2 18 2 18 2 17 2 17 2 17 2 17 2 17 2 17 2 17 2 16 1 0 0 16 1 16 1 15 0 16 0 15 -1 15 -1 15 -1 15 -1 15 -2 15 -3 14 -3 14 -3 14 -4 14 -4 14 -5 14 -5 14 -5 14 -5 14 -6 14 -6 14 -6 14 -7 14 -7 14 -7 14 -7 13 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1489943,0,135,0,0,1.87227,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -18 -14 -18 -15 -17 -15 -17 -16 -16 -16 -15 -16 -14 -17 -13 -17 -13 -17 -13 -17 -12 -17 -12 -17 -12 -17 -12 -18 -11 -17 -11 -17 -11 -16 -10 -16 -11 -16 -10 -16 -10 -16 -10 -16 -10 -15 -11 -15 -10 -15 -10 -14 0 0 -10 -14 -10 -13 -10 -13 -11 -12 -11 -13 -10 -12 -11 -13 -11 -11 -11 -12 -11 -11 -12 -10 -12 -10 -13 -10 -13 -10 -12 -10 -13 -9 -13 -10 -14 -9 -13 -9 -14 -9 -13 -9 -14 -9 -14 -8 -15 -7 -14 -7 -15 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1552602,0,390,0,0,1.93488,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 19 -8 19 -8 20 -7 20 -7 20 -5 20 -5 20 -4 20 -4 20 -4 19 -3 20 -3 20 -2 20 -2 20 -2 19 -2 19 -1 18 -1 17 -2 18 -1 18 -1 17 -2 17 -1 16 -1 16 -2 17 -2 16 -2 0 0 16 -3 15 -3 16 -3 15 -4 15 -4 15 -4 15 -4 14 -4 14 -5 14 -6 14 -6 14 -6 14 -6 13 -7 13 -7 13 -8 13 -7 13 -8 13 -8 12 -9 12 -9 12 -9 12 -9 12 -9 12 -10 12 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1596618,0,390,0,0,1.97866,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 10 -18 11 -18 12 -17 12 -17 12 -16 12 -16 13 -15 12 -15 13 -15 14 -15 14 -14 14 -14 14 -13 14 -13 14 -12 14 -13 13 -12 13 -12 13 -12 12 -12 13 -11 12 -11 12 -11 12 -11 12 -11 11 -12 0 0 11 -12 10 -11 10 -11 10 -12 9 -11 9 -12 9 -12 8 -12 8 -12 7 -13 7 -12 7 -13 7 -13 7 -13 7 -13 6 -14 6 -13 5 -14 5 -14 5 -14 5 -14 4 -15 4 -14 4 -14 4 -15 4 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1641790,0,82,0,0,2.02383,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -21 -2 -21 -3 -21 -3 -21 -4 -21 -5 -20 -5 -20 -5 -20 -6 -19 -6 -19 -7 -19 -7 -18 -8 -18 -8 -18 -8 -18 -8 -18 -7 -17 -7 -16 -7 -17 -7 -16 -7 -16 -7 -16 -7 -16 -7 -16 -6 -16 -7 -15 -6 0 0 -16 -5 -15 -4 -15 -5 -15 -4 -15 -4 -15 -3 -15 -4 -15 -3 -15 -3 -15 -2 -15 -2 -15 -2 -15 -1 -15 -1 -15 0 -15 0 -15 0 -15 1 -15 1 -15 1 -15 1 -15 2 -15 2 -15 2 -15 2 -15 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,2055072,0,82,0,0,2.43722,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -20 9 -22 8 -21 8 -22 7 -22 7 -22 6 -21 5 -22 5 -22 4 -22 3 -21 3 -21 3 -21 2 -21 3 -21 2 -21 2 -20 2 -19 2 -19 1 -19 1 -20 1 -19 1 -18 2 -18 2 -18 2 -18 3 0 0 -17 3 -18 3 -17 3 -17 4 -16 3 -16 4 -17 4 -16 4 -16 5 -15 5 -15 6 -15 6 -15 6 -15 7 -14 7 -14 8 -14 7 -14 8 -14 8 -14 8 -14 8 -14 9 -14 9 -14 10 -13 10 -13 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,2055330,0,82,0,0,2.46864,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -4 19 -4 20 -5 19 -6 20 -6 19 -6 19 -7 18 -7 18 -8 18 -8 17 -7 18 -8 17 -9 17 -8 16 -9 16 -9 16 -9 16 -8 15 -8 15 -8 15 -8 15 -8 15 -7 14 -7 14 -7 14 -7 14 0 0 -6 14 -6 14 -6 14 -5 14 -5 13 -5 14 -4 14 -4 14 -5 14 -3 13 -3 13 -2 13 -2 14 -2 14 -1 13 -1 14 0 14 0 14 0 14 0 14 1 14 1 14 1 14 2 14 2 14 2 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,2552126,0,82,0,0,2.93423,384,[82 -96 4 0 0 0 0 0 0 0 0 0 14 -15 14 -14 15 -13 16 -13 16 -13 16 -12 16 -11 16 -11 17 -10 17 -10 16 -10 17 -9 17 -9 17 -8 16 -8 16 -8 16 -8 15 -8 15 -7 15 -7 15 -7 15 -7 14 -7 14 -7 14 -7 14 -8 0 0 13 -8 13 -7 12 -8 12 -8 12 -8 12 -8 11 -9 12 -9 11 -9 11 -10 10 -10 10 -9 10 -10 10 -10 9 -10 10 -11 9 -11 9 -11 9 -11 8 -12 9 -12 9 -11 8 -12 8 -12 8 -12 7 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,3051883,0,82,0,0,3.43406,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -19 -14 -18 -15 -19 -16 -17 -16 -17 -17 -15 -17 -15 -17 -14 -17 -14 -18 -14 -18 -13 -18 -13 -18 -12 -18 -12 -18 -12 -17 -12 -18 -11 -16 -12 -17 -11 -16 -11 -17 -11 -17 -11 -16 -11 -15 -10 -15 -10 -15 -11 -14 0 0 -11 -14 -11 -14 -11 -13 -11 -13 -11 -12 -11 -13 -11 -12 -12 -12 -12 -11 -12 -12 -13 -11 -12 -10 -13 -10 -13 -10 -13 -10 -13 -9 -14 -10 -14 -9 -14 -8 -14 -8 -14 -9 -15 -8 -15 -8 -15 -7 -15 -8 -15 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,3308462,0,82,0,0,3.69058,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -8 -20 -7 -20 -7 -20 -6 -21 -5 -21 -5 -21 -4 -20 -4 -20 -3 -20 -3 -20 -2 -20 -2 -20 -2 -20 -2 -19 -2 -19 -2 -19 -1 -18 -2 -18 -2 -18 -1 -18 -2 -17 -1 -17 -2 -16 -2 -17 -2 -17 -2 -16 0 0 -3 -16 -3 -16 -3 -15 -3 -15 -4 -15 -4 -15 -4 -15 -5 -15 -5 -14 -5 -14 -6 -14 -6 -14 -6 -13 -7 -13 -7 -13 -8 -13 -8 -13 -8 -13 -8 -13 -8 -13 -8 -13 -9 -12 -9 -13 -10 -12 -10 -12 -10 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-49,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,3419815,0,37,0,0,3.80209,128,[37 80 2 0 0 0 0 0 0 0 0 0 2 -26 3 -25 3 -27 3 -27 4 -26 5 -23 5 -25 6 -23 6 -24 9 -24 8 -24 10 -24 9 -23 8 -22 8 -20 7 -24 7 -20 8 -20 7 -19 7 -20 7 -19 6 -21 7 -18 6 -19 7 -21 6 -19 0 0 4 -19 3 -20 3 -19 3 -21 3 -18 2 -19 1 -20 1 -19 0 -20 2 -20 1 -20 1 -18 0 -19 0 -19 -1 -19 -2 -19 -2 -21 -1 -19 -2 -18 -3 -19 -3 -19 -4 -19 -3 -20 -3 -20 -3 -19 -3 -19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-49,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,3425116,0,37,0,0,3.83432,128,[37 80 2 0 0 0 0 0 0 0 0 0 -20 16 -19 15 -21 16 -21 16 -22 15 -20 12 -22 13 -21 11 -21 12 -22 10 -23 11 -23 11 -22 10 -21 10 -20 8 -22 11 -20 8 -20 8 -19 8 -19 9 -18 8 -19 9 -18 7 -18 9 -19 10 -18 10 0 0 -17 10 -17 11 -16 11 -16 11 -15 10 -15 12 -15 12 -14 11 -14 13 -15 12 -15 13 -13 12 -13 13 -13 13 -13 13 -12 13 -13 15 -12 14 -12 14 -11 15 -12 14 -11 15 -11 16 -11 16 -11 15 -10 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,3427706,0,84,0,0,3.8779,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -4 -24 -4 -23 -3 -23 -2 -23 -1 -23 -1 -23 0 -23 1 -23 1 -23 2 -22 2 -23 2 -22 3 -21 3 -21 3 -20 3 -21 3 -20 3 -20 3 -18 3 -19 3 -19 3 -19 3 -19 2 -18 2 -18 2 -18 0 0 2 -18 1 -17 1 -17 1 -17 0 -16 0 -17 -1 -16 -1 -17 -1 -16 -2 -16 -2 -16 -2 -16 -3 -16 -3 -15 -3 -16 -4 -16 -4 -16 -4 -16 -4 -16 -5 -16 -5 -16 -6 -16 -5 -16 -6 -16 -6 -16 -6 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,3428018,0,84,0,0,3.92008,384,[84 -64 4 0 0 0 0 0 0 0 0 0 22 -4 22 -4 22 -3 22 -2 22 -1 22 -2 22 -1 21 0 22 1 22 1 20 2 21 2 20 2 20 3 20 2 20 2 19 3 19 2 18 2 18 2 18 2 18 2 17 2 17 2 18 2 17 1 0 0 16 0 16 0 16 1 16 0 15 0 16 -1 16 -1 16 -2 16 -2 15 -2 15 -2 15 -3 15 -3 15 -4 15 -4 15 -5 15 -4 15 -6 15 -6 14 -6 14 -6 14 -6 14 -7 14 -7 14 -7 14 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,3513347,0,84,0,0,3.95807,384,[84 -64 4 0 0 0 0 0 0 0 0 0 17 15 16 16 16 16 15 17 15 17 13 17 13 17 12 17 12 18 11 18 11 18 10 19 10 18 9 18 9 18 9 18 9 17 9 17 9 16 8 16 8 16 8 16 8 15 7 15 8 15 8 15 0 0 8 14 9 14 9 13 9 13 9 13 9 12 9 13 9 12 10 12 10 12 10 11 10 11 11 11 11 10 11 10 12 10 12 10 12 10 12 9 12 9 12 9 12 8 13 9 13 8 13 9 13 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,3606814,0,84,0,0,3.99743,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -18 -11 -18 -12 -18 -13 -17 -13 -17 -13 -16 -13 -15 -14 -15 -14 -15 -15 -15 -14 -14 -14 -14 -15 -14 -15 -13 -14 -13 -14 -12 -15 -12 -14 -12 -14 -12 -13 -12 -13 -12 -13 -11 -13 -11 -12 -12 -12 -12 -12 -12 -12 0 0 -12 -11 -12 -11 -12 -11 -12 -10 -12 -10 -12 -10 -12 -9 -12 -9 -12 -8 -12 -8 -13 -7 -13 -7 -14 -7 -14 -6 -13 -7 -13 -6 -13 -6 -14 -5 -14 -5 -14 -5 -14 -5 -15 -4 -14 -4 -15 -3 -15 -3 -15 -3 0 0 0 0 0 0 0 0 0 0 ]
