type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,58:BF:25:17:9A:5C,-57,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1010548,0,157,0,0,1.39486,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 11 21 10 21 10 22 9 22 8 22 7 21 6 21 6 21 6 22 5 22 4 21 4 22 4 21 4 21 3 20 4 21 3 20 3 20 3 19 3 19 3 19 3 19 3 18 3 17 3 18 3 17 0 0 3 16 4 17 5 16 5 16 5 15 5 15 5 15 6 14 6 14 6 14 7 14 7 14 8 13 8 13 9 13 8 12 9 12 9 12 9 12 10 11 10 11 10 11 11 11 11 10 11 10 11 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-57,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1084753,0,135,0,0,1.46882,384,[-121 112 8 0 0 0 0 0 0 0 0 0 15 15 13 16 14 16 11 17 11 16 11 17 11 16 10 17 9 18 9 18 7 17 7 17 8 16 8 18 6 17 8 18 7 16 7 16 6 16 6 16 6 16 6 15 5 15 6 14 6 14 7 13 0 0 6 13 7 13 7 12 7 12 7 12 7 11 7 12 7 11 8 11 8 11 8 10 8 11 9 10 9 9 9 9 9 9 10 9 10 7 10 8 10 7 11 8 10 7 11 8 11 7 11 7 10 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-57,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1154672,0,390,0,0,1.53868,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -22 -4 -22 -5 -22 -6 -22 -6 -21 -6 -21 -7 -20 -7 -20 -8 -20 -8 -19 -9 -19 -9 -19 -10 -18 -10 -18 -9 -18 -9 -18 -9 -17 -9 -16 -8 -16 -8 -17 -8 -16 -9 -16 -8 -15 -8 -15 -7 -15 -8 -15 -7 0 0 -15 -6 -15 -6 -15 -5 -15 -5 -14 -5 -15 -4 -15 -4 -15 -3 -15 -3 -15 -2 -15 -2 -15 -2 -14 -2 -15 -1 -15 0 -15 0 -15 0 -15 1 -14 1 -15 1 -15 2 -15 2 -15 2 -15 3 -15 2 -15 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-57,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1155171,0,390,0,0,1.57384,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 10 19 9 18 9 19 8 19 8 20 6 19 6 19 6 19 6 20 5 19 4 20 3 20 3 19 2 19 3 18 3 19 2 17 3 18 3 17 3 17 3 16 4 16 2 16 2 16 2 16 3 15 0 0 4 14 4 15 4 14 4 14 5 14 5 13 6 13 6 13 6 12 6 12 6 12 6 12 6 12 7 11 8 11 8 10 9 11 8 10 9 10 9 10 9 10 10 10 11 10 10 10 10 10 10 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1247013,0,390,0,0,1.63082,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -13 16 -14 16 -14 16 -15 16 -15 14 -15 14 -15 13 -16 13 -16 12 -16 12 -16 11 -16 10 -16 11 -16 10 -16 10 -16 10 -15 9 -15 9 -14 9 -14 9 -14 9 -14 9 -13 9 -13 9 -13 9 -13 9 0 0 -13 9 -12 9 -11 9 -11 10 -11 9 -10 9 -10 9 -9 10 -10 10 -9 10 -9 11 -8 11 -8 11 -8 11 -7 11 -7 11 -7 12 -7 12 -6 12 -6 12 -6 12 -5 12 -6 12 -5 12 -5 13 -5 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-59,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1291766,0,82,0,0,1.67555,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -9 -22 -9 -22 -9 -22 -7 -22 -7 -22 -6 -22 -6 -21 -5 -21 -5 -22 -4 -22 -3 -22 -2 -22 -3 -22 -2 -21 -3 -20 -3 -20 -2 -19 -2 -20 -2 -19 -2 -19 -2 -18 -2 -18 -2 -18 -2 -17 -2 -17 -3 -17 0 0 -3 -17 -4 -17 -4 -16 -4 -16 -4 -15 -5 -15 -5 -15 -6 -15 -6 -14 -7 -14 -6 -14 -6 -14 -7 -14 -7 -13 -7 -13 -8 -13 -8 -13 -8 -13 -9 -12 -10 -12 -9 -12 -10 -12 -10 -12 -10 -13 -10 -12 -11 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1654354,0,82,0,0,2.03831,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -17 -15 -16 -15 -16 -16 -16 -16 -14 -17 -14 -16 -14 -17 -13 -17 -13 -17 -12 -17 -11 -18 -11 -18 -11 -17 -11 -18 -10 -17 -10 -17 -10 -16 -10 -16 -9 -16 -10 -16 -9 -15 -10 -15 -10 -15 -9 -14 -10 -15 -9 -14 0 0 -10 -13 -10 -13 -10 -13 -10 -12 -10 -12 -10 -12 -11 -12 -11 -11 -11 -11 -12 -10 -12 -10 -12 -10 -12 -9 -12 -9 -12 -9 -13 -8 -13 -8 -13 -8 -13 -7 -14 -7 -14 -7 -14 -7 -15 -7 -15 -6 -15 -6 -14 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1655369,0,82,0,0,2.07704,384,[82 -96 4 0 0 0 0 0 0 0 0 0 20 7 20 8 19 8 19 9 18 9 18 10 18 10 17 11 17 11 16 11 16 11 16 12 15 12 15 12 15 12 13 11 14 11 13 11 14 11 13 11 13 11 13 11 12 9 12 9 13 10 13 9 0 0 13 9 12 8 12 8 12 7 12 7 13 7 12 7 13 6 13 6 12 5 12 4 13 5 13 4 14 4 13 4 14 3 14 3 14 2 14 2 14 2 14 2 14 2 14 1 14 1 15 1 15 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,2157429,0,82,0,0,2.54131,384,[82 -96 4 0 0 0 0 0 0 0 0 0 16 15 15 15 15 15 14 16 14 16 13 16 12 17 12 17 12 17 11 17 11 17 10 17 10 17 10 17 9 16 9 17 9 16 9 16 9 16 8 15 8 16 8 15 8 14 8 14 8 14 8 13 0 0 8 13 9 13 9 12 9 12 9 11 10 11 9 11 10 10 10 10 10 10 10 9 10 9 11 9 11 9 11 9 12 8 11 8 12 7 12 7 12 6 13 7 12 6 13 6 13 6 13 5 13 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-57,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,2654231,0,82,0,0,3.03806,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -5 -23 -4 -23 -4 -23 -3 -23 -2 -23 -2 -23 -1 -22 0 -23 0 -23 0 -22 2 -22 2 -22 2 -22 2 -21 2 -21 2 -20 3 -20 2 -19 3 -20 2 -19 2 -19 2 -19 2 -18 1 -18 2 -18 2 -18 0 0 1 -18 0 -17 0 -17 0 -17 -1 -16 -1 -16 -1 -16 -2 -16 -2 -16 -2 -15 -2 -15 -3 -16 -3 -15 -4 -15 -4 -15 -5 -15 -5 -15 -5 -15 -5 -15 -6 -15 -6 -15 -6 -14 -6 -14 -7 -15 -7 -14 -7 -14 0 0 0 0 0 0 0 0 0 0 ]
