type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-53,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,68256,0,131,0,0,0.45978,128,[-125 48 8 0 0 0 0 0 0 0 0 0 10 -13 11 -12 11 -13 12 -14 12 -13 12 -11 12 -11 13 -11 14 -12 14 -11 15 -12 16 -12 15 -12 15 -12 14 -10 16 -11 15 -9 14 -8 15 -8 15 -9 14 -8 15 -9 13 -7 14 -9 15 -10 15 -10 0 0 14 -10 15 -10 15 -10 13 -9 12 -8 13 -10 14 -10 12 -9 13 -10 12 -9 12 -10 11 -8 11 -9 12 -10 11 -9 11 -10 11 -11 10 -10 10 -10 8 -10 9 -10 9 -10 8 -11 7 -11 7 -11 6 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-53,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,70337,0,135,0,0,0.493965,128,[-121 112 8 0 0 0 0 0 0 0 0 0 -1 -7 -1 -7 -1 -8 -2 -9 -1 -8 0 -7 -1 -8 0 -8 0 -8 0 -8 -1 -9 0 -9 0 -9 0 -8 0 -8 0 -9 0 -8 1 -8 1 -8 1 -8 1 -8 1 -8 0 -7 0 -8 0 -8 0 -8 0 0 0 -8 0 -8 0 -8 0 -8 0 -7 0 -7 -1 -7 0 -7 -1 -7 0 -7 -1 -8 -1 -7 -2 -7 -2 -7 -1 -7 -2 -7 -1 -7 -2 -6 -2 -6 -2 -6 -2 -5 -3 -6 -2 -6 -3 -5 -3 -5 -3 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,187639,0,239,0,0,0.578708,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 12 -6 12 -6 14 -6 14 -6 14 -6 14 -5 15 -5 15 -5 15 -6 16 -5 17 -4 17 -4 17 -4 17 -3 17 -3 17 -3 17 -2 17 -2 17 -2 17 -3 17 -2 18 -2 17 -2 17 -1 17 -1 17 -1 0 0 16 -2 16 -2 15 -2 16 -2 15 -3 16 -2 16 -2 15 -3 15 -4 15 -4 14 -4 14 -4 14 -4 14 -4 13 -5 13 -6 13 -5 12 -6 12 -6 12 -7 13 -7 11 -7 11 -7 11 -8 11 -8 11 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-62,11,1,5,1,1,1,0,0,0,0,-94,0,6,1,189201,0,239,0,0,0.610464,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -13 -6 -12 -7 -14 -7 -13 -7 -13 -8 -12 -8 -13 -9 -13 -10 -13 -10 -13 -11 -13 -11 -13 -13 -12 -13 -12 -13 -12 -13 -13 -14 -12 -13 -12 -14 -11 -13 -11 -13 -11 -14 -11 -14 -10 -14 -10 -14 -11 -15 -10 -13 0 0 -10 -14 -11 -14 -10 -13 -11 -12 -9 -12 -11 -13 -10 -13 -11 -12 -10 -13 -11 -12 -10 -11 -10 -11 -11 -11 -11 -10 -11 -11 -11 -9 -11 -10 -11 -9 -11 -8 -12 -7 -11 -8 -13 -8 -12 -8 -12 -7 -13 -7 -12 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2082635,0,37,0,0,2.47397,128,[37 80 2 0 0 0 0 0 0 0 0 0 5 -11 5 -11 5 -12 6 -13 6 -12 7 -11 7 -11 8 -11 8 -11 8 -11 8 -13 9 -12 9 -12 9 -12 9 -10 10 -13 9 -11 9 -10 9 -10 10 -10 10 -10 11 -11 9 -8 9 -11 10 -12 10 -11 0 0 10 -11 9 -12 9 -12 9 -12 8 -11 9 -12 9 -12 8 -11 8 -12 8 -11 8 -13 7 -11 7 -12 8 -12 8 -12 7 -12 8 -13 7 -12 7 -12 7 -13 6 -12 6 -13 6 -13 6 -14 6 -13 5 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2087024,0,82,0,0,2.50607,128,[82 -96 4 0 0 0 0 0 0 0 0 0 5 9 5 10 6 11 6 11 6 11 4 11 5 12 4 11 5 13 3 13 4 13 4 15 3 14 4 14 3 13 4 15 2 13 3 13 2 13 3 13 2 13 3 14 1 12 2 13 3 15 3 14 0 0 4 14 3 15 4 14 4 14 3 12 4 13 4 13 3 13 4 13 3 13 5 13 4 12 4 12 5 13 5 12 5 12 6 13 5 12 5 12 6 11 6 12 6 12 6 12 7 11 6 11 6 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-55,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2385557,0,37,0,0,2.77672,128,[37 80 2 0 0 0 0 0 0 0 0 0 18 5 18 6 20 6 20 7 20 8 17 8 19 8 17 9 19 10 19 11 21 11 21 12 20 12 19 12 16 11 21 12 17 12 16 13 16 12 17 12 16 12 18 13 14 13 17 12 19 13 18 12 0 0 18 12 19 12 19 11 18 11 15 10 18 10 18 10 16 10 18 9 17 10 18 9 15 9 17 8 17 9 17 8 17 7 19 7 16 6 17 6 17 6 17 5 17 5 18 5 18 4 16 4 16 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,6,1,1,1,1,0,0,0,-91,4,6,1,2396457,0,110,0,0,2.80603,384,[110 96 6 0 0 0 0 0 0 0 0 0 16 -2 16 -2 16 -2 17 -1 17 -1 16 0 17 0 17 0 17 1 17 1 17 2 18 2 18 3 18 3 18 3 18 4 18 4 17 4 16 4 17 4 17 4 17 4 16 4 16 4 17 4 16 4 0 0 16 4 17 4 16 3 16 3 15 3 15 3 15 3 14 3 15 2 15 2 14 1 14 1 14 1 14 1 14 0 14 -1 14 -2 14 -1 13 -1 14 -1 14 -2 13 -4 14 -2 13 -4 13 -3 13 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,6,1,1,1,1,0,0,0,-91,1,6,1,2494365,0,110,0,0,2.88524,384,[110 96 6 0 0 0 0 0 0 0 0 0 10 5 12 6 11 6 11 8 10 8 11 8 12 8 11 8 11 9 11 9 11 10 11 10 11 10 11 11 10 11 11 11 10 11 9 11 9 11 9 11 9 11 9 11 9 11 9 12 9 12 9 11 0 0 8 12 9 11 9 11 8 10 8 11 8 10 8 10 9 9 9 9 9 9 9 9 8 9 9 8 9 8 8 8 9 7 9 7 8 6 8 6 9 6 9 6 9 6 9 5 9 4 9 5 9 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,7,1,1,1,1,0,0,0,-91,1,6,1,2579151,0,110,0,0,2.96998,384,[110 96 6 0 0 0 0 0 0 0 0 0 -16 -1 -15 -1 -17 -1 -16 -1 -17 -2 -17 -2 -18 -3 -17 -3 -17 -3 -18 -4 -18 -4 -17 -5 -18 -5 -18 -6 -17 -6 -18 -6 -17 -6 -18 -6 -17 -6 -17 -7 -16 -7 -17 -7 -16 -7 -16 -6 -16 -7 -16 -7 0 0 -16 -7 -16 -7 -15 -6 -16 -6 -14 -7 -15 -6 -15 -6 -15 -6 -15 -5 -14 -6 -14 -5 -14 -5 -13 -4 -13 -4 -14 -4 -13 -3 -13 -3 -13 -2 -13 -2 -13 -2 -13 -2 -13 -1 -13 -1 -12 0 -12 0 -12 1 0 0 0 0 0 0 0 0 0 0 ]
