type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-53,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,68256,0,131,0,0,0.456917,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -15 8 -16 8 -17 9 -17 9 -17 6 -16 5 -17 6 -17 4 -17 5 -18 4 -19 5 -20 5 -19 4 -18 4 -18 2 -20 5 -18 3 -17 1 -18 1 -17 2 -17 2 -18 2 -15 1 -17 3 -18 4 -17 3 0 0 -16 3 -17 4 -17 5 -16 4 -15 3 -15 4 -15 5 -14 3 -14 5 -15 4 -15 6 -13 5 -13 6 -14 6 -13 5 -13 7 -12 7 -12 6 -11 7 -11 7 -11 8 -11 8 -10 8 -10 9 -9 8 -9 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-60,11,1,5,1,1,1,0,0,0,0,-94,0,6,1,69565,0,135,0,0,0.48843,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -7 17 -7 16 -8 18 -9 18 -9 17 -10 16 -10 15 -11 15 -12 15 -12 16 -13 15 -13 15 -13 14 -13 15 -14 14 -14 15 -14 13 -13 13 -13 12 -13 13 -13 12 -13 13 -14 12 -12 12 -13 13 -12 12 0 0 -12 12 -12 13 -11 12 -10 13 -10 11 -10 11 -10 12 -9 12 -9 13 -8 13 -8 12 -7 12 -6 13 -6 12 -6 12 -5 13 -5 13 -4 12 -4 12 -3 12 -3 12 -3 12 -2 13 -1 12 -1 13 -1 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-62,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,195647,0,239,0,0,0.583834,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -17 0 -17 0 -18 -1 -18 -2 -18 -2 -18 -3 -18 -4 -19 -4 -18 -5 -18 -5 -18 -5 -19 -5 -18 -6 -18 -6 -18 -6 -18 -6 -18 -7 -17 -7 -17 -7 -16 -7 -17 -7 -17 -8 -16 -7 -16 -6 -17 -7 -16 -6 0 0 -15 -5 -15 -6 -15 -6 -15 -5 -15 -5 -14 -5 -15 -5 -14 -4 -14 -4 -14 -3 -14 -2 -14 -2 -14 -2 -13 -2 -13 -2 -13 -1 -13 -2 -13 2 -13 0 -13 2 -14 2 -12 1 -13 3 -11 2 -12 3 -12 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-58,11,0,0,0,0,0,0,0,0,0,-90,0,6,1,2073183,0,37,0,0,2.46166,128,[37 80 2 0 0 0 0 0 0 0 0 0 -12 -18 -11 -17 -13 -21 -14 -21 -12 -21 -9 -20 -11 -21 -9 -21 -11 -23 -8 -24 -10 -25 -9 -26 -9 -25 -8 -25 -7 -23 -10 -28 -6 -23 -6 -24 -6 -23 -6 -24 -6 -23 -7 -25 -4 -23 -6 -24 -8 -26 -7 -25 0 0 -8 -24 -9 -25 -9 -23 -9 -24 -7 -20 -9 -22 -10 -23 -9 -21 -10 -21 -8 -22 -10 -22 -8 -19 -10 -19 -10 -19 -10 -19 -11 -18 -13 -19 -11 -17 -11 -17 -12 -15 -12 -15 -14 -14 -14 -15 -14 -14 -13 -13 -14 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-68,11,1,7,1,1,1,0,0,0,0,-90,0,6,1,2073395,0,82,0,0,2.50025,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -10 -9 -10 -9 -11 -10 -10 -10 -10 -12 -9 -11 -9 -12 -9 -12 -9 -13 -8 -14 -8 -14 -8 -15 -7 -14 -7 -14 -7 -14 -8 -15 -6 -14 -7 -14 -7 -15 -7 -14 -7 -15 -7 -15 -6 -15 -5 -14 -6 -15 -5 -14 0 0 -6 -14 -6 -15 -6 -14 -7 -13 -6 -13 -7 -13 -6 -12 -7 -13 -6 -13 -6 -12 -7 -11 -6 -12 -7 -12 -8 -11 -7 -11 -8 -10 -8 -10 -7 -9 -9 -9 -9 -8 -9 -8 -9 -8 -9 -9 -9 -7 -9 -7 -10 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2401233,0,37,0,0,2.7895,128,[37 80 2 0 0 0 0 0 0 0 0 0 -18 11 -17 10 -21 12 -21 12 -22 10 -20 7 -21 8 -21 6 -23 7 -24 6 -25 8 -26 7 -25 6 -24 6 -22 4 -27 7 -23 3 -23 3 -22 3 -23 3 -22 2 -25 3 -22 1 -23 4 -24 5 -23 4 0 0 -22 5 -24 6 -22 6 -23 6 -19 4 -21 6 -21 6 -20 5 -20 7 -21 6 -20 7 -18 6 -18 8 -18 7 -18 8 -17 8 -18 10 -16 9 -16 9 -15 9 -15 10 -14 11 -15 11 -14 13 -13 11 -13 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,6,1,1,1,1,0,0,0,-91,2,6,1,2413269,0,110,0,0,2.82201,384,[110 96 6 0 0 0 0 0 0 0 0 0 -14 2 -14 2 -15 2 -16 1 -15 0 -15 0 -15 0 -15 -1 -16 -1 -16 -2 -17 -2 -16 -3 -17 -3 -16 -4 -16 -4 -16 -4 -16 -4 -16 -4 -15 -5 -15 -4 -16 -4 -15 -5 -15 -4 -15 -5 -16 -5 -15 -5 0 0 -14 -4 -14 -4 -15 -4 -14 -3 -14 -3 -14 -3 -14 -3 -14 -3 -13 -2 -13 -1 -13 -1 -13 -2 -13 -1 -13 0 -12 0 -13 0 -12 0 -12 1 -11 1 -12 2 -11 2 -11 2 -11 3 -11 4 -11 3 -11 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-67,11,1,7,1,1,1,1,0,0,0,-91,1,6,1,2413607,0,110,0,0,2.86478,384,[110 96 6 0 0 0 0 0 0 0 0 0 9 -10 9 -10 10 -10 11 -10 12 -9 12 -10 12 -9 12 -8 14 -9 14 -8 14 -8 14 -8 14 -6 14 -7 14 -7 15 -6 14 -6 15 -6 14 -6 15 -5 15 -6 14 -5 14 -5 14 -5 14 -5 14 -5 0 0 13 -5 13 -5 13 -5 12 -5 12 -5 13 -5 12 -6 12 -6 12 -6 11 -6 10 -7 11 -6 10 -6 10 -7 10 -7 9 -7 9 -8 9 -8 8 -8 8 -8 8 -8 7 -9 7 -9 6 -10 7 -10 6 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-66,11,1,6,1,1,1,1,0,0,0,-91,1,6,1,2413839,0,110,0,0,2.90452,384,[110 96 6 0 0 0 0 0 0 0 0 0 4 13 4 12 4 13 3 14 3 14 2 14 2 14 2 14 1 15 1 15 0 16 0 16 0 16 -1 16 -1 16 -2 15 -2 16 -2 14 -2 15 -1 15 -1 15 -2 15 -2 14 -2 14 -3 15 -2 14 0 0 -2 14 -1 14 -2 14 -1 14 -1 13 -1 13 -1 13 0 12 0 13 1 13 1 12 1 12 1 12 2 12 2 11 2 11 3 11 3 10 4 10 4 9 4 10 5 10 5 9 5 9 5 9 6 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,5,1,1,1,1,0,0,0,-91,1,6,1,2414121,0,110,0,0,2.94149,384,[110 96 6 0 0 0 0 0 0 0 0 0 12 -5 13 -5 14 -5 14 -4 15 -3 14 -3 15 -3 14 -3 15 -2 15 -1 16 0 16 0 15 0 16 1 15 1 16 1 15 1 15 1 15 2 15 1 15 2 15 2 15 2 14 2 15 2 14 1 0 0 14 1 14 1 14 1 14 1 12 0 13 1 13 0 13 0 13 0 12 -1 12 -1 11 -1 12 -1 11 -2 11 -2 11 -3 12 -3 10 -4 10 -4 10 -4 10 -5 10 -5 10 -5 9 -6 10 -6 9 -6 0 0 0 0 0 0 0 0 0 0 ]
