type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-55,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,69806,0,131,0,0,0.459741,128,[-125 48 8 0 0 0 0 0 0 0 0 0 20 1 19 2 22 2 23 3 22 4 20 5 21 6 20 7 21 7 22 9 24 8 24 9 23 9 23 9 20 10 25 10 21 10 19 11 20 11 19 11 18 12 20 12 17 11 20 10 23 11 22 10 0 0 20 10 22 10 21 9 21 8 18 8 20 9 20 8 18 8 20 7 18 8 20 6 17 6 18 5 19 6 17 5 18 4 19 3 17 3 17 3 16 2 16 2 16 1 16 0 17 -2 15 -2 15 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,71643,0,135,0,0,0.488386,384,[-121 112 8 0 0 0 0 0 0 0 0 0 12 8 11 8 12 9 11 9 11 10 11 11 10 12 10 12 10 13 10 13 10 13 9 14 9 14 9 14 9 14 9 14 8 14 9 14 8 14 8 15 7 14 8 14 7 14 7 14 7 15 7 13 0 0 7 13 7 13 6 13 7 12 8 12 8 13 7 11 8 10 7 11 8 10 8 10 8 10 8 9 8 9 8 9 9 8 9 8 8 7 9 7 9 6 9 6 9 6 9 6 10 4 10 4 10 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,72288,0,135,0,0,0.523718,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -15 2 -15 1 -17 0 -16 -1 -16 0 -16 -1 -16 -2 -16 -3 -17 -3 -17 -3 -17 -3 -17 -4 -18 -5 -18 -5 -16 -5 -18 -5 -17 -5 -18 -5 -16 -4 -17 -6 -17 -5 -16 -5 -16 -6 -15 -4 -16 -5 -15 -5 0 0 -16 -4 -15 -4 -15 -3 -16 -3 -15 -3 -15 -3 -15 -3 -14 -4 -14 0 -13 -1 -14 -1 -14 -1 -14 0 -13 0 -13 0 -13 1 -12 1 -12 2 -12 1 -11 2 -11 3 -12 2 -11 3 -11 4 -10 4 -10 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,226084,0,239,0,0,0.615839,128,[-17 -16 14 0 0 0 0 0 0 0 0 0 -13 -6 -12 -7 -13 -7 -15 -8 -13 -8 -12 -9 -12 -10 -11 -10 -12 -10 -12 -11 -13 -11 -13 -12 -13 -11 -12 -12 -11 -12 -13 -13 -11 -13 -9 -12 -10 -12 -10 -13 -10 -13 -10 -13 -8 -12 -11 -12 -12 -13 -11 -12 0 0 -11 -12 -11 -12 -12 -12 -11 -11 -10 -10 -11 -11 -11 -11 -10 -10 -11 -10 -10 -10 -12 -10 -10 -8 -11 -8 -11 -9 -10 -8 -11 -8 -11 -7 -10 -7 -10 -7 -10 -6 -10 -6 -10 -5 -10 -4 -11 -4 -10 -3 -11 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-58,11,0,0,0,0,0,0,0,0,0,-90,0,6,1,2086943,0,37,0,0,2.47671,128,[37 80 2 0 0 0 0 0 0 0 0 0 -15 11 -16 10 -18 12 -19 12 -18 11 -17 9 -18 10 -18 9 -19 9 -20 9 -21 10 -23 10 -22 9 -22 9 -20 7 -23 10 -21 6 -21 6 -20 7 -21 6 -20 6 -22 7 -19 5 -21 7 -23 8 -22 8 0 0 -21 8 -21 8 -21 9 -20 8 -18 6 -19 8 -20 8 -18 7 -19 9 -18 7 -19 9 -17 7 -17 8 -17 8 -17 8 -16 8 -17 10 -15 8 -15 9 -14 9 -14 9 -14 10 -13 10 -13 11 -13 10 -12 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-68,11,1,7,1,1,1,0,0,0,0,-90,0,6,1,2087620,0,82,0,0,2.50954,384,[82 -96 4 0 0 0 0 0 0 0 0 0 13 -6 13 -7 13 -7 14 -7 15 -7 14 -6 14 -6 15 -6 15 -5 16 -5 16 -5 16 -4 17 -3 17 -3 17 -4 17 -4 17 -3 17 -4 17 -2 17 -3 16 -3 16 -2 16 -2 16 -1 17 -2 15 -1 0 0 15 -3 15 -2 15 -2 15 -3 14 -3 14 -3 14 -3 14 -4 12 -3 12 -3 14 -3 14 -3 13 -3 12 -5 13 -4 11 -4 13 -5 12 -5 11 -6 11 -6 11 -6 11 -6 11 -6 10 -7 9 -7 10 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-57,11,0,0,0,0,0,0,0,0,0,-90,0,6,1,2397070,0,37,0,0,2.78664,128,[37 80 2 0 0 0 0 0 0 0 0 0 -8 -16 -8 -17 -8 -19 -9 -20 -7 -19 -6 -19 -6 -20 -4 -20 -5 -21 -4 -21 -6 -23 -5 -24 -5 -24 -5 -23 -3 -22 -6 -25 -3 -23 -2 -21 -2 -22 -2 -22 -2 -22 -2 -25 -1 -21 -4 -23 -4 -26 -4 -24 0 0 -4 -24 -5 -24 -6 -25 -5 -23 -4 -22 -5 -23 -5 -24 -4 -22 -6 -23 -4 -23 -6 -23 -5 -21 -6 -21 -6 -22 -5 -21 -7 -22 -8 -23 -6 -21 -6 -20 -7 -20 -7 -19 -7 -20 -8 -19 -9 -19 -8 -18 -8 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-68,11,1,7,1,1,1,1,0,0,0,-90,3,6,1,2406975,0,110,0,0,2.82261,384,[110 96 6 0 0 0 0 0 0 0 0 0 -3 -14 -4 -13 -3 -14 -3 -15 -3 -15 -3 -15 -2 -15 -2 -16 -1 -16 -1 -16 -1 -17 -1 -17 0 -17 0 -17 0 -16 2 -17 1 -18 1 -18 1 -18 2 -17 2 -17 1 -18 1 -16 2 -17 2 -17 2 -17 0 0 2 -17 2 -17 1 -17 1 -16 1 -16 1 -16 0 -16 0 -16 1 -16 0 -16 0 -16 -1 -16 -1 -15 -1 -15 -1 -15 -1 -16 -1 -15 -2 -15 -2 -15 -2 -15 -3 -15 -3 -14 -3 -14 -4 -14 -3 -14 -3 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-67,11,1,7,1,1,1,1,0,0,0,-90,1,6,1,2408383,0,110,0,0,2.8651,384,[110 96 6 0 0 0 0 0 0 0 0 0 3 12 3 13 3 13 2 14 2 15 1 14 2 15 1 15 1 16 1 15 -1 16 -1 16 -1 16 -1 16 -1 16 -2 17 -2 17 -2 16 -1 17 -2 16 -2 16 -2 17 -3 17 -3 16 -3 17 -3 16 0 0 -3 17 -2 16 -2 17 -2 16 -2 16 -1 16 -2 16 -1 15 -1 16 0 15 0 15 0 15 -1 15 0 14 0 15 0 15 1 15 1 14 1 14 2 14 2 14 2 13 3 13 3 14 2 14 3 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-67,11,1,7,1,1,1,1,0,0,0,-90,2,6,1,2598945,0,110,0,0,2.98838,384,[110 96 6 0 0 0 0 0 0 0 0 0 11 4 11 5 11 6 12 7 12 8 12 7 14 8 12 7 12 9 12 10 13 8 12 12 12 11 12 11 13 10 12 11 11 11 12 11 11 11 12 12 11 12 12 12 12 12 12 11 12 12 12 12 0 0 11 12 11 11 11 12 12 10 11 11 12 11 12 12 11 11 11 11 11 10 12 10 11 10 11 10 11 9 11 9 11 9 11 8 11 8 11 7 11 7 11 7 11 7 12 5 12 4 11 6 11 4 0 0 0 0 0 0 0 0 0 0 ]
