type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-55,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,68342,0,131,0,0,0.462836,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -1 15 -1 14 -1 17 -1 17 -3 17 -3 15 -4 18 -4 16 -4 18 -6 19 -5 20 -7 22 -7 21 -7 20 -7 17 -7 22 -8 19 -9 19 -9 18 -9 19 -9 19 -9 21 -10 17 -8 20 -9 22 -9 22 0 0 -9 21 -9 23 -7 22 -8 22 -8 19 -8 21 -8 21 -8 19 -6 21 -8 20 -7 21 -7 18 -6 20 -7 19 -7 20 -5 19 -5 21 -5 19 -5 19 -4 19 -4 18 -3 18 -3 19 -2 19 -2 17 -2 17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,5,1,1,1,0,0,0,0,-94,0,6,1,71218,0,135,0,0,0.494606,384,[-121 112 8 0 0 0 0 0 0 0 0 0 6 -9 6 -9 6 -9 7 -9 8 -9 7 -9 9 -10 8 -9 9 -10 10 -9 10 -9 11 -9 11 -9 12 -8 11 -8 12 -9 12 -8 12 -8 11 -8 13 -8 13 -7 13 -9 13 -7 13 -7 14 -7 13 -8 0 0 14 -8 13 -8 13 -8 12 -8 12 -7 12 -8 13 -8 12 -7 12 -8 11 -8 11 -8 11 -8 11 -8 10 -8 10 -8 10 -9 10 -9 9 -9 9 -9 8 -9 9 -9 8 -9 8 -9 7 -9 8 -10 7 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,188956,0,239,0,0,0.582992,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -9 -6 -9 -6 -8 -6 -9 -8 -9 -7 -9 -8 -9 -9 -9 -8 -10 -10 -10 -10 -10 -11 -10 -12 -10 -11 -10 -12 -10 -12 -10 -13 -10 -13 -10 -13 -10 -13 -9 -14 -9 -14 -9 -14 -9 -14 -9 -14 -9 -14 -9 -14 0 0 -9 -14 -9 -14 -8 -15 -9 -14 -8 -14 -10 -14 -9 -15 -9 -14 -8 -14 -10 -13 -9 -13 -9 -13 -9 -12 -9 -12 -9 -13 -10 -12 -10 -12 -10 -11 -9 -11 -10 -10 -10 -11 -10 -10 -10 -10 -11 -9 -11 -10 -10 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,7,1,1,1,0,0,0,0,-92,0,6,1,2082065,0,82,0,0,2.47637,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -3 18 -3 17 -4 18 -5 18 -6 19 -6 18 -7 19 -8 18 -8 18 -9 18 -10 18 -10 17 -9 17 -11 17 -11 17 -11 18 -12 17 -11 16 -11 16 -12 16 -12 15 -12 16 -12 15 -10 15 -11 15 -11 15 0 0 -11 15 -9 15 -10 14 -9 14 -9 14 -9 14 -9 14 -9 14 -8 14 -8 14 -8 14 -7 14 -6 14 -5 14 -6 14 -5 13 -4 14 -4 13 -4 13 -3 13 -3 13 -3 13 -1 13 -1 13 -1 13 0 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2083115,0,37,0,0,2.50937,128,[37 80 2 0 0 0 0 0 0 0 0 0 -5 21 -5 21 -6 23 -7 25 -7 22 -8 20 -9 22 -10 20 -11 22 -13 21 -12 24 -14 23 -13 23 -13 22 -13 19 -14 24 -14 20 -14 18 -15 19 -14 19 -14 18 -14 21 -13 16 -13 19 -14 21 -13 21 0 0 -12 20 -12 21 -11 21 -12 20 -11 18 -10 19 -10 20 -11 18 -8 20 -10 18 -9 20 -9 17 -8 18 -8 19 -7 18 -6 18 -5 19 -5 17 -4 17 -4 17 -3 17 -2 17 -2 17 -1 18 -1 16 -1 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-55,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2408633,0,37,0,0,2.80279,128,[37 80 2 0 0 0 0 0 0 0 0 0 -13 -19 -13 -18 -14 -21 -15 -21 -13 -22 -10 -20 -12 -22 -9 -22 -11 -24 -9 -25 -10 -26 -9 -28 -9 -26 -8 -26 -6 -24 -10 -28 -7 -24 -6 -25 -5 -24 -6 -24 -6 -24 -8 -26 -4 -23 -6 -24 -8 -27 -7 -25 0 0 -8 -24 -9 -26 -9 -23 -9 -24 -6 -20 -9 -22 -10 -22 -8 -21 -10 -21 -8 -22 -9 -21 -8 -19 -9 -19 -9 -19 -10 -19 -10 -17 -12 -19 -10 -17 -11 -16 -11 -15 -12 -15 -13 -14 -13 -15 -14 -14 -12 -13 -13 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,7,1,1,1,1,0,0,0,-92,3,6,1,2409215,0,110,0,0,2.84085,384,[110 96 6 0 0 0 0 0 0 0 0 0 -7 14 -8 13 -9 14 -8 13 -9 14 -10 14 -10 13 -10 13 -11 13 -12 14 -12 13 -13 12 -13 12 -13 12 -13 12 -14 14 -12 12 -13 12 -13 11 -13 11 -14 11 -13 11 -14 11 -13 11 -14 10 -13 11 0 0 -12 10 -13 11 -11 11 -12 11 -11 10 -10 11 -11 10 -10 10 -11 11 -11 11 -10 11 -9 11 -8 11 -8 10 -8 10 -7 11 -6 11 -6 11 -6 11 -5 11 -4 10 -4 11 -3 11 -2 11 -3 12 -2 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-66,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2418984,0,110,0,0,2.88385,384,[110 96 6 0 0 0 0 0 0 0 0 0 13 -6 14 -5 15 -4 15 -4 15 -4 14 -4 15 -3 16 -2 15 -2 16 -1 16 -2 17 0 16 0 16 0 16 0 17 0 17 0 16 1 15 0 16 1 16 2 15 1 16 1 15 2 15 2 15 1 0 0 15 1 15 1 14 1 15 0 14 0 14 0 14 1 14 0 13 -1 13 -1 13 -1 13 -1 13 -1 12 -1 12 -2 12 -3 12 -3 11 -3 11 -3 10 -4 10 -4 10 -4 10 -5 9 -6 9 -5 9 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,7,1,1,1,1,0,0,0,-92,2,6,1,2607541,0,110,0,0,3.00195,384,[110 96 6 0 0 0 0 0 0 0 0 0 -15 -1 -15 -1 -16 -2 -17 -3 -17 -3 -16 -3 -16 -5 -16 -5 -17 -6 -17 -5 -17 -6 -17 -6 -17 -7 -17 -8 -16 -7 -17 -8 -16 -8 -16 -8 -15 -8 -15 -8 -16 -9 -16 -9 -15 -8 -15 -8 -15 -8 -16 -8 0 0 -16 -8 -15 -8 -15 -8 -14 -7 -14 -7 -14 -7 -15 -7 -14 -6 -15 -6 -15 -5 -14 -5 -14 -4 -14 -4 -14 -4 -13 -4 -14 -3 -13 -3 -13 -2 -13 -2 -13 -1 -13 -1 -13 -1 -12 -1 -13 1 -13 0 -12 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-59,11,1,0,1,1,1,1,0,0,0,-92,1,6,1,2690889,0,110,0,0,3.08471,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -15 -1 -15 -2 -18 1 -19 1 -17 3 -16 3 -17 3 -16 3 -17 5 -17 6 -20 5 -19 5 -19 7 -19 7 -15 7 -20 7 -18 8 -16 8 -16 7 -15 8 -16 8 -17 10 -14 9 -16 10 -18 8 -16 0 0 9 -17 6 -17 7 -18 6 -16 8 -15 7 -17 8 -16 7 -15 7 -16 3 -15 4 -16 5 -14 5 -14 3 -15 3 -14 2 -15 3 -17 1 -14 1 -14 -1 -13 1 -14 0 -14 0 -14 -2 -14 0 -13 -2 -12 0 0 0 0 0 0 0 0 0 0 ]
