type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,58:BF:25:17:9A:5C,-49,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,1119421,0,157,0,0,1.50099,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 -27 7 -27 6 -28 6 -29 6 -28 4 -26 2 -27 3 -26 2 -27 2 -26 1 -28 1 -28 1 -26 0 -26 0 -24 -1 -27 1 -24 -1 -22 -1 -22 -1 -22 0 -22 0 -23 0 -20 -1 -21 1 -23 2 -22 2 0 0 -21 3 -21 3 -21 4 -20 4 -18 3 -19 5 -20 5 -18 5 -19 6 -18 5 -19 6 -18 6 -18 7 -18 7 -18 7 -18 7 -18 9 -17 8 -17 9 -16 9 -16 10 -17 10 -16 10 -16 11 -16 10 -15 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1201659,0,135,0,0,1.58274,384,[-121 112 8 0 0 0 0 0 0 0 0 0 0 24 -1 23 -1 24 -2 23 -3 23 -3 22 -4 22 -5 22 -4 22 -5 21 -6 21 -6 20 -6 20 -6 20 -6 19 -6 20 -6 18 -6 18 -5 18 -5 17 -5 17 -5 17 -5 17 -5 16 -5 16 -4 16 0 0 -3 16 -3 16 -2 16 -2 16 -2 16 -1 15 -1 15 -1 15 -1 15 0 15 0 15 1 15 1 15 2 14 2 15 2 14 3 15 3 14 4 14 4 14 4 15 5 14 5 14 6 14 5 14 5 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-59,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1252780,0,390,0,0,1.63381,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 22 2 21 3 22 4 21 5 21 5 20 5 20 6 19 7 20 7 19 7 19 8 18 8 18 8 18 9 17 9 17 8 16 8 16 8 15 7 16 8 16 8 16 8 15 7 15 7 15 8 15 6 0 0 14 7 15 7 14 6 15 6 14 5 14 5 14 5 14 4 14 4 14 3 14 2 14 3 14 2 14 2 15 2 14 2 15 1 14 0 14 1 15 0 15 0 14 0 15 0 15 -1 15 -1 15 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-59,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1296854,0,390,0,0,1.67769,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 5 21 4 20 4 21 3 21 2 20 2 20 1 20 -1 20 -1 20 -1 20 -1 20 -2 20 -1 19 -1 19 -2 19 -3 19 -3 18 -2 18 -2 18 -2 17 -3 17 -2 16 -2 16 -1 16 -2 16 -2 16 0 0 -2 16 -1 15 0 15 0 15 0 15 0 15 0 15 1 14 1 14 1 14 2 14 3 13 3 14 3 14 3 13 3 14 4 13 4 13 4 14 4 13 5 14 5 13 6 13 6 13 6 13 6 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,6,1,1,1,0,0,0,0,-92,0,6,1,1340050,0,82,0,0,1.72085,384,[82 -96 4 0 0 0 0 0 0 0 0 0 4 -23 5 -21 6 -22 6 -21 7 -22 7 -20 8 -20 9 -19 9 -20 9 -20 9 -19 10 -19 9 -19 10 -19 9 -17 10 -18 9 -17 9 -17 9 -16 8 -16 9 -15 8 -16 9 -16 8 -16 8 -16 7 -15 0 0 7 -15 6 -15 5 -15 6 -16 5 -14 5 -15 5 -15 4 -15 4 -15 3 -15 3 -15 2 -15 2 -15 1 -15 1 -16 0 -15 0 -16 0 -15 0 -15 0 -15 0 -16 -2 -15 -2 -16 -3 -16 -2 -16 -2 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-59,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1752480,0,82,0,0,2.13333,384,[82 -96 4 0 0 0 0 0 0 0 0 0 10 -20 12 -19 12 -19 12 -19 12 -18 13 -17 14 -16 15 -16 15 -16 14 -15 14 -16 14 -15 14 -14 14 -15 14 -14 14 -13 13 -13 13 -12 13 -12 13 -12 13 -11 13 -12 12 -11 11 -12 11 -12 11 -12 0 0 11 -12 10 -12 10 -12 9 -12 8 -12 8 -12 8 -12 8 -12 7 -12 7 -12 6 -13 6 -12 5 -13 5 -13 5 -13 5 -14 4 -14 4 -14 5 -14 4 -14 4 -14 3 -14 3 -14 1 -15 2 -15 2 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-59,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1754324,0,82,0,0,2.16696,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -21 -14 -21 -15 -20 -16 -20 -16 -19 -17 -18 -17 -17 -18 -17 -18 -16 -18 -16 -17 -16 -18 -16 -18 -15 -18 -15 -18 -14 -18 -14 -18 -13 -17 -12 -17 -13 -16 -12 -16 -12 -16 -12 -16 -12 -15 -12 -14 -13 -14 -11 -14 0 0 -12 -14 -12 -12 -12 -12 -12 -13 -12 -12 -12 -12 -12 -11 -13 -11 -12 -11 -13 -10 -14 -9 -14 -9 -14 -8 -14 -9 -14 -9 -15 -7 -15 -8 -15 -7 -14 -7 -15 -7 -15 -7 -15 -6 -16 -6 -16 -5 -15 -5 -16 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-59,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,2252166,0,82,0,0,2.63302,384,[82 -96 4 0 0 0 0 0 0 0 0 0 20 -4 20 -3 21 -2 21 -2 21 -1 20 -1 20 0 19 1 20 1 19 1 20 2 19 2 19 2 18 3 19 3 18 3 17 3 17 3 17 3 17 3 16 3 16 3 16 2 16 2 16 3 16 2 0 0 15 1 15 1 15 1 14 0 14 0 14 0 14 0 14 -1 14 -1 14 -1 14 -2 14 -2 14 -2 14 -3 14 -3 14 -3 14 -4 14 -5 14 -5 13 -5 13 -5 14 -5 14 -5 14 -6 14 -6 14 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,2754043,0,82,0,0,3.1349,384,[82 -96 4 0 0 0 0 0 0 0 0 0 20 10 19 11 20 12 19 12 18 13 17 13 17 13 16 14 16 14 16 14 15 15 15 15 15 14 14 14 13 14 14 15 13 14 13 13 12 13 12 14 12 14 12 13 12 12 12 13 12 12 12 11 0 0 12 11 12 11 12 10 12 10 11 9 12 9 12 9 12 8 12 8 12 7 12 7 12 7 13 7 13 6 13 6 13 5 14 5 13 5 14 5 14 4 13 4 13 4 14 3 15 3 14 3 14 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,3020299,0,82,0,0,3.4012,384,[82 -96 4 0 0 0 0 0 0 0 0 0 12 20 11 20 11 21 10 21 9 21 8 21 7 21 6 20 6 21 6 21 5 21 5 21 5 20 5 20 4 20 3 20 3 19 4 19 4 18 3 18 3 17 4 17 3 17 4 16 3 17 3 16 0 0 4 15 4 15 5 15 5 14 5 14 5 14 6 14 5 13 6 13 6 13 6 13 7 12 8 12 8 12 8 12 7 11 9 11 9 11 9 11 9 10 9 11 10 11 10 10 11 10 10 10 10 9 0 0 0 0 0 0 0 0 0 0 ]
