type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,78:21:84:7E:97:F9,-44,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,2079767,0,131,0,0,2.47813,128,[-125 48 8 0 0 0 0 0 0 0 0 0 23 -16 22 -14 24 -16 24 -15 25 -14 22 -10 23 -12 22 -10 24 -11 25 -9 25 -10 26 -9 24 -9 24 -8 22 -7 25 -10 21 -6 22 -7 20 -6 20 -7 20 -7 21 -8 20 -5 19 -7 21 -8 19 -8 0 0 19 -9 19 -10 17 -9 19 -10 16 -8 17 -10 17 -11 16 -10 16 -12 16 -10 16 -11 15 -10 15 -11 15 -11 15 -12 14 -12 16 -14 14 -12 13 -12 13 -14 13 -13 13 -14 14 -14 13 -14 13 -13 12 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-54,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,2080285,0,135,0,0,2.51287,384,[-121 112 8 0 0 0 0 0 0 0 0 0 7 -22 8 -21 9 -20 9 -20 10 -20 10 -20 10 -20 10 -19 11 -18 12 -18 12 -18 12 -17 12 -17 12 -16 12 -17 11 -16 11 -16 11 -15 11 -15 11 -15 11 -15 10 -15 10 -14 10 -14 10 -14 10 -14 0 0 8 -14 8 -14 8 -15 7 -14 7 -14 7 -15 6 -14 6 -15 6 -14 5 -14 5 -15 5 -14 4 -15 3 -15 3 -15 3 -15 2 -15 2 -16 2 -15 2 -15 1 -15 1 -16 1 -15 1 -16 0 -15 0 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-54,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,2203316,0,239,0,0,2.60119,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -24 -1 -23 -2 -24 -3 -23 -3 -23 -4 -22 -5 -22 -5 -22 -6 -23 -6 -22 -7 -21 -7 -21 -7 -21 -7 -21 -7 -20 -8 -21 -8 -19 -7 -19 -7 -18 -7 -18 -7 -18 -7 -18 -7 -18 -7 -17 -6 -18 -6 -17 -6 0 0 -17 -5 -17 -4 -17 -4 -17 -4 -15 -3 -16 -3 -16 -3 -17 -3 -17 -2 -17 -2 -16 -1 -16 -1 -16 -1 -16 0 -16 1 -16 1 -16 1 -16 1 -15 2 -16 2 -16 2 -16 3 -16 3 -16 4 -16 3 -16 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-46,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,4067067,0,37,0,0,4.46524,128,[37 80 2 0 0 0 0 0 0 0 0 0 24 -9 25 -7 25 -8 27 -8 25 -6 23 -4 25 -4 23 -2 25 -3 24 -2 25 -3 26 -3 25 -2 24 -2 23 -1 25 -3 23 -1 22 0 21 -1 21 -1 21 0 23 -1 19 0 20 -2 22 -3 21 -3 0 0 21 -3 21 -4 21 -5 20 -5 18 -4 19 -5 20 -5 19 -5 20 -7 18 -5 19 -7 17 -6 18 -7 19 -8 18 -7 18 -8 19 -10 18 -9 18 -8 18 -9 18 -9 19 -10 18 -10 18 -11 17 -10 17 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,7,1,1,1,0,0,0,0,-93,0,6,1,4067279,0,82,0,0,4.49702,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -4 -20 -3 -20 -2 -20 -1 -20 -1 -20 -1 -20 0 -19 0 -19 1 -20 1 -19 1 -19 2 -19 1 -19 2 -19 2 -18 2 -18 2 -18 2 -17 2 -17 2 -17 2 -17 2 -17 2 -16 1 -16 2 -16 1 -16 0 0 1 -16 1 -16 1 -15 0 -15 0 -15 -1 -15 -1 -15 -2 -15 -2 -15 -2 -14 -2 -15 -3 -14 -3 -15 -3 -15 -3 -14 -4 -15 -4 -14 -4 -14 -5 -14 -5 -14 -5 -14 -5 -14 -5 -14 -6 -14 -6 -14 -7 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-47,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,4384613,0,37,0,0,4.78257,128,[37 80 2 0 0 0 0 0 0 0 0 0 5 -27 6 -25 7 -28 6 -27 8 -27 8 -23 9 -24 9 -22 10 -24 10 -24 10 -24 11 -26 10 -24 10 -23 10 -21 11 -24 11 -20 12 -20 10 -19 10 -20 10 -19 10 -21 10 -18 8 -19 9 -22 8 -20 0 0 7 -20 7 -21 7 -20 6 -21 6 -18 5 -20 5 -21 4 -19 4 -21 5 -20 4 -20 3 -18 3 -20 3 -20 4 -20 3 -20 2 -22 2 -19 1 -19 1 -20 1 -20 1 -21 0 -21 -1 -21 0 -20 0 -19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,6,1,1,1,1,0,0,0,-93,2,6,1,4393334,0,110,0,0,4.81547,384,[110 96 6 0 0 0 0 0 0 0 0 0 -3 -19 -3 -19 -2 -19 -1 -19 -1 -19 0 -19 0 -18 1 -18 1 -19 1 -18 1 -18 1 -18 2 -18 2 -18 3 -17 3 -17 3 -17 2 -16 3 -16 3 -16 3 -16 3 -16 3 -15 2 -16 3 -15 2 -15 0 0 2 -15 2 -14 1 -15 1 -15 1 -14 1 -14 1 -14 0 -14 0 -15 -1 -14 -1 -14 -1 -13 -2 -14 -1 -14 -2 -14 -2 -14 -2 -14 -3 -13 -3 -13 -3 -14 -3 -14 -3 -13 -3 -13 -4 -13 -4 -13 -5 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,4393700,0,110,0,0,4.8574,384,[110 96 6 0 0 0 0 0 0 0 0 0 -23 -4 -23 -5 -22 -5 -23 -7 -22 -7 -22 -7 -21 -9 -21 -9 -21 -9 -20 -10 -21 -10 -21 -10 -20 -10 -20 -10 -19 -10 -19 -10 -18 -10 -18 -10 -18 -10 -17 -10 -17 -10 -17 -10 -16 -10 -17 -8 -17 -9 -17 -8 0 0 -16 -8 -16 -7 -16 -7 -17 -7 -16 -6 -16 -6 -16 -6 -16 -5 -16 -6 -16 -5 -16 -4 -16 -4 -16 -3 -17 -3 -16 -3 -17 -3 -16 -2 -17 -2 -17 -2 -16 -2 -17 -1 -17 -1 -16 -1 -17 0 -16 0 -17 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,6,1,1,1,1,0,0,0,-93,1,6,1,4393910,0,110,0,0,4.90296,384,[110 96 6 0 0 0 0 0 0 0 0 0 11 19 11 19 10 19 9 20 8 20 8 20 8 20 7 20 6 21 6 20 6 21 6 21 5 20 4 20 4 20 4 20 3 20 3 18 3 19 3 18 3 18 3 18 3 17 3 17 3 17 4 17 0 0 3 17 4 16 4 16 4 16 4 15 4 15 4 15 5 14 5 15 6 14 6 14 6 14 7 14 7 14 6 13 7 14 8 13 8 13 8 13 8 13 8 13 8 13 9 12 10 12 9 12 9 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,5,1,1,1,1,0,0,0,-93,1,6,1,4394211,0,110,0,0,4.93898,384,[110 96 6 0 0 0 0 0 0 0 0 0 7 18 6 18 5 19 5 19 4 19 3 18 3 19 2 18 2 19 2 18 2 19 1 19 1 18 1 18 1 18 1 19 0 17 0 17 0 17 0 17 -1 16 0 16 0 16 1 16 0 16 1 16 0 0 1 15 1 15 1 15 2 15 2 14 2 14 2 15 2 14 3 14 3 13 4 14 4 13 4 14 5 13 4 13 5 13 5 13 6 12 5 12 6 12 6 12 6 13 7 12 7 12 7 12 7 12 0 0 0 0 0 0 0 0 0 0 ]
