type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,78:21:84:7E:97:F8,-55,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,33876,0,30,0,0,0.436206,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -3 -7 -3 -8 -3 -8 -3 -8 -2 -7 -1 -7 -1 -7 -1 -6 -1 -6 -1 -6 -1 -7 -1 -7 0 -6 -1 -6 0 -6 -2 -6 -1 -5 -1 -5 -2 -5 -1 -6 -2 -4 -2 -5 -1 -5 -2 -5 -3 -5 -2 -5 0 0 -3 -5 -3 -5 -3 -5 -4 -5 -3 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -5 -4 -4 -3 -4 -4 -5 -4 -5 -3 -5 -3 -6 -5 -5 -5 -5 -4 -6 -4 -5 -4 -5 -4 -6 -5 -7 -5 -5 -5 -5 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-55,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,189479,0,157,0,0,0.591908,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 17 19 15 19 16 20 17 21 13 20 11 19 11 19 9 19 10 19 8 19 10 19 10 20 9 18 9 17 7 16 10 18 7 16 7 15 7 14 8 14 7 13 9 14 7 12 9 12 11 14 11 12 0 0 11 12 13 12 13 11 13 11 11 10 14 10 15 10 13 10 16 9 14 10 16 10 14 9 16 9 17 10 17 9 18 9 20 10 18 9 18 9 18 9 18 10 20 9 20 10 21 9 20 10 20 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-64,11,1,7,1,1,1,0,0,0,1,-94,0,6,1,267255,0,135,0,0,0.669351,384,[-121 112 8 0 0 0 0 0 0 0 0 0 18 -6 17 -5 17 -5 17 -4 16 -3 17 -2 16 -1 16 -1 16 -1 15 -1 15 -1 15 0 13 0 14 -1 13 0 13 0 12 0 13 0 11 -1 11 0 12 -1 12 -2 12 -2 11 -1 11 -2 11 -2 0 0 11 -3 11 -3 11 -3 11 -4 10 -4 11 -4 11 -5 11 -6 11 -6 11 -6 11 -7 10 -6 11 -6 12 -7 12 -7 12 -8 12 -8 12 -8 11 -8 12 -9 13 -9 12 -9 13 -9 12 -10 14 -9 13 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-64,11,1,7,1,1,1,0,0,0,1,-94,0,6,1,338959,0,390,0,0,0.740955,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -14 -6 -13 -6 -12 -7 -12 -7 -11 -7 -11 -7 -10 -8 -10 -7 -10 -7 -9 -8 -9 -8 -9 -8 -8 -7 -8 -7 -8 -7 -8 -7 -8 -7 -7 -6 -7 -6 -7 -6 -7 -6 -8 -6 -8 -6 -8 -5 -8 -6 -8 -5 0 0 -8 -5 -8 -5 -8 -4 -8 -4 -8 -4 -9 -4 -9 -4 -9 -4 -9 -4 -9 -4 -10 -4 -10 -3 -10 -3 -10 -3 -10 -3 -11 -3 -11 -3 -11 -3 -11 -3 -12 -3 -12 -3 -12 -3 -12 -3 -12 -2 -12 -3 -12 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-64,11,1,7,1,1,1,0,0,0,1,-94,0,6,1,387106,0,390,0,0,0.788864,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 16 9 15 9 14 10 13 10 13 10 11 10 12 11 11 11 11 11 10 11 9 11 9 12 8 10 9 11 8 10 8 10 9 10 8 9 7 9 8 8 8 8 8 8 8 8 8 8 8 8 8 7 0 0 9 7 9 6 10 5 10 6 9 6 10 5 10 5 10 5 11 6 11 5 12 5 11 5 12 5 12 5 13 5 13 4 13 4 14 4 14 4 14 4 14 5 14 4 14 4 15 4 15 5 15 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-64,11,1,7,1,1,1,0,0,0,1,-94,0,6,1,431016,0,82,0,0,0.832834,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -20 7 -19 6 -19 5 -19 4 -19 4 -18 4 -18 3 -18 2 -18 1 -17 1 -16 0 -18 -1 -16 0 -16 -1 -17 0 -16 1 -14 1 -15 0 -14 1 -14 2 -14 1 -13 1 -13 1 -14 1 -14 2 -14 2 0 0 -13 2 -13 3 -13 3 -14 4 -13 4 -14 6 -13 5 -13 5 -13 7 -14 6 -14 7 -14 7 -14 7 -14 7 -14 7 -14 8 -14 8 -14 8 -14 8 -14 8 -15 8 -15 9 -16 9 -16 9 -17 8 -16 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-65,11,1,7,1,1,1,0,0,0,1,-93,0,6,1,838857,0,82,0,0,1.24084,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -14 -14 -13 -14 -12 -14 -10 -15 -10 -15 -10 -15 -9 -15 -9 -15 -8 -15 -7 -14 -7 -14 -7 -15 -6 -13 -6 -14 -6 -13 -6 -13 -5 -13 -6 -12 -6 -12 -5 -10 -5 -11 -5 -10 -7 -10 -6 -10 -7 -11 -8 -10 0 0 -8 -8 -8 -10 -6 -10 -9 -8 -9 -10 -8 -8 -9 -8 -11 -8 -9 -8 -11 -7 -10 -8 -12 -8 -11 -7 -13 -8 -12 -9 -11 -8 -14 -8 -12 -8 -15 -8 -13 -7 -12 -7 -14 -10 -13 -8 -14 -9 -13 -9 -15 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-64,11,1,6,1,1,1,0,0,0,0,-93,0,6,1,839457,0,82,0,0,1.27675,384,[82 -96 4 0 0 0 0 0 0 0 0 0 17 -11 18 -10 18 -9 19 -8 18 -8 17 -7 17 -4 17 -5 17 -5 16 -5 16 -4 16 -3 15 -4 15 -3 15 -3 15 -2 14 -2 13 -2 14 -4 13 -3 12 -4 13 -4 12 -4 10 -5 12 -5 11 -5 0 0 11 -5 12 -5 12 -7 9 -7 12 -8 11 -7 12 -10 11 -8 10 -9 12 -10 11 -10 10 -10 11 -9 11 -10 9 -9 12 -11 11 -12 12 -9 11 -11 10 -10 11 -11 13 -11 11 -14 12 -12 11 -12 12 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-64,11,1,6,1,1,1,0,0,0,0,-93,0,6,1,840505,0,82,0,0,1.31791,384,[82 -96 4 0 0 0 0 0 0 0 0 0 15 -12 14 -11 15 -11 15 -9 15 -9 15 -8 15 -7 14 -6 15 -6 14 -6 14 -6 15 -6 13 -5 13 -5 12 -4 13 -5 12 -4 12 -5 11 -5 11 -5 10 -5 10 -5 11 -5 9 -5 10 -7 10 -6 0 0 9 -7 9 -7 9 -8 8 -8 8 -7 9 -9 10 -8 8 -9 10 -9 8 -9 8 -10 8 -10 8 -10 8 -11 8 -11 8 -11 8 -12 7 -11 9 -12 8 -12 8 -12 8 -13 8 -13 8 -14 9 -14 8 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-64,11,1,6,1,1,1,0,0,0,0,-93,0,6,1,1339498,0,82,0,0,1.74133,384,[82 -96 4 0 0 0 0 0 0 0 0 0 0 19 -1 18 -2 18 -3 18 -4 17 -4 16 -4 16 -5 15 -5 15 -5 14 -5 14 -5 14 -5 14 -5 13 -5 12 -4 13 -4 12 -4 12 -4 11 -4 11 -4 11 -3 11 -2 11 -2 10 -2 11 -1 11 0 0 -1 12 -1 12 0 11 1 11 0 11 0 12 1 12 1 11 2 12 2 12 2 12 2 12 3 12 3 13 3 13 4 12 4 13 4 12 4 13 4 13 4 13 4 14 4 14 6 13 6 14 6 13 0 0 0 0 0 0 0 0 0 0 ]
