type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,78:21:84:7E:97:F8,-54,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,34543,0,30,0,0,0.432348,128,[30 -32 1 0 0 0 0 0 0 0 0 0 2 -21 8 -25 8 -30 5 -25 -2 -21 -1 -29 1 -20 2 -22 10 -15 14 -23 7 -25 7 -22 4 -20 6 -15 9 -13 6 -19 6 -16 9 -13 5 -15 5 -14 3 -13 5 -14 4 -13 4 -14 3 -15 3 -15 0 0 1 -15 -1 -15 -1 -15 -1 -16 -1 -15 -2 -15 -3 -16 -1 -16 -4 -16 -3 -17 -4 -18 -3 -16 -3 -17 -4 -17 -5 -18 -5 -18 -5 -21 -4 -20 -4 -19 -4 -21 -3 -20 -3 -21 -2 -21 0 -23 1 -21 2 -21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-64,11,1,7,1,1,1,0,0,0,1,-94,0,6,1,194526,0,157,0,0,0.59223,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -7 18 -7 16 -8 16 -9 16 -9 15 -9 14 -10 13 -10 12 -10 12 -10 11 -10 11 -10 11 -9 10 -10 10 -10 9 -9 10 -8 9 -8 9 -8 8 -7 8 -7 7 -7 7 -6 7 -5 8 -4 8 -4 8 0 0 -4 8 -3 8 -2 8 -2 9 -2 9 -2 8 -1 9 -1 9 0 10 0 9 1 10 1 10 2 10 2 11 2 11 2 11 2 11 3 11 3 12 3 12 3 13 3 13 4 13 4 13 4 13 4 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-65,11,1,7,1,1,1,0,0,0,1,-93,0,6,1,264089,0,135,0,0,0.661648,384,[-121 112 8 0 0 0 0 0 0 0 0 0 19 -9 19 -8 18 -6 19 -5 18 -4 18 -4 18 -3 17 -3 17 -2 16 -2 16 -2 15 -1 14 -1 14 -1 14 -1 13 -1 13 0 11 0 12 -2 11 -1 10 -2 10 -2 9 -3 9 -3 9 -4 9 -4 0 0 8 -4 8 -5 9 -5 7 -6 8 -6 7 -7 7 -7 6 -8 7 -9 7 -9 7 -9 6 -10 7 -11 6 -11 6 -11 6 -12 6 -12 6 -13 6 -13 6 -13 6 -13 6 -14 6 -15 6 -15 6 -15 6 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-64,11,1,6,1,1,1,0,0,0,0,-93,0,6,1,700209,0,390,0,0,1.09764,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 17 2 17 3 17 3 16 4 16 4 15 5 15 5 14 6 14 6 13 6 13 6 13 6 12 6 11 6 11 6 11 6 10 6 10 5 9 4 10 5 9 4 10 4 9 3 9 4 10 3 11 3 0 0 12 3 11 2 11 3 12 0 11 2 13 0 12 1 12 -1 13 -2 13 2 13 0 11 -1 12 -1 16 0 13 0 14 -1 16 -3 15 -1 16 0 16 0 17 0 17 -1 16 -1 15 -2 18 -2 16 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-66,11,1,7,1,1,1,0,0,0,1,-93,0,6,1,742465,0,390,0,0,1.13973,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -12 11 -12 10 -12 9 -13 8 -12 8 -12 7 -13 7 -12 6 -12 6 -11 6 -12 5 -11 5 -11 4 -11 4 -10 4 -11 4 -10 4 -10 4 -9 4 -8 4 -8 4 -9 4 -8 5 -8 4 -8 5 -7 5 0 0 -7 6 -7 6 -7 6 -6 6 -6 7 -6 7 -6 8 -7 8 -6 8 -7 8 -7 9 -6 8 -6 8 -6 10 -6 10 -6 10 -6 10 -6 11 -6 11 -6 11 -5 12 -6 12 -7 12 -7 12 -7 12 -7 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-67,11,1,7,1,1,1,0,0,0,1,-91,0,6,1,783121,0,82,0,0,1.1806,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -4 -17 -4 -16 -3 -17 -2 -16 -1 -16 -1 -16 0 -14 0 -15 0 -14 1 -14 1 -14 1 -14 1 -13 1 -12 1 -12 0 -12 0 -11 0 -12 0 -11 0 -11 -1 -11 -1 -11 -2 -11 -1 -10 -2 -11 -2 -11 0 0 -3 -10 -3 -10 -3 -10 -4 -11 -4 -11 -5 -11 -4 -11 -5 -11 -5 -12 -6 -11 -6 -12 -6 -12 -6 -12 -7 -12 -7 -13 -7 -12 -7 -13 -8 -13 -8 -13 -8 -14 -8 -14 -8 -14 -9 -15 -9 -15 -9 -15 -8 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-68,11,1,7,1,1,1,0,0,0,1,-91,0,6,1,1198390,0,82,0,0,1.5957,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -14 10 -14 9 -14 8 -15 7 -14 7 -14 6 -14 4 -13 4 -14 4 -13 3 -13 3 -13 3 -12 3 -12 3 -11 3 -11 3 -10 3 -10 3 -9 3 -9 3 -9 4 -9 4 -9 4 -8 4 -9 5 -8 5 0 0 -8 6 -8 7 -7 6 -8 7 -8 6 -8 7 -8 7 -8 8 -8 8 -8 9 -8 9 -8 9 -8 10 -8 10 -8 10 -8 11 -8 12 -8 12 -8 12 -9 11 -9 12 -10 12 -9 13 -9 13 -10 13 -10 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-67,11,1,6,1,1,1,0,0,0,0,-91,0,6,1,1200511,0,82,0,0,1.62534,384,[82 -96 4 0 0 0 0 0 0 0 0 0 16 4 15 5 14 6 14 6 13 6 12 6 12 6 12 7 11 7 10 7 10 7 10 7 9 7 9 6 9 5 9 6 9 5 8 5 8 4 8 4 8 4 8 3 8 3 8 2 9 2 9 2 0 0 9 1 10 1 9 0 10 0 9 0 10 -1 10 -1 10 -1 11 -1 11 -2 12 -2 12 -2 12 -3 12 -3 12 -3 13 -3 13 -4 13 -3 13 -4 13 -4 14 -4 14 -4 16 -4 15 -4 15 -4 15 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-67,11,1,7,1,1,1,0,0,0,1,-91,0,6,1,1698511,0,82,0,0,2.0958,384,[82 -96 4 0 0 0 0 0 0 0 0 0 18 3 18 4 16 5 16 6 16 6 15 6 15 7 14 7 14 7 13 7 13 8 12 7 12 7 11 7 10 6 11 7 11 6 10 6 10 5 10 5 9 5 9 4 9 4 9 3 9 3 9 4 0 0 9 3 9 2 10 1 10 1 10 1 10 0 10 0 11 0 11 -1 11 -1 11 -1 11 -1 12 -1 12 -2 12 -3 12 -3 13 -3 13 -3 13 -3 14 -4 14 -3 15 -3 14 -3 15 -4 15 -3 15 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-56,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2229030,0,37,0,0,2.62655,128,[37 80 2 0 0 0 0 0 0 0 0 0 -27 -6 -27 -7 -27 -8 -28 -9 -25 -10 -22 -10 -23 -10 -21 -11 -22 -12 -21 -11 -22 -12 -23 -12 -20 -11 -20 -12 -18 -11 -20 -11 -17 -11 -15 -11 -15 -10 -15 -9 -15 -9 -17 -9 -13 -8 -15 -7 -18 -7 -17 -5 0 0 -17 -4 -17 -4 -17 -3 -17 -4 -15 -3 -17 -2 -17 -2 -16 -1 -18 -1 -16 -1 -18 0 -16 1 -18 1 -18 1 -18 1 -19 2 -20 3 -18 3 -19 3 -18 4 -19 4 -20 4 -20 5 -20 6 -20 4 -20 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-57,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2233484,0,37,0,0,2.66218,128,[37 80 2 0 0 0 0 0 0 0 0 0 3 -22 5 -21 5 -23 5 -23 7 -21 7 -18 8 -19 8 -17 9 -18 9 -17 8 -19 9 -19 8 -17 8 -16 8 -15 8 -17 8 -13 7 -13 7 -13 8 -13 6 -12 6 -14 5 -11 4 -13 4 -15 4 -14 0 0 3 -14 2 -14 2 -14 1 -14 1 -12 0 -14 0 -14 0 -13 -1 -15 -1 -13 -2 -15 -2 -13 -3 -14 -2 -15 -2 -15 -3 -15 -4 -17 -4 -16 -3 -16 -5 -16 -4 -16 -5 -17 -5 -17 -6 -17 -6 -17 -6 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-57,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2235558,0,82,0,0,2.70357,128,[82 -96 4 0 0 0 0 0 0 0 0 0 25 -10 24 -8 26 -8 27 -8 25 -5 23 -3 24 -3 22 0 23 -2 22 0 24 -1 24 -1 22 -1 21 -1 19 0 22 -1 19 0 17 1 17 0 16 -1 16 0 17 -1 14 0 15 -3 16 -4 15 -4 0 0 14 -5 15 -6 14 -7 14 -6 13 -6 13 -8 14 -8 12 -7 13 -10 13 -8 13 -10 12 -8 13 -10 14 -11 12 -11 13 -12 13 -14 12 -13 13 -13 12 -13 13 -14 13 -14 13 -15 12 -16 12 -14 13 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-57,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2237402,0,82,0,0,2.74438,128,[82 -96 4 0 0 0 0 0 0 0 0 0 1 26 0 24 -1 27 -1 27 -2 26 -5 22 -5 24 -7 21 -6 22 -8 21 -6 23 -7 23 -7 20 -6 20 -7 17 -6 21 -6 17 -6 17 -6 16 -5 16 -6 15 -5 16 -5 14 -3 15 -2 17 -2 15 0 0 -1 15 0 16 1 15 1 16 0 13 2 15 2 15 1 14 4 15 2 15 5 16 3 14 5 15 5 16 6 16 6 15 8 17 7 15 7 16 7 15 7 16 8 17 9 17 10 17 8 16 8 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-57,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2239333,0,84,0,0,2.78213,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -13 -24 -11 -23 -12 -26 -12 -26 -9 -25 -6 -23 -6 -24 -4 -22 -5 -23 -3 -23 -5 -23 -4 -24 -3 -22 -3 -21 -2 -19 -4 -22 -2 -18 -2 -19 -2 -17 -2 -17 -2 -16 -3 -17 -2 -15 -4 -15 -5 -16 -5 -15 0 0 -6 -15 -8 -15 -8 -14 -8 -15 -7 -13 -8 -14 -9 -13 -9 -13 -10 -13 -10 -13 -12 -13 -10 -12 -12 -12 -11 -13 -13 -13 -13 -12 -15 -13 -13 -12 -13 -12 -14 -12 -14 -12 -15 -12 -16 -13 -16 -12 -15 -13 -15 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-67,11,1,7,1,1,1,0,0,0,1,-91,0,6,1,2243853,0,84,0,0,2.82857,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -12 -6 -12 -6 -12 -8 -11 -7 -11 -8 -10 -8 -11 -8 -10 -8 -9 -9 -8 -9 -8 -8 -8 -9 -7 -8 -7 -8 -7 -8 -7 -8 -6 -7 -7 -7 -6 -7 -6 -6 -6 -7 -6 -6 -6 -6 -6 -6 -6 -5 -6 -5 0 0 -6 -5 -6 -4 -6 -4 -6 -4 -7 -4 -6 -4 -7 -3 -7 -4 -7 -3 -8 -3 -8 -3 -8 -2 -8 -2 -8 -2 -8 -2 -9 -2 -8 -1 -8 -1 -9 -1 -9 -2 -9 -1 -10 0 -9 -1 -10 -1 -10 -1 -10 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-57,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2347868,0,84,0,0,2.86954,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -13 -19 -11 -18 -12 -20 -12 -20 -10 -19 -8 -18 -9 -19 -7 -18 -8 -18 -6 -19 -6 -19 -6 -20 -6 -18 -6 -18 -5 -16 -7 -18 -5 -16 -5 -15 -5 -15 -6 -14 -5 -14 -7 -15 -5 -13 -6 -14 -8 -16 -7 -14 0 0 -9 -13 -9 -14 -10 -13 -10 -13 -8 -12 -10 -12 -11 -13 -10 -12 -12 -12 -10 -14 -11 -13 -10 -12 -11 -13 -12 -13 -12 -13 -12 -13 -15 -13 -13 -13 -13 -12 -14 -12 -14 -12 -15 -13 -15 -14 -15 -14 -13 -14 -14 -13 0 0 0 0 0 0 0 0 0 0 ]
