type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-55,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,67792,0,131,0,0,0.459693,128,[-125 48 8 0 0 0 0 0 0 0 0 0 15 -21 16 -20 18 -21 18 -21 19 -19 18 -17 19 -18 19 -16 21 -17 21 -16 21 -17 22 -17 21 -16 21 -15 20 -13 22 -15 20 -11 20 -11 19 -11 19 -12 18 -12 19 -13 17 -11 17 -13 18 -15 17 -14 0 0 16 -14 16 -14 15 -15 15 -15 13 -13 13 -14 13 -16 12 -15 12 -16 12 -15 11 -17 10 -15 10 -16 11 -16 11 -15 10 -16 10 -18 9 -16 9 -17 7 -16 8 -16 8 -17 7 -16 7 -17 6 -16 6 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,5,1,1,1,0,0,0,0,-94,0,6,1,69408,0,135,0,0,0.495107,384,[-121 112 8 0 0 0 0 0 0 0 0 0 12 12 12 12 12 13 11 15 11 15 10 14 9 15 9 16 9 16 8 16 8 16 7 17 7 17 7 17 6 16 6 16 7 15 6 16 5 14 5 15 6 14 7 14 5 13 6 14 5 14 6 13 0 0 7 12 7 13 7 12 8 12 7 11 7 11 8 10 8 11 8 9 7 9 9 9 9 9 10 8 9 8 9 7 9 7 10 8 9 6 10 6 10 6 10 6 10 6 11 6 10 5 9 5 10 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,190967,0,239,0,0,0.582361,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -20 1 -20 1 -20 0 -20 -1 -20 -2 -20 -2 -19 -3 -20 -4 -20 -4 -20 -5 -20 -5 -19 -6 -19 -6 -19 -6 -18 -6 -19 -6 -18 -6 -18 -6 -17 -6 -17 -6 -17 -6 -16 -6 -17 -6 -15 -6 -16 -5 -16 -5 0 0 -15 -3 -15 -3 -15 -3 -16 -3 -14 -2 -15 -1 -15 -2 -15 -1 -15 -2 -15 0 -15 0 -14 1 -14 1 -13 1 -14 1 -14 2 -14 1 -14 3 -13 3 -14 4 -13 3 -13 3 -13 4 -13 4 -13 4 -12 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-58,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2083898,0,37,0,0,2.4756,128,[37 80 2 0 0 0 0 0 0 0 0 0 25 2 24 3 27 4 26 4 25 6 23 7 24 9 21 10 24 11 22 11 24 10 25 11 23 11 23 11 20 11 24 13 21 11 20 12 18 11 19 11 18 11 20 11 17 10 19 8 20 8 20 8 0 0 19 8 20 7 20 7 19 6 17 6 18 6 19 5 17 5 18 4 18 5 19 2 17 2 18 1 19 2 18 2 18 1 19 1 18 1 17 1 17 0 17 0 17 -1 17 -1 17 -3 16 -2 16 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-58,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2086210,0,82,0,0,2.50436,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -25 -5 -25 -6 -27 -7 -28 -8 -26 -9 -24 -11 -25 -11 -23 -12 -24 -13 -22 -14 -25 -14 -25 -16 -24 -14 -24 -13 -20 -14 -25 -14 -20 -14 -19 -14 -19 -14 -19 -14 -18 -13 -19 -14 -16 -12 -19 -12 -21 -12 -20 -11 0 0 -19 -11 -20 -10 -20 -9 -19 -9 -17 -9 -19 -8 -20 -8 -18 -8 -20 -6 -18 -7 -20 -5 -18 -5 -18 -5 -19 -5 -19 -5 -20 -4 -20 -3 -19 -3 -19 -3 -18 -2 -18 -3 -18 -2 -17 -3 -19 0 -17 -1 -17 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-58,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2405993,0,37,0,0,2.79751,128,[37 80 2 0 0 0 0 0 0 0 0 0 -26 -2 -26 -3 -29 -3 -29 -4 -28 -6 -25 -8 -27 -8 -24 -10 -26 -10 -25 -10 -28 -10 -27 -11 -27 -9 -26 -11 -22 -11 -27 -10 -22 -11 -22 -11 -21 -11 -22 -11 -20 -11 -22 -11 -19 -10 -22 -9 -23 -8 -22 -8 0 0 -21 -7 -22 -6 -21 -6 -21 -6 -19 -6 -20 -5 -21 -5 -19 -5 -21 -4 -20 -4 -21 -2 -19 -2 -19 0 -20 -2 -19 -1 -19 -1 -21 0 -19 0 -19 -1 -19 0 -19 0 -19 1 -18 2 -18 3 -17 2 -17 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,3,1,1,1,1,0,0,0,-91,3,6,1,2423074,0,110,0,0,2.83436,384,[110 96 6 0 0 0 0 0 0 0 0 0 -16 -16 -17 -19 -15 -19 -15 -20 -14 -19 -11 -20 -12 -19 -12 -20 -9 -22 -11 -20 -11 -21 -11 -23 -10 -20 -10 -24 -7 -20 -11 -23 -9 -22 -8 -22 -9 -20 -7 -20 -6 -19 -7 -20 -7 -19 -8 -19 -7 -20 -9 -17 0 0 -8 -18 -9 -17 -8 -16 -10 -17 -9 -15 -9 -16 -10 -16 -11 -14 -11 -14 -12 -13 -12 -13 -11 -13 -11 -13 -12 -12 -12 -12 -12 -11 -14 -12 -12 -10 -13 -10 -13 -10 -13 -10 -14 -9 -13 -9 -14 -8 -12 -9 -13 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,1,1,1,1,1,0,0,0,-91,3,6,1,2446753,0,110,0,0,2.88143,384,[110 96 6 0 0 0 0 0 0 0 0 0 13 -15 13 -14 14 -15 15 -14 16 -14 15 -11 17 -12 16 -10 17 -10 18 -9 19 -10 20 -9 18 -7 18 -9 18 -6 20 -9 16 -7 17 -7 15 -6 16 -6 16 -6 16 -7 16 -5 15 -6 17 -7 15 -8 0 0 15 -7 14 -8 14 -8 13 -9 12 -7 13 -9 13 -8 12 -8 11 -9 10 -9 10 -9 10 -8 10 -9 9 -10 10 -10 9 -11 10 -12 8 -11 8 -11 6 -11 8 -11 7 -10 7 -11 6 -11 8 -11 6 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-62,11,1,0,1,1,1,1,0,0,0,-91,3,6,1,2447179,0,110,0,0,2.92266,384,[110 96 6 0 0 0 0 0 0 0 0 0 10 -16 10 -16 12 -19 14 -16 13 -16 13 -12 14 -14 14 -13 15 -14 16 -12 18 -13 18 -13 16 -12 16 -11 15 -10 18 -14 14 -11 16 -10 14 -9 13 -9 14 -9 15 -11 15 -7 15 -10 16 -10 14 -10 0 0 13 -11 12 -12 12 -12 11 -13 11 -10 11 -12 11 -12 10 -12 10 -13 7 -12 7 -13 8 -11 8 -12 6 -13 7 -13 5 -14 7 -15 4 -13 4 -13 2 -13 5 -13 3 -13 4 -14 3 -14 4 -13 3 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-66,11,1,5,1,1,1,1,0,0,0,-91,3,6,1,2449799,0,110,0,0,2.96556,384,[110 96 6 0 0 0 0 0 0 0 0 0 -4 15 -5 16 -5 16 -6 16 -7 15 -7 15 -8 15 -8 15 -9 15 -9 14 -9 14 -10 14 -9 14 -10 14 -10 13 -10 13 -10 12 -10 12 -9 11 -9 11 -10 12 -9 11 -9 11 -9 11 -9 11 -8 11 0 0 -9 11 -7 11 -7 11 -7 11 -6 10 -6 10 -6 11 -5 11 -6 11 -5 11 -4 11 -4 11 -4 11 -4 10 -3 11 -3 11 -3 11 -2 11 -2 10 -2 10 -2 10 -1 10 -1 10 -1 10 -1 10 -1 10 0 0 0 0 0 0 0 0 0 0 ]
