type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,78:21:84:7E:97:F9,-44,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,68863,0,131,0,0,0.465498,128,[-125 48 8 0 0 0 0 0 0 0 0 0 10 -26 10 -25 11 -27 11 -28 12 -26 13 -22 13 -23 14 -21 14 -23 16 -21 16 -22 17 -23 16 -21 15 -21 15 -18 15 -22 14 -18 14 -18 14 -17 13 -17 13 -17 13 -19 13 -15 12 -17 13 -19 12 -18 0 0 10 -19 10 -19 9 -19 9 -19 8 -17 8 -19 7 -19 7 -18 6 -20 8 -18 7 -19 6 -17 6 -19 6 -19 5 -19 4 -19 4 -21 4 -19 3 -19 3 -19 3 -19 2 -20 3 -20 2 -20 2 -19 2 -19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-54,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,69855,0,135,0,0,0.499597,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -18 -11 -17 -11 -17 -12 -17 -12 -16 -13 -15 -13 -15 -13 -14 -14 -14 -14 -14 -14 -14 -14 -14 -14 -12 -14 -12 -14 -12 -14 -13 -14 -12 -13 -11 -14 -11 -12 -10 -13 -10 -13 -10 -13 -11 -12 -10 -12 -10 -12 -10 -11 0 0 -11 -12 -11 -11 -11 -10 -11 -9 -10 -10 -11 -10 -10 -9 -10 -9 -11 -9 -11 -8 -12 -8 -11 -7 -12 -7 -12 -7 -12 -7 -12 -7 -13 -6 -12 -6 -12 -6 -12 -6 -13 -6 -13 -5 -13 -5 -13 -4 -13 -5 -13 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-54,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,196875,0,239,0,0,0.593006,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 17 14 17 14 16 15 15 15 14 16 14 16 14 16 13 17 13 17 12 17 12 17 11 18 11 17 10 17 10 16 11 17 10 16 10 15 9 15 10 15 9 15 9 14 9 14 9 14 9 14 9 13 0 0 9 13 10 12 10 11 10 12 10 11 10 10 10 10 10 10 11 10 11 9 11 9 11 9 12 8 11 8 12 8 12 7 13 7 13 7 13 7 13 6 13 6 13 5 14 6 14 5 14 5 14 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-55,11,1,7,1,1,1,0,0,0,0,-93,0,6,1,2075847,0,82,0,0,2.47224,384,[82 -96 4 0 0 0 0 0 0 0 0 0 21 0 21 1 21 2 20 2 21 3 20 4 20 4 19 4 20 5 19 5 19 6 19 6 18 6 18 7 17 6 17 7 17 7 17 6 16 5 16 6 16 5 16 6 15 6 14 5 15 5 15 5 0 0 15 4 15 4 14 3 14 3 13 3 14 2 14 2 14 1 14 1 14 1 14 1 14 1 14 0 14 -1 14 -1 14 -1 14 -2 14 -2 14 -2 14 -3 14 -3 14 -3 14 -3 14 -4 14 -3 14 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-45,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,2075990,0,37,0,0,2.50045,128,[37 80 2 0 0 0 0 0 0 0 0 0 -14 -24 -13 -24 -15 -26 -14 -26 -13 -27 -9 -23 -10 -25 -9 -24 -8 -26 -7 -25 -8 -26 -8 -27 -6 -25 -7 -25 -5 -24 -7 -26 -4 -23 -5 -23 -5 -21 -5 -22 -5 -21 -5 -23 -4 -20 -5 -20 -6 -22 -6 -21 0 0 -7 -20 -7 -20 -8 -19 -8 -19 -7 -17 -8 -18 -9 -18 -9 -17 -10 -18 -9 -17 -10 -17 -8 -16 -10 -17 -10 -17 -10 -17 -11 -16 -13 -17 -11 -16 -11 -15 -13 -15 -12 -15 -13 -15 -13 -15 -13 -15 -13 -15 -13 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-45,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,2397558,0,37,0,0,2.79379,128,[37 80 2 0 0 0 0 0 0 0 0 0 -23 -17 -21 -17 -23 -19 -23 -19 -21 -19 -17 -18 -19 -19 -17 -19 -18 -20 -16 -21 -18 -21 -18 -22 -17 -21 -16 -20 -14 -19 -18 -20 -14 -19 -14 -19 -13 -18 -14 -17 -13 -17 -15 -18 -11 -17 -14 -16 -15 -17 -15 -16 0 0 -16 -15 -16 -15 -16 -13 -17 -13 -14 -12 -16 -12 -17 -12 -15 -12 -18 -11 -16 -12 -17 -11 -15 -10 -17 -10 -17 -10 -17 -9 -17 -8 -20 -9 -17 -8 -18 -7 -18 -7 -18 -7 -19 -7 -19 -7 -19 -7 -19 -7 -18 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-55,11,1,7,1,1,1,1,0,0,0,-93,3,6,1,2398157,0,110,0,0,2.83323,384,[110 96 6 0 0 0 0 0 0 0 0 0 -4 21 -5 21 -6 20 -7 21 -7 20 -7 20 -8 20 -8 19 -8 19 -9 18 -10 18 -10 18 -10 17 -10 17 -10 17 -10 17 -10 16 -9 16 -9 16 -9 15 -9 15 -8 15 -8 14 -8 14 -9 14 -7 14 0 0 -7 14 -7 14 -6 14 -6 14 -6 14 -5 14 -5 14 -5 13 -4 14 -4 13 -3 14 -3 14 -3 14 -2 14 -2 14 -1 14 -1 14 -1 14 0 14 0 14 0 14 0 15 0 14 1 14 1 14 1 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,2407945,0,110,0,0,2.87337,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -21 0 -21 1 -21 2 -21 2 -21 2 -20 3 -20 3 -20 3 -20 4 -19 4 -20 5 -19 5 -18 5 -18 5 -18 5 -18 5 -17 4 -17 5 -17 5 -17 4 -16 4 -16 4 -15 4 -15 4 -16 3 -15 0 0 3 -15 2 -15 2 -15 2 -15 1 -14 1 -15 1 -14 0 -14 0 -14 -1 -14 -1 -14 -1 -14 -1 -14 -2 -14 -2 -14 -3 -14 -3 -14 -3 -14 -4 -14 -4 -13 -4 -14 -4 -14 -4 -14 -5 -14 -5 -14 -6 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-55,11,1,7,1,1,1,1,0,0,0,-93,2,6,1,2600496,0,110,0,0,2.99657,384,[110 96 6 0 0 0 0 0 0 0 0 0 20 4 19 4 19 5 19 6 18 6 18 6 18 7 17 7 17 8 17 8 16 9 16 9 16 8 15 9 15 8 15 9 14 8 14 8 14 7 14 7 13 7 14 7 13 7 12 6 13 7 13 7 0 0 12 5 13 5 12 5 13 5 12 4 13 4 13 3 12 3 13 3 13 2 13 2 12 2 13 2 13 1 13 1 13 0 13 0 13 0 13 -1 13 -1 13 -1 13 -2 13 -2 13 -2 13 -2 13 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-55,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,2678374,0,110,0,0,3.07436,384,[110 96 6 0 0 0 0 0 0 0 0 0 10 16 10 16 8 16 8 17 7 16 7 17 6 17 6 17 6 17 5 16 5 17 5 16 4 16 4 16 4 16 4 16 4 15 4 15 3 15 3 15 3 14 3 14 4 13 4 13 4 13 4 13 0 0 5 13 5 12 5 13 5 11 5 11 6 11 5 11 6 11 6 11 7 10 7 10 7 10 8 10 8 10 8 9 9 10 9 9 9 9 9 9 10 9 10 9 10 9 10 8 10 8 11 8 11 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-55,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,2774634,0,110,0,0,3.17063,384,[110 96 6 0 0 0 0 0 0 0 0 0 15 -13 15 -12 16 -11 16 -11 16 -10 16 -10 16 -9 16 -9 16 -8 16 -8 16 -7 17 -7 16 -7 16 -7 16 -7 16 -6 15 -5 15 -6 15 -6 14 -6 14 -6 14 -6 13 -6 13 -6 14 -6 13 -6 0 0 13 -6 12 -7 12 -7 12 -7 11 -7 11 -7 11 -8 11 -8 11 -8 10 -8 10 -9 10 -9 10 -9 10 -9 9 -9 9 -10 9 -10 9 -11 9 -10 8 -11 9 -11 9 -11 8 -11 8 -12 8 -12 8 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-54,11,1,6,1,1,1,1,0,0,0,-93,1,6,1,2895959,0,110,0,0,3.29202,384,[110 96 6 0 0 0 0 0 0 0 0 0 -15 -2 -15 -3 -15 -3 -14 -3 -13 -6 -14 -4 -15 -4 -14 -5 -14 -5 -13 -5 -14 -6 -14 -7 -14 -6 -13 -5 -12 -6 -13 -6 -12 -6 -12 -5 -11 -5 -12 -6 -11 -6 -12 -5 -11 -5 -11 -5 -11 -5 -12 -5 0 0 -11 -4 -11 -4 -11 -4 -11 -4 -10 -4 -11 -3 -11 -3 -11 -3 -11 -3 -11 -2 -10 -2 -11 -2 -11 -2 -11 -1 -11 -1 -10 0 -11 0 -11 0 -11 0 -11 0 -11 0 -11 0 -11 0 -11 1 -11 1 -11 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-55,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,2979287,0,110,0,0,3.3753,384,[110 96 6 0 0 0 0 0 0 0 0 0 -16 -13 -15 -13 -15 -14 -14 -14 -14 -15 -13 -14 -13 -15 -12 -15 -12 -15 -11 -15 -11 -16 -11 -16 -11 -16 -10 -15 -10 -15 -11 -16 -10 -14 -10 -14 -9 -13 -9 -14 -9 -13 -9 -13 -9 -13 -9 -13 -9 -13 -9 -13 0 0 -10 -12 -9 -12 -9 -11 -10 -12 -10 -10 -10 -10 -10 -10 -10 -10 -11 -9 -11 -9 -11 -9 -11 -9 -11 -8 -11 -8 -12 -8 -12 -7 -12 -7 -12 -7 -13 -7 -13 -7 -13 -6 -13 -6 -13 -6 -14 -6 -14 -6 -13 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-55,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,3075314,0,110,0,0,3.47133,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 21 0 20 -1 21 -2 21 -2 20 -2 20 -3 20 -3 19 -4 19 -4 19 -4 19 -5 19 -5 18 -5 18 -6 18 -5 18 -5 17 -5 16 -5 16 -5 16 -6 16 -5 16 -5 15 -5 15 -5 15 -4 15 0 0 -3 15 -3 15 -3 15 -2 15 -2 14 -2 14 -2 14 -1 14 -1 14 0 14 0 14 0 14 0 14 1 14 1 14 1 14 2 14 2 14 2 14 2 14 3 14 3 15 3 14 4 14 4 14 4 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-54,11,1,6,1,1,1,1,0,0,0,-93,1,6,1,3171548,0,110,0,0,3.56744,384,[110 96 6 0 0 0 0 0 0 0 0 0 -20 7 -20 7 -20 6 -20 5 -20 5 -20 4 -20 4 -20 3 -20 3 -20 2 -20 1 -21 1 -20 1 -19 1 -19 1 -19 1 -19 0 -18 1 -18 1 -17 0 -17 0 -17 0 -17 0 -16 1 -17 0 -16 1 0 0 -16 2 -15 2 -15 2 -15 2 -15 2 -15 3 -14 3 -14 4 -14 4 -14 4 -14 4 -14 5 -13 5 -13 6 -13 6 -13 6 -13 6 -13 7 -13 7 -13 7 -13 7 -13 8 -13 8 -12 8 -13 8 -12 8 0 0 0 0 0 0 0 0 0 0 ]
