type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-47,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,70062,0,131,0,0,0.460327,128,[-125 48 8 0 0 0 0 0 0 0 0 0 15 19 14 20 14 21 15 23 12 21 11 21 11 22 10 21 10 22 9 22 10 23 10 24 9 23 9 22 7 21 9 23 7 21 6 19 6 20 7 19 7 19 8 20 6 17 8 18 10 20 9 19 0 0 10 18 10 19 10 19 10 17 9 16 11 17 11 17 10 16 12 16 11 16 12 17 11 15 12 15 13 16 11 16 13 16 14 16 13 15 13 15 14 14 14 14 14 15 15 14 16 14 15 14 15 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,70552,0,135,0,0,0.490673,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -3 -21 -2 -21 -2 -21 -1 -21 0 -21 0 -20 1 -20 1 -20 2 -20 2 -20 3 -20 3 -20 3 -19 3 -19 3 -19 4 -19 4 -18 3 -18 3 -18 3 -18 3 -17 3 -18 3 -17 3 -17 2 -17 2 -17 0 0 2 -17 1 -17 1 -16 1 -16 0 -16 0 -16 0 -16 -1 -16 0 -16 -1 -16 -1 -16 -2 -15 -2 -16 -2 -16 -2 -16 -3 -16 -3 -16 -3 -16 -3 -16 -4 -16 -4 -16 -5 -16 -5 -16 -6 -16 -5 -16 -5 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,188211,0,239,0,0,0.578012,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -11 -18 -10 -18 -11 -20 -9 -19 -9 -20 -7 -19 -8 -19 -7 -19 -7 -20 -6 -20 -5 -20 -5 -20 -5 -20 -5 -19 -5 -19 -5 -20 -4 -18 -5 -19 -5 -18 -5 -18 -4 -18 -5 -18 -4 -18 -4 -17 -4 -17 -4 -16 0 0 -5 -16 -6 -17 -6 -16 -6 -16 -7 -15 -7 -15 -7 -15 -8 -15 -7 -14 -8 -15 -7 -14 -8 -14 -8 -14 -9 -14 -9 -14 -9 -13 -10 -14 -10 -13 -10 -12 -10 -13 -11 -13 -12 -13 -12 -13 -12 -12 -11 -12 -11 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-58,11,1,7,1,1,1,0,0,0,0,-92,0,6,1,2083789,0,82,0,0,2.47382,384,[82 -96 4 0 0 0 0 0 0 0 0 0 18 12 17 12 18 13 16 14 16 15 15 14 15 14 14 15 14 15 13 16 13 15 13 16 13 16 12 16 12 15 12 15 12 15 11 15 11 14 11 14 11 15 11 14 11 13 11 13 11 14 11 13 0 0 11 12 12 13 12 12 12 11 12 11 12 11 12 11 13 10 13 10 13 10 13 9 13 9 14 9 14 9 14 8 14 7 15 8 14 7 14 7 15 6 15 7 15 7 16 6 16 5 15 6 15 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-48,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2083896,0,37,0,0,2.50404,128,[37 80 2 0 0 0 0 0 0 0 0 0 22 10 21 11 22 12 22 13 20 13 18 13 19 14 17 15 18 15 17 15 19 15 19 16 18 15 17 15 15 15 18 15 15 15 14 14 14 14 14 14 14 14 15 14 13 13 15 12 17 13 16 12 0 0 16 12 17 11 17 11 17 11 15 10 17 10 17 10 16 10 17 9 17 10 18 9 16 8 18 8 18 9 18 8 18 8 20 8 19 7 18 8 19 7 18 7 19 7 19 6 20 5 19 5 19 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-48,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2399353,0,37,0,0,2.78923,128,[37 80 2 0 0 0 0 0 0 0 0 0 20 -14 21 -12 22 -13 23 -13 22 -11 21 -9 22 -9 21 -8 22 -8 22 -8 23 -9 24 -9 23 -8 22 -8 21 -7 23 -8 21 -6 20 -5 20 -6 20 -6 19 -6 21 -7 18 -5 19 -8 20 -9 19 -9 0 0 19 -9 19 -9 19 -10 18 -10 17 -9 18 -10 18 -11 17 -10 17 -11 17 -10 17 -12 15 -11 16 -12 17 -12 16 -11 16 -12 17 -14 16 -13 16 -13 15 -13 15 -14 16 -14 15 -15 15 -16 15 -15 15 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-58,11,1,7,1,1,1,1,0,0,0,-92,3,6,1,2400064,0,110,0,0,2.82308,384,[110 96 6 0 0 0 0 0 0 0 0 0 -19 -8 -19 -8 -19 -9 -19 -9 -19 -10 -17 -10 -17 -10 -17 -10 -17 -11 -17 -12 -16 -13 -15 -13 -15 -13 -15 -13 -15 -12 -15 -12 -14 -12 -14 -12 -14 -12 -14 -12 -13 -12 -14 -12 -13 -11 -13 -12 -13 -12 -13 -11 0 0 -13 -10 -14 -10 -13 -9 -13 -9 -13 -9 -14 -9 -14 -9 -14 -8 -13 -8 -14 -8 -14 -8 -14 -8 -14 -7 -14 -7 -15 -7 -15 -7 -15 -7 -15 -6 -15 -6 -15 -5 -15 -5 -16 -6 -16 -6 -15 -6 -15 -5 -16 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-58,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2412122,0,110,0,0,2.86985,384,[110 96 6 0 0 0 0 0 0 0 0 0 -22 1 -22 0 -22 0 -23 -1 -22 -2 -21 -2 -21 -3 -21 -4 -21 -4 -21 -4 -21 -4 -20 -4 -21 -5 -20 -5 -20 -5 -19 -5 -19 -5 -19 -5 -19 -5 -18 -5 -18 -6 -18 -5 -18 -5 -18 -4 -18 -4 -18 -4 0 0 -17 -4 -17 -3 -17 -3 -17 -2 -17 -2 -17 -3 -17 -2 -17 -2 -17 -2 -17 -1 -17 0 -16 0 -17 0 -17 0 -17 1 -17 2 -17 1 -16 2 -17 1 -17 2 -17 2 -17 3 -17 3 -17 4 -17 4 -17 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-59,11,1,7,1,1,1,1,0,0,0,-92,2,6,1,2603127,0,110,0,0,2.99319,384,[110 96 6 0 0 0 0 0 0 0 0 0 10 17 9 18 9 18 8 19 8 19 6 18 5 19 5 18 5 19 5 19 4 19 4 19 4 18 4 19 4 18 3 18 3 18 3 17 3 17 3 17 3 17 3 17 3 17 4 16 3 16 4 16 0 0 4 16 5 16 5 15 5 15 5 14 5 15 5 14 6 14 6 14 6 14 6 13 7 14 7 14 8 14 7 13 8 13 9 13 8 12 9 12 9 12 9 13 10 13 10 13 11 12 10 12 10 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-58,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2687134,0,110,0,0,3.07676,384,[110 96 6 0 0 0 0 0 0 0 0 0 -6 19 -6 19 -7 19 -7 18 -8 18 -9 17 -9 17 -9 17 -10 17 -10 16 -11 16 -11 16 -10 15 -10 15 -10 15 -11 15 -10 14 -10 14 -9 14 -9 14 -10 14 -9 14 -9 13 -9 13 -9 13 -9 13 0 0 -8 13 -7 14 -7 13 -7 14 -6 13 -7 13 -6 13 -5 13 -6 14 -5 14 -5 14 -4 14 -4 14 -4 14 -4 14 -3 14 -3 15 -2 14 -3 14 -2 15 -2 15 -2 15 -1 15 -1 15 -2 15 -1 15 0 0 0 0 0 0 0 0 0 0 ]
