type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-54,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,71826,0,131,0,0,0.465486,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -10 20 -11 20 -12 21 -13 23 -13 20 -15 19 -15 20 -16 18 -17 19 -18 18 -19 21 -20 21 -20 19 -20 19 -19 17 -20 19 -21 17 -20 15 -20 16 -19 16 -19 15 -21 16 -18 13 -19 16 -20 18 -20 17 0 0 -19 17 -19 17 -19 18 -18 16 -17 15 -16 17 -17 17 -16 15 -15 17 -15 15 -15 17 -14 15 -13 16 -14 17 -13 15 -13 17 -12 17 -11 17 -11 16 -10 17 -9 17 -8 17 -8 17 -7 19 -7 17 -6 18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-62,11,1,5,1,1,1,0,0,0,0,-94,0,6,1,73333,0,135,0,0,0.501141,384,[-121 112 8 0 0 0 0 0 0 0 0 0 3 -13 3 -14 4 -15 4 -15 6 -14 6 -14 6 -14 7 -14 8 -14 8 -13 8 -14 9 -14 9 -13 9 -14 9 -13 10 -13 10 -13 10 -12 9 -12 10 -12 10 -11 10 -12 10 -11 10 -12 11 -12 10 -11 0 0 10 -11 9 -11 9 -11 8 -12 8 -10 9 -11 8 -11 8 -11 8 -11 6 -11 6 -11 6 -11 6 -11 6 -11 6 -11 5 -11 5 -12 4 -11 3 -11 3 -11 3 -11 2 -11 2 -11 1 -11 1 -12 0 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-55,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,199937,0,239,0,0,0.593437,128,[-17 -16 14 0 0 0 0 0 0 0 0 0 11 6 10 6 11 7 12 8 10 9 10 9 10 9 9 10 10 10 9 11 10 11 10 12 10 12 9 11 8 12 10 13 8 12 7 12 7 12 7 12 7 12 7 13 6 11 8 11 9 12 8 12 0 0 8 11 8 12 9 11 8 11 7 10 8 10 8 11 7 10 9 9 8 9 9 9 8 8 8 8 8 9 8 8 8 8 9 8 8 7 8 7 9 6 9 6 10 5 9 5 10 5 9 5 10 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-67,11,1,7,1,1,1,0,0,0,0,-91,0,6,1,2079448,0,82,0,0,2.47289,384,[82 -96 4 0 0 0 0 0 0 0 0 0 9 -13 10 -12 10 -12 11 -12 12 -12 12 -11 13 -12 13 -11 13 -11 13 -10 14 -10 14 -10 15 -10 15 -10 15 -9 15 -9 15 -9 15 -9 15 -9 15 -9 15 -8 15 -8 15 -8 13 -8 15 -8 14 -8 0 0 13 -8 14 -8 13 -8 13 -8 12 -8 12 -9 12 -9 12 -9 11 -9 11 -10 10 -10 10 -9 9 -10 9 -10 9 -10 8 -10 8 -10 8 -11 7 -11 7 -11 6 -11 6 -11 5 -12 4 -12 4 -12 4 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-57,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2079573,0,37,0,0,2.5058,128,[37 80 2 0 0 0 0 0 0 0 0 0 19 10 20 11 21 11 22 13 20 13 18 14 20 15 17 16 19 16 17 18 20 18 20 20 19 19 18 19 16 19 19 20 16 19 15 19 15 19 16 19 14 18 16 19 13 18 16 18 18 19 17 18 0 0 17 17 18 17 18 17 17 16 15 15 17 15 18 15 15 14 18 12 15 12 17 13 15 12 17 11 17 12 16 11 17 10 19 9 17 8 17 8 17 6 17 6 17 5 18 5 18 4 17 4 18 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-57,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2403159,0,37,0,0,2.79644,128,[37 80 2 0 0 0 0 0 0 0 0 0 -15 -16 -15 -17 -16 -18 -17 -20 -14 -19 -13 -19 -13 -20 -11 -21 -12 -22 -11 -22 -13 -23 -13 -25 -12 -23 -12 -23 -9 -23 -12 -25 -9 -23 -7 -23 -8 -23 -8 -23 -8 -23 -8 -24 -6 -20 -9 -22 -11 -24 -10 -23 0 0 -10 -22 -10 -22 -11 -22 -10 -21 -9 -19 -10 -20 -10 -20 -9 -19 -11 -19 -10 -18 -12 -19 -10 -16 -12 -16 -12 -17 -11 -16 -12 -16 -13 -15 -12 -15 -12 -14 -13 -14 -13 -13 -14 -13 -14 -12 -15 -11 -14 -11 -15 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,4,1,1,1,1,0,0,0,-91,3,6,1,2415033,0,110,0,0,2.83611,384,[110 96 6 0 0 0 0 0 0 0 0 0 -14 4 -13 5 -15 4 -15 4 -15 3 -15 2 -15 2 -15 2 -16 2 -16 0 -17 0 -17 0 -17 -2 -17 -1 -16 -2 -17 -1 -16 -2 -16 -3 -15 -1 -16 -3 -17 -2 -15 -3 -15 -3 -15 -3 -16 -3 -14 -2 0 0 -16 -3 -14 -3 -14 -2 -15 -2 -14 -2 -15 -2 -14 -2 -13 -1 -14 -1 -13 -1 -13 0 -12 -1 -13 -1 -12 1 -12 0 -12 1 -12 1 -11 2 -11 2 -11 3 -11 3 -11 3 -11 4 -10 4 -11 4 -10 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,3,1,1,1,1,0,0,0,-91,3,6,1,2415369,0,110,0,0,2.87842,384,[110 96 6 0 0 0 0 0 0 0 0 0 9 -12 9 -12 10 -12 12 -13 12 -12 12 -10 12 -11 12 -11 14 -12 14 -11 14 -10 16 -9 15 -10 16 -8 15 -9 16 -9 15 -8 15 -8 16 -7 15 -7 14 -8 15 -8 16 -6 15 -7 16 -7 15 -7 0 0 14 -7 14 -7 14 -7 13 -8 13 -6 13 -8 13 -8 12 -8 12 -8 11 -9 12 -9 11 -8 11 -8 10 -9 10 -8 9 -9 9 -10 8 -9 8 -10 7 -10 7 -10 6 -11 7 -11 6 -11 6 -11 5 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,2,1,1,1,1,0,0,0,-91,3,6,1,2415672,0,110,0,0,2.91929,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 -14 1 -14 1 -15 3 -15 3 -16 4 -14 3 -15 4 -15 5 -15 6 -15 7 -15 7 -17 7 -15 8 -15 8 -13 8 -16 8 -14 9 -13 8 -13 8 -13 8 -14 8 -14 10 -13 9 -13 9 -13 8 -13 0 0 9 -13 9 -13 8 -12 7 -14 7 -11 7 -13 7 -13 5 -12 6 -13 5 -12 5 -12 6 -11 6 -12 3 -11 4 -12 3 -12 4 -13 2 -11 2 -11 0 -12 1 -11 1 -12 1 -12 0 -11 1 -12 -1 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,5,1,1,1,1,0,0,0,-91,3,6,1,2446228,0,110,0,0,2.95973,384,[110 96 6 0 0 0 0 0 0 0 0 0 -2 13 -2 13 -3 14 -4 14 -4 14 -5 14 -5 13 -5 14 -6 14 -7 14 -8 14 -8 14 -8 13 -8 14 -9 13 -9 14 -8 13 -9 13 -9 12 -9 12 -9 12 -9 12 -10 12 -9 12 -9 12 -8 11 0 0 -9 11 -8 12 -8 11 -7 12 -7 11 -8 12 -7 11 -6 11 -7 11 -6 11 -6 11 -6 10 -5 11 -4 11 -5 10 -4 10 -3 11 -2 10 -2 10 -2 10 -2 10 -1 10 -1 11 0 10 -1 10 0 10 0 0 0 0 0 0 0 0 0 0 ]
