type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-55,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,67672,0,131,0,0,0.458027,128,[-125 48 8 0 0 0 0 0 0 0 0 0 6 -2 6 -1 7 -1 8 -1 7 -1 7 0 8 0 7 1 8 0 8 1 9 0 9 1 8 1 9 1 8 1 10 1 8 1 8 2 8 2 8 1 8 2 8 2 7 2 8 1 9 1 8 1 0 0 8 1 9 1 8 1 8 1 7 2 7 1 8 1 7 1 8 0 7 1 7 1 7 0 7 0 7 0 7 1 7 0 7 -1 6 0 6 -1 6 -1 5 -2 7 -2 6 -2 6 -3 6 -2 6 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-55,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,72590,0,135,0,0,0.48194,128,[-121 112 8 0 0 0 0 0 0 0 0 0 0 -18 1 -18 1 -21 2 -21 2 -21 3 -18 3 -21 5 -19 4 -21 7 -21 7 -23 7 -23 8 -22 8 -22 7 -20 8 -25 8 -20 9 -20 9 -20 9 -20 9 -20 10 -22 10 -19 9 -20 10 -22 9 -21 0 0 9 -21 9 -22 8 -21 9 -21 7 -18 7 -20 7 -21 7 -19 6 -20 7 -19 6 -20 6 -17 5 -18 5 -17 5 -18 3 -18 3 -20 3 -17 2 -17 1 -18 1 -17 0 -18 0 -18 -1 -18 -1 -17 -2 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,188436,0,239,0,0,0.578346,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 0 11 0 11 0 11 -1 12 -1 12 -1 12 -2 12 -2 13 -3 13 -2 13 -3 13 -3 13 -4 13 -4 13 -4 13 -5 13 -5 12 -5 13 -5 12 -6 12 -5 12 -6 12 -6 12 -5 12 -6 12 -6 13 0 0 -6 12 -5 12 -6 11 -5 12 -5 10 -5 10 -5 10 -5 10 -5 11 -4 11 -4 11 -3 11 -3 10 -3 10 -3 9 -3 10 -2 9 -2 10 -1 10 -1 9 0 10 -1 9 1 9 2 9 1 10 2 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2086153,0,37,0,0,2.47632,128,[37 80 2 0 0 0 0 0 0 0 0 0 -19 -4 -19 -5 -20 -5 -21 -6 -19 -7 -19 -7 -19 -7 -18 -8 -19 -9 -19 -9 -21 -8 -21 -9 -21 -9 -20 -10 -18 -10 -21 -10 -19 -11 -17 -11 -18 -11 -18 -11 -18 -11 -19 -12 -16 -11 -19 -10 -20 -11 -19 -11 0 0 -19 -11 -19 -10 -19 -10 -18 -10 -17 -9 -18 -10 -19 -10 -17 -10 -18 -9 -17 -9 -18 -8 -16 -8 -17 -8 -17 -9 -16 -8 -16 -8 -17 -7 -16 -7 -15 -7 -15 -6 -15 -6 -15 -5 -15 -4 -16 -3 -15 -3 -15 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,7,1,1,1,0,0,0,0,-91,0,6,1,2088726,0,82,0,0,2.51421,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -6 -15 -5 -16 -5 -16 -5 -17 -5 -18 -5 -17 -3 -16 -3 -17 -2 -17 -3 -18 -3 -18 -2 -18 -3 -18 -1 -18 -2 -18 0 -18 0 -18 -1 -18 -1 -18 -1 -18 -1 -18 -1 -18 -1 -17 0 -17 0 -18 0 -18 0 0 0 -17 -1 -17 -1 -16 0 -16 -1 -16 -1 -16 -1 -16 -1 -16 0 -15 -1 -15 -1 -15 -2 -15 -2 -14 -2 -14 -2 -14 -3 -14 -3 -14 -3 -13 -4 -13 -3 -12 -3 -13 -5 -12 -4 -12 -5 -11 -5 -11 -5 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2411763,0,37,0,0,2.80175,128,[37 80 2 0 0 0 0 0 0 0 0 0 -8 -11 -8 -12 -9 -12 -10 -14 -7 -13 -6 -14 -7 -14 -6 -15 -6 -15 -6 -14 -8 -15 -8 -16 -7 -16 -7 -16 -6 -15 -7 -17 -5 -16 -4 -15 -5 -16 -4 -16 -5 -15 -5 -17 -4 -14 -6 -15 -7 -17 -6 -16 0 0 -6 -16 -6 -16 -6 -16 -6 -15 -5 -14 -6 -15 -6 -15 -6 -14 -6 -15 -6 -14 -7 -14 -6 -13 -7 -13 -7 -14 -6 -13 -7 -13 -7 -13 -7 -12 -6 -12 -7 -12 -7 -11 -8 -11 -8 -11 -9 -11 -8 -10 -8 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,6,1,1,1,1,0,0,0,-91,4,6,1,2419209,0,110,0,0,2.83786,384,[110 96 6 0 0 0 0 0 0 0 0 0 14 -5 15 -5 14 -3 17 -4 16 -3 16 -3 16 -1 17 -3 16 -2 17 0 17 0 18 0 18 0 19 0 18 0 18 0 18 2 17 0 19 1 18 2 17 1 17 2 17 2 17 1 17 2 17 1 0 0 17 1 17 2 16 1 16 1 15 1 16 0 16 0 15 0 15 0 15 -1 15 -1 15 -1 15 0 15 -1 14 -1 14 -2 14 -2 14 -3 13 -2 12 -3 13 -3 13 -3 12 -4 12 -5 11 -5 11 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,3,1,1,1,1,0,0,0,-91,0,6,1,2588945,0,110,0,0,2.9788,384,[110 96 6 0 0 0 0 0 0 0 0 0 10 6 6 7 10 11 10 4 17 8 11 12 14 7 12 11 11 10 7 12 9 12 11 12 9 11 10 13 9 13 9 13 9 13 9 12 9 12 9 13 8 13 9 13 8 12 8 12 9 13 9 11 0 0 9 12 9 11 9 11 9 9 9 10 9 10 9 10 9 9 9 9 9 7 9 7 9 7 10 7 10 6 9 6 11 5 11 6 10 5 9 5 10 1 10 4 9 3 12 3 11 2 11 1 11 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-65,11,1,3,1,1,1,1,0,0,0,-91,1,6,1,2597151,0,110,0,0,3.00556,384,[110 96 6 0 0 0 0 0 0 0 0 0 -7 -12 -6 -13 -7 -13 -6 -14 -6 -15 -4 -14 -4 -14 -4 -14 -4 -16 -4 -16 -3 -16 -3 -17 -3 -16 -2 -16 -2 -16 -2 -17 -2 -16 -1 -16 -2 -15 -1 -16 -1 -16 -1 -16 0 -16 -1 -16 -1 -16 -1 -15 0 0 -1 -15 -2 -15 -2 -15 -2 -14 -1 -14 -2 -14 -2 -14 -2 -14 -2 -13 -3 -13 -3 -13 -3 -12 -3 -12 -4 -12 -4 -12 -5 -11 -5 -12 -5 -10 -5 -10 -6 -9 -6 -10 -6 -10 -7 -10 -7 -9 -6 -9 -7 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-68,11,1,7,1,1,1,1,0,0,0,-91,1,6,1,2709165,0,110,0,0,3.09876,384,[110 96 6 0 0 0 0 0 0 0 0 0 11 4 12 5 13 8 10 6 11 8 11 5 12 6 10 7 10 10 11 9 10 9 10 9 11 10 11 10 11 10 10 10 10 10 10 10 9 10 9 10 9 11 10 10 9 9 9 10 9 9 9 9 0 0 9 9 9 10 9 9 9 8 9 8 9 8 9 8 9 7 8 7 9 7 9 6 9 6 9 6 9 5 9 5 9 4 9 4 9 3 10 3 9 3 9 2 10 3 10 2 10 1 9 0 9 0 0 0 0 0 0 0 0 0 0 0 ]
