type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-50,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,69839,0,131,0,0,0.459235,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -26 0 -25 -1 -28 -1 -27 -2 -26 -2 -23 -4 -25 -4 -23 -6 -25 -5 -24 -7 -25 -6 -25 -7 -24 -7 -23 -6 -21 -6 -25 -6 -21 -6 -21 -7 -20 -6 -21 -6 -20 -7 -22 -6 -19 -7 -21 -5 -22 -5 -21 -5 0 0 -21 -4 -22 -3 -21 -2 -21 -2 -19 -3 -21 -2 -22 -2 -20 -2 -21 0 -21 -2 -22 0 -20 -1 -21 1 -21 0 -21 0 -20 1 -23 2 -20 1 -21 1 -21 2 -21 2 -21 3 -22 3 -22 4 -21 3 -21 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-59,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,70302,0,135,0,0,0.493933,384,[-121 112 8 0 0 0 0 0 0 0 0 0 13 -13 14 -12 14 -11 14 -11 15 -11 14 -10 15 -9 15 -10 15 -9 14 -8 15 -9 15 -8 15 -8 15 -8 15 -7 15 -7 14 -6 15 -7 13 -7 14 -7 13 -7 14 -6 14 -6 13 -7 13 -7 13 -7 0 0 12 -7 13 -7 12 -7 12 -7 11 -7 11 -7 12 -8 11 -8 10 -8 10 -9 10 -9 10 -9 10 -9 10 -10 10 -10 10 -10 10 -10 9 -11 10 -10 9 -11 9 -11 9 -11 9 -12 8 -12 8 -12 9 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-59,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,192425,0,239,0,0,0.581311,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 17 -8 16 -7 17 -7 17 -6 18 -6 17 -5 17 -5 17 -4 17 -4 17 -4 17 -3 17 -3 17 -3 17 -3 16 -2 16 -2 15 -2 16 -3 15 -2 15 -2 15 -2 15 -2 15 -2 14 -2 15 -2 13 -2 0 0 14 -3 14 -3 13 -3 14 -4 13 -4 13 -4 13 -4 13 -4 13 -5 13 -6 12 -5 12 -6 13 -6 12 -6 12 -7 12 -7 13 -7 12 -8 12 -8 11 -8 12 -7 12 -8 12 -8 11 -9 12 -9 12 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-51,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2084498,0,37,0,0,2.47371,128,[37 80 2 0 0 0 0 0 0 0 0 0 9 22 8 22 8 24 8 24 6 23 4 22 4 23 3 22 3 23 2 22 3 23 3 24 3 23 2 22 1 21 3 23 1 21 0 20 1 20 1 20 1 19 1 21 1 18 2 19 3 21 3 20 0 0 3 19 4 20 4 20 4 19 3 17 5 18 5 19 4 18 6 19 5 18 6 19 5 17 7 18 6 19 6 18 7 18 8 19 7 17 7 18 7 18 7 18 8 18 8 18 9 18 8 17 8 17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-60,11,1,7,1,1,1,0,0,0,0,-92,0,6,1,2084837,0,82,0,0,2.50072,384,[82 -96 4 0 0 0 0 0 0 0 0 0 8 17 7 17 7 18 6 18 6 18 5 18 6 18 5 18 5 18 3 18 3 18 3 17 3 17 3 17 2 17 2 17 2 17 3 16 2 16 3 16 3 16 3 15 3 15 3 15 3 15 3 15 0 0 4 14 4 14 4 14 4 14 5 13 5 13 5 13 5 13 5 14 6 13 6 13 6 13 7 13 7 12 7 13 7 12 8 13 8 12 8 12 8 11 9 12 9 12 9 11 10 11 9 11 10 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-51,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2384014,0,37,0,0,2.77299,128,[37 80 2 0 0 0 0 0 0 0 0 0 20 9 20 10 20 11 21 12 19 12 17 12 17 14 15 14 16 14 16 14 18 13 18 14 17 13 16 13 14 13 16 14 14 14 13 13 13 13 13 14 12 13 13 14 12 12 14 11 16 12 15 12 0 0 14 12 15 11 16 11 15 10 14 10 15 10 15 11 14 11 16 10 15 10 17 9 15 8 16 8 17 10 16 9 16 9 18 9 17 8 16 9 16 9 16 9 17 9 17 7 19 6 17 6 17 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-60,11,1,7,1,1,1,1,0,0,0,-92,3,6,1,2391433,0,110,0,0,2.80327,384,[110 96 6 0 0 0 0 0 0 0 0 0 -8 -18 -8 -18 -7 -18 -7 -18 -5 -18 -5 -18 -5 -18 -5 -18 -3 -18 -3 -18 -3 -18 -2 -18 -3 -18 -2 -18 -2 -18 -2 -18 -2 -17 -2 -16 -2 -16 -2 -16 -2 -16 -2 -16 -2 -16 -3 -15 -2 -16 -2 -15 0 0 -2 -15 -3 -15 -3 -15 -3 -15 -4 -15 -4 -15 -4 -15 -4 -14 -4 -15 -5 -14 -5 -14 -5 -14 -6 -14 -6 -14 -6 -14 -6 -14 -7 -14 -6 -14 -7 -14 -7 -13 -7 -14 -7 -14 -8 -14 -8 -14 -8 -14 -8 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-61,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2394866,0,110,0,0,2.84794,384,[110 96 6 0 0 0 0 0 0 0 0 0 2 -20 3 -19 4 -20 4 -19 5 -19 5 -18 6 -18 6 -18 6 -18 7 -18 7 -17 7 -17 7 -16 8 -17 7 -16 7 -16 7 -15 7 -16 7 -15 7 -15 7 -14 7 -15 7 -15 6 -14 6 -15 6 -15 0 0 5 -14 5 -15 5 -14 5 -15 4 -14 4 -14 4 -14 4 -15 3 -15 3 -15 3 -15 2 -14 2 -15 2 -15 2 -15 1 -15 1 -16 1 -16 1 -16 0 -15 1 -16 0 -16 0 -16 0 -16 0 -16 0 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-61,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2543351,0,110,0,0,2.93207,384,[110 96 6 0 0 0 0 0 0 0 0 0 -18 6 -18 5 -19 4 -19 3 -19 3 -19 3 -18 3 -18 1 -18 1 -19 1 -18 2 -18 1 -18 0 -17 0 -18 0 -17 0 -16 0 -16 1 -16 0 -16 0 -16 0 -16 0 -15 0 -15 0 -16 0 -15 1 0 0 -15 1 -15 1 -14 1 -14 2 -14 1 -14 2 -14 2 -14 2 -14 3 -14 3 -14 4 -14 4 -14 4 -13 4 -13 4 -13 5 -13 5 -13 5 -14 5 -13 6 -13 6 -13 6 -14 7 -13 6 -13 7 -13 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-60,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2615245,0,110,0,0,3.0039,384,[110 96 6 0 0 0 0 0 0 0 0 0 -16 11 -17 11 -17 10 -18 9 -18 9 -17 8 -17 7 -18 7 -18 7 -18 6 -17 7 -18 7 -17 6 -17 5 -17 5 -17 5 -17 5 -16 5 -16 4 -16 4 -16 4 -16 4 -15 5 -15 4 -15 5 -15 5 0 0 -15 4 -14 5 -14 5 -14 6 -14 5 -13 5 -13 6 -13 6 -13 7 -13 7 -12 7 -12 7 -12 8 -12 8 -12 8 -12 8 -12 9 -11 8 -11 9 -11 9 -12 9 -11 9 -11 9 -11 10 -11 10 -11 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-61,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2685897,0,110,0,0,3.07526,384,[110 96 6 0 0 0 0 0 0 0 0 0 -20 3 -18 2 -20 1 -19 1 -20 1 -18 0 -19 -1 -18 -1 -18 -2 -19 -2 -18 -3 -17 -3 -18 -3 -17 -3 -17 -3 -18 -3 -16 -3 -16 -3 -16 -3 -16 -4 -15 -4 -15 -3 -16 -4 -15 -4 -15 -3 -15 -3 0 0 -14 -3 -15 -2 -14 -2 -15 -2 -14 -1 -15 -1 -15 -1 -14 -1 -15 -2 -14 0 -14 0 -14 0 -14 0 -14 1 -15 1 -14 1 -15 1 -14 2 -14 2 -14 2 -14 2 -15 2 -15 2 -15 3 -14 3 -15 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-60,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2777761,0,110,0,0,3.16642,384,[110 96 6 0 0 0 0 0 0 0 0 0 18 2 17 2 18 3 18 4 18 4 17 4 17 5 16 5 17 6 17 6 17 6 16 7 16 7 16 7 15 6 15 7 14 7 14 7 15 6 15 6 15 7 15 6 14 6 14 6 14 6 14 5 0 0 14 6 14 5 14 5 13 4 14 4 14 4 14 4 14 3 14 4 14 3 14 2 14 3 14 2 14 2 15 1 14 2 15 1 14 1 15 2 15 1 15 1 15 1 15 0 15 0 15 0 14 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-61,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2890703,0,110,0,0,3.28004,384,[110 96 6 0 0 0 0 0 0 0 0 0 -19 0 -19 -1 -20 -1 -20 -2 -20 -2 -19 -3 -19 -4 -19 -4 -18 -5 -18 -5 -18 -5 -18 -6 -18 -6 -18 -6 -17 -5 -17 -6 -16 -6 -16 -6 -17 -6 -16 -6 -16 -6 -16 -6 -16 -5 -16 -5 -16 -6 -16 -5 0 0 -15 -5 -16 -5 -16 -4 -15 -4 -15 -4 -15 -4 -15 -4 -15 -4 -15 -4 -16 -2 -15 -2 -15 -2 -16 -2 -16 -2 -16 -2 -16 -2 -16 -2 -16 -1 -16 -1 -16 -1 -16 -1 -17 -1 -16 -1 -16 1 -17 0 -16 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-61,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2993087,0,110,0,0,3.38271,384,[110 96 6 0 0 0 0 0 0 0 0 0 -22 -13 -22 -13 -21 -14 -21 -14 -20 -15 -19 -15 -18 -15 -18 -16 -17 -16 -18 -17 -17 -17 -17 -17 -16 -17 -16 -17 -16 -17 -16 -17 -15 -16 -15 -16 -15 -16 -15 -16 -14 -15 -15 -16 -14 -15 -14 -14 -15 -15 -14 -14 0 0 -15 -14 -15 -15 -15 -13 -15 -14 -15 -13 -15 -13 -16 -13 -16 -12 -16 -11 -16 -11 -16 -11 -17 -11 -17 -11 -17 -11 -17 -11 -18 -10 -17 -10 -18 -10 -18 -10 -18 -10 -18 -10 -19 -9 -19 -10 -19 -8 -19 -9 -19 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-60,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,3078229,0,110,0,0,3.46686,384,[110 96 6 0 0 0 0 0 0 0 0 0 -19 -2 -19 -3 -20 -3 -20 -4 -19 -4 -18 -4 -18 -5 -18 -5 -17 -6 -17 -6 -17 -7 -17 -7 -17 -7 -17 -8 -16 -7 -16 -6 -16 -7 -15 -7 -15 -7 -16 -7 -15 -7 -15 -7 -15 -6 -15 -6 -15 -6 -15 -6 0 0 -14 -5 -15 -5 -15 -5 -15 -5 -14 -4 -15 -4 -15 -4 -15 -4 -15 -3 -15 -2 -15 -3 -15 -2 -16 -2 -15 -2 -15 -2 -15 -2 -16 -2 -15 -1 -16 -1 -16 0 -16 0 -16 0 -16 -1 -17 0 -16 0 -16 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-61,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,3177565,0,110,0,0,3.56633,384,[110 96 6 0 0 0 0 0 0 0 0 0 -11 -16 -10 -16 -10 -17 -9 -17 -9 -18 -8 -17 -7 -17 -7 -17 -6 -18 -6 -18 -6 -18 -5 -18 -5 -17 -5 -18 -5 -17 -4 -18 -5 -16 -5 -16 -5 -16 -5 -16 -4 -15 -5 -16 -4 -15 -4 -15 -5 -15 -4 -15 0 0 -5 -14 -6 -15 -6 -14 -6 -15 -6 -13 -6 -14 -6 -14 -7 -14 -6 -14 -7 -14 -8 -13 -8 -14 -8 -13 -8 -13 -8 -13 -8 -13 -9 -13 -8 -12 -9 -13 -9 -13 -9 -13 -10 -13 -10 -14 -11 -13 -10 -12 -10 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-58,11,1,5,1,1,1,1,0,0,0,-92,1,6,1,3282220,0,110,0,0,3.67097,384,[110 96 6 0 0 0 0 0 0 0 0 0 8 -21 7 -19 9 -20 9 -20 10 -19 10 -18 10 -18 10 -17 11 -18 12 -17 12 -17 12 -17 12 -16 12 -16 11 -15 12 -16 11 -14 11 -16 10 -15 10 -15 10 -15 10 -15 10 -14 10 -14 10 -14 10 -14 0 0 8 -15 8 -15 7 -14 8 -16 7 -14 7 -15 7 -15 6 -15 6 -16 6 -16 6 -16 6 -16 6 -16 5 -16 5 -17 4 -16 4 -19 4 -17 3 -17 3 -17 3 -18 3 -17 3 -18 2 -18 4 -18 3 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-59,11,1,5,1,1,1,1,0,0,0,-92,1,6,1,3391920,0,110,0,0,3.78069,384,[110 96 6 0 0 0 0 0 0 0 0 0 18 9 18 9 17 10 18 11 17 11 15 12 14 12 15 11 14 13 14 12 14 12 14 12 14 12 14 12 13 13 12 13 12 13 12 12 12 12 12 12 12 12 12 12 12 11 12 11 12 11 12 10 0 0 12 10 12 10 13 10 12 9 12 9 13 9 13 9 13 8 13 9 13 7 13 7 14 7 14 7 15 7 13 8 15 7 15 6 14 6 14 6 14 5 15 6 15 7 15 5 16 4 16 5 16 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-60,11,1,6,1,1,1,1,0,0,0,-92,1,6,1,3484994,0,110,0,0,3.87358,384,[110 96 6 0 0 0 0 0 0 0 0 0 16 12 15 13 16 13 15 14 14 14 13 15 12 15 12 15 12 15 12 15 11 15 11 16 11 15 11 16 10 15 9 16 9 15 9 15 9 14 9 15 9 14 9 14 9 14 9 13 9 14 9 12 0 0 9 13 9 13 9 12 10 12 9 12 10 12 10 12 10 11 10 11 10 11 11 11 11 11 11 11 11 11 10 11 11 11 12 10 11 10 11 10 12 9 12 9 12 10 13 9 13 9 13 9 13 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-59,11,1,6,1,1,1,1,0,0,0,-92,1,6,1,3582819,0,110,0,0,3.97159,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 -20 3 -20 3 -20 4 -20 5 -20 5 -19 6 -19 6 -18 6 -18 7 -19 7 -18 7 -18 7 -18 7 -17 7 -17 7 -17 7 -16 7 -16 6 -16 6 -16 6 -16 6 -16 7 -16 6 -16 6 -15 5 -15 0 0 5 -15 4 -15 4 -15 4 -15 3 -15 3 -16 3 -15 2 -15 2 -15 2 -15 2 -15 1 -16 0 -15 0 -15 0 -15 0 -15 -1 -16 -1 -15 -1 -15 -2 -15 -2 -16 -2 -15 -3 -16 -3 -16 -2 -16 -3 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-59,11,1,6,1,1,1,1,0,0,0,-92,1,6,1,3681612,0,110,0,0,4.07036,384,[110 96 6 0 0 0 0 0 0 0 0 0 -11 -18 -10 -19 -9 -19 -9 -19 -9 -19 -7 -19 -7 -19 -6 -19 -6 -20 -6 -19 -5 -19 -4 -20 -4 -19 -4 -20 -4 -19 -3 -19 -3 -18 -4 -18 -4 -18 -4 -17 -4 -18 -4 -17 -3 -17 -3 -17 -3 -17 -3 -16 0 0 -4 -16 -5 -16 -5 -16 -5 -15 -5 -15 -6 -16 -6 -15 -6 -15 -6 -14 -7 -14 -6 -14 -6 -14 -7 -15 -8 -14 -7 -14 -8 -14 -8 -14 -8 -14 -8 -12 -9 -12 -9 -13 -10 -13 -9 -13 -9 -13 -9 -13 -10 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-59,11,1,6,1,1,1,1,0,0,0,-92,1,6,1,3829600,0,110,0,0,4.21842,384,[110 96 6 0 0 0 0 0 0 0 0 0 -22 -10 -21 -11 -22 -12 -21 -12 -21 -13 -19 -13 -18 -14 -18 -14 -18 -14 -18 -15 -17 -14 -17 -15 -17 -16 -16 -15 -15 -15 -16 -14 -15 -15 -15 -14 -15 -14 -14 -14 -14 -14 -15 -13 -14 -14 -14 -13 -14 -14 -14 -13 0 0 -14 -12 -14 -12 -14 -12 -15 -11 -14 -11 -14 -11 -15 -11 -15 -10 -15 -10 -15 -10 -15 -9 -15 -9 -15 -9 -15 -8 -16 -9 -15 -8 -16 -8 -15 -7 -16 -7 -16 -7 -17 -7 -17 -7 -17 -7 -17 -6 -16 -6 -17 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-60,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,3912640,0,110,0,0,4.30136,384,[110 96 6 0 0 0 0 0 0 0 0 0 -18 13 -17 12 -19 12 -18 11 -18 10 -19 10 -19 9 -19 9 -19 8 -19 7 -19 7 -19 7 -19 6 -18 6 -18 6 -18 7 -17 6 -17 6 -17 6 -17 6 -16 6 -17 6 -16 6 -16 6 -16 6 -15 6 0 0 -15 7 -15 7 -14 7 -14 7 -13 7 -14 8 -14 8 -13 8 -13 8 -13 8 -13 9 -12 9 -12 9 -12 9 -12 9 -12 11 -12 10 -12 10 -11 10 -10 11 -10 11 -11 11 -11 11 -10 12 -10 12 -10 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-60,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,3986254,0,110,0,0,4.37477,384,[110 96 6 0 0 0 0 0 0 0 0 0 13 -17 13 -16 14 -16 14 -16 15 -15 15 -14 15 -13 15 -13 16 -13 16 -12 15 -13 16 -13 15 -12 16 -12 15 -11 16 -11 14 -10 15 -10 14 -11 14 -10 14 -11 14 -11 13 -11 13 -10 13 -10 13 -11 0 0 12 -11 11 -11 11 -11 11 -11 10 -11 11 -11 11 -12 10 -12 9 -12 9 -13 9 -13 8 -13 8 -13 8 -13 8 -13 7 -14 8 -14 7 -14 7 -14 6 -14 7 -14 6 -14 6 -14 5 -15 5 -14 5 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-60,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,4084534,0,110,0,0,4.47326,384,[110 96 6 0 0 0 0 0 0 0 0 0 -21 -2 -21 -3 -22 -4 -21 -5 -21 -5 -20 -5 -20 -6 -20 -6 -20 -7 -19 -7 -19 -8 -19 -8 -19 -8 -18 -8 -18 -8 -18 -8 -17 -8 -17 -8 -17 -8 -17 -8 -16 -8 -16 -7 -16 -7 -16 -7 -16 -8 -16 -7 0 0 -15 -7 -16 -6 -15 -5 -15 -5 -15 -5 -16 -5 -16 -5 -15 -5 -16 -4 -16 -4 -16 -3 -16 -3 -15 -3 -16 -3 -16 -3 -16 -2 -15 -3 -16 -2 -16 -2 -16 -1 -16 -1 -16 -1 -16 -1 -16 -1 -16 0 -16 0 0 0 0 0 0 0 0 0 0 0 ]
