type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-52,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,68289,0,131,0,0,0.457392,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -21 5 -20 4 -22 3 -23 3 -21 2 -20 1 -21 1 -20 0 -21 0 -21 0 -22 0 -23 0 -22 0 -21 0 -19 -1 -22 -1 -20 -2 -19 -2 -19 -2 -19 -2 -19 -2 -20 -2 -18 -2 -19 0 -21 1 -21 0 0 0 -20 0 -21 0 -21 1 -20 1 -18 0 -20 1 -21 1 -20 1 -21 2 -20 1 -21 3 -19 2 -20 3 -21 2 -21 1 -21 2 -22 3 -20 2 -21 2 -21 3 -21 3 -22 3 -21 4 -21 4 -21 4 -21 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-61,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,68752,0,135,0,0,0.489833,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -14 -10 -14 -11 -15 -11 -14 -12 -14 -12 -13 -12 -12 -12 -12 -13 -11 -13 -12 -12 -12 -12 -12 -13 -12 -13 -11 -13 -11 -13 -11 -14 -11 -13 -10 -12 -10 -13 -10 -13 -10 -13 -10 -13 -10 -12 -11 -11 -10 -12 -10 -12 0 0 -11 -12 -10 -12 -11 -12 -11 -11 -11 -11 -11 -11 -11 -11 -11 -11 -11 -11 -11 -9 -12 -10 -12 -10 -13 -10 -13 -10 -12 -10 -13 -10 -13 -9 -13 -9 -13 -9 -13 -9 -14 -9 -14 -10 -15 -8 -15 -9 -14 -8 -15 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-61,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,196683,0,239,0,0,0.58527,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -14 -10 -13 -11 -13 -11 -13 -11 -14 -11 -12 -12 -12 -13 -12 -11 -11 -13 -11 -14 -11 -13 -11 -13 -11 -14 -11 -14 -10 -14 -10 -14 -10 -13 -10 -13 -10 -14 -10 -13 -10 -13 -10 -14 -9 -13 -9 -13 -10 -13 -10 -13 0 0 -10 -12 -10 -12 -10 -13 -10 -12 -11 -12 -10 -12 -11 -12 -10 -12 -11 -12 -11 -12 -11 -11 -12 -11 -12 -11 -12 -11 -12 -11 -12 -10 -12 -11 -12 -11 -12 -11 -12 -11 -13 -11 -13 -11 -13 -10 -14 -10 -14 -11 -13 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-72,11,1,7,1,1,1,0,0,0,0,-92,0,6,1,2079480,0,82,0,0,2.46836,384,[82 -96 4 0 0 0 0 0 0 0 0 0 5 12 3 12 2 13 6 13 3 15 2 14 2 14 1 15 1 15 2 15 1 15 1 16 1 17 1 17 0 16 0 16 0 16 -1 17 1 16 1 17 0 18 2 17 0 17 1 16 0 16 0 17 0 0 1 16 0 17 2 17 1 16 1 17 1 16 1 16 2 17 2 17 3 17 2 16 2 16 3 16 4 15 5 16 5 16 5 18 3 16 5 16 4 17 5 15 5 15 7 15 7 15 7 16 7 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-62,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2079596,0,37,0,0,2.49553,128,[37 80 2 0 0 0 0 0 0 0 0 0 1 16 0 16 2 16 2 18 1 19 0 16 0 19 -1 17 -1 19 -3 19 -1 20 -2 21 -3 20 -2 20 -3 18 -2 22 -3 19 -4 19 -3 18 -3 19 -3 19 -3 20 -4 19 -3 19 -3 21 -3 20 0 0 -2 20 -1 21 -1 20 -1 21 -2 18 0 20 -1 20 -1 19 2 21 -1 22 1 21 0 19 1 20 1 20 1 20 2 20 2 23 2 20 2 20 3 21 2 21 3 21 3 21 4 22 3 20 3 20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-62,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2388559,0,37,0,0,2.77728,128,[37 80 2 0 0 0 0 0 0 0 0 0 16 -8 15 -6 20 -6 19 -6 19 -5 18 -3 19 -3 19 -3 21 -3 20 -2 22 -2 23 -2 21 -1 22 -1 20 0 23 -1 20 1 21 2 20 1 20 0 20 1 22 1 19 2 21 1 22 0 22 0 0 0 21 -1 23 0 22 -1 21 -1 19 -1 22 -2 21 -2 20 -2 22 -3 21 -3 23 -3 20 -3 21 -4 21 -4 22 -3 21 -4 23 -5 21 -6 21 -5 20 -6 21 -6 21 -6 22 -8 22 -8 21 -7 21 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-71,11,1,7,1,1,1,1,0,0,0,-92,3,6,1,2395963,0,110,0,0,2.80766,384,[110 96 6 0 0 0 0 0 0 0 0 0 -2 -13 -2 -12 -1 -13 0 -13 1 -14 0 -15 1 -14 2 -14 2 -15 3 -13 3 -16 3 -15 2 -15 4 -15 5 -14 6 -15 4 -13 4 -13 4 -13 5 -14 5 -14 6 -13 6 -13 5 -13 5 -13 5 -14 0 0 5 -14 4 -14 5 -14 5 -14 3 -14 3 -14 4 -15 4 -13 3 -15 3 -15 2 -15 2 -15 2 -15 2 -14 3 -16 3 -14 2 -15 0 -14 1 -15 1 -16 1 -15 0 -15 0 -15 0 -15 -1 -17 0 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-71,11,1,6,1,1,1,1,0,0,0,-92,1,6,1,2400890,0,110,0,0,2.84824,384,[110 96 6 0 0 0 0 0 0 0 0 0 9 -13 10 -12 10 -12 9 -11 11 -12 11 -12 10 -13 12 -11 12 -13 14 -10 13 -11 13 -11 13 -11 14 -10 14 -10 16 -10 16 -9 15 -10 14 -10 14 -10 16 -9 15 -10 14 -10 13 -9 14 -9 15 -9 0 0 14 -11 13 -10 14 -10 13 -10 12 -10 13 -11 14 -10 12 -11 12 -11 12 -12 12 -12 11 -12 12 -12 12 -13 11 -13 12 -13 12 -14 11 -14 10 -14 11 -15 10 -15 9 -14 10 -16 10 -16 9 -16 9 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-71,11,1,7,1,1,1,1,0,0,0,-92,2,6,1,2581872,0,110,0,0,2.9704,384,[110 96 6 0 0 0 0 0 0 0 0 0 7 -9 7 -8 7 -9 8 -8 9 -8 9 -8 9 -8 10 -8 10 -7 11 -7 11 -7 12 -7 13 -6 12 -7 13 -7 12 -8 14 -7 13 -6 12 -6 12 -5 12 -5 15 -5 13 -5 13 -4 13 -4 13 -6 0 0 14 -5 14 -5 13 -4 14 -5 12 -6 13 -5 14 -5 13 -7 13 -6 13 -7 13 -6 13 -5 14 -6 14 -6 14 -7 13 -8 13 -7 14 -9 13 -8 13 -8 14 -9 13 -7 14 -9 14 -8 14 -7 14 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-70,11,1,6,1,1,1,1,0,0,0,-92,1,6,1,2584615,0,110,0,0,3.00137,384,[110 96 6 0 0 0 0 0 0 0 0 0 2 12 4 13 3 13 3 14 3 15 1 14 1 14 2 15 2 16 1 16 0 18 0 16 -1 19 -1 18 -1 17 -2 17 -3 17 -1 18 -2 18 -2 18 -2 17 -2 17 -3 17 -3 17 -3 18 -4 17 0 0 -3 18 -1 17 -1 18 -1 18 -2 18 0 19 -1 17 0 17 -1 17 -2 17 -1 18 -1 18 0 18 1 19 1 18 2 18 1 19 2 19 3 19 2 19 2 20 3 19 3 19 3 21 3 21 3 20 0 0 0 0 0 0 0 0 0 0 ]
