type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-48,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,70030,0,131,0,0,0.459601,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -17 -19 -15 -19 -17 -21 -16 -21 -15 -21 -12 -20 -12 -21 -11 -21 -11 -22 -11 -23 -12 -23 -11 -24 -10 -22 -10 -22 -8 -20 -11 -23 -8 -20 -8 -21 -7 -19 -8 -20 -7 -20 -8 -21 -7 -19 -9 -19 -10 -20 -9 -19 0 0 -9 -19 -11 -19 -10 -18 -11 -18 -9 -16 -11 -17 -11 -18 -10 -17 -12 -17 -11 -18 -13 -17 -11 -16 -12 -16 -12 -16 -13 -17 -13 -16 -14 -17 -13 -16 -13 -16 -14 -16 -14 -16 -14 -16 -15 -16 -16 -16 -14 -15 -15 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-57,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,72528,0,135,0,0,0.499329,384,[-121 112 8 0 0 0 0 0 0 0 0 0 11 -17 11 -16 12 -16 13 -16 13 -15 14 -14 13 -14 14 -14 14 -13 14 -13 15 -13 15 -12 15 -12 15 -11 15 -11 14 -11 14 -11 13 -11 14 -11 14 -11 14 -10 14 -11 13 -10 13 -9 14 -10 13 -10 0 0 12 -11 12 -10 12 -11 11 -10 11 -11 10 -11 11 -11 10 -11 11 -12 8 -11 9 -12 9 -11 10 -12 9 -13 9 -12 8 -13 8 -13 8 -14 8 -14 8 -14 8 -14 8 -14 7 -14 7 -14 7 -15 7 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-57,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,204271,0,239,0,0,0.593355,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 18 0 17 1 18 1 17 2 18 3 17 3 17 4 17 4 17 4 17 5 16 5 16 5 16 6 16 6 15 5 15 5 14 5 15 5 14 5 14 5 14 5 14 5 14 4 14 5 14 5 13 4 0 0 13 3 14 3 13 3 14 2 13 2 13 2 14 2 13 1 13 1 13 1 13 0 13 0 14 0 13 -1 13 -1 14 -1 14 -1 13 -2 13 -2 14 -2 14 -2 13 -2 14 -3 14 -4 14 -3 14 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-71,11,1,7,1,1,1,0,0,0,0,-92,0,6,1,2079497,0,82,0,0,2.46885,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -20 5 -20 5 -22 5 -20 3 -21 4 -19 3 -20 3 -20 1 -20 1 -21 2 -21 -1 -19 0 -20 -1 -22 0 -21 -1 -19 0 -19 0 -20 0 -19 0 -19 -1 -19 0 -18 -2 -19 -2 -18 -1 -18 -3 -17 -1 0 0 -17 -1 -17 0 -18 -1 -17 0 -17 1 -17 0 -16 2 -16 3 -17 3 -17 2 -16 3 -17 2 -17 3 -18 5 -15 4 -16 4 -17 4 -15 5 -16 6 -16 7 -17 5 -16 7 -17 7 -16 7 -18 9 -18 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-61,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2079613,0,37,0,0,2.50142,128,[37 80 2 0 0 0 0 0 0 0 0 0 -24 -3 -23 -3 -24 -4 -25 -4 -23 -5 -22 -6 -22 -6 -21 -6 -22 -7 -21 -8 -22 -8 -22 -8 -21 -8 -21 -8 -19 -8 -21 -8 -19 -9 -18 -9 -18 -9 -18 -8 -18 -8 -18 -9 -16 -8 -17 -7 -19 -8 -19 -7 0 0 -18 -7 -18 -6 -19 -6 -18 -6 -16 -5 -18 -5 -18 -4 -17 -5 -19 -5 -18 -5 -19 -3 -17 -3 -18 -3 -19 -3 -18 -4 -19 -3 -20 -2 -19 -2 -19 -2 -19 -1 -19 -1 -20 -1 -20 0 -20 -1 -20 -1 -21 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-61,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2402948,0,37,0,0,2.79214,128,[37 80 2 0 0 0 0 0 0 0 0 0 -3 -28 -2 -28 -2 -30 -2 -29 0 -28 2 -25 1 -27 2 -25 1 -26 4 -25 3 -26 4 -26 4 -25 3 -24 3 -21 2 -24 3 -21 3 -21 2 -20 1 -21 1 -19 1 -21 2 -19 1 -19 1 -21 0 -19 0 0 -1 -19 -1 -19 -2 -18 -3 -19 -2 -16 -3 -17 -4 -18 -3 -17 -5 -17 -5 -17 -5 -17 -4 -15 -5 -15 -6 -16 -6 -16 -7 -15 -8 -16 -8 -14 -8 -15 -9 -14 -9 -14 -10 -13 -10 -15 -11 -14 -10 -14 -11 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-71,11,1,7,1,1,1,1,0,0,0,-92,3,6,1,2403557,0,110,0,0,2.8266,384,[110 96 6 0 0 0 0 0 0 0 0 0 -6 21 -6 21 -8 21 -6 20 -7 20 -8 18 -9 17 -9 17 -9 18 -10 18 -11 17 -10 16 -10 16 -10 15 -10 14 -10 15 -10 13 -11 14 -9 14 -9 14 -9 13 -9 13 -9 13 -8 12 -10 13 -8 12 0 0 -7 12 -7 12 -6 12 -8 12 -7 11 -5 14 -6 12 -7 12 -5 15 -6 14 -4 14 -4 12 -4 12 -2 12 -4 13 -3 13 -3 12 -4 11 -1 12 0 12 -2 13 0 14 -1 13 0 14 0 13 2 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-71,11,1,6,1,1,1,1,0,0,0,-92,1,6,1,2414595,0,110,0,0,2.86717,384,[110 96 6 0 0 0 0 0 0 0 0 0 17 -7 17 -8 18 -6 19 -5 18 -5 17 -4 16 -3 17 -3 16 -2 16 -2 16 -3 17 -2 16 -1 16 -2 16 -1 14 -1 15 -1 14 -1 15 -1 15 0 14 -1 14 -1 13 -1 14 -1 14 -2 13 -2 0 0 13 -2 12 -1 13 -2 12 -2 12 -2 12 -3 11 -3 12 -3 11 -3 11 -4 10 -4 10 -5 10 -5 10 -5 10 -5 10 -6 10 -6 9 -7 9 -6 9 -8 9 -7 9 -7 9 -8 8 -9 9 -8 7 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-71,11,1,7,1,1,1,1,0,0,0,-92,2,6,1,2599608,0,110,0,0,2.98867,384,[110 96 6 0 0 0 0 0 0 0 0 0 15 -22 17 -19 18 -22 14 -20 14 -20 14 -18 16 -17 16 -16 18 -17 17 -15 17 -15 16 -14 17 -12 17 -13 15 -12 18 -12 16 -10 16 -11 16 -12 16 -11 14 -11 15 -11 15 -10 15 -10 14 -12 13 -11 0 0 11 -11 12 -11 12 -10 12 -11 10 -12 10 -11 11 -12 10 -13 10 -11 10 -13 9 -11 9 -11 8 -12 8 -12 9 -13 9 -13 8 -13 7 -14 7 -13 5 -13 5 -13 6 -14 4 -14 4 -14 4 -14 4 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-72,11,1,6,1,1,1,1,0,0,0,-92,1,6,1,2689361,0,110,0,0,3.07831,384,[110 96 6 0 0 0 0 0 0 0 0 0 21 -4 21 -4 21 -4 22 -1 20 -2 20 0 20 -1 19 1 19 1 20 1 18 2 16 2 18 3 18 2 17 1 17 3 16 3 14 2 15 2 15 2 15 2 15 1 14 1 14 1 14 2 14 1 0 0 14 1 13 1 13 1 13 0 13 -2 13 -1 13 -2 12 -2 12 -2 11 -2 11 -3 11 -2 12 -2 11 -3 11 -4 11 -4 12 -4 11 -5 11 -5 11 -5 11 -5 11 -6 10 -7 11 -7 11 -7 11 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-73,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2823853,0,110,0,0,3.21279,384,[110 96 6 0 0 0 0 0 0 0 0 0 -10 -20 -8 -20 -4 -20 -6 -20 -3 -23 -5 -19 -5 -19 -4 -19 -3 -17 -2 -19 -1 -18 -2 -18 -4 -18 -2 -18 -2 -16 -3 -16 -2 -15 -3 -16 -3 -16 -3 -14 -3 -14 -3 -15 -3 -14 -4 -14 -3 -13 -3 -14 0 0 -4 -14 -5 -13 -5 -13 -5 -12 -6 -12 -7 -12 -6 -12 -7 -12 -6 -11 -6 -11 -8 -11 -8 -12 -9 -10 -9 -11 -10 -11 -9 -10 -9 -10 -9 -10 -11 -9 -10 -10 -11 -10 -12 -10 -13 -10 -13 -10 -12 -10 -13 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-73,11,1,6,1,1,1,1,0,0,0,-92,1,6,1,2896220,0,110,0,0,3.2854,384,[110 96 6 0 0 0 0 0 0 0 0 0 18 9 17 10 16 11 16 10 18 12 15 11 13 11 13 11 12 12 13 13 12 12 11 12 12 11 11 13 11 11 10 12 10 12 11 10 10 10 10 11 10 11 10 9 10 11 9 10 10 10 9 8 0 0 9 9 12 9 9 7 9 7 10 7 12 7 11 9 12 8 13 6 13 6 11 7 12 8 12 8 13 6 12 6 13 5 14 5 11 5 13 5 13 4 14 6 15 5 16 6 14 5 15 6 15 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-73,11,1,6,1,1,1,1,0,0,0,-92,1,6,1,2992202,0,110,0,0,3.38121,384,[110 96 6 0 0 0 0 0 0 0 0 0 11 -23 12 -21 12 -20 12 -20 13 -20 13 -18 14 -18 13 -16 16 -17 12 -15 13 -15 13 -16 13 -14 12 -13 12 -14 11 -14 11 -12 11 -14 10 -13 9 -13 10 -13 8 -12 11 -14 9 -13 9 -13 10 -14 0 0 9 -15 6 -13 7 -12 5 -15 5 -12 7 -14 5 -13 4 -15 5 -15 5 -15 4 -16 2 -15 4 -15 2 -16 3 -17 4 -18 3 -18 3 -19 1 -18 2 -20 2 -18 1 -19 2 -20 2 -19 2 -21 3 -21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-73,11,1,5,1,1,1,1,0,0,0,-92,1,6,1,3090729,0,110,0,0,3.47967,384,[110 96 6 0 0 0 0 0 0 0 0 0 -17 10 -17 9 -19 10 -20 8 -18 7 -19 7 -18 5 -18 5 -18 4 -17 4 -17 4 -17 3 -16 2 -17 2 -14 2 -16 3 -14 3 -14 2 -13 2 -14 3 -12 3 -13 3 -12 2 -12 4 -13 3 -12 3 0 0 -12 4 -12 5 -12 5 -11 4 -11 5 -11 5 -11 5 -10 5 -10 6 -11 6 -9 7 -10 6 -10 7 -10 8 -10 8 -11 8 -10 9 -10 9 -10 9 -10 9 -10 11 -10 10 -11 10 -11 11 -11 11 -10 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-72,11,1,5,1,1,1,1,0,0,0,-92,1,6,1,3186282,0,110,0,0,3.57514,384,[110 96 6 0 0 0 0 0 0 0 0 0 12 13 10 14 10 14 9 14 9 14 8 14 7 14 6 13 6 12 6 13 6 12 5 13 6 13 4 12 5 10 5 12 5 11 5 10 5 9 5 10 5 9 5 9 4 9 6 9 6 9 5 9 0 0 5 8 7 7 7 7 6 7 6 7 7 7 7 8 7 6 6 7 6 5 7 6 8 7 8 6 9 5 9 5 9 5 10 5 10 5 9 4 10 4 10 5 11 4 12 4 11 3 11 5 10 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-73,11,1,6,1,1,1,1,0,0,0,-92,1,6,1,3286625,0,110,0,0,3.67559,384,[110 96 6 0 0 0 0 0 0 0 0 0 -22 0 -22 -1 -24 -3 -23 -4 -22 -4 -19 -6 -20 -5 -20 -4 -20 -5 -20 -5 -19 -7 -19 -6 -18 -5 -18 -6 -17 -5 -17 -5 -15 -6 -16 -6 -16 -4 -15 -5 -16 -4 -16 -4 -15 -5 -15 -4 -15 -4 -15 -3 0 0 -15 -3 -15 -2 -15 -3 -15 -1 -14 0 -15 -1 -16 0 -16 0 -15 -1 -16 -2 -15 1 -17 2 -16 2 -16 1 -17 3 -16 4 -17 3 -17 4 -16 4 -16 4 -18 5 -18 5 -18 4 -18 4 -18 5 -18 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-70,11,1,4,1,1,1,1,0,0,0,-92,1,6,1,3382241,0,110,0,0,3.7712,384,[110 96 6 0 0 0 0 0 0 0 0 0 -2 18 -3 17 -3 17 -4 17 -5 17 -4 15 -6 14 -6 14 -6 14 -6 13 -7 13 -7 14 -6 12 -6 13 -6 12 -6 13 -5 11 -5 11 -5 10 -5 10 -5 10 -5 11 -4 10 -4 9 -5 12 -3 11 0 0 -4 11 -3 12 -3 10 -3 11 -2 9 -2 11 -2 10 -2 11 -2 11 -1 11 -1 11 -1 12 -1 12 0 12 -1 12 0 12 1 13 1 12 0 13 1 12 0 13 1 13 1 14 2 13 1 14 1 13 0 0 0 0 0 0 0 0 0 0 ]
