type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-50,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,109064,0,131,0,0,0.501793,128,[-125 48 8 0 0 0 0 0 0 0 0 0 14 -24 15 -23 15 -24 16 -25 16 -21 16 -19 16 -19 16 -17 17 -18 17 -17 17 -19 18 -19 17 -18 16 -17 16 -15 16 -18 16 -15 15 -13 15 -14 14 -14 14 -14 15 -15 13 -11 13 -14 13 -16 13 -15 0 0 12 -15 11 -15 11 -15 10 -14 9 -13 10 -14 9 -14 9 -14 8 -15 8 -13 8 -14 7 -13 7 -13 7 -14 7 -13 6 -14 6 -14 5 -14 5 -13 4 -13 4 -13 4 -13 3 -13 3 -14 3 -13 2 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-59,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,109527,0,135,0,0,0.536227,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -10 24 -11 22 -11 23 -12 22 -13 22 -12 19 -13 19 -14 19 -13 19 -14 19 -14 18 -14 17 -13 17 -13 17 -13 16 -14 17 -13 15 -13 15 -12 14 -12 14 -12 14 -12 15 -12 14 -11 13 -11 14 -10 13 0 0 -10 13 -9 14 -8 13 -9 13 -8 12 -7 12 -8 13 -6 12 -6 13 -6 13 -6 12 -5 12 -5 12 -4 12 -4 12 -3 11 -3 13 -3 11 -3 11 -2 11 -2 12 -2 11 -1 12 0 11 0 11 0 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-59,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,244708,0,239,0,0,0.636978,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 15 18 15 17 13 18 13 18 13 18 11 18 10 19 10 18 9 18 9 18 9 18 8 18 8 17 8 17 7 16 8 18 7 16 7 16 7 15 6 16 6 15 6 15 7 14 7 14 6 15 6 13 0 0 6 13 7 13 7 12 7 12 6 12 6 11 7 11 7 11 7 9 8 10 8 10 8 9 8 8 8 8 8 8 8 8 9 8 8 6 8 7 8 6 8 6 8 6 9 6 8 5 9 5 8 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,7,1,1,1,0,0,0,0,-91,0,6,1,2068544,0,82,0,0,2.46105,384,[82 -96 4 0 0 0 0 0 0 0 0 0 3 23 3 23 2 23 1 23 1 22 0 21 0 21 -1 21 -1 20 -1 20 -2 20 -2 20 -2 19 -2 19 -2 18 -3 18 -3 17 -2 17 -2 17 -2 16 -2 16 -2 15 -2 15 -2 15 -1 14 -1 14 0 0 -1 13 -1 13 0 13 0 12 0 12 1 12 1 11 1 11 2 11 2 10 2 10 3 10 3 10 4 9 4 9 4 9 4 8 4 7 5 8 5 7 5 7 5 7 7 6 7 6 7 6 7 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-55,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2069612,0,37,0,0,2.48883,128,[37 80 2 0 0 0 0 0 0 0 0 0 -3 -30 -2 -30 -2 -31 -2 -32 1 -29 2 -26 1 -27 2 -26 3 -27 3 -26 3 -27 3 -27 3 -26 3 -26 4 -23 3 -26 4 -22 4 -21 3 -21 3 -20 3 -20 3 -21 3 -18 2 -19 1 -21 1 -20 0 0 0 -19 0 -19 -1 -18 -1 -18 -1 -16 -2 -17 -3 -17 -3 -15 -4 -17 -3 -16 -4 -15 -3 -14 -5 -14 -5 -14 -4 -14 -5 -13 -6 -14 -6 -13 -6 -12 -7 -11 -7 -11 -8 -11 -8 -11 -9 -10 -9 -10 -9 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-54,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2334341,0,37,0,0,2.72673,128,[37 80 2 0 0 0 0 0 0 0 0 0 26 14 25 16 26 16 27 17 24 17 20 16 21 17 19 17 21 17 18 17 20 17 20 18 19 17 18 17 16 15 19 16 15 15 14 15 14 14 15 14 14 13 15 13 12 12 14 11 16 12 15 11 0 0 15 10 15 10 15 9 14 8 12 7 14 7 14 6 13 6 14 5 13 5 13 5 12 4 12 3 13 3 12 3 12 2 12 1 12 1 11 0 11 0 11 -1 11 -1 11 -2 11 -3 10 -3 10 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-61,11,1,6,1,1,1,1,0,0,0,-91,3,6,1,2377828,0,110,0,0,2.76972,384,[110 96 6 0 0 0 0 0 0 0 0 0 -21 17 -21 16 -21 15 -23 15 -22 14 -21 13 -21 11 -21 11 -22 11 -21 11 -21 10 -20 10 -20 9 -20 9 -20 9 -19 9 -19 8 -17 8 -17 8 -17 8 -17 7 -16 8 -16 8 -15 7 -15 8 -14 8 0 0 -14 8 -13 8 -13 8 -12 8 -11 8 -11 8 -11 8 -10 8 -10 8 -9 9 -9 9 -8 9 -8 9 -7 9 -7 9 -6 9 -5 9 -5 8 -4 9 -4 9 -4 9 -3 9 -2 9 -1 9 -2 9 -1 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,7,1,1,1,1,0,0,0,-91,1,6,1,2436911,0,110,0,0,2.8291,384,[110 96 6 0 0 0 0 0 0 0 0 0 -4 -25 -2 -25 -2 -25 -1 -26 -1 -25 -1 -23 1 -23 2 -23 2 -23 1 -22 1 -22 2 -22 2 -21 2 -21 2 -20 2 -20 2 -19 2 -19 2 -19 2 -18 2 -17 2 -18 2 -17 1 -16 1 -17 1 -16 0 0 0 -15 0 -15 0 -14 -1 -14 -1 -13 -1 -13 -2 -13 -2 -12 -2 -12 -3 -12 -3 -11 -3 -11 -4 -11 -4 -11 -4 -10 -4 -10 -5 -10 -5 -9 -5 -9 -6 -8 -6 -8 -6 -8 -6 -7 -7 -7 -7 -7 -7 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-61,11,1,6,1,1,1,1,0,0,0,-91,1,6,1,2504132,0,110,0,0,2.89597,384,[110 96 6 0 0 0 0 0 0 0 0 0 8 -26 8 -25 9 -25 10 -24 10 -24 11 -23 12 -21 11 -21 12 -21 12 -20 12 -20 12 -20 12 -19 12 -19 12 -17 11 -18 11 -17 10 -17 11 -16 10 -15 10 -15 10 -16 9 -14 9 -14 9 -15 8 -14 0 0 8 -14 7 -14 7 -13 6 -14 6 -13 6 -14 5 -14 4 -13 4 -13 4 -13 3 -13 3 -13 2 -12 1 -12 1 -12 0 -12 0 -12 0 -11 -1 -11 -1 -11 -1 -11 -2 -11 -2 -11 -3 -10 -3 -11 -3 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-62,11,1,7,1,1,1,1,0,0,0,-91,1,6,1,2578066,0,110,0,0,2.97014,384,[110 96 6 0 0 0 0 0 0 0 0 0 -10 23 -10 22 -11 22 -11 21 -11 21 -12 20 -12 19 -12 19 -12 19 -13 18 -13 17 -13 17 -12 16 -13 16 -12 16 -12 16 -12 15 -11 15 -11 14 -10 14 -11 14 -10 14 -9 13 -10 13 -10 13 -9 13 0 0 -8 13 -7 13 -6 13 -6 13 -6 12 -6 12 -5 12 -5 12 -4 12 -2 12 -3 11 -2 12 -4 11 -2 10 -2 11 -1 11 -1 10 0 11 0 10 1 10 1 11 1 10 2 9 3 8 3 10 3 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-62,11,1,7,1,1,1,1,0,0,0,-91,1,6,1,2678179,0,110,0,0,3.07035,384,[110 96 6 0 0 0 0 0 0 0 0 0 8 24 8 25 7 24 6 25 5 24 4 23 3 23 3 23 3 23 2 23 1 22 0 22 1 21 1 21 0 20 0 20 1 19 1 19 0 19 0 18 0 18 0 17 0 17 1 16 0 16 1 15 0 0 1 15 2 15 2 14 2 14 2 13 2 13 2 13 3 12 3 12 3 12 4 11 4 11 5 11 5 10 5 10 6 10 6 9 6 9 6 8 7 8 7 8 7 8 7 7 8 6 8 6 8 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,6,1,1,1,1,0,0,0,-91,1,6,1,2823213,0,110,0,0,3.21542,384,[110 96 6 0 0 0 0 0 0 0 0 0 4 25 3 24 2 25 0 25 0 25 0 23 0 23 -1 22 -2 22 -2 22 -3 21 -3 22 -3 21 -3 20 -3 19 -3 20 -4 18 -3 18 -3 17 -2 18 -2 17 -2 17 -2 16 -2 16 -2 16 -2 15 0 0 -1 15 -1 15 0 14 0 13 0 13 1 13 2 13 2 13 2 12 2 12 2 11 3 11 3 11 4 10 4 10 4 9 5 9 5 8 6 8 6 8 6 8 6 7 7 7 7 7 7 7 7 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,6,1,1,1,1,0,0,0,-91,1,6,1,2890052,0,110,0,0,3.28212,384,[110 96 6 0 0 0 0 0 0 0 0 0 -13 23 -14 21 -15 21 -16 20 -16 20 -15 18 -15 18 -15 17 -16 17 -16 17 -16 16 -16 16 -15 15 -15 14 -15 14 -15 14 -14 13 -14 13 -13 12 -13 12 -13 12 -13 12 -13 12 -12 11 -12 11 -11 11 0 0 -10 11 -10 11 -9 11 -9 11 -8 10 -7 10 -7 10 -7 10 -7 10 -6 10 -5 10 -5 10 -4 10 -3 10 -4 10 -3 9 -2 10 -2 9 -2 10 -1 9 0 9 0 9 1 9 1 9 2 9 2 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-62,11,1,5,1,1,1,1,0,0,0,-91,1,6,1,2974946,0,110,0,0,3.36712,384,[110 96 6 0 0 0 0 0 0 0 0 0 26 -8 26 -8 26 -7 27 -6 27 -5 24 -4 23 -3 24 -3 24 -3 23 -2 23 -3 23 -1 22 0 22 0 21 0 22 0 20 0 19 0 19 -1 19 -1 18 -1 18 -1 17 0 17 -1 17 -1 16 -2 0 0 15 -2 15 -3 14 -3 14 -3 13 -3 13 -4 13 -4 12 -4 11 -4 11 -5 11 -5 10 -5 10 -5 9 -6 9 -6 9 -7 8 -7 7 -7 7 -7 6 -8 6 -7 5 -8 6 -8 5 -9 5 -9 4 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,5,1,1,1,1,0,0,0,-91,1,6,1,3072357,0,110,0,0,3.46448,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 26 -2 25 -2 26 -3 25 -4 25 -4 22 -5 23 -4 22 -5 22 -6 22 -7 21 -7 21 -7 20 -7 20 -6 19 -6 20 -6 18 -6 18 -6 17 -5 17 -5 17 -5 16 -5 15 -5 15 -5 16 -4 14 0 0 -3 14 -3 15 -2 13 -2 14 -2 13 -1 13 -1 12 0 12 0 12 0 11 0 11 1 11 1 10 2 10 2 10 2 9 3 10 3 8 4 8 5 7 4 8 4 7 6 7 5 6 5 7 6 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,5,1,1,1,1,0,0,0,-91,1,6,1,3180256,0,110,0,0,3.57243,384,[110 96 6 0 0 0 0 0 0 0 0 0 20 17 18 16 19 17 17 18 17 18 15 17 15 17 14 17 13 18 13 17 12 17 13 17 11 16 12 17 11 16 12 16 10 15 10 15 10 14 10 14 9 14 10 13 10 12 9 12 10 12 10 11 0 0 9 10 10 10 9 9 9 9 9 8 9 8 9 8 9 7 9 6 9 5 9 5 8 4 9 5 9 3 9 3 9 2 9 2 8 1 8 1 8 0 8 0 8 0 9 -1 8 -2 8 -2 8 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,5,1,1,1,1,0,0,0,-91,1,6,1,3265323,0,110,0,0,3.65825,384,[110 96 6 0 0 0 0 0 0 0 0 0 21 -10 20 -9 22 -8 22 -7 22 -7 20 -6 20 -5 20 -5 20 -5 19 -4 19 -4 19 -3 19 -4 18 -4 17 -4 18 -4 16 -3 17 -3 15 -3 15 -3 15 -2 15 -3 15 -3 14 -4 14 -4 13 -4 0 0 12 -4 12 -4 11 -5 11 -5 10 -4 11 -5 10 -5 9 -6 9 -6 8 -7 7 -6 7 -6 7 -6 6 -7 6 -7 6 -7 5 -7 4 -7 4 -7 3 -7 4 -7 3 -8 2 -8 2 -8 1 -8 1 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-59,11,1,2,1,1,1,1,0,0,0,-91,1,6,1,3379419,0,110,0,0,3.77154,384,[110 96 6 0 0 0 0 0 0 0 0 0 9 -25 9 -23 9 -25 11 -24 11 -23 11 -20 11 -21 11 -19 12 -20 12 -20 13 -19 13 -20 12 -19 13 -18 12 -16 13 -19 11 -16 11 -16 10 -15 10 -15 10 -15 10 -15 11 -14 9 -14 10 -15 8 -14 0 0 8 -14 7 -14 7 -14 5 -14 6 -12 5 -13 5 -13 4 -12 4 -12 2 -12 2 -12 2 -11 2 -12 1 -11 1 -11 0 -11 0 -12 -1 -10 -2 -9 -2 -9 -2 -10 -3 -10 -4 -10 -4 -9 -3 -9 -4 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-59,11,1,2,1,1,1,1,0,0,0,-91,1,6,1,3482194,0,110,0,0,3.87431,384,[110 96 6 0 0 0 0 0 0 0 0 0 2 -27 3 -26 3 -27 5 -27 6 -26 6 -23 6 -24 6 -23 7 -23 7 -23 8 -23 7 -23 7 -22 8 -22 8 -19 8 -22 7 -19 7 -18 7 -18 7 -18 7 -17 7 -18 7 -16 6 -17 6 -18 4 -16 0 0 5 -16 4 -17 3 -16 3 -16 4 -14 3 -15 3 -15 1 -13 1 -14 -1 -13 -1 -13 0 -12 -1 -12 -2 -12 -2 -11 -2 -11 -3 -13 -3 -10 -4 -10 -5 -9 -4 -10 -4 -9 -5 -9 -6 -8 -5 -9 -6 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-59,11,1,4,1,1,1,1,0,0,0,-91,1,6,1,3633396,0,110,0,0,4.02559,384,[110 96 6 0 0 0 0 0 0 0 0 0 -9 23 -10 22 -11 23 -11 22 -12 23 -11 19 -12 20 -12 19 -13 19 -13 18 -13 19 -14 18 -12 17 -13 17 -13 15 -13 17 -11 15 -12 15 -10 15 -11 15 -11 14 -10 15 -11 13 -9 13 -10 14 -8 12 0 0 -8 13 -8 13 -7 12 -6 12 -6 11 -5 12 -5 12 -5 12 -4 12 -4 12 -3 11 -3 11 -2 10 -1 10 -2 10 -1 10 0 10 0 8 1 9 2 8 1 9 2 9 2 9 3 8 2 8 4 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-60,11,1,3,1,1,1,1,0,0,0,-91,1,6,1,3681588,0,110,0,0,4.07346,384,[110 96 6 0 0 0 0 0 0 0 0 0 6 -28 6 -27 6 -27 9 -27 9 -27 9 -24 10 -24 10 -23 11 -23 10 -22 12 -23 11 -22 11 -21 12 -21 12 -20 11 -20 10 -19 10 -18 9 -18 10 -18 10 -17 9 -17 10 -16 8 -16 10 -17 8 -16 0 0 8 -16 7 -16 6 -15 5 -16 5 -14 5 -14 5 -14 4 -14 3 -14 3 -13 2 -13 2 -12 2 -13 1 -13 1 -12 0 -12 -1 -13 -1 -12 -2 -11 -3 -11 -2 -11 -3 -11 -3 -11 -5 -10 -4 -10 -5 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-60,11,1,4,1,1,1,1,0,0,0,-91,1,6,1,3770087,0,110,0,0,4.16305,384,[110 96 6 0 0 0 0 0 0 0 0 0 28 11 27 12 27 12 27 14 26 14 22 14 23 14 22 14 22 15 21 15 21 16 22 16 20 15 19 16 18 16 19 16 18 14 18 14 16 14 17 14 17 13 15 14 15 13 14 13 16 14 15 11 0 0 14 11 14 10 14 10 14 9 12 9 13 7 13 8 13 7 14 6 13 4 13 5 12 4 12 4 12 3 12 3 12 2 12 1 11 1 11 0 11 0 11 0 11 -1 11 -2 10 -2 10 -2 10 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-59,11,1,4,1,1,1,1,0,0,0,-91,1,6,1,3886479,0,110,0,0,4.27864,384,[110 96 6 0 0 0 0 0 0 0 0 0 -25 16 -24 15 -25 15 -26 13 -26 13 -23 10 -24 11 -24 10 -24 9 -24 9 -24 8 -25 8 -23 8 -24 7 -22 6 -23 8 -21 6 -21 7 -20 6 -19 6 -19 6 -19 7 -19 5 -17 6 -19 6 -17 7 0 0 -17 7 -16 7 -14 8 -15 8 -13 7 -13 7 -13 8 -12 8 -12 8 -11 8 -11 8 -10 8 -9 9 -9 8 -8 9 -8 9 -7 10 -5 8 -6 8 -5 9 -5 9 -4 9 -4 10 -2 9 -3 10 -2 9 0 0 0 0 0 0 0 0 0 0 ]
