type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-46,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,74008,0,131,0,0,0.463694,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -14 19 -15 18 -16 20 -17 20 -17 18 -16 15 -17 16 -18 14 -18 15 -19 14 -18 15 -19 15 -19 14 -18 14 -17 12 -19 15 -17 11 -17 10 -16 11 -17 11 -16 10 -17 11 -15 10 -15 12 -16 14 -15 13 0 0 -15 13 -15 13 -14 14 -14 13 -13 12 -13 13 -13 14 -13 13 -13 15 -13 13 -12 15 -11 13 -11 15 -12 15 -12 14 -11 15 -12 16 -11 15 -11 15 -11 15 -11 15 -11 16 -10 16 -10 17 -10 16 -10 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,74462,0,135,0,0,0.499901,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -22 0 -22 0 -23 -1 -22 -1 -23 -3 -21 -3 -21 -3 -21 -5 -22 -4 -21 -6 -21 -6 -21 -6 -20 -6 -19 -7 -19 -6 -19 -6 -18 -6 -19 -6 -18 -6 -17 -6 -17 -6 -18 -6 -17 -6 -17 -6 -17 -6 -17 -5 0 0 -16 -5 -17 -4 -16 -3 -17 -3 -15 -3 -16 -3 -16 -3 -16 -2 -17 -2 -17 -1 -16 -1 -16 -2 -16 -1 -16 -1 -17 0 -16 0 -17 0 -16 1 -16 0 -17 1 -17 1 -17 2 -17 1 -17 2 -17 2 -17 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,199026,0,239,0,0,0.58823,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 4 -20 4 -19 5 -20 6 -19 7 -19 6 -19 7 -17 7 -17 8 -17 8 -18 9 -17 9 -17 8 -16 9 -16 9 -15 9 -16 9 -14 8 -15 7 -14 8 -14 7 -14 7 -14 7 -14 7 -14 7 -14 7 -14 0 0 7 -14 5 -14 5 -14 5 -14 4 -14 5 -14 4 -14 4 -14 4 -14 3 -14 3 -14 2 -14 2 -14 2 -14 2 -15 1 -14 1 -16 1 -14 1 -15 0 -15 0 -15 -1 -15 -1 -16 -2 -15 -1 -15 -1 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-57,11,1,7,1,1,1,0,0,0,0,-92,0,6,1,2083755,0,82,0,0,2.47321,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -18 7 -18 6 -19 6 -20 5 -19 5 -19 4 -19 3 -19 3 -19 3 -19 2 -19 2 -19 1 -19 1 -19 1 -18 1 -18 1 -18 1 -18 1 -17 0 -17 0 -17 0 -17 0 -17 1 -16 1 -16 1 -16 1 0 0 -16 1 -16 1 -15 2 -15 2 -15 2 -15 2 -15 2 -14 3 -15 3 -15 4 -15 4 -14 4 -14 4 -14 4 -14 5 -14 5 -14 5 -14 6 -14 6 -14 6 -14 6 -14 7 -14 7 -14 7 -14 7 -14 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-48,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2083872,0,37,0,0,2.5048,128,[37 80 2 0 0 0 0 0 0 0 0 0 -24 -4 -23 -6 -25 -5 -26 -6 -24 -7 -22 -8 -23 -8 -21 -9 -22 -9 -21 -10 -23 -10 -23 -10 -22 -10 -21 -10 -19 -10 -23 -9 -20 -10 -19 -10 -19 -10 -19 -10 -18 -10 -20 -9 -17 -9 -19 -8 -21 -8 -20 -8 0 0 -20 -7 -20 -6 -20 -6 -20 -6 -18 -5 -20 -5 -20 -5 -19 -5 -20 -4 -20 -4 -21 -4 -19 -3 -20 -3 -20 -3 -20 -3 -21 -2 -22 -2 -21 -2 -20 -2 -21 -1 -21 -2 -21 -1 -21 -1 -22 0 -21 0 -21 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-47,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2495147,0,37,0,0,2.88446,128,[37 80 2 0 0 0 0 0 0 0 0 0 25 -1 25 0 25 1 27 1 25 2 24 4 24 4 23 5 24 5 23 5 24 5 25 6 24 5 23 6 21 6 23 6 21 7 19 7 20 6 19 6 19 6 20 6 17 5 19 4 21 4 20 4 0 0 20 3 20 3 21 2 19 2 18 2 19 1 20 1 18 1 20 0 18 1 20 0 18 0 19 -1 20 0 18 0 20 -1 20 -2 20 -2 19 -1 19 -2 19 -2 19 -3 19 -3 20 -4 19 -3 19 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-57,11,1,7,1,1,1,1,0,0,0,-92,4,6,1,2495747,0,110,0,0,2.91249,384,[110 96 6 0 0 0 0 0 0 0 0 0 -20 -7 -20 -7 -20 -8 -20 -9 -19 -9 -19 -10 -18 -10 -17 -10 -18 -11 -17 -11 -17 -12 -16 -12 -16 -12 -16 -12 -15 -12 -15 -12 -15 -12 -14 -11 -14 -11 -14 -11 -14 -11 -14 -11 -14 -10 -14 -10 -14 -11 -14 -10 0 0 -14 -10 -13 -9 -14 -9 -13 -8 -14 -8 -14 -8 -13 -8 -14 -7 -14 -7 -14 -7 -14 -7 -14 -6 -14 -6 -14 -6 -14 -6 -15 -5 -14 -5 -15 -5 -15 -5 -15 -4 -15 -4 -15 -4 -15 -4 -16 -4 -15 -4 -16 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-57,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2508154,0,110,0,0,2.95911,384,[110 96 6 0 0 0 0 0 0 0 0 0 -19 12 -20 11 -20 10 -21 10 -21 9 -20 8 -21 8 -21 7 -21 6 -21 6 -21 6 -21 5 -21 5 -20 5 -20 4 -20 4 -20 4 -19 4 -19 3 -19 4 -18 4 -18 4 -18 4 -17 4 -17 4 -17 4 0 0 -17 5 -16 5 -16 5 -16 5 -16 5 -15 6 -15 6 -15 6 -15 6 -15 7 -14 7 -14 7 -14 8 -14 8 -14 8 -14 8 -14 9 -13 9 -13 9 -14 9 -13 9 -13 10 -13 10 -13 11 -12 10 -12 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-57,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2685374,0,110,0,0,3.07445,384,[110 96 6 0 0 0 0 0 0 0 0 0 3 -21 4 -21 5 -21 5 -21 6 -21 6 -20 7 -19 7 -19 8 -19 8 -19 9 -19 9 -18 8 -18 9 -17 9 -17 9 -17 8 -16 8 -16 8 -16 8 -15 8 -16 8 -16 8 -16 7 -15 7 -15 7 -15 0 0 6 -15 6 -15 6 -15 5 -15 5 -15 5 -15 5 -15 4 -15 4 -15 3 -15 3 -15 3 -15 2 -16 2 -15 2 -16 2 -16 2 -16 1 -15 1 -16 0 -16 1 -16 0 -16 0 -16 -1 -16 0 -16 -1 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-57,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2687850,0,110,0,0,3.10655,384,[110 96 6 0 0 0 0 0 0 0 0 0 -23 3 -22 2 -23 2 -23 0 -23 0 -22 0 -22 -1 -22 -2 -22 -2 -22 -3 -21 -4 -21 -3 -21 -4 -20 -4 -20 -4 -20 -4 -19 -4 -19 -4 -19 -4 -18 -4 -19 -4 -19 -4 -18 -3 -18 -3 -18 -3 -17 -3 0 0 -17 -3 -17 -2 -17 -2 -17 -1 -16 -1 -17 -1 -17 -1 -16 0 -17 0 -17 1 -16 1 -17 1 -16 1 -16 2 -17 2 -16 2 -17 2 -16 3 -17 3 -16 3 -17 3 -17 4 -16 4 -16 4 -16 5 -16 5 0 0 0 0 0 0 0 0 0 0 ]
