type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-46,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,70904,0,131,0,0,0.461812,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -24 7 -25 6 -26 6 -28 6 -25 4 -25 3 -25 3 -24 2 -25 2 -24 1 -26 2 -27 1 -26 1 -25 0 -23 -1 -25 0 -24 -1 -21 -2 -22 -2 -22 -1 -21 -1 -23 -1 -19 -1 -21 0 -23 1 -22 1 0 0 -22 2 -21 2 -22 3 -20 2 -20 2 -20 3 -21 4 -20 3 -21 4 -20 3 -21 5 -19 4 -20 5 -21 5 -19 4 -21 5 -20 6 -20 6 -20 6 -19 7 -19 7 -20 7 -19 7 -20 8 -19 7 -19 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-55,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,71834,0,135,0,0,0.494171,384,[-121 112 8 0 0 0 0 0 0 0 0 0 17 9 17 10 17 10 16 11 16 11 16 12 15 12 15 13 14 13 14 13 14 13 13 14 13 13 13 13 12 13 12 13 12 13 12 12 12 13 12 12 11 12 11 12 11 11 11 11 11 12 11 11 0 0 11 11 11 10 12 10 11 9 11 9 12 9 11 9 12 8 12 8 12 7 12 8 12 8 13 7 13 6 12 6 13 6 14 6 13 5 13 5 13 5 13 5 14 5 14 4 15 3 14 4 14 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-55,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,195684,0,239,0,0,0.586137,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 17 -12 17 -12 18 -11 18 -11 18 -10 18 -9 18 -9 18 -9 18 -8 19 -8 19 -7 19 -7 19 -7 19 -6 18 -7 19 -6 17 -6 18 -6 17 -6 18 -6 17 -5 17 -6 17 -6 16 -6 16 -6 16 -6 0 0 15 -7 16 -6 15 -7 15 -7 14 -7 15 -8 14 -8 14 -8 14 -9 13 -9 13 -9 13 -9 13 -9 12 -9 13 -10 13 -10 13 -11 12 -11 12 -11 12 -11 12 -12 12 -12 12 -12 11 -13 11 -12 11 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-60,11,1,7,1,1,1,0,0,0,0,-92,0,6,1,2082916,0,82,0,0,2.47359,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -8 -21 -7 -20 -7 -21 -6 -21 -6 -22 -4 -20 -4 -21 -3 -21 -3 -21 -3 -21 -2 -21 -2 -20 -1 -20 -1 -20 -1 -20 -1 -20 0 -19 -1 -19 0 -18 0 -18 -1 -18 -1 -18 -1 -18 -1 -17 -1 -18 -1 -17 0 0 -1 -17 -2 -17 -2 -17 -2 -17 -2 -16 -3 -16 -3 -16 -3 -16 -4 -16 -4 -16 -4 -16 -5 -16 -5 -16 -5 -15 -6 -16 -5 -15 -6 -16 -6 -15 -6 -15 -6 -15 -6 -15 -7 -15 -8 -15 -8 -15 -8 -15 -8 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-50,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2083032,0,37,0,0,2.50946,128,[37 80 2 0 0 0 0 0 0 0 0 0 11 -21 12 -20 13 -21 14 -21 14 -20 14 -17 14 -18 14 -16 15 -17 16 -16 16 -17 17 -17 16 -16 16 -15 15 -14 16 -17 15 -13 15 -13 15 -13 14 -13 14 -13 15 -14 14 -11 13 -13 14 -15 14 -14 0 0 13 -14 13 -15 12 -15 12 -15 11 -13 11 -15 11 -16 11 -14 10 -16 11 -15 10 -16 10 -14 10 -15 10 -16 10 -15 10 -16 10 -17 9 -16 9 -16 8 -17 8 -17 8 -17 8 -17 8 -18 8 -17 8 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-48,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2419847,0,37,0,0,2.81036,128,[37 80 2 0 0 0 0 0 0 0 0 0 26 0 25 1 28 1 27 1 27 2 24 4 25 4 24 5 25 5 24 7 25 6 26 7 24 7 23 7 21 7 26 6 21 7 21 7 20 7 21 6 20 6 21 6 18 7 20 5 22 5 21 4 0 0 21 3 22 3 21 2 21 2 18 2 21 1 21 0 20 1 21 -1 21 0 21 -1 19 0 20 -1 21 -1 21 -1 20 -3 23 -3 21 -3 21 -3 21 -4 21 -4 21 -4 22 -5 22 -5 21 -4 20 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-57,11,1,7,1,1,1,1,0,0,0,-92,3,6,1,2420150,0,110,0,0,2.83864,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 -22 1 -22 2 -22 3 -22 3 -22 4 -20 4 -21 5 -20 5 -21 6 -21 7 -20 7 -20 7 -20 7 -19 7 -19 7 -19 6 -18 6 -18 6 -17 6 -17 6 -17 6 -17 6 -17 5 -16 5 -17 5 -16 0 0 4 -17 4 -16 3 -16 3 -17 3 -15 3 -16 2 -16 2 -16 2 -16 1 -15 1 -16 1 -16 0 -17 -1 -16 0 -17 -1 -16 -1 -17 -1 -16 -1 -16 -2 -16 -2 -17 -3 -17 -3 -17 -3 -17 -3 -17 -3 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-58,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2429423,0,110,0,0,2.87988,384,[110 96 6 0 0 0 0 0 0 0 0 0 0 20 0 19 -1 20 -2 20 -2 20 -3 19 -3 19 -4 19 -4 19 -5 19 -5 18 -5 18 -5 18 -6 18 -5 17 -6 17 -6 16 -5 17 -5 16 -5 16 -5 16 -5 16 -5 16 -4 15 -4 15 -4 15 0 0 -4 15 -3 15 -3 15 -2 15 -2 14 -2 15 -2 15 -1 14 -1 14 0 15 -1 14 0 15 1 15 1 14 1 15 2 14 2 15 2 14 2 15 3 15 3 15 3 15 4 15 5 15 4 15 4 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-57,11,1,7,1,1,1,1,0,0,0,-92,2,6,1,2611981,0,110,0,0,3.00229,384,[110 96 6 0 0 0 0 0 0 0 0 0 0 -21 1 -20 2 -21 2 -21 3 -21 3 -20 4 -20 5 -20 5 -20 6 -20 6 -19 6 -19 6 -18 6 -18 6 -18 6 -18 6 -17 6 -17 6 -17 6 -17 5 -16 6 -17 6 -16 5 -16 5 -16 5 -16 0 0 4 -15 4 -16 4 -16 3 -16 3 -15 3 -16 3 -16 2 -16 2 -16 1 -16 1 -16 1 -16 1 -16 1 -16 0 -16 0 -16 -1 -17 -1 -16 -1 -16 -1 -17 -1 -17 -2 -17 -2 -17 -3 -17 -2 -17 -2 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-57,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2682379,0,110,0,0,3.07255,384,[110 96 6 0 0 0 0 0 0 0 0 0 18 5 18 6 18 7 18 7 18 8 17 8 16 9 16 9 16 10 16 10 16 10 15 10 15 11 15 11 14 11 14 11 14 11 13 10 13 10 13 11 13 10 13 10 12 9 13 9 13 9 12 9 0 0 13 8 13 8 13 8 13 7 13 7 13 7 13 7 13 6 13 6 13 6 13 5 13 5 14 5 14 5 14 4 14 4 15 4 14 3 14 3 14 3 15 3 15 3 15 3 16 2 16 2 15 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-58,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2821733,0,110,0,0,3.21208,384,[110 96 6 0 0 0 0 0 0 0 0 0 -7 17 -7 17 -8 17 -9 17 -10 17 -10 16 -10 16 -11 15 -11 15 -11 15 -11 14 -11 15 -11 14 -11 14 -11 13 -12 13 -11 13 -11 13 -10 13 -10 12 -10 12 -10 13 -10 12 -9 12 -9 12 -9 13 0 0 -9 13 -8 13 -8 12 -8 13 -7 12 -7 13 -6 13 -6 13 -6 13 -6 14 -6 14 -5 14 -5 14 -5 14 -5 14 -4 14 -4 15 -3 14 -4 14 -3 14 -3 15 -3 15 -2 15 -2 16 -2 16 -2 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-59,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2889924,0,110,0,0,3.28012,384,[110 96 6 0 0 0 0 0 0 0 0 0 -20 1 -20 0 -21 0 -21 -1 -21 -2 -20 -3 -20 -3 -20 -4 -20 -4 -19 -5 -19 -5 -19 -5 -19 -5 -19 -6 -18 -5 -18 -6 -18 -6 -17 -6 -17 -5 -17 -6 -17 -6 -17 -6 -16 -5 -16 -5 -16 -6 -16 -5 0 0 -16 -5 -16 -5 -16 -5 -15 -4 -16 -4 -16 -3 -16 -3 -16 -3 -16 -2 -16 -2 -16 -2 -16 -1 -16 -1 -16 -1 -16 -1 -16 0 -17 0 -16 0 -16 0 -17 1 -17 0 -17 0 -17 1 -17 2 -17 1 -17 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-59,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2982708,0,110,0,0,3.373,384,[110 96 6 0 0 0 0 0 0 0 0 0 19 -8 18 -7 19 -7 19 -6 19 -5 18 -5 19 -4 19 -4 19 -3 19 -3 18 -2 18 -2 18 -2 18 -1 18 -1 18 -1 17 -1 18 -1 17 -1 17 -1 16 -1 16 -2 16 -2 16 -1 16 -2 16 -2 0 0 15 -3 15 -3 15 -2 15 -3 14 -3 15 -4 15 -4 14 -4 15 -4 14 -5 14 -5 14 -5 14 -5 14 -6 14 -6 14 -6 14 -7 14 -7 14 -7 14 -8 14 -8 14 -8 14 -9 14 -8 14 -9 14 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-58,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,3077054,0,110,0,0,3.46732,384,[110 96 6 0 0 0 0 0 0 0 0 0 -15 15 -15 14 -17 14 -16 14 -17 13 -17 12 -17 12 -17 12 -18 11 -18 10 -18 10 -18 9 -18 9 -18 9 -18 8 -18 9 -17 8 -17 8 -17 8 -16 8 -16 8 -16 8 -16 8 -16 8 -15 8 -15 8 0 0 -15 9 -15 9 -14 9 -14 9 -13 9 -13 9 -14 9 -13 10 -13 10 -13 10 -13 10 -12 10 -12 11 -12 11 -12 11 -11 11 -12 12 -11 12 -11 12 -11 13 -11 13 -11 13 -10 13 -10 14 -11 13 -10 14 0 0 0 0 0 0 0 0 0 0 ]
