type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,58:BF:25:17:9A:5C,-61,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1631593,0,157,0,0,2.01427,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -20 7 -20 6 -21 6 -22 4 -21 4 -21 3 -21 2 -21 2 -21 2 -21 1 -21 1 -21 1 -21 0 -21 0 -21 0 -20 0 -20 0 -19 -1 -19 -1 -18 -1 -19 -2 -19 -1 -18 -1 -18 -1 -18 -1 -18 0 0 0 -17 -1 -17 0 -17 0 -16 1 -16 1 -16 1 -16 1 -16 2 -16 2 -15 3 -15 3 -15 3 -15 4 -15 4 -15 4 -15 5 -15 5 -15 5 -15 5 -15 5 -14 6 -15 6 -14 6 -15 7 -14 8 -15 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-61,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1711494,0,135,0,0,2.09389,384,[-121 112 8 0 0 0 0 0 0 0 0 0 17 -8 17 -7 18 -7 18 -6 19 -5 18 -5 18 -4 17 -3 18 -3 18 -3 18 -3 17 -2 18 -2 18 -2 17 -1 17 -2 16 -2 16 -2 16 -1 16 -1 16 0 16 -1 15 -1 15 -1 15 -1 14 -2 0 0 14 -2 14 -2 14 -2 14 -3 13 -2 13 -3 14 -3 13 -3 13 -4 13 -5 12 -5 12 -5 12 -5 12 -5 12 -7 11 -7 12 -7 12 -7 12 -7 11 -7 12 -7 12 -8 11 -8 11 -9 11 -9 11 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-61,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1773113,0,390,0,0,2.15545,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 16 13 15 13 15 14 14 15 14 15 13 15 13 15 13 16 12 16 12 16 11 16 11 17 10 16 10 17 9 16 9 17 9 15 9 15 9 16 9 15 9 15 9 15 9 14 9 14 8 15 8 13 0 0 9 13 9 13 9 12 9 12 9 12 9 11 10 11 10 11 10 10 10 10 11 10 10 10 11 10 11 9 11 9 11 9 12 8 12 8 13 7 13 7 13 7 13 7 14 7 14 6 14 7 14 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-61,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1814275,0,390,0,0,2.19641,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 8 -16 8 -16 9 -16 10 -15 10 -15 10 -14 11 -14 11 -13 11 -14 12 -13 12 -13 13 -12 12 -12 12 -12 11 -11 12 -12 11 -11 11 -12 11 -11 11 -11 10 -10 11 -10 11 -11 10 -10 10 -10 10 -10 0 0 10 -10 9 -11 8 -10 8 -12 8 -10 8 -11 8 -11 7 -11 7 -11 7 -12 6 -12 6 -11 6 -12 5 -11 5 -13 5 -12 4 -13 5 -13 4 -12 4 -14 4 -13 3 -13 4 -14 3 -14 3 -14 2 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-61,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1865740,0,82,0,0,2.24791,384,[82 -96 4 0 0 0 0 0 0 0 0 0 14 -14 15 -13 16 -13 16 -12 17 -12 16 -11 17 -10 17 -10 17 -10 18 -9 17 -9 17 -8 17 -8 17 -8 17 -7 17 -8 16 -7 16 -8 15 -6 16 -6 16 -6 15 -6 15 -6 15 -7 14 -7 14 -7 0 0 14 -7 14 -7 13 -7 13 -8 12 -7 13 -8 12 -8 11 -8 13 -8 12 -10 11 -10 10 -9 10 -9 10 -10 10 -11 10 -11 10 -11 10 -11 10 -12 9 -12 9 -12 9 -12 9 -13 8 -13 8 -13 8 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-61,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,2272290,0,82,0,0,2.65444,384,[82 -96 4 0 0 0 0 0 0 0 0 0 14 15 13 16 13 17 12 16 12 16 11 17 10 17 9 18 9 18 9 17 9 18 8 18 8 18 8 18 7 17 7 18 7 17 7 16 7 16 6 16 5 16 6 16 6 15 6 15 7 15 7 15 0 0 6 14 7 14 7 14 7 13 7 13 7 12 7 13 8 12 8 12 8 11 9 11 9 11 10 11 10 11 9 10 10 10 11 10 11 9 11 10 11 9 11 9 11 9 12 9 12 8 12 8 12 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-61,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,2274634,0,82,0,0,2.68236,384,[82 -96 4 0 0 0 0 0 0 0 0 0 1 -22 2 -21 3 -22 3 -21 4 -22 4 -20 5 -21 6 -20 6 -21 7 -20 7 -20 7 -20 8 -19 7 -18 7 -18 7 -18 7 -17 7 -18 7 -17 8 -17 7 -17 7 -17 7 -16 6 -16 6 -16 6 -16 0 0 6 -16 5 -16 4 -15 5 -16 4 -15 4 -15 4 -15 3 -15 3 -15 2 -16 2 -15 1 -15 1 -15 1 -15 0 -16 0 -15 -1 -16 -1 -15 -1 -16 -2 -16 -1 -15 -2 -16 -2 -16 -3 -16 -2 -16 -3 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-60,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,2778573,0,82,0,0,3.16075,384,[82 -96 4 0 0 0 0 0 0 0 0 0 20 0 20 1 20 1 21 3 20 3 20 4 19 5 19 5 19 5 18 5 19 5 19 5 19 5 18 6 18 7 17 7 17 6 16 6 17 6 16 7 16 7 16 7 15 5 16 6 16 5 16 5 0 0 14 5 15 5 15 5 15 3 14 4 14 4 15 4 14 3 15 3 14 1 15 1 14 1 15 1 15 0 14 0 15 0 15 0 15 -2 15 -1 14 -1 15 -2 15 -1 15 -2 15 -3 15 -4 16 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-59,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,3272369,0,82,0,0,3.65454,384,[82 -96 4 0 0 0 0 0 0 0 0 0 2 -19 3 -20 3 -21 2 -21 5 -19 5 -21 6 -21 6 -19 6 -20 7 -19 6 -20 8 -19 8 -19 8 -19 8 -19 9 -18 7 -17 8 -17 8 -18 9 -17 8 -16 7 -16 8 -16 7 -15 7 -16 6 -16 0 0 6 -16 6 -15 6 -15 5 -15 5 -15 5 -16 4 -15 3 -15 4 -15 3 -15 3 -15 3 -15 3 -15 2 -16 2 -15 1 -17 1 -16 0 -16 0 -16 0 -16 0 -16 0 -16 -1 -16 -2 -16 -2 -16 -2 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,3528761,0,82,0,0,3.91093,384,[82 -96 4 0 0 0 0 0 0 0 0 0 18 -12 18 -11 18 -11 19 -10 19 -10 19 -9 19 -8 19 -7 19 -7 20 -6 19 -7 20 -6 20 -6 19 -6 19 -6 19 -5 18 -5 18 -5 18 -5 17 -4 17 -4 17 -4 17 -4 16 -4 17 -5 16 -5 0 0 16 -5 15 -5 15 -6 15 -6 14 -6 14 -6 14 -6 13 -7 14 -7 13 -7 13 -8 13 -8 13 -8 13 -9 12 -9 12 -9 12 -10 12 -10 12 -10 11 -10 11 -11 11 -11 11 -11 11 -11 11 -11 10 -12 0 0 0 0 0 0 0 0 0 0 ]
