type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,78:21:84:7E:97:F9,-45,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,67705,0,131,0,0,0.466438,128,[-125 48 8 0 0 0 0 0 0 0 0 0 25 1 24 3 26 3 27 3 25 5 22 5 24 6 22 6 23 7 23 7 24 7 25 8 23 7 22 8 20 8 23 7 20 8 19 8 18 7 18 7 18 7 20 7 16 7 18 6 20 5 19 5 0 0 19 4 20 4 19 3 19 3 16 3 18 2 19 2 17 2 19 1 18 2 19 1 16 1 18 0 18 0 18 0 18 -1 20 -1 18 -1 18 -1 18 -2 18 -2 19 -3 19 -3 19 -3 18 -3 18 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-55,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,68150,0,135,0,0,0.494532,384,[-121 112 8 0 0 0 0 0 0 0 0 0 19 -3 19 -2 18 -1 19 -1 18 -1 18 0 18 1 18 1 18 1 17 1 17 2 17 3 17 2 17 3 16 2 17 3 16 3 16 3 15 2 15 2 15 2 14 2 14 3 14 2 14 2 14 1 0 0 13 1 13 1 13 0 13 0 13 0 13 -1 13 -1 13 -2 13 -1 13 -2 12 -2 13 -2 12 -3 12 -3 12 -3 13 -4 12 -4 12 -4 12 -5 12 -5 12 -5 12 -6 12 -6 12 -6 12 -6 12 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-55,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,186265,0,239,0,0,0.584512,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 7 18 7 18 6 18 5 18 4 18 4 17 3 18 3 18 3 18 2 18 2 18 1 18 0 17 0 17 0 17 1 17 0 16 0 16 0 15 0 15 0 15 0 15 0 15 0 14 0 15 1 14 0 0 1 14 1 14 1 14 2 14 2 13 2 13 2 13 3 12 3 13 4 13 4 12 3 12 4 13 5 12 5 12 5 12 5 12 6 11 6 11 6 11 6 11 6 12 7 12 7 11 7 12 7 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,0,0,0,0,-93,0,6,1,2075748,0,82,0,0,2.47424,384,[82 -96 4 0 0 0 0 0 0 0 0 0 19 0 20 1 19 1 19 2 19 2 19 3 18 4 18 4 18 5 18 5 18 5 18 5 17 5 16 5 16 5 17 6 16 6 16 5 15 5 15 6 15 5 15 5 15 5 14 4 14 4 14 4 0 0 13 4 14 3 13 3 14 2 13 3 13 2 14 2 14 1 13 2 13 1 14 0 13 0 13 0 14 0 13 -1 14 -1 14 -2 14 -2 14 -2 14 -2 14 -2 14 -3 14 -3 14 -4 14 -3 14 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-47,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,2075873,0,37,0,0,2.50236,128,[37 80 2 0 0 0 0 0 0 0 0 0 2 -25 3 -24 3 -26 3 -27 5 -25 6 -22 6 -23 7 -21 7 -23 8 -22 8 -24 9 -24 8 -23 8 -22 8 -20 8 -23 8 -20 8 -19 8 -18 7 -19 7 -18 8 -20 8 -16 6 -19 7 -20 6 -19 0 0 5 -19 5 -20 4 -20 4 -20 4 -17 3 -19 3 -20 3 -18 2 -20 3 -19 2 -20 2 -18 1 -19 2 -20 1 -19 1 -20 0 -21 1 -20 0 -19 0 -20 0 -19 -1 -21 -1 -20 -1 -21 -1 -20 -1 -20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-47,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,2386310,0,37,0,0,2.78462,128,[37 80 2 0 0 0 0 0 0 0 0 0 -4 25 -5 24 -5 26 -5 27 -7 25 -7 22 -7 24 -8 22 -8 23 -10 22 -10 24 -11 24 -10 23 -10 22 -10 20 -10 24 -11 20 -11 19 -10 18 -9 19 -9 18 -10 20 -10 16 -9 18 -9 21 -8 19 0 0 -7 19 -7 20 -7 20 -6 19 -6 16 -5 18 -5 19 -5 17 -4 19 -5 18 -5 19 -5 17 -4 19 -4 19 -4 18 -3 19 -2 20 -2 18 -2 18 -1 18 -1 19 -1 20 -1 19 -1 19 -2 19 -1 18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,7,1,1,1,1,0,0,0,-93,3,6,1,2388318,0,110,0,0,2.81708,384,[110 96 6 0 0 0 0 0 0 0 0 0 -6 -21 -4 -22 -4 -21 -3 -22 -2 -21 -2 -21 -2 -21 -1 -21 -1 -21 0 -20 0 -21 0 -21 1 -20 1 -20 1 -20 1 -20 1 -19 1 -18 1 -18 1 -18 1 -18 1 -18 0 -17 0 -17 1 -17 0 -17 0 0 -1 -17 -1 -16 -1 -16 -2 -16 -2 -15 -2 -15 -2 -16 -3 -15 -3 -15 -4 -15 -4 -15 -4 -14 -5 -15 -5 -14 -6 -14 -6 -14 -6 -14 -7 -14 -7 -13 -7 -13 -7 -13 -8 -13 -8 -13 -8 -12 -9 -13 -9 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,2398156,0,110,0,0,2.86033,384,[110 96 6 0 0 0 0 0 0 0 0 0 3 20 3 20 1 20 1 20 0 20 0 19 -1 19 -1 20 -2 20 -2 19 -2 19 -2 19 -3 19 -3 19 -3 18 -4 18 -4 17 -3 17 -3 16 -4 17 -3 16 -4 16 -3 16 -3 15 -3 16 -2 15 0 0 -2 15 -2 15 -2 15 -1 15 -1 14 -1 14 -1 14 0 14 0 14 1 14 1 14 1 13 2 14 2 14 2 13 2 13 3 14 3 13 3 13 3 13 4 13 3 13 4 13 4 13 4 13 5 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,2534410,0,110,0,0,2.93248,384,[110 96 6 0 0 0 0 0 0 0 0 0 -23 0 -23 -1 -23 -2 -23 -3 -22 -3 -21 -4 -21 -5 -21 -5 -21 -6 -21 -6 -21 -5 -21 -7 -20 -6 -20 -6 -19 -7 -19 -7 -18 -7 -18 -6 -18 -6 -18 -6 -17 -6 -17 -6 -17 -6 -17 -5 -17 -5 -16 -5 0 0 -16 -5 -17 -4 -16 -3 -16 -3 -15 -3 -15 -3 -15 -3 -15 -2 -16 -2 -15 -1 -16 0 -15 0 -15 1 -15 1 -15 1 -15 1 -15 2 -15 2 -15 2 -14 2 -14 2 -15 3 -14 3 -14 4 -14 4 -14 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,2606230,0,110,0,0,3.00423,384,[110 96 6 0 0 0 0 0 0 0 0 0 -15 -18 -14 -18 -13 -19 -13 -19 -12 -19 -11 -19 -11 -19 -10 -20 -11 -20 -9 -20 -9 -19 -9 -20 -8 -20 -8 -19 -8 -19 -8 -19 -8 -18 -8 -18 -7 -17 -7 -17 -6 -17 -7 -17 -6 -17 -7 -16 -7 -17 -7 -17 0 0 -8 -16 -8 -15 -8 -15 -9 -15 -8 -14 -8 -14 -8 -14 -9 -14 -10 -14 -10 -13 -10 -13 -9 -13 -10 -12 -10 -12 -11 -12 -11 -11 -11 -11 -11 -11 -12 -11 -12 -11 -12 -11 -12 -10 -12 -11 -13 -10 -13 -10 -13 -10 0 0 0 0 0 0 0 0 0 0 ]
