type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,78:21:84:7E:97:F9,-46,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,71464,0,131,0,0,0.471586,128,[-125 48 8 0 0 0 0 0 0 0 0 0 27 -6 26 -5 29 -6 29 -6 28 -4 25 -2 27 -2 25 0 27 -1 27 1 28 0 29 1 27 1 27 1 24 2 28 0 24 2 24 3 22 3 22 2 22 2 24 2 21 3 22 1 24 0 22 0 0 0 22 -1 23 -1 22 -2 22 -2 19 -1 21 -3 21 -3 20 -3 21 -4 20 -2 21 -4 19 -3 20 -5 20 -5 20 -5 19 -6 21 -8 19 -6 19 -6 19 -7 19 -6 20 -8 20 -7 20 -9 19 -7 19 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,71918,0,135,0,0,0.501671,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -10 20 -10 19 -11 19 -12 19 -12 19 -12 18 -13 18 -13 17 -13 17 -13 17 -14 16 -15 16 -15 16 -14 15 -14 15 -14 15 -14 14 -14 14 -14 14 -14 13 -14 13 -13 13 -13 13 -13 13 -12 13 -12 13 0 0 -11 13 -11 13 -11 13 -10 14 -10 12 -9 13 -9 13 -8 13 -8 14 -8 13 -7 13 -8 14 -7 14 -6 14 -6 14 -5 14 -6 14 -5 14 -5 14 -4 14 -4 14 -4 15 -3 15 -4 15 -3 14 -3 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-55,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,185459,0,239,0,0,0.585094,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 17 15 18 16 16 16 16 17 15 17 15 17 14 18 13 18 13 19 12 18 13 19 12 19 11 18 11 18 11 18 11 19 10 19 10 17 10 17 9 17 9 17 9 17 9 16 9 16 9 16 9 15 0 0 9 15 9 14 9 14 9 14 9 13 9 13 9 13 10 12 10 12 11 11 11 11 11 11 11 11 12 10 12 10 12 10 12 10 12 9 12 9 13 9 13 9 13 8 13 8 14 8 14 8 14 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,7,1,1,1,0,0,0,0,-93,0,6,1,2082766,0,82,0,0,2.48265,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -14 -13 -14 -13 -13 -14 -13 -14 -12 -15 -12 -15 -12 -14 -11 -15 -11 -15 -10 -15 -10 -16 -9 -16 -9 -16 -9 -15 -9 -15 -9 -15 -8 -15 -8 -15 -8 -14 -8 -14 -8 -14 -8 -14 -8 -13 -7 -13 -7 -13 -8 -12 0 0 -9 -12 -8 -11 -8 -11 -9 -11 -8 -11 -9 -10 -9 -10 -9 -9 -10 -9 -9 -9 -10 -9 -10 -9 -10 -8 -10 -8 -10 -8 -11 -8 -11 -8 -11 -7 -11 -7 -11 -6 -11 -6 -12 -6 -12 -6 -12 -6 -12 -6 -12 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-46,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,2082971,0,37,0,0,2.51957,128,[37 80 2 0 0 0 0 0 0 0 0 0 27 -8 26 -7 28 -7 29 -7 28 -5 25 -3 26 -4 25 -2 27 -2 27 -1 27 -2 29 -1 27 -1 26 0 24 0 27 -1 24 1 23 1 22 1 22 0 21 0 24 0 20 1 21 -1 23 -1 22 -2 0 0 22 -3 22 -3 21 -3 21 -4 18 -3 19 -5 20 -5 18 -5 20 -6 18 -5 19 -6 17 -5 18 -7 19 -7 18 -7 18 -8 19 -10 17 -8 17 -8 17 -9 17 -9 18 -10 18 -10 17 -11 17 -10 16 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-46,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,2415264,0,37,0,0,2.81497,128,[37 80 2 0 0 0 0 0 0 0 0 0 -25 11 -25 10 -27 10 -27 10 -27 8 -24 6 -25 6 -24 5 -26 5 -26 4 -27 6 -28 5 -26 4 -26 4 -24 2 -27 4 -23 1 -23 1 -22 2 -22 2 -21 2 -23 2 -20 1 -21 3 -22 5 -21 4 0 0 -21 5 -21 5 -20 6 -20 5 -17 5 -19 6 -19 7 -17 6 -19 8 -18 7 -18 8 -16 7 -17 9 -17 9 -17 8 -17 9 -17 10 -16 9 -16 10 -15 10 -15 10 -16 11 -15 11 -15 12 -15 11 -15 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,7,1,1,1,1,0,0,0,-93,3,6,1,2423821,0,110,0,0,2.84755,384,[110 96 6 0 0 0 0 0 0 0 0 0 -23 8 -22 6 -23 6 -23 6 -23 5 -23 4 -23 3 -23 2 -23 2 -23 2 -22 1 -23 1 -22 1 -21 1 -21 1 -22 0 -20 0 -21 0 -19 1 -19 0 -19 0 -19 0 -18 0 -18 1 -18 1 -17 1 0 0 -17 2 -17 2 -16 2 -17 3 -15 3 -16 3 -16 3 -15 4 -15 4 -15 5 -14 5 -14 6 -14 6 -13 6 -13 7 -13 7 -13 8 -12 8 -13 8 -13 8 -13 8 -12 9 -12 10 -11 10 -12 9 -12 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-55,11,1,6,1,1,1,1,0,0,0,-93,1,6,1,2428104,0,110,0,0,2.88798,384,[110 96 6 0 0 0 0 0 0 0 0 0 5 19 4 18 3 19 2 18 2 19 2 18 1 19 0 19 0 19 -1 19 -1 18 -1 19 -2 18 -2 18 -2 17 -2 18 -2 16 -2 17 -2 15 -2 16 -2 15 -2 16 -2 15 -2 15 -2 15 -1 14 0 0 -1 14 -1 15 0 14 0 14 0 13 1 13 1 13 1 12 2 13 2 13 3 13 3 12 3 12 4 12 4 12 4 12 5 12 5 11 5 11 5 11 6 11 6 12 6 12 7 11 6 11 7 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,7,1,1,1,1,0,0,0,-93,2,6,1,2615537,0,110,0,0,3.0156,384,[110 96 6 0 0 0 0 0 0 0 0 0 3 19 3 19 1 19 0 19 0 19 0 18 0 18 -1 18 -1 18 -3 18 -2 18 -3 18 -3 18 -4 18 -4 17 -3 17 -3 16 -3 16 -3 16 -4 15 -4 15 -3 15 -3 15 -3 14 -3 15 -3 14 0 0 -2 14 -2 14 -2 14 -1 14 -1 13 -1 13 -1 13 -1 13 0 13 0 13 1 12 1 13 1 12 2 13 2 12 2 12 2 12 3 11 3 12 3 12 3 12 4 12 4 12 4 11 5 12 5 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,2689303,0,110,0,0,3.0895,384,[110 96 6 0 0 0 0 0 0 0 0 0 19 8 18 8 18 9 17 9 17 9 16 10 16 10 15 11 16 11 15 11 14 12 14 12 14 12 14 11 13 11 13 11 13 11 13 11 11 10 12 10 11 10 11 10 11 10 11 9 11 9 11 9 0 0 11 8 11 8 11 7 12 7 11 6 11 6 11 6 11 5 11 5 12 4 11 4 11 4 12 3 12 3 12 3 12 2 13 2 13 1 12 2 12 1 13 1 12 0 13 1 12 0 13 0 13 0 0 0 0 0 0 0 0 0 0 0 ]
