type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,58:BF:25:17:9A:5C,-46,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,33034,0,30,0,0,0.413272,128,[30 -32 1 0 0 0 0 0 0 0 0 0 17 21 17 22 16 23 16 24 13 23 11 23 11 24 10 22 10 23 9 22 11 23 11 23 11 22 10 22 9 21 11 22 8 20 8 19 9 20 10 19 10 18 10 19 9 18 11 18 13 19 12 19 0 0 12 18 13 17 13 17 13 17 12 16 13 16 14 16 12 15 13 14 13 13 15 13 13 11 15 13 15 12 14 12 15 11 16 12 16 12 15 12 15 12 15 11 15 12 15 11 16 12 14 11 14 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-55,11,1,7,1,1,1,0,0,0,1,-94,0,6,1,188683,0,157,0,0,0.568822,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -4 -23 -3 -23 -2 -23 -1 -23 0 -23 0 -22 1 -22 1 -22 1 -22 2 -22 2 -21 3 -21 4 -21 3 -20 3 -20 3 -20 3 -19 3 -19 3 -18 3 -18 3 -18 3 -18 3 -17 2 -17 2 -17 2 -17 0 0 1 -16 1 -16 1 -16 0 -16 0 -15 -1 -16 -1 -15 -1 -16 -1 -15 -2 -15 -2 -15 -3 -15 -3 -15 -3 -15 -4 -15 -4 -14 -4 -15 -4 -14 -5 -14 -5 -14 -6 -14 -6 -15 -6 -15 -6 -14 -6 -14 -7 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-55,11,1,7,1,1,1,0,0,0,1,-94,0,6,1,276585,0,135,0,0,0.656582,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -22 7 -22 7 -22 5 -23 4 -22 4 -22 3 -22 3 -22 2 -22 2 -21 1 -21 1 -21 0 -21 0 -21 -1 -21 -1 -20 -1 -20 -1 -18 -1 -19 -1 -18 -1 -18 -1 -18 -1 -17 -1 -17 0 -17 0 -17 0 0 0 -17 0 -16 0 -16 1 -16 1 -16 2 -15 2 -15 1 -15 2 -15 2 -14 3 -15 3 -14 4 -15 4 -15 5 -14 4 -15 5 -13 5 -14 6 -14 6 -14 6 -14 6 -14 6 -13 6 -13 7 -13 7 -14 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-55,11,1,7,1,1,1,0,0,0,1,-94,0,6,1,585141,0,390,0,0,0.965065,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 22 -5 22 -5 22 -4 22 -3 22 -3 21 -2 22 -2 21 -1 22 -1 21 0 21 0 20 0 20 1 20 1 19 1 20 1 19 1 18 1 18 1 18 1 17 1 17 1 16 0 16 0 16 0 16 -1 0 0 16 -1 16 -1 15 -1 15 -2 14 -2 14 -2 14 -3 14 -3 14 -4 14 -4 14 -5 13 -4 13 -5 14 -5 13 -6 13 -6 13 -6 13 -7 13 -7 13 -7 13 -7 13 -7 13 -8 12 -8 12 -9 12 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-56,11,1,7,1,1,1,0,0,0,1,-94,0,6,1,628852,0,390,0,0,1.00857,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 26 14 25 15 25 16 24 17 23 17 23 18 22 18 21 18 21 19 20 19 20 19 19 19 19 19 17 19 17 19 17 19 16 18 16 18 16 19 16 18 15 18 15 17 15 16 15 15 15 16 15 15 0 0 15 14 15 14 15 13 15 13 16 12 16 12 16 11 16 11 16 10 16 9 17 10 16 9 17 9 17 8 17 8 18 7 18 7 18 7 18 6 18 6 18 5 18 6 19 5 19 5 19 5 19 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-55,11,1,7,1,1,1,0,0,0,1,-94,0,6,1,671081,0,82,0,0,1.05075,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -2 24 -3 24 -5 24 -5 23 -6 24 -6 22 -6 22 -7 22 -8 22 -8 22 -8 21 -8 21 -9 20 -9 20 -9 19 -9 20 -9 18 -9 18 -8 17 -8 17 -8 18 -8 17 -7 17 -7 17 -6 16 -7 16 0 0 -6 16 -5 16 -5 16 -4 16 -4 15 -4 16 -3 15 -2 15 -3 15 -2 15 -1 15 -1 15 -1 16 0 15 0 16 1 15 1 16 1 15 1 16 2 15 2 15 2 15 3 16 4 16 3 15 4 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-57,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1769080,0,157,0,0,2.14924,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -6 -24 -5 -23 -4 -24 -4 -23 -2 -24 -2 -23 -1 -22 -1 -22 0 -23 0 -22 0 -23 0 -22 1 -22 1 -21 1 -21 1 -21 1 -20 1 -20 1 -19 1 -19 1 -19 1 -19 1 -18 1 -18 0 -18 0 -18 0 0 0 -17 -1 -17 -1 -17 -2 -17 -2 -16 -2 -16 -3 -16 -3 -16 -3 -16 -4 -16 -4 -16 -5 -15 -5 -16 -6 -15 -5 -15 -6 -15 -6 -15 -7 -15 -7 -15 -7 -15 -8 -15 -8 -15 -8 -15 -9 -15 -9 -14 -9 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-57,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1846555,0,135,0,0,2.22649,384,[-121 112 8 0 0 0 0 0 0 0 0 0 18 -15 18 -14 20 -13 19 -13 20 -12 19 -11 20 -10 19 -9 20 -9 20 -9 20 -9 20 -8 20 -7 19 -7 19 -7 19 -7 18 -7 18 -7 18 -6 17 -6 18 -6 17 -6 17 -6 16 -6 16 -7 15 -7 0 0 15 -7 15 -7 14 -7 14 -8 14 -8 14 -8 13 -8 13 -9 13 -8 13 -10 12 -10 11 -10 12 -11 11 -10 12 -11 11 -11 11 -12 11 -12 11 -12 11 -13 11 -12 10 -12 10 -13 9 -13 10 -13 9 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-57,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1900524,0,390,0,0,2.28042,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 9 -20 9 -19 10 -19 10 -19 11 -18 11 -17 11 -17 11 -16 12 -17 12 -16 12 -15 13 -15 13 -15 13 -14 12 -15 12 -14 11 -13 12 -13 11 -13 11 -13 10 -13 11 -13 11 -12 10 -12 10 -12 10 -12 0 0 9 -12 8 -12 8 -12 8 -13 7 -12 7 -13 6 -13 6 -13 6 -13 5 -13 5 -14 5 -13 5 -13 4 -13 4 -14 3 -14 3 -15 3 -14 3 -14 2 -15 2 -15 1 -15 2 -15 1 -15 1 -15 1 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1951170,0,390,0,0,2.33082,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 23 -2 23 -1 24 0 23 1 23 2 22 2 22 2 22 4 21 4 21 4 21 5 21 5 20 5 19 6 19 6 20 6 18 6 18 5 17 5 17 5 17 6 17 5 17 5 16 5 16 5 16 3 0 0 16 4 15 3 15 4 16 3 15 2 15 2 15 2 15 1 15 1 15 0 15 0 14 -1 15 0 14 -1 15 -2 15 -2 15 -2 15 -3 15 -2 15 -4 15 -4 14 -4 15 -4 14 -4 15 -5 15 -5 0 0 0 0 0 0 0 0 0 0 ]
