type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-53,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,67762,0,131,0,0,0.45856,128,[-125 48 8 0 0 0 0 0 0 0 0 0 12 -14 13 -14 14 -16 15 -16 15 -14 15 -12 15 -13 16 -12 17 -13 18 -12 18 -13 20 -14 19 -13 19 -12 17 -10 20 -13 19 -10 18 -9 18 -9 19 -9 18 -9 19 -10 17 -7 18 -10 19 -11 18 -11 0 0 18 -10 18 -11 18 -11 17 -11 15 -10 17 -11 17 -12 16 -10 16 -12 16 -10 15 -12 13 -10 14 -12 14 -11 14 -11 13 -12 14 -14 13 -12 13 -12 12 -13 11 -12 11 -13 11 -13 10 -14 9 -13 9 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-60,11,1,5,1,1,1,0,0,0,0,-94,0,6,1,69433,0,135,0,0,0.494039,384,[-121 112 8 0 0 0 0 0 0 0 0 0 13 -10 12 -9 14 -10 15 -9 15 -9 16 -8 14 -7 15 -8 15 -7 16 -6 18 -6 17 -6 17 -6 17 -6 16 -5 18 -5 17 -4 17 -4 16 -4 17 -4 16 -4 16 -3 16 -3 16 -3 16 -3 16 -4 0 0 16 -4 16 -3 15 -4 16 -4 14 -3 15 -4 15 -4 13 -4 14 -5 13 -5 13 -5 13 -5 13 -5 12 -6 13 -6 12 -7 12 -7 11 -7 11 -7 10 -8 10 -8 10 -8 9 -8 9 -8 10 -8 9 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-60,11,1,5,1,1,1,0,0,0,0,-94,0,6,1,185490,0,239,0,0,0.575779,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -2 -16 -2 -16 -2 -18 -1 -18 -1 -19 0 -18 1 -17 1 -17 2 -18 2 -18 2 -19 3 -19 3 -18 3 -19 3 -18 4 -19 4 -18 4 -18 5 -17 4 -18 4 -17 5 -18 5 -17 4 -17 5 -18 5 -17 0 0 4 -16 3 -17 3 -16 3 -16 3 -15 3 -16 3 -15 3 -16 3 -16 1 -15 1 -15 1 -15 1 -15 0 -15 0 -15 -1 -14 -1 -15 -1 -13 -1 -13 -2 -13 -2 -14 -2 -14 -3 -13 -4 -13 -3 -13 -4 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2078419,0,37,0,0,2.46902,128,[37 80 2 0 0 0 0 0 0 0 0 0 -17 9 -16 9 -20 11 -19 11 -21 10 -18 8 -21 9 -21 7 -22 9 -24 6 -25 7 -25 7 -25 6 -25 6 -22 5 -27 8 -24 5 -24 5 -23 5 -25 6 -24 5 -27 6 -24 3 -25 5 -27 6 -25 5 0 0 -24 7 -26 8 -24 8 -25 8 -21 6 -23 8 -24 8 -23 7 -22 10 -24 7 -23 9 -21 7 -21 8 -21 8 -21 10 -19 10 -22 12 -19 10 -19 11 -18 12 -18 12 -18 13 -18 13 -18 14 -17 13 -16 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,5,1,1,1,0,0,0,0,-91,0,6,1,2081114,0,82,0,0,2.50198,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -13 0 -13 0 -14 -1 -14 -2 -14 -2 -14 -2 -14 -3 -15 -3 -15 -3 -15 -4 -16 -4 -16 -4 -16 -5 -16 -6 -15 -6 -16 -6 -15 -6 -15 -6 -15 -6 -16 -7 -16 -7 -15 -7 -15 -7 -15 -8 -16 -8 -15 -7 0 0 -15 -7 -15 -7 -14 -7 -15 -7 -14 -6 -15 -6 -15 -7 -14 -6 -15 -5 -15 -5 -14 -4 -14 -5 -14 -5 -14 -4 -14 -4 -14 -3 -14 -3 -13 -2 -14 -2 -14 -1 -14 -1 -14 -1 -14 0 -14 0 -14 -1 -14 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2401952,0,37,0,0,2.79236,128,[37 80 2 0 0 0 0 0 0 0 0 0 10 -8 10 -8 11 -9 11 -9 12 -8 11 -7 12 -8 12 -6 13 -8 14 -6 15 -7 15 -6 15 -6 15 -6 13 -6 16 -7 14 -5 14 -5 13 -4 14 -6 13 -5 15 -6 14 -4 14 -5 15 -6 14 -6 0 0 14 -7 15 -6 13 -7 14 -6 12 -5 13 -7 13 -7 12 -6 12 -8 12 -6 12 -7 12 -5 12 -7 12 -7 11 -7 10 -7 11 -9 10 -8 10 -8 9 -8 9 -9 9 -9 9 -10 8 -9 8 -8 8 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,6,1,1,1,1,0,0,0,-91,4,6,1,2411167,0,110,0,0,2.8233,384,[110 96 6 0 0 0 0 0 0 0 0 0 10 7 10 7 11 8 11 8 11 8 10 9 10 9 10 9 10 10 10 11 10 11 10 11 10 12 10 12 10 12 9 12 9 12 9 12 9 12 9 12 9 12 9 12 8 12 9 12 8 13 8 12 0 0 8 11 9 12 8 11 8 10 8 11 8 11 9 11 9 10 8 10 8 9 8 9 9 9 9 8 9 8 9 8 9 7 10 7 9 6 9 6 10 5 9 6 10 6 10 5 10 5 10 4 10 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,5,1,1,1,1,0,0,0,-91,1,6,1,2505039,0,110,0,0,2.89516,384,[110 96 6 0 0 0 0 0 0 0 0 0 0 -14 -1 -14 0 -14 0 -14 1 -15 2 -14 2 -14 2 -14 3 -15 3 -15 4 -16 4 -16 4 -15 4 -15 5 -15 5 -16 5 -15 5 -15 5 -14 5 -14 5 -15 5 -15 6 -14 5 -14 6 -15 6 -14 0 0 5 -14 4 -15 4 -14 5 -14 4 -13 4 -14 4 -14 3 -13 3 -14 3 -13 2 -13 2 -13 2 -13 1 -13 2 -13 1 -13 1 -14 0 -12 0 -13 -1 -12 0 -13 -1 -12 -2 -12 -3 -12 -2 -12 -3 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,5,1,1,1,1,0,0,0,-91,1,6,1,2589081,0,110,0,0,2.97931,384,[110 96 6 0 0 0 0 0 0 0 0 0 14 3 13 3 15 4 15 5 15 5 14 5 14 6 14 7 14 6 15 8 14 8 15 8 15 9 14 9 14 10 16 9 14 10 14 9 14 9 13 10 13 10 14 10 13 11 13 10 14 11 14 10 0 0 13 10 14 9 13 9 13 9 13 9 13 8 13 9 13 8 13 7 13 7 13 6 12 7 13 6 13 6 13 5 13 5 13 5 13 3 13 3 13 3 13 3 13 3 13 2 13 1 13 1 12 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,6,1,1,1,1,0,0,0,-91,1,6,1,2684474,0,110,0,0,3.07549,384,[110 96 6 0 0 0 0 0 0 0 0 0 -4 13 -5 13 -5 14 -6 13 -6 14 -7 14 -8 13 -8 14 -8 14 -9 14 -9 14 -10 15 -9 13 -10 14 -10 13 -11 14 -11 13 -10 13 -11 12 -11 12 -11 13 -11 12 -11 12 -11 12 -11 12 -11 12 0 0 -11 12 -10 12 -10 11 -10 12 -10 12 -10 11 -9 11 -9 12 -9 11 -8 11 -8 12 -7 11 -7 12 -7 12 -7 11 -6 11 -6 11 -5 12 -5 12 -5 11 -5 12 -4 12 -4 12 -3 12 -3 12 -3 12 0 0 0 0 0 0 0 0 0 0 ]
