type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-58,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,68503,0,131,0,0,0.459241,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -15 -29 -13 -29 -14 -30 -14 -30 -11 -29 -8 -26 -8 -27 -6 -25 -7 -26 -5 -26 -7 -26 -6 -26 -6 -24 -5 -22 -4 -20 -6 -22 -3 -19 -3 -18 -4 -17 -5 -17 -5 -15 -6 -16 -5 -14 -7 -14 -8 -14 -8 -13 0 0 -9 -11 -10 -11 -10 -10 -10 -10 -9 -9 -11 -9 -12 -8 -11 -8 -13 -7 -13 -8 -14 -7 -13 -7 -14 -6 -15 -6 -15 -6 -15 -5 -17 -5 -16 -5 -16 -5 -16 -4 -16 -4 -17 -4 -17 -3 -18 -3 -17 -3 -17 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-58,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,74156,0,135,0,0,0.496071,128,[-121 112 8 0 0 0 0 0 0 0 0 0 -30 13 -29 11 -32 11 -31 11 -30 8 -27 5 -27 6 -26 4 -26 4 -26 3 -26 5 -26 4 -24 4 -22 3 -21 1 -23 4 -19 1 -18 1 -17 2 -16 2 -16 3 -16 4 -14 3 -14 5 -14 6 -13 6 0 0 -12 7 -12 8 -11 9 -11 9 -10 8 -9 9 -9 10 -9 10 -9 11 -9 11 -8 12 -7 11 -7 12 -7 13 -7 13 -7 13 -6 15 -6 14 -6 14 -6 14 -6 15 -5 16 -5 16 -5 17 -4 16 -5 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-58,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,202386,0,239,0,0,0.592958,128,[-17 -16 14 0 0 0 0 0 0 0 0 0 33 12 32 13 32 14 33 15 29 16 25 17 26 16 23 17 23 16 22 16 24 16 23 17 21 16 20 15 16 14 19 14 16 13 14 12 14 12 14 10 14 10 15 9 12 8 14 6 15 6 15 5 0 0 15 3 15 3 16 2 15 2 14 1 15 0 15 -1 14 -1 15 -2 15 -2 16 -4 14 -3 16 -5 17 -5 16 -4 17 -6 17 -7 17 -6 17 -7 16 -7 17 -7 17 -7 17 -8 17 -9 17 -8 17 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-70,11,1,7,1,1,1,0,0,0,0,-92,0,6,1,2078458,0,82,0,0,2.46899,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -13 -11 -12 -12 -14 -13 -12 -14 -12 -15 -12 -15 -10 -14 -10 -15 -9 -16 -10 -16 -9 -16 -9 -16 -8 -16 -8 -15 -7 -15 -7 -15 -7 -15 -7 -13 -6 -15 -6 -14 -5 -14 -6 -13 -5 -12 -6 -13 -7 -13 -6 -12 0 0 -6 -10 -7 -11 -6 -10 -8 -9 -8 -10 -7 -9 -7 -9 -8 -8 -8 -7 -9 -7 -9 -7 -9 -6 -9 -5 -9 -6 -9 -5 -9 -5 -10 -5 -10 -3 -10 -3 -10 -3 -11 -2 -12 -3 -11 -2 -11 -1 -11 0 -11 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-60,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2078584,0,37,0,0,2.50468,128,[37 80 2 0 0 0 0 0 0 0 0 0 13 -24 15 -24 15 -25 17 -25 18 -23 19 -21 19 -21 20 -18 21 -19 21 -18 22 -20 22 -19 21 -19 21 -17 20 -15 22 -17 20 -14 20 -12 20 -12 19 -12 19 -12 19 -13 16 -10 16 -13 17 -14 16 -14 0 0 15 -13 14 -14 13 -15 12 -14 11 -13 11 -14 11 -15 9 -14 9 -16 8 -16 7 -16 6 -14 6 -15 6 -16 5 -15 5 -16 3 -18 3 -17 3 -17 2 -17 2 -17 1 -18 0 -18 -2 -18 -2 -18 -2 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-62,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2399203,0,37,0,0,2.78958,128,[37 80 2 0 0 0 0 0 0 0 0 0 15 7 16 8 18 8 19 11 17 11 15 12 16 12 15 12 15 13 13 13 16 14 16 16 15 16 15 15 12 16 15 16 12 16 10 16 11 16 11 16 10 15 11 17 8 14 11 15 13 15 12 15 0 0 11 14 12 13 13 13 12 12 11 11 12 12 13 11 11 11 13 10 12 11 14 10 12 9 14 8 14 9 13 8 15 8 16 8 15 7 15 7 16 6 16 6 16 6 17 5 18 4 18 4 18 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-69,11,1,2,1,1,1,1,0,0,0,-91,2,6,1,2414951,0,110,0,0,2.81956,384,[110 96 6 0 0 0 0 0 0 0 0 0 -6 -10 -6 -12 -6 -12 -5 -14 -5 -15 -3 -13 -3 -14 -3 -13 -2 -15 -2 -14 -1 -17 -1 -17 0 -16 1 -16 1 -15 0 -17 0 -15 1 -15 1 -14 1 -14 1 -14 1 -14 3 -13 2 -13 2 -15 1 -14 0 0 1 -15 -1 -14 -1 -13 -1 -14 -1 -12 -2 -13 -2 -13 -2 -12 -2 -13 -3 -11 -4 -11 -3 -12 -5 -10 -5 -10 -5 -11 -6 -11 -6 -11 -7 -9 -8 -10 -8 -9 -8 -10 -8 -9 -9 -10 -10 -9 -9 -11 -10 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-70,11,1,3,1,1,1,1,0,0,0,-91,2,6,1,2434735,0,110,0,0,2.86254,384,[110 96 6 0 0 0 0 0 0 0 0 0 -10 6 -10 6 -12 6 -12 5 -12 3 -13 3 -13 3 -13 2 -14 2 -14 1 -14 2 -15 0 -15 0 -15 -1 -14 -1 -16 0 -15 -1 -15 -1 -14 -1 -14 -3 -15 -3 -14 -2 -14 -3 -13 -2 -14 -3 -13 -1 0 0 -13 -2 -12 -1 -12 -2 -13 -1 -11 -1 -12 0 -12 0 -12 0 -12 0 -10 1 -11 2 -10 2 -11 2 -11 2 -11 2 -10 3 -11 4 -9 4 -9 5 -10 5 -9 5 -10 5 -9 7 -9 8 -11 8 -9 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-69,11,1,2,1,1,1,1,0,0,0,-91,2,6,1,2435091,0,110,0,0,2.90358,384,[110 96 6 0 0 0 0 0 0 0 0 0 9 -2 10 -2 11 -2 12 0 12 0 11 1 11 1 11 1 12 2 12 2 12 4 13 3 12 5 12 5 11 5 12 5 11 5 10 5 10 5 11 6 10 6 10 6 9 6 10 6 11 6 10 4 0 0 10 4 9 4 10 5 10 3 9 4 9 3 10 4 9 2 9 2 8 0 10 0 9 1 9 1 9 0 9 0 9 -2 10 -1 9 -3 8 -2 8 -4 9 -4 9 -3 10 -3 8 -5 9 -5 9 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-69,11,1,1,1,1,1,1,0,0,0,-91,2,6,1,2435403,0,110,0,0,2.93863,384,[110 96 6 0 0 0 0 0 0 0 0 0 9 1 10 1 11 1 11 2 12 3 10 3 10 4 10 3 11 4 11 5 10 6 10 8 10 8 10 8 9 8 10 8 9 8 8 8 9 8 10 8 9 8 9 8 7 8 8 7 8 8 7 7 0 0 8 7 9 7 8 7 8 6 7 6 8 5 9 6 8 4 8 4 8 3 8 3 7 4 8 3 9 2 8 2 9 1 9 2 8 0 9 0 8 -1 9 -1 9 -1 9 -1 10 -2 10 -1 10 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-69,11,1,4,1,1,1,1,0,0,0,-91,2,6,1,2476247,0,110,0,0,2.97202,384,[110 96 6 0 0 0 0 0 0 0 0 0 10 -9 10 -9 11 -8 12 -8 12 -8 12 -7 13 -6 12 -7 12 -6 14 -6 14 -5 14 -5 15 -4 14 -4 14 -2 14 -4 14 -3 14 -3 13 -1 13 -3 13 -2 13 -3 12 -1 12 -1 12 -2 12 -2 0 0 12 -3 11 -3 11 -3 11 -3 10 -2 10 -4 10 -3 9 -4 9 -4 8 -5 8 -5 7 -4 7 -5 7 -5 7 -6 6 -6 6 -7 5 -7 4 -8 4 -9 4 -8 3 -8 3 -8 2 -9 3 -9 2 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-68,11,1,3,1,1,1,1,0,0,0,-91,2,6,1,2487316,0,110,0,0,3.01051,384,[110 96 6 0 0 0 0 0 0 0 0 0 13 3 13 4 14 4 14 5 14 6 13 6 13 7 12 7 13 8 13 9 13 9 13 10 13 10 12 11 11 10 13 11 12 10 11 10 10 9 10 10 10 10 11 10 10 10 9 10 10 11 9 8 0 0 10 9 11 8 9 7 9 6 9 7 9 6 9 7 9 5 10 5 10 4 9 4 8 3 9 3 9 2 9 2 9 1 10 0 8 -1 9 -1 8 -2 9 -1 8 -2 9 -3 9 -4 9 -4 9 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-67,11,1,2,1,1,1,1,0,0,0,-91,2,6,1,2487663,0,110,0,0,3.04611,384,[110 96 6 0 0 0 0 0 0 0 0 0 -11 8 -11 7 -12 8 -13 7 -14 7 -13 6 -14 6 -13 6 -15 4 -14 5 -16 4 -17 4 -16 3 -16 2 -15 2 -17 4 -15 2 -15 2 -14 2 -14 2 -13 2 -14 2 -14 1 -13 1 -15 1 -13 2 0 0 -13 2 -12 2 -12 2 -12 3 -11 2 -11 3 -11 3 -10 3 -10 4 -9 4 -9 5 -9 4 -9 5 -7 5 -8 5 -6 6 -7 7 -5 6 -5 6 -4 6 -5 7 -5 7 -5 7 -3 8 -4 7 -3 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-67,11,1,1,1,1,1,1,0,0,0,-91,2,6,1,2488011,0,110,0,0,3.08481,384,[110 96 6 0 0 0 0 0 0 0 0 0 -2 -14 -2 -13 -2 -15 -1 -15 -1 -15 1 -14 0 -15 1 -14 2 -15 3 -15 4 -16 5 -16 3 -15 4 -15 4 -14 6 -16 5 -14 5 -14 5 -13 5 -13 4 -13 5 -13 7 -12 5 -13 6 -14 4 -12 0 0 5 -12 4 -12 3 -12 3 -12 3 -10 2 -12 3 -11 1 -11 2 -11 0 -10 0 -10 0 -9 -1 -10 -1 -9 -1 -10 -2 -9 -3 -10 -3 -8 -3 -8 -4 -8 -4 -8 -5 -8 -5 -8 -6 -8 -5 -8 -6 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,0,1,1,1,1,0,0,0,-91,2,6,1,2737378,0,110,0,0,3.1292,384,[110 96 6 0 0 0 0 0 0 0 0 0 6 -14 6 -14 7 -16 10 -16 9 -15 9 -12 11 -14 11 -13 11 -14 12 -13 14 -15 14 -15 14 -14 15 -13 14 -10 16 -15 15 -11 16 -11 15 -10 14 -10 15 -10 15 -11 16 -8 16 -10 18 -10 15 -10 0 0 16 -9 14 -11 16 -11 13 -11 14 -8 14 -10 15 -10 12 -10 13 -10 10 -11 10 -12 11 -9 11 -10 9 -11 10 -11 8 -12 11 -13 7 -11 7 -12 5 -11 7 -12 6 -11 6 -12 5 -12 6 -11 4 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,0,1,1,1,1,0,0,0,-91,2,6,1,2737863,0,110,0,0,3.16853,384,[110 96 6 0 0 0 0 0 0 0 0 0 -3 -15 -3 -14 -5 -18 -3 -19 -2 -18 0 -15 -1 -18 0 -17 0 -18 1 -19 3 -21 2 -21 2 -20 4 -20 4 -17 4 -22 4 -18 6 -18 5 -18 5 -17 6 -18 6 -19 8 -16 7 -18 7 -19 6 -18 0 0 6 -17 3 -18 4 -19 4 -17 6 -16 4 -16 5 -18 4 -16 3 -18 0 -15 0 -16 3 -14 2 -15 0 -14 1 -15 -2 -15 0 -17 -1 -13 -2 -14 -4 -13 -2 -14 -3 -13 -3 -13 -4 -13 -2 -12 -4 -11 0 0 0 0 0 0 0 0 0 0 ]
