type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,78:21:84:7E:97:F9,-46,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,2088190,0,131,0,0,2.48517,128,[-125 48 8 0 0 0 0 0 0 0 0 0 25 -3 25 -2 27 -2 27 -2 26 0 23 1 24 1 23 2 25 3 24 3 25 2 26 3 24 3 24 3 22 4 25 4 21 5 20 5 20 4 20 4 19 4 21 4 18 4 19 2 22 2 20 2 0 0 21 1 21 2 20 1 20 1 17 1 19 -1 20 -1 18 -1 20 -2 18 -1 19 -2 17 -1 19 -2 19 -2 18 -2 18 -3 20 -4 18 -3 18 -3 18 -4 18 -4 19 -4 18 -5 19 -6 18 -5 18 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-55,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,2088701,0,135,0,0,2.51459,384,[-121 112 8 0 0 0 0 0 0 0 0 0 15 -15 16 -15 15 -14 17 -14 16 -12 16 -12 17 -11 17 -11 17 -11 17 -11 16 -10 17 -10 17 -9 16 -10 17 -9 17 -8 16 -8 15 -8 16 -8 16 -8 15 -8 15 -8 14 -7 14 -8 14 -8 14 -8 0 0 14 -8 13 -8 13 -9 12 -8 12 -9 12 -9 12 -9 11 -9 12 -9 10 -10 10 -10 10 -10 10 -11 10 -11 10 -11 9 -12 9 -11 9 -12 8 -12 8 -12 8 -12 8 -12 7 -13 7 -13 7 -13 7 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,2213123,0,239,0,0,2.60952,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 22 4 22 4 21 5 21 6 21 6 20 7 20 8 20 8 20 8 19 8 19 9 19 10 18 10 18 10 18 9 18 10 17 9 17 9 17 9 17 9 16 8 16 8 16 9 15 8 15 8 16 8 0 0 15 7 15 6 15 6 15 6 15 6 15 5 15 5 15 4 15 4 15 3 15 3 15 3 15 3 16 2 15 1 15 1 15 0 15 0 15 0 15 -1 16 -1 15 -1 15 -1 15 -2 16 -1 16 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-50,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,4078734,0,37,0,0,4.47553,128,[37 80 2 0 0 0 0 0 0 0 0 0 -6 -27 -5 -26 -5 -29 -5 -29 -3 -28 -1 -25 -1 -26 -1 -25 0 -26 0 -26 0 -27 0 -28 0 -27 1 -26 1 -24 0 -27 3 -23 2 -23 2 -22 2 -22 1 -22 2 -24 2 -20 1 -21 0 -24 -1 -22 0 0 -1 -22 -2 -22 -2 -22 -2 -21 -2 -19 -3 -20 -3 -21 -3 -19 -4 -21 -4 -20 -5 -20 -4 -19 -5 -20 -5 -20 -5 -20 -6 -19 -7 -21 -6 -19 -7 -19 -7 -19 -7 -19 -8 -19 -8 -19 -9 -19 -8 -19 -9 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-60,11,1,7,1,1,1,0,0,0,0,-92,0,6,1,4078965,0,82,0,0,4.51035,384,[82 -96 4 0 0 0 0 0 0 0 0 0 0 21 -1 21 -2 22 -3 22 -4 21 -4 20 -5 20 -5 20 -6 20 -6 20 -7 20 -7 20 -6 19 -7 19 -7 17 -8 19 -7 17 -7 18 -6 17 -8 16 -7 17 -7 15 -7 16 -6 15 -6 16 -6 15 0 0 -5 15 -4 16 -4 15 -4 16 -4 14 -4 14 -4 14 -3 15 -2 14 -2 16 -1 15 -1 15 -1 15 0 15 0 15 1 14 1 15 1 15 1 14 2 14 2 15 2 15 2 15 3 15 3 15 3 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-49,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,4392455,0,37,0,0,4.78908,128,[37 80 2 0 0 0 0 0 0 0 0 0 20 18 18 18 20 20 20 20 18 21 14 19 16 21 13 20 15 22 14 22 16 22 16 23 14 21 14 21 11 20 15 22 11 20 10 20 10 19 11 19 10 18 12 20 9 18 12 17 14 18 13 17 0 0 13 17 14 17 14 16 14 16 12 13 14 14 15 14 13 14 15 13 14 13 16 13 14 11 15 12 15 12 15 12 15 11 18 12 16 10 15 11 16 10 16 10 17 10 17 10 18 9 17 9 17 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-58,11,1,7,1,1,1,1,0,0,0,-92,3,6,1,4399610,0,110,0,0,4.82015,384,[110 96 6 0 0 0 0 0 0 0 0 0 -22 -2 -21 -2 -20 -4 -21 -4 -21 -4 -20 -5 -20 -4 -20 -5 -20 -5 -19 -7 -19 -7 -19 -8 -19 -8 -18 -8 -17 -7 -18 -7 -17 -7 -17 -6 -17 -8 -17 -6 -17 -6 -16 -6 -15 -7 -15 -6 -16 -6 -15 -6 0 0 -15 -5 -15 -4 -15 -4 -16 -4 -15 -3 -15 -3 -15 -2 -14 -3 -15 -1 -15 -2 -15 -1 -15 -1 -14 -1 -14 0 -15 1 -14 1 -15 1 -15 2 -14 2 -15 3 -14 2 -15 3 -15 3 -14 3 -15 3 -14 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,4,1,1,1,1,0,0,0,-92,1,6,1,4407106,0,110,0,0,4.86382,384,[110 96 6 0 0 0 0 0 0 0 0 0 -15 -15 -13 -13 -14 -15 -13 -19 -12 -17 -10 -14 -10 -16 -11 -14 -7 -17 -11 -19 -9 -19 -11 -20 -7 -18 -8 -20 -7 -17 -10 -15 -10 -16 -8 -17 -8 -15 -8 -13 -8 -16 -5 -18 -7 -13 -6 -16 -8 -18 -7 -15 0 0 -7 -14 -11 -11 -10 -12 -11 -11 -8 -13 -10 -11 -8 -12 -11 -10 -10 -10 -11 -8 -11 -11 -11 -10 -11 -9 -12 -9 -12 -10 -12 -8 -13 -9 -12 -7 -12 -7 -13 -7 -13 -7 -14 -8 -14 -7 -14 -6 -14 -7 -14 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,6,1,1,1,1,0,0,0,-92,2,6,1,4606761,0,110,0,0,5.00321,384,[110 96 6 0 0 0 0 0 0 0 0 0 -11 -16 -11 -16 -10 -17 -9 -17 -9 -17 -8 -17 -7 -17 -7 -17 -7 -18 -7 -17 -6 -17 -6 -18 -5 -17 -5 -18 -5 -17 -5 -17 -4 -16 -4 -16 -4 -16 -4 -16 -4 -15 -4 -16 -4 -15 -4 -15 -4 -15 -5 -15 0 0 -5 -15 -5 -14 -5 -14 -6 -14 -5 -13 -5 -13 -5 -13 -6 -13 -6 -13 -7 -12 -7 -12 -7 -12 -7 -12 -8 -12 -8 -12 -8 -12 -8 -12 -9 -11 -9 -11 -9 -11 -9 -11 -9 -11 -10 -11 -10 -10 -10 -11 -11 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,6,1,1,1,1,0,0,0,-92,1,6,1,4684422,0,110,0,0,5.08061,384,[110 96 6 0 0 0 0 0 0 0 0 0 2 19 2 19 0 19 0 19 -1 19 -1 18 -2 18 -2 18 -3 18 -2 18 -3 18 -3 18 -3 18 -4 18 -4 17 -4 18 -4 16 -4 16 -4 16 -4 16 -4 16 -4 16 -4 15 -3 15 -4 16 -3 15 0 0 -3 14 -2 15 -2 14 -1 14 -2 14 -1 14 -2 14 -1 14 0 14 0 13 1 14 1 14 1 14 2 14 2 13 2 13 2 14 3 13 3 13 3 13 3 14 3 14 4 13 4 13 4 13 4 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,4764417,0,110,0,0,5.16079,384,[110 96 6 0 0 0 0 0 0 0 0 0 -21 -8 -21 -9 -21 -10 -20 -10 -19 -11 -19 -11 -18 -12 -18 -12 -18 -12 -18 -13 -17 -13 -17 -14 -16 -13 -16 -14 -16 -13 -16 -13 -15 -13 -15 -13 -15 -12 -14 -12 -13 -12 -14 -12 -14 -12 -14 -12 -13 -12 -14 -11 0 0 -14 -10 -14 -10 -14 -9 -14 -10 -13 -9 -13 -9 -14 -9 -14 -8 -14 -8 -14 -7 -14 -7 -14 -7 -15 -6 -14 -6 -15 -5 -15 -5 -15 -5 -15 -4 -15 -4 -15 -5 -15 -4 -16 -4 -16 -4 -16 -3 -16 -3 -16 -3 0 0 0 0 0 0 0 0 0 0 ]
