type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,58:BF:25:17:9A:5C,-51,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,34607,0,30,0,0,0.415629,128,[30 -32 1 0 0 0 0 0 0 0 0 0 18 14 18 17 18 17 19 18 16 17 14 18 14 19 11 18 12 18 11 17 15 19 15 19 14 17 13 17 11 17 14 18 11 15 10 15 11 16 11 16 10 15 13 16 10 14 14 14 15 15 14 15 0 0 14 14 15 13 16 13 15 12 14 13 14 12 15 12 13 12 15 11 13 10 17 9 14 8 16 9 16 8 15 8 17 7 18 7 18 8 16 8 16 8 16 8 16 8 16 7 18 7 15 8 15 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-60,11,1,7,1,1,1,0,0,0,1,-94,0,6,1,196182,0,157,0,0,0.577099,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -20 -8 -18 -10 -18 -11 -19 -10 -15 -11 -15 -13 -16 -11 -16 -13 -15 -12 -15 -13 -16 -14 -14 -12 -14 -11 -14 -13 -13 -13 -13 -13 -13 -12 -12 -12 -12 -12 -12 -12 -11 -12 -11 -11 -12 -11 -12 -10 -11 -10 -12 -10 0 0 -12 -10 -12 -9 -12 -9 -12 -9 -12 -8 -11 -8 -12 -8 -12 -7 -12 -7 -12 -6 -13 -6 -12 -6 -13 -5 -13 -5 -13 -5 -12 -5 -13 -4 -13 -5 -13 -4 -13 -4 -14 -3 -14 -3 -14 -3 -14 -2 -14 -2 -14 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-60,11,1,7,1,1,1,0,0,0,1,-94,0,6,1,286284,0,135,0,0,0.667064,384,[-121 112 8 0 0 0 0 0 0 0 0 0 17 12 17 13 17 13 15 14 15 14 15 14 14 15 14 16 13 16 13 15 12 16 12 15 12 16 12 16 11 16 11 16 11 15 9 14 10 15 10 14 9 14 9 14 9 13 10 13 9 13 9 12 0 0 10 12 10 11 10 11 11 10 10 10 11 10 10 10 11 9 11 9 11 9 11 8 11 8 11 8 12 7 12 7 12 7 13 7 12 6 12 6 13 5 13 5 13 5 13 5 14 4 14 4 14 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-60,11,1,7,1,1,1,0,0,0,1,-94,0,6,1,486888,0,390,0,0,0.867564,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 15 11 15 12 14 12 14 13 14 14 12 13 12 14 11 13 11 14 11 14 10 15 10 15 10 14 10 14 9 14 9 15 8 14 8 14 8 13 8 14 8 13 8 13 7 12 8 12 8 13 8 12 0 0 7 11 8 11 8 10 8 10 8 10 9 10 8 10 9 9 9 9 9 8 9 9 9 8 9 8 10 8 10 7 10 7 11 7 11 6 10 7 11 6 11 6 11 6 11 5 12 5 12 6 11 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-62,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1558118,0,157,0,0,1.93907,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -19 12 -20 11 -20 10 -21 10 -20 9 -20 9 -21 8 -20 7 -21 6 -20 6 -21 6 -20 6 -21 5 -20 5 -20 4 -19 5 -19 4 -18 5 -18 4 -18 4 -18 4 -18 4 -16 4 -17 4 -17 5 -17 5 0 0 -16 5 -15 5 -15 6 -15 6 -15 6 -14 6 -14 6 -13 7 -13 7 -13 8 -13 8 -12 8 -13 8 -12 9 -12 9 -12 9 -11 9 -11 10 -11 10 -10 10 -10 10 -10 11 -10 11 -10 12 -9 12 -9 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-61,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1637455,0,135,0,0,2.01813,384,[-121 112 8 0 0 0 0 0 0 0 0 0 3 22 2 21 1 22 0 22 0 22 -1 21 -1 21 -2 21 -3 21 -3 21 -3 21 -4 20 -4 20 -4 20 -4 19 -4 20 -4 19 -5 18 -4 18 -4 17 -4 17 -4 17 -4 17 -4 16 -3 17 -3 16 0 0 -3 16 -2 16 -1 15 -1 16 -1 15 -2 15 -1 15 -1 15 0 15 0 15 1 15 2 15 2 14 2 14 2 14 3 14 3 15 3 13 3 14 4 14 4 13 5 14 5 14 6 13 6 13 6 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-62,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1681910,0,390,0,0,2.0626,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 19 1 20 1 18 2 19 2 20 2 17 6 18 4 18 3 19 5 17 4 16 4 17 4 17 6 17 6 17 6 16 5 16 6 15 5 15 6 15 6 14 6 14 5 13 5 15 5 15 6 13 4 0 0 13 3 13 4 13 4 13 3 13 3 13 2 13 3 13 2 13 2 13 0 12 0 12 1 13 0 13 0 13 -1 12 -1 14 -2 13 -2 12 -2 13 -2 12 -2 13 -2 13 -2 13 -3 12 -4 12 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-62,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1724817,0,390,0,0,2.10525,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -17 -14 -15 -15 -16 -16 -15 -16 -14 -16 -13 -16 -13 -17 -12 -17 -12 -17 -12 -18 -11 -18 -10 -18 -10 -18 -10 -18 -10 -17 -10 -18 -9 -16 -9 -16 -9 -16 -9 -16 -8 -16 -9 -16 -8 -15 -8 -15 -9 -15 -9 -14 0 0 -8 -14 -9 -14 -9 -13 -9 -13 -9 -12 -9 -12 -10 -12 -10 -11 -10 -11 -10 -10 -10 -11 -10 -10 -11 -10 -11 -10 -11 -10 -11 -9 -12 -10 -11 -9 -12 -9 -12 -9 -12 -8 -13 -8 -13 -8 -13 -7 -13 -8 -13 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-62,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1777467,0,82,0,0,2.15796,384,[82 -96 4 0 0 0 0 0 0 0 0 0 1 21 0 20 0 21 -1 20 -2 21 -2 19 -3 20 -3 19 -4 19 -4 19 -5 19 -5 18 -5 19 -6 17 -5 18 -6 18 -5 17 -5 16 -5 16 -5 16 -5 16 -5 16 -5 15 -5 15 -5 15 -4 15 0 0 -4 14 -3 14 -3 14 -3 15 -2 14 -2 14 -2 14 -2 14 -2 13 -2 13 -1 14 0 14 0 13 0 13 0 13 1 13 2 13 2 13 2 13 2 13 3 13 3 13 3 13 4 13 3 14 4 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-62,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,2180628,0,82,0,0,2.56113,384,[82 -96 4 0 0 0 0 0 0 0 0 0 19 7 19 8 19 9 18 10 17 10 17 10 17 11 16 12 15 12 16 12 16 12 15 12 15 12 15 12 14 12 14 13 13 12 13 12 13 11 12 12 12 12 12 12 12 11 12 10 12 10 12 10 0 0 11 9 12 10 12 9 11 8 12 8 12 8 11 8 12 7 11 7 12 6 12 5 12 6 12 5 13 6 13 5 13 5 13 5 13 4 13 4 13 3 13 3 13 4 14 3 14 2 13 2 13 2 0 0 0 0 0 0 0 0 0 0 ]
