type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,78:21:84:7E:97:F9,-49,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,67179,0,131,0,0,0.463696,128,[-125 48 8 0 0 0 0 0 0 0 0 0 22 15 21 14 23 16 22 16 21 17 17 16 19 17 16 17 18 17 17 19 18 19 18 20 17 19 16 18 14 17 18 19 14 17 14 17 13 16 14 16 13 15 15 16 12 16 14 15 16 16 14 15 0 0 15 14 16 14 15 13 16 13 13 11 15 11 16 11 14 11 16 10 15 12 16 11 14 9 15 9 15 9 16 9 15 8 18 9 16 7 16 7 16 7 16 7 17 6 18 7 17 6 16 6 16 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-59,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,67651,0,135,0,0,0.494046,384,[-121 112 8 0 0 0 0 0 0 0 0 0 18 -12 18 -10 18 -11 18 -9 18 -9 18 -8 18 -8 18 -7 18 -7 18 -6 18 -6 18 -5 18 -5 18 -5 17 -5 18 -5 16 -5 17 -5 16 -5 16 -4 16 -4 16 -5 15 -4 15 -4 15 -4 14 -5 0 0 14 -5 13 -5 13 -6 13 -6 12 -6 12 -6 12 -6 12 -7 12 -6 12 -7 11 -7 11 -8 11 -8 10 -8 10 -9 9 -9 11 -9 9 -9 9 -10 9 -10 9 -10 8 -10 9 -10 8 -11 9 -11 8 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-59,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,185273,0,239,0,0,0.58129,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -21 3 -21 3 -21 2 -22 1 -21 1 -21 1 -21 0 -20 -1 -20 -1 -20 -1 -20 -2 -20 -2 -19 -2 -19 -3 -19 -3 -19 -2 -18 -3 -18 -2 -18 -2 -17 -2 -17 -3 -17 -2 -18 -2 -16 -2 -17 -2 -16 -2 0 0 -16 -1 -16 -1 -16 0 -15 0 -15 0 -15 0 -15 0 -15 1 -15 1 -14 2 -14 2 -14 3 -14 3 -14 3 -14 4 -14 4 -14 4 -13 4 -13 4 -13 5 -13 5 -13 6 -13 6 -12 6 -13 6 -13 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-50,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,2082771,0,37,0,0,2.47909,128,[37 80 2 0 0 0 0 0 0 0 0 0 22 -4 22 -3 21 -2 22 -1 22 -1 20 1 21 0 19 2 20 1 20 2 21 1 21 1 22 1 20 1 19 2 22 2 19 3 17 3 17 3 17 2 17 3 18 2 15 3 17 1 18 0 17 0 0 0 17 0 17 0 17 -1 16 0 15 0 16 -2 16 -1 15 -1 16 -2 14 -1 15 -3 14 -3 15 -4 15 -3 14 -3 14 -4 16 -5 14 -5 14 -4 13 -5 14 -5 14 -5 13 -6 14 -7 13 -6 13 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-60,11,1,7,1,1,1,0,0,0,0,-93,0,6,1,2085256,0,82,0,0,2.5085,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -24 -7 -24 -7 -23 -8 -22 -9 -22 -10 -22 -10 -21 -10 -21 -11 -21 -11 -20 -11 -20 -11 -20 -12 -20 -11 -19 -11 -19 -12 -19 -12 -18 -11 -17 -11 -17 -11 -17 -11 -16 -11 -17 -11 -16 -10 -16 -9 -16 -10 -17 -9 0 0 -16 -9 -16 -8 -16 -8 -16 -7 -15 -7 -15 -7 -15 -7 -15 -6 -16 -6 -16 -5 -16 -4 -15 -4 -16 -4 -16 -3 -16 -3 -16 -3 -15 -3 -16 -2 -16 -2 -16 -2 -16 -1 -15 -1 -16 0 -16 0 -16 0 -15 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-50,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,2401831,0,37,0,0,2.79795,128,[37 80 2 0 0 0 0 0 0 0 0 0 12 -24 13 -24 14 -24 15 -25 15 -23 15 -20 15 -21 15 -19 17 -21 16 -19 17 -21 18 -22 17 -20 17 -19 16 -17 17 -20 17 -16 16 -15 15 -15 15 -15 14 -16 16 -17 14 -14 14 -16 14 -18 13 -17 0 0 13 -18 13 -17 13 -18 12 -17 11 -15 10 -17 10 -18 9 -16 10 -18 9 -16 9 -18 8 -16 8 -17 9 -18 9 -16 8 -18 7 -19 7 -18 7 -17 5 -18 5 -18 6 -19 5 -18 5 -18 5 -18 4 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-60,11,1,7,1,1,1,1,0,0,0,-93,3,6,1,2402476,0,110,0,0,2.83234,384,[110 96 6 0 0 0 0 0 0 0 0 0 -8 17 -8 17 -9 16 -9 17 -9 16 -9 16 -10 15 -10 15 -11 15 -11 13 -11 14 -11 14 -12 13 -11 13 -12 13 -11 12 -11 12 -11 11 -11 12 -11 11 -11 11 -11 11 -10 10 -10 10 -10 11 -10 11 0 0 -9 11 -9 11 -8 11 -8 10 -8 10 -7 11 -7 11 -7 11 -7 11 -6 10 -6 10 -6 11 -6 11 -5 11 -5 11 -4 11 -4 11 -4 11 -4 11 -3 11 -3 11 -3 11 -3 11 -2 12 -2 11 -2 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-60,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,2411852,0,110,0,0,2.87428,384,[110 96 6 0 0 0 0 0 0 0 0 0 -24 7 -22 6 -24 5 -23 4 -23 4 -22 3 -23 3 -23 2 -23 2 -23 1 -22 1 -23 0 -22 0 -22 0 -21 0 -22 0 -20 -1 -20 0 -20 0 -20 -1 -19 -1 -19 0 -19 0 -18 0 -18 0 -18 0 0 0 -18 0 -18 1 -17 1 -17 1 -16 2 -16 1 -16 2 -16 3 -16 3 -16 3 -15 3 -15 4 -15 5 -14 5 -15 5 -14 5 -15 6 -14 5 -14 6 -14 6 -13 7 -14 7 -13 8 -13 8 -13 8 -12 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-60,11,1,7,1,1,1,1,0,0,0,-93,2,6,1,2602233,0,110,0,0,2.99825,384,[110 96 6 0 0 0 0 0 0 0 0 0 -5 -22 -3 -21 -2 -21 -1 -21 -1 -21 -1 -20 0 -21 0 -21 1 -21 1 -20 2 -20 2 -21 2 -20 1 -20 2 -19 2 -19 2 -19 2 -18 2 -17 3 -18 3 -17 3 -17 2 -17 2 -16 1 -16 1 -16 0 0 1 -16 1 -15 0 -15 0 -16 0 -15 0 -15 0 -15 -1 -15 -1 -15 -2 -15 -2 -14 -3 -14 -3 -14 -3 -14 -3 -14 -3 -14 -4 -14 -4 -14 -4 -13 -5 -14 -5 -13 -5 -13 -6 -14 -6 -13 -6 -13 -7 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-59,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,2673412,0,110,0,0,3.06917,384,[110 96 6 0 0 0 0 0 0 0 0 0 20 6 19 6 20 7 19 8 18 8 18 9 18 10 17 10 17 10 16 10 17 10 16 11 15 10 15 10 15 10 15 11 14 10 14 10 13 10 13 10 12 10 13 10 13 9 13 9 13 9 13 9 0 0 14 9 12 8 12 7 13 7 12 7 12 7 12 7 12 6 13 6 13 5 13 5 13 4 12 4 13 4 13 4 13 3 13 3 12 2 13 3 13 2 13 2 13 2 13 1 13 0 13 0 14 0 0 0 0 0 0 0 0 0 0 0 ]
