type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,78:21:84:7E:97:F9,-47,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,71795,0,131,0,0,0.474358,128,[-125 48 8 0 0 0 0 0 0 0 0 0 26 -4 26 -2 27 -2 28 -2 26 -1 24 1 25 1 24 3 25 3 24 3 26 2 26 2 24 2 24 2 22 3 25 2 22 4 21 4 21 4 20 4 20 4 21 3 18 4 20 1 22 1 20 1 0 0 20 1 20 0 20 -1 20 -1 17 -1 19 -2 19 -2 18 -1 19 -3 18 -2 19 -4 17 -3 18 -4 19 -4 18 -4 18 -5 19 -6 17 -6 17 -5 17 -6 17 -6 18 -7 17 -7 17 -8 17 -7 16 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,72258,0,135,0,0,0.504032,384,[-121 112 8 0 0 0 0 0 0 0 0 0 21 -10 20 -9 21 -9 21 -9 22 -8 21 -7 21 -6 20 -6 21 -6 21 -5 21 -4 21 -3 20 -3 20 -3 19 -3 20 -3 19 -3 19 -3 18 -3 18 -3 17 -3 18 -4 17 -3 17 -3 17 -3 16 -3 0 0 16 -4 16 -4 14 -5 15 -5 14 -5 15 -6 14 -6 14 -7 14 -6 13 -6 13 -7 13 -7 13 -8 12 -8 12 -8 12 -8 12 -9 12 -10 11 -9 11 -10 11 -10 10 -11 12 -11 11 -12 11 -11 10 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,193156,0,239,0,0,0.595156,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 20 -6 21 -5 20 -4 21 -4 20 -3 20 -3 21 -2 20 -1 20 -1 19 -1 19 0 20 0 19 0 18 0 19 1 18 2 18 2 17 1 17 1 17 1 16 1 16 1 15 1 15 1 16 1 15 0 0 0 15 0 14 0 15 0 14 0 14 -1 14 -1 14 -2 13 -2 14 -2 13 -3 13 -3 13 -3 13 -4 13 -4 13 -3 13 -4 13 -5 13 -5 12 -5 12 -6 12 -6 13 -6 12 -7 12 -7 12 -6 12 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-58,11,1,7,1,1,1,0,0,0,0,-93,0,6,1,2080498,0,82,0,0,2.48283,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -20 -14 -19 -15 -19 -15 -18 -16 -18 -16 -17 -17 -16 -16 -16 -17 -15 -17 -15 -17 -15 -17 -15 -17 -14 -16 -13 -17 -13 -16 -13 -17 -12 -16 -12 -16 -12 -15 -12 -15 -12 -15 -12 -15 -12 -15 -11 -14 -11 -14 -12 -14 0 0 -11 -14 -12 -12 -11 -12 -12 -12 -11 -11 -11 -11 -12 -11 -12 -10 -12 -10 -13 -10 -13 -9 -13 -8 -13 -8 -13 -8 -13 -8 -14 -8 -14 -7 -14 -7 -14 -7 -14 -7 -15 -6 -14 -6 -14 -6 -15 -5 -15 -5 -15 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-48,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,2080605,0,37,0,0,2.5221,128,[37 80 2 0 0 0 0 0 0 0 0 0 -26 -8 -25 -8 -27 -9 -28 -9 -26 -10 -22 -10 -24 -10 -22 -11 -24 -12 -23 -13 -23 -13 -24 -14 -22 -13 -22 -13 -20 -12 -24 -13 -20 -13 -19 -12 -18 -12 -19 -10 -19 -10 -20 -12 -17 -11 -18 -10 -20 -11 -19 -10 0 0 -20 -8 -20 -8 -19 -7 -20 -7 -17 -6 -19 -5 -19 -5 -18 -5 -20 -4 -19 -5 -19 -5 -17 -5 -18 -4 -19 -3 -19 -3 -19 -2 -20 -2 -18 -2 -19 -1 -19 0 -19 0 -20 0 -19 0 -20 0 -19 0 -18 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-48,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,2413105,0,37,0,0,2.81528,128,[37 80 2 0 0 0 0 0 0 0 0 0 -9 -27 -8 -25 -9 -29 -8 -28 -7 -28 -4 -25 -5 -26 -4 -25 -4 -27 -2 -27 -3 -28 -2 -29 -2 -27 -2 -26 -1 -23 -3 -28 0 -23 0 -24 0 -22 -1 -22 -1 -22 -1 -24 0 -21 -2 -21 -2 -23 -2 -22 0 0 -4 -21 -4 -22 -4 -20 -5 -22 -4 -18 -6 -20 -6 -20 -5 -19 -7 -20 -6 -20 -7 -19 -6 -18 -7 -18 -7 -18 -7 -19 -8 -18 -10 -20 -8 -17 -9 -17 -10 -17 -9 -17 -10 -18 -11 -18 -11 -18 -10 -17 -10 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-58,11,1,7,1,1,1,1,0,0,0,-93,3,6,1,2413838,0,110,0,0,2.8515,384,[110 96 6 0 0 0 0 0 0 0 0 0 -22 -7 -21 -8 -20 -8 -20 -10 -20 -10 -20 -10 -19 -10 -19 -10 -19 -11 -18 -11 -18 -12 -18 -12 -17 -12 -16 -12 -16 -12 -16 -12 -15 -12 -15 -12 -14 -11 -15 -11 -15 -11 -14 -11 -15 -10 -13 -10 -14 -10 -14 -9 0 0 -14 -9 -13 -9 -13 -8 -13 -8 -13 -7 -13 -7 -14 -7 -14 -6 -14 -6 -14 -5 -14 -5 -13 -5 -14 -4 -14 -4 -14 -5 -14 -4 -14 -4 -15 -3 -14 -3 -15 -3 -15 -3 -14 -2 -15 -1 -14 -1 -15 -1 -15 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-58,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,2423266,0,110,0,0,2.89804,384,[110 96 6 0 0 0 0 0 0 0 0 0 7 22 6 21 5 21 4 21 4 22 4 21 3 22 3 21 2 21 1 21 1 21 1 21 0 20 0 20 0 20 0 20 1 19 0 19 1 18 0 18 0 18 0 18 1 17 1 16 0 16 1 17 0 0 2 16 2 16 2 15 3 15 3 14 3 14 3 14 3 13 4 14 5 14 5 13 5 13 6 13 6 12 7 13 7 12 7 12 8 12 8 12 8 12 9 11 8 11 9 11 9 10 9 11 10 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-58,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,2622674,0,110,0,0,3.02499,384,[110 96 6 0 0 0 0 0 0 0 0 0 3 23 2 22 1 22 0 23 0 22 0 22 -1 22 -2 21 -2 21 -3 21 -3 21 -3 21 -4 20 -4 20 -4 19 -4 20 -4 19 -4 18 -4 18 -4 18 -5 17 -4 17 -4 17 -3 16 -4 17 -3 16 0 0 -2 16 -2 16 -2 15 -2 15 -1 15 -1 15 -1 15 -1 14 0 15 0 14 1 14 1 14 1 14 2 14 3 14 3 14 3 14 4 13 3 13 4 14 4 14 4 14 5 13 5 13 6 13 6 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,2689608,0,110,0,0,3.09129,384,[110 96 6 0 0 0 0 0 0 0 0 0 7 21 6 21 5 22 4 22 4 21 3 21 3 21 2 21 2 21 1 20 1 21 0 21 0 19 0 19 -1 19 0 20 0 19 0 18 0 17 0 17 0 17 0 17 1 16 0 16 0 16 1 16 0 0 2 15 2 15 2 14 3 15 3 13 3 14 3 14 4 13 4 13 4 13 5 13 5 12 5 12 6 12 6 12 7 11 7 11 7 10 7 11 8 10 8 10 8 10 8 10 9 9 9 10 9 10 0 0 0 0 0 0 0 0 0 0 ]
