type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,78:21:84:7E:97:F9,-47,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,2084795,0,131,0,0,2.48336,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -13 -26 -11 -26 -12 -28 -12 -28 -9 -27 -7 -25 -7 -27 -5 -25 -6 -27 -5 -27 -7 -28 -7 -29 -6 -27 -5 -27 -3 -24 -5 -27 -2 -24 -2 -23 -2 -23 -2 -22 -2 -22 -2 -24 -1 -20 -4 -21 -5 -23 -5 -21 0 0 -5 -21 -6 -21 -7 -21 -6 -20 -5 -18 -6 -19 -7 -19 -6 -18 -8 -19 -7 -18 -9 -18 -8 -16 -10 -17 -9 -18 -9 -17 -10 -17 -12 -18 -10 -16 -10 -16 -11 -16 -11 -16 -12 -16 -12 -16 -14 -15 -12 -15 -12 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,2085624,0,135,0,0,2.52108,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -23 -2 -22 -3 -24 -4 -22 -4 -23 -5 -21 -6 -22 -6 -21 -7 -22 -7 -22 -8 -20 -8 -20 -9 -20 -9 -20 -9 -19 -8 -19 -9 -17 -9 -18 -9 -17 -8 -17 -8 -17 -8 -17 -8 -16 -8 -16 -8 -16 -8 -16 -7 0 0 -15 -6 -16 -6 -14 -5 -15 -5 -15 -4 -15 -4 -15 -4 -14 -3 -15 -3 -15 -3 -15 -2 -14 -1 -15 -1 -14 -1 -15 -1 -14 0 -15 0 -14 0 -14 1 -14 2 -14 1 -14 2 -15 2 -14 3 -14 2 -14 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-56,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,2217441,0,239,0,0,2.61552,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 -23 -2 -23 -3 -24 -4 -23 -4 -23 -5 -22 -5 -22 -7 -21 -7 -22 -7 -21 -7 -21 -8 -21 -9 -20 -9 -20 -8 -19 -8 -20 -8 -19 -8 -18 -8 -18 -7 -18 -8 -17 -8 -17 -7 -16 -7 -16 -7 -17 -6 -16 -6 0 0 -16 -5 -16 -4 -15 -4 -16 -4 -15 -3 -15 -3 -16 -2 -15 -2 -15 -2 -15 -1 -15 0 -14 0 -15 0 -15 1 -15 2 -14 2 -15 2 -14 3 -14 3 -14 4 -14 3 -14 5 -14 4 -14 5 -14 5 -14 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-58,11,1,7,1,1,1,0,0,0,0,-93,0,6,1,5076533,0,82,0,0,5.47487,384,[82 -96 4 0 0 0 0 0 0 0 0 0 0 20 0 19 -2 19 -2 19 -3 19 -3 18 -3 19 -4 18 -4 18 -5 18 -6 17 -6 17 -6 17 -7 16 -6 16 -6 17 -5 15 -5 16 -5 15 -5 15 -6 14 -5 14 -5 14 -5 13 -5 13 -4 13 0 0 -4 13 -3 13 -3 12 -2 13 -2 12 -2 12 -1 12 -1 12 -1 12 -1 12 0 12 0 12 1 12 1 11 2 11 2 10 2 12 3 11 3 11 4 11 4 11 4 10 4 11 5 11 5 11 5 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-48,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,5076641,0,37,0,0,5.50516,128,[37 80 2 0 0 0 0 0 0 0 0 0 18 20 16 20 18 22 18 22 16 22 12 20 14 21 11 21 14 22 11 23 12 23 12 25 11 23 10 23 9 21 12 24 8 20 8 21 8 19 9 19 8 18 9 20 6 18 8 18 10 20 9 18 0 0 10 17 11 17 11 16 11 16 9 14 12 14 12 14 11 13 13 13 11 14 12 14 11 12 12 12 13 12 13 12 13 11 16 12 13 11 14 10 14 10 14 10 15 10 15 10 15 9 15 9 15 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-48,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,5403684,0,37,0,0,5.80185,128,[37 80 2 0 0 0 0 0 0 0 0 0 12 21 11 20 13 23 12 22 11 23 8 20 9 21 7 20 9 22 6 23 7 23 7 24 5 23 6 22 5 20 8 23 4 19 5 20 4 18 5 18 5 17 6 19 4 17 5 17 6 19 6 17 0 0 8 16 8 17 9 15 9 16 7 13 10 14 10 14 9 13 11 13 9 14 10 13 8 12 10 12 11 12 11 12 11 11 14 12 11 10 12 10 13 9 12 9 14 9 14 10 14 9 13 9 13 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,1,0,0,0,-93,3,6,1,5404221,0,110,0,0,5.83041,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 22 0 22 -1 22 -2 22 -2 22 -3 22 -4 22 -4 21 -4 21 -5 20 -5 21 -6 20 -6 19 -6 19 -6 19 -6 19 -5 18 -6 17 -6 17 -6 17 -6 17 -5 16 -5 16 -4 15 -5 16 -4 16 0 0 -4 15 -3 15 -3 15 -2 15 -2 14 -2 14 -2 14 -1 14 0 15 0 14 0 14 0 14 1 14 2 13 2 14 3 14 3 13 4 13 3 13 4 13 4 13 4 13 5 13 6 12 5 13 6 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,6,1,1,1,1,0,0,0,-93,1,6,1,5415285,0,110,0,0,5.86889,384,[110 96 6 0 0 0 0 0 0 0 0 0 -7 20 -7 19 -9 20 -9 19 -9 19 -10 18 -11 18 -11 17 -11 17 -11 17 -12 17 -13 16 -12 15 -13 15 -12 15 -12 15 -11 14 -12 13 -11 13 -11 13 -11 12 -11 13 -11 12 -10 12 -11 12 -10 12 0 0 -10 12 -9 13 -9 13 -7 11 -8 12 -7 12 -7 12 -7 12 -6 12 -6 12 -6 12 -5 12 -5 12 -4 13 -4 12 -4 12 -4 13 -2 12 -2 12 -2 12 -2 12 -2 13 -1 13 -1 13 -1 13 0 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-58,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,5587397,0,110,0,0,5.98598,384,[110 96 6 0 0 0 0 0 0 0 0 0 8 19 7 19 7 20 6 20 5 19 5 20 4 20 3 20 3 20 2 20 2 20 2 20 1 19 1 19 1 19 1 19 1 18 1 18 1 17 0 17 0 17 1 16 0 16 1 15 1 15 1 15 0 0 2 15 2 14 3 14 3 14 3 13 3 13 3 13 4 13 4 13 4 12 5 12 5 12 5 12 5 11 6 11 6 11 6 10 7 10 7 10 8 10 8 10 8 10 9 10 9 9 9 9 9 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-57,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,5665820,0,110,0,0,6.0636,384,[110 96 6 0 0 0 0 0 0 0 0 0 -23 0 -23 -1 -24 -1 -23 -2 -23 -3 -22 -4 -23 -4 -21 -5 -22 -5 -22 -6 -21 -6 -21 -7 -21 -7 -20 -7 -20 -7 -20 -7 -19 -7 -19 -7 -18 -7 -18 -7 -17 -7 -18 -7 -17 -7 -16 -6 -17 -6 -16 -5 0 0 -16 -5 -16 -4 -15 -4 -16 -4 -15 -3 -15 -3 -15 -3 -15 -2 -15 -2 -15 -1 -15 -1 -15 -1 -15 0 -15 0 -15 1 -14 1 -15 2 -14 2 -14 2 -15 2 -14 2 -15 4 -15 3 -14 4 -14 4 -14 5 0 0 0 0 0 0 0 0 0 0 ]
