type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,78:21:84:7E:97:F8,-56,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,38533,0,30,0,0,0.436915,128,[30 -32 1 0 0 0 0 0 0 0 0 0 22 11 20 11 21 13 21 13 19 14 16 13 18 14 14 13 16 13 14 14 17 14 17 13 15 13 15 13 13 11 17 12 13 10 12 10 13 10 14 9 13 9 16 9 12 9 15 8 17 8 16 9 0 0 16 7 17 6 17 6 18 5 16 5 17 5 18 4 15 5 17 3 16 3 19 2 16 2 18 3 18 2 18 1 18 0 21 1 20 2 19 1 19 2 19 2 19 3 19 2 20 3 18 4 18 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-65,11,1,7,1,1,1,0,0,0,1,-94,0,6,1,191479,0,157,0,0,0.58976,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 15 -7 15 -5 15 -5 15 -4 15 -4 14 -3 15 -2 15 -3 14 -2 13 -2 14 -2 14 -1 13 -1 13 -1 13 -1 13 -1 12 -1 12 -1 12 -2 12 -1 11 -1 11 -1 11 -2 10 -2 11 -2 10 -2 0 0 10 -3 10 -3 9 -3 10 -4 9 -4 10 -4 10 -4 10 -5 9 -5 9 -5 9 -6 9 -6 10 -6 9 -6 9 -6 9 -7 9 -8 9 -7 9 -8 9 -8 10 -8 10 -8 10 -8 9 -9 10 -8 10 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-65,11,1,7,1,1,1,0,0,0,1,-94,0,6,1,278994,0,390,0,0,0.677177,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -17 -3 -17 -4 -16 -5 -15 -6 -15 -5 -16 -6 -15 -6 -14 -7 -14 -7 -13 -7 -13 -7 -14 -7 -12 -7 -12 -7 -12 -6 -12 -7 -12 -7 -11 -6 -11 -6 -11 -5 -11 -6 -11 -5 -11 -6 -11 -5 -11 -6 -11 -5 0 0 -11 -4 -11 -4 -11 -4 -11 -4 -11 -4 -11 -3 -11 -3 -11 -2 -11 -2 -11 -2 -12 -2 -12 -1 -12 -1 -12 -1 -12 -1 -13 -1 -12 -1 -13 0 -13 0 -13 0 -13 -1 -13 0 -13 0 -13 0 -14 0 -14 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-65,11,1,7,1,1,1,0,0,0,1,-94,0,6,1,330328,0,390,0,0,0.728176,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -19 0 -18 -1 -18 -1 -17 -2 -17 -2 -16 -2 -16 -3 -16 -3 -16 -4 -16 -4 -16 -5 -15 -5 -15 -5 -15 -5 -14 -4 -15 -4 -13 -4 -14 -4 -13 -3 -13 -3 -13 -3 -12 -3 -12 -3 -12 -3 -12 -2 -12 -3 0 0 -12 -1 -13 -2 -11 -1 -12 -1 -11 0 -11 0 -12 0 -12 1 -12 1 -13 1 -12 0 -12 1 -13 2 -12 2 -13 2 -13 3 -13 4 -13 3 -13 3 -14 4 -14 3 -14 4 -14 4 -14 4 -14 3 -14 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-56,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,377151,0,82,0,0,0.775063,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -10 16 -11 15 -12 16 -12 17 -12 14 -12 12 -12 12 -12 10 -12 11 -13 10 -13 12 -13 12 -12 11 -12 11 -11 9 -12 12 -11 9 -11 8 -11 9 -10 8 -10 8 -11 9 -10 7 -9 9 -10 10 -9 10 0 0 -9 10 -8 11 -8 11 -8 11 -7 9 -7 10 -7 11 -7 10 -6 12 -7 11 -6 13 -6 11 -5 12 -6 13 -6 12 -6 13 -6 15 -6 13 -6 13 -6 13 -6 13 -6 15 -6 14 -5 15 -6 14 -6 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-56,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,480065,0,82,0,0,0.877989,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -6 -25 -4 -23 -5 -26 -5 -26 -3 -25 -1 -22 -1 -23 0 -21 0 -23 1 -22 -1 -23 0 -24 0 -22 0 -21 1 -19 -2 -22 0 -19 1 -18 1 -18 0 -18 0 -17 -2 -19 0 -16 -2 -17 -3 -18 -2 -18 0 0 -3 -18 -5 -18 -6 -17 -5 -17 -4 -15 -6 -17 -7 -17 -6 -17 -8 -17 -7 -17 -9 -17 -7 -16 -9 -17 -8 -17 -9 -17 -10 -17 -11 -19 -10 -17 -9 -17 -10 -18 -10 -18 -11 -18 -11 -19 -12 -19 -10 -18 -10 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-65,11,1,7,1,1,1,0,0,0,1,-94,0,6,1,483813,0,82,0,0,0.913328,384,[82 -96 4 0 0 0 0 0 0 0 0 0 7 -14 7 -13 8 -13 8 -12 8 -12 8 -11 8 -10 9 -10 9 -10 9 -10 9 -9 9 -9 8 -8 9 -8 8 -8 8 -9 8 -8 8 -8 7 -8 8 -8 7 -8 7 -8 7 -7 7 -8 7 -7 6 -8 0 0 6 -8 6 -8 5 -8 5 -8 5 -8 5 -8 5 -9 4 -10 4 -9 4 -9 3 -9 4 -9 4 -10 4 -10 3 -10 3 -11 4 -11 3 -11 3 -11 3 -11 3 -11 3 -12 4 -12 4 -11 4 -11 3 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-56,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,982141,0,82,0,0,1.38022,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -1 12 -7 2 -10 18 2 21 -10 24 -9 17 -8 15 -5 16 -8 13 -15 13 -10 19 -9 14 -12 17 -7 15 -13 7 -8 18 -9 9 -7 9 -7 12 -7 10 -6 12 -9 12 -8 9 -7 11 -7 12 -7 12 0 0 -6 12 -6 12 -5 12 -5 12 -5 10 -5 12 -4 12 -5 12 -4 13 -4 12 -4 13 -4 12 -4 13 -4 14 -5 13 -5 14 -4 16 -5 14 -4 15 -4 14 -4 15 -5 16 -5 15 -5 16 -5 15 -5 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-66,11,1,7,1,1,1,0,0,0,1,-93,0,6,1,1055209,0,82,0,0,1.45308,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -17 -4 -17 -5 -16 -5 -16 -6 -15 -6 -15 -6 -14 -6 -15 -6 -13 -7 -13 -7 -13 -7 -13 -7 -12 -7 -12 -7 -12 -7 -12 -7 -12 -7 -12 -7 -10 -7 -11 -7 -11 -6 -10 -6 -10 -6 -11 -6 -11 -5 -10 -6 0 0 -10 -5 -10 -4 -10 -4 -10 -4 -10 -3 -10 -4 -11 -3 -11 -3 -11 -3 -11 -3 -11 -2 -11 -2 -12 -1 -12 -1 -12 -2 -12 -1 -12 -1 -13 -1 -12 -1 -12 -1 -13 -1 -13 -1 -13 -1 -13 0 -13 -1 -14 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,78:21:84:7E:97:F8,-57,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,1168975,0,37,0,0,1.56698,128,[37 80 2 0 0 0 0 0 0 0 0 0 -11 22 -12 21 -12 23 -12 23 -13 21 -13 17 -13 19 -13 16 -14 18 -15 16 -14 18 -15 18 -14 16 -14 16 -13 14 -14 17 -12 14 -13 13 -12 13 -11 13 -11 13 -12 14 -10 11 -10 13 -10 15 -9 14 0 0 -9 15 -7 16 -7 16 -7 16 -6 13 -5 15 -5 16 -5 15 -4 17 -6 16 -5 17 -5 16 -4 17 -4 17 -4 17 -3 18 -3 20 -3 18 -3 18 -3 18 -3 18 -3 20 -4 19 -3 20 -4 19 -3 19 0 0 0 0 0 0 0 0 0 0 ]
