type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1322053,0,157,0,0,1.7048,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -24 -1 -23 -2 -24 -2 -23 -3 -24 -4 -22 -5 -22 -5 -21 -6 -22 -6 -22 -7 -21 -7 -21 -8 -20 -8 -20 -8 -20 -8 -20 -7 -18 -7 -19 -7 -17 -7 -17 -7 -17 -7 -17 -7 -17 -7 -16 -6 -16 -7 -16 -5 0 0 -16 -5 -16 -4 -15 -4 -15 -3 -14 -3 -15 -3 -14 -3 -15 -2 -15 -1 -15 0 -14 0 -14 0 -14 1 -14 1 -14 2 -13 2 -15 2 -13 3 -13 3 -13 3 -13 4 -14 4 -14 4 -13 4 -13 5 -13 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1408638,0,135,0,0,1.79113,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -18 14 -19 14 -20 13 -20 12 -20 12 -20 10 -20 10 -20 9 -21 9 -21 9 -20 8 -21 7 -21 7 -20 7 -19 6 -19 7 -18 6 -19 6 -18 6 -18 5 -17 5 -17 5 -17 5 -16 5 -16 6 -15 6 0 0 -15 7 -14 6 -14 6 -13 7 -13 6 -13 7 -12 7 -12 7 -12 8 -12 8 -11 9 -11 9 -10 9 -10 9 -10 10 -9 10 -9 10 -9 11 -8 11 -8 11 -9 11 -8 11 -8 12 -7 12 -7 12 -7 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,2431077,0,390,0,0,2.81354,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -10 21 -10 20 -11 21 -12 19 -13 19 -12 18 -13 18 -13 17 -13 18 -14 17 -15 16 -15 16 -15 15 -15 15 -14 14 -15 14 -13 13 -14 14 -13 13 -13 12 -13 12 -13 12 -13 12 -12 11 -12 11 -11 12 0 0 -10 12 -10 12 -9 11 -9 12 -8 11 -8 11 -8 12 -7 11 -7 12 -6 12 -6 12 -5 12 -6 12 -5 12 -4 13 -4 13 -4 13 -3 12 -3 13 -2 13 -3 13 -2 14 -2 14 -1 13 -1 14 -1 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-59,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,2479911,0,390,0,0,2.86213,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -2 -23 -1 -23 -1 -24 1 -23 1 -23 2 -22 3 -22 3 -21 3 -22 4 -21 5 -21 4 -21 5 -21 5 -21 5 -19 5 -20 5 -19 4 -18 5 -18 4 -18 5 -18 4 -17 4 -16 4 -16 3 -16 3 -16 0 0 3 -15 2 -15 2 -15 1 -15 1 -14 1 -15 0 -14 0 -15 0 -14 -1 -14 -2 -14 -2 -14 -2 -13 -2 -13 -3 -14 -3 -13 -3 -14 -4 -13 -5 -13 -5 -13 -5 -13 -6 -13 -6 -13 -7 -13 -6 -13 -7 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-59,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,2526238,0,82,0,0,2.90842,384,[82 -96 4 0 0 0 0 0 0 0 0 0 19 -12 19 -11 20 -10 21 -9 21 -8 20 -8 21 -7 20 -7 21 -6 20 -5 20 -5 20 -5 20 -4 19 -4 19 -3 19 -4 18 -4 18 -4 18 -3 18 -3 17 -3 17 -2 16 -3 15 -3 15 -4 15 -4 0 0 14 -4 14 -4 14 -4 14 -5 13 -5 13 -5 13 -6 12 -6 12 -6 12 -7 11 -7 11 -8 11 -8 10 -8 10 -9 10 -9 10 -9 10 -10 9 -9 9 -10 9 -10 9 -10 9 -10 8 -11 8 -11 8 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,2929499,0,82,0,0,3.31178,384,[82 -96 4 0 0 0 0 0 0 0 0 0 13 -20 14 -19 15 -19 16 -18 16 -18 16 -17 16 -17 16 -16 17 -16 17 -15 17 -14 17 -14 18 -13 17 -12 17 -12 17 -12 16 -11 16 -11 16 -11 15 -10 15 -10 14 -10 14 -10 13 -9 14 -10 13 -11 0 0 13 -10 12 -10 11 -10 11 -10 11 -10 11 -10 10 -11 9 -11 9 -11 9 -12 9 -12 8 -12 8 -12 7 -12 8 -12 7 -13 7 -13 6 -13 6 -13 6 -14 5 -14 5 -14 5 -14 4 -14 5 -14 4 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,2930575,0,82,0,0,3.34572,384,[82 -96 4 0 0 0 0 0 0 0 0 0 7 22 6 22 6 23 5 23 5 23 4 22 3 22 3 21 3 22 2 22 1 22 0 22 0 21 0 21 0 20 0 20 0 19 0 19 0 19 0 18 0 18 0 18 0 18 0 17 0 17 0 16 0 0 2 15 2 16 3 15 3 15 3 14 4 14 4 14 4 13 4 13 5 13 5 13 5 13 6 12 6 12 7 12 7 11 8 11 8 11 7 11 9 10 9 11 9 10 10 10 10 10 10 10 10 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,3429612,0,82,0,0,3.81187,384,[82 -96 4 0 0 0 0 0 0 0 0 0 21 8 22 8 22 9 21 10 21 11 19 11 19 12 19 11 19 12 18 12 17 12 16 14 17 13 16 13 16 13 16 14 15 13 15 12 14 12 14 12 14 12 13 11 14 11 13 11 13 11 13 9 0 0 13 9 13 9 13 8 12 8 12 7 13 6 13 6 13 5 13 6 13 5 13 5 13 4 14 4 13 3 13 4 13 3 14 2 14 2 14 1 14 1 14 0 14 1 14 0 14 -1 14 0 14 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-58,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,3932208,0,82,0,0,4.31449,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -8 19 -9 20 -10 19 -11 18 -10 18 -11 17 -11 17 -12 17 -13 17 -13 16 -12 16 -13 15 -13 15 -13 14 -13 14 -13 14 -13 13 -13 13 -12 12 -12 12 -12 12 -12 11 -11 11 -11 12 -11 11 -10 12 0 0 -9 11 -9 11 -8 11 -8 12 -8 11 -7 11 -7 11 -7 11 -7 12 -6 12 -5 12 -5 12 -5 11 -4 12 -4 12 -4 12 -3 12 -3 12 -3 12 -2 12 -2 13 -2 12 -1 13 -1 12 -1 13 0 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-59,11,1,7,1,1,1,0,0,0,1,-91,0,6,1,4181612,0,82,0,0,4.56384,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -19 -12 -18 -12 -19 -13 -17 -14 -17 -14 -15 -14 -16 -15 -16 -15 -15 -15 -15 -15 -15 -15 -14 -15 -14 -15 -13 -15 -13 -15 -13 -15 -12 -14 -12 -14 -11 -14 -12 -13 -11 -14 -11 -14 -11 -12 -11 -12 -11 -12 -11 -11 0 0 -11 -10 -11 -11 -11 -10 -11 -9 -11 -9 -11 -9 -11 -9 -12 -8 -12 -8 -12 -7 -12 -6 -13 -6 -13 -6 -12 -5 -13 -5 -12 -4 -13 -4 -12 -3 -13 -3 -13 -2 -13 -2 -13 -2 -13 -2 -14 -2 -14 -1 -14 -1 0 0 0 0 0 0 0 0 0 0 ]
