type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,58:BF:25:17:9A:5C,-66,11,1,6,1,1,1,0,0,0,0,-92,0,6,1,1037434,0,157,0,0,1.4175,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 17 -14 17 -13 17 -13 18 -12 18 -12 18 -11 18 -11 18 -10 18 -11 18 -9 19 -9 19 -8 18 -8 18 -7 17 -7 17 -8 16 -7 16 -7 15 -7 15 -7 15 -6 15 -7 14 -6 13 -6 15 -6 13 -6 0 0 13 -7 12 -7 11 -8 11 -8 10 -8 10 -8 10 -8 10 -9 9 -8 9 -9 8 -9 7 -8 7 -9 7 -9 6 -10 6 -10 5 -11 6 -10 4 -10 4 -11 4 -11 3 -12 3 -12 2 -12 2 -12 2 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-66,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1104598,0,135,0,0,1.48431,384,[-121 112 8 0 0 0 0 0 0 0 0 0 10 16 10 17 9 18 8 17 8 18 7 17 7 18 7 17 6 18 6 18 5 17 5 18 5 17 4 18 4 16 4 17 3 15 4 15 3 14 3 15 3 15 3 15 3 14 3 14 3 13 4 12 0 0 4 12 4 12 4 12 5 11 4 11 5 10 5 11 5 10 6 9 6 9 6 8 6 9 7 8 7 8 7 8 7 7 8 7 7 6 8 5 8 5 8 5 8 5 9 4 10 4 9 4 9 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-66,11,1,6,1,1,1,0,0,0,0,-92,0,6,1,1183083,0,390,0,0,1.56286,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 0 -19 1 -19 1 -19 2 -19 3 -18 3 -18 4 -17 4 -18 4 -18 5 -17 5 -16 6 -16 6 -16 6 -15 6 -16 6 -16 5 -15 6 -14 5 -14 5 -13 5 -14 5 -13 5 -13 5 -12 4 -13 4 -13 0 0 4 -12 3 -12 3 -12 3 -12 2 -11 2 -12 1 -11 1 -11 1 -11 0 -11 0 -11 0 -11 0 -11 -1 -10 -1 -10 -1 -11 -2 -10 -2 -10 -3 -10 -3 -10 -3 -10 -4 -10 -4 -9 -5 -9 -4 -9 -5 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-66,11,1,6,1,1,1,0,0,0,0,-92,0,6,1,1235608,0,390,0,0,1.6151,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 9 -22 1 -21 10 -21 9 -23 12 -17 9 -20 11 -19 9 -18 10 -18 11 -15 12 -18 12 -16 12 -14 9 -17 11 -14 12 -16 11 -14 11 -13 10 -12 10 -13 10 -13 9 -14 9 -13 8 -12 9 -13 8 -13 0 0 6 -11 8 -13 7 -12 7 -11 5 -11 5 -9 6 -10 3 -12 4 -12 4 -12 4 -12 3 -11 4 -11 2 -12 2 -11 3 -11 0 -12 1 -10 1 -11 0 -11 0 -12 -1 -11 -1 -12 -2 -11 -1 -11 -3 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-67,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1281164,0,82,0,0,1.66071,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -21 -1 -20 -2 -20 -2 -20 -4 -20 -5 -20 -4 -20 -5 -19 -6 -20 -6 -18 -6 -19 -6 -18 -6 -18 -7 -18 -6 -17 -8 -17 -6 -17 -6 -16 -6 -15 -6 -15 -7 -15 -7 -14 -7 -14 -5 -14 -5 -14 -6 -15 -5 0 0 -14 -4 -13 -3 -12 -4 -13 -3 -13 -3 -13 -3 -12 -2 -13 -2 -12 -2 -11 -2 -11 0 -12 0 -11 0 -11 1 -12 1 -12 2 -11 2 -11 3 -11 3 -11 3 -10 4 -10 4 -10 4 -9 5 -10 6 -10 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-67,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1282279,0,82,0,0,1.69928,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -16 14 -16 13 -16 13 -17 12 -17 11 -17 11 -17 10 -17 9 -17 9 -17 8 -17 8 -18 8 -18 7 -17 6 -17 5 -17 6 -17 6 -17 6 -15 5 -15 5 -15 6 -14 6 -15 6 -14 5 -14 5 -13 7 0 0 -13 6 -12 5 -11 6 -11 6 -10 6 -10 6 -10 7 -10 7 -10 8 -9 6 -9 8 -8 7 -8 7 -8 8 -7 8 -7 8 -6 9 -6 8 -6 9 -6 9 -5 9 -4 9 -4 9 -4 9 -4 10 -2 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-67,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1679722,0,82,0,0,2.05931,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -15 12 -15 12 -15 11 -16 10 -16 9 -16 9 -16 9 -17 8 -16 8 -16 7 -17 6 -16 6 -17 6 -16 5 -16 5 -16 5 -16 4 -15 5 -14 4 -14 5 -14 4 -14 3 -13 4 -13 3 -13 4 -13 4 0 0 -13 5 -11 4 -12 5 -11 5 -11 5 -10 5 -10 5 -9 5 -10 5 -9 6 -9 6 -8 6 -8 6 -8 6 -8 6 -8 7 -7 7 -6 7 -7 8 -6 7 -6 7 -6 8 -5 8 -5 8 -4 9 -4 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-67,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,1685460,0,82,0,0,2.08922,384,[82 -96 4 0 0 0 0 0 0 0 0 0 16 -10 16 -9 17 -9 16 -8 16 -8 16 -7 17 -7 16 -6 17 -6 17 -5 17 -4 17 -4 16 -4 16 -3 16 -4 16 -4 15 -3 15 -4 14 -3 14 -3 13 -3 13 -3 13 -3 12 -2 13 -3 12 -3 0 0 11 -4 11 -3 11 -4 11 -4 10 -4 10 -4 10 -5 9 -5 9 -5 9 -6 8 -6 8 -5 8 -6 8 -6 8 -7 7 -7 7 -7 6 -8 6 -8 6 -9 5 -8 5 -8 5 -9 5 -9 5 -10 4 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-67,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,2179859,0,82,0,0,2.55946,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -18 -5 -19 -6 -19 -7 -18 -7 -18 -8 -17 -8 -17 -8 -17 -8 -16 -9 -16 -9 -16 -9 -15 -9 -15 -11 -15 -10 -14 -10 -14 -9 -14 -9 -13 -8 -13 -9 -13 -8 -13 -8 -13 -8 -12 -7 -12 -8 -12 -8 -12 -7 0 0 -12 -6 -11 -5 -11 -6 -11 -5 -11 -5 -11 -5 -11 -4 -10 -4 -12 -3 -11 -3 -11 -2 -11 -2 -11 -2 -11 -1 -10 -1 -11 0 -11 0 -10 1 -10 1 -10 1 -11 2 -10 2 -10 2 -10 3 -10 3 -10 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-67,11,1,7,1,1,1,0,0,0,1,-92,0,6,1,2679812,0,82,0,0,3.05937,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -7 -18 -6 -19 -6 -18 -5 -19 -4 -19 -4 -19 -3 -18 -3 -18 -2 -19 -2 -18 -2 -18 -1 -18 -1 -17 -1 -17 -1 -17 0 -17 -1 -16 -1 -15 -1 -15 -1 -15 -1 -15 -1 -14 -1 -14 -1 -14 -1 -14 -1 -13 0 0 -2 -13 -2 -12 -2 -13 -2 -11 -2 -12 -3 -12 -3 -12 -3 -11 -3 -11 -4 -10 -3 -10 -5 -10 -5 -10 -5 -10 -5 -9 -5 -10 -6 -9 -6 -8 -6 -8 -7 -8 -7 -8 -7 -8 -8 -7 -8 -7 -8 -7 -8 -6 0 0 0 0 0 0 0 0 0 0 ]
