type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,58:BF:25:17:9A:5D,-52,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,67733,0,131,0,0,0.458734,128,[-125 48 8 0 0 0 0 0 0 0 0 0 0 18 -10 18 -6 14 -15 20 -2 23 -6 11 -1 14 -14 13 -11 15 -6 12 -6 20 -9 20 -8 19 -9 19 -8 17 -10 19 -11 17 -10 16 -9 16 -9 17 -9 15 -9 17 -10 15 -8 16 -9 19 -9 19 0 0 -8 18 -9 19 -9 20 -8 18 -8 16 -8 18 -8 18 -8 17 -7 19 -8 17 -6 19 -7 17 -6 18 -7 20 -7 18 -7 19 -6 20 -5 19 -6 19 -5 19 -5 20 -5 20 -4 21 -4 21 -4 20 -5 20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-60,11,1,5,1,1,1,0,0,0,0,-94,0,6,1,71452,0,135,0,0,0.491003,384,[-121 112 8 0 0 0 0 0 0 0 0 0 9 8 8 8 9 8 9 8 9 8 8 9 8 9 8 9 8 9 8 9 7 10 8 10 9 10 7 10 7 11 7 11 6 10 7 10 7 10 7 10 7 10 7 11 7 11 7 10 7 10 7 11 0 0 7 11 7 10 6 11 7 10 6 10 7 10 7 11 7 10 7 10 7 9 7 10 7 9 7 9 8 9 7 9 8 9 8 9 8 9 8 9 8 8 9 8 9 9 10 9 10 8 9 9 9 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-52,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,187349,0,239,0,0,0.578194,128,[-17 -16 14 0 0 0 0 0 0 0 0 0 -2 23 -2 21 -2 24 -2 24 -3 23 -4 20 -3 22 -5 21 -4 23 -6 23 -5 24 -6 25 -5 24 -6 24 -6 21 -5 26 -6 22 -7 22 -6 21 -5 22 -6 22 -6 24 -7 21 -6 22 -6 25 -5 23 0 0 -5 23 -5 25 -4 24 -4 25 -4 20 -3 23 -3 24 -4 23 -2 24 -4 24 -3 24 -3 21 -2 23 -2 23 -2 24 -1 23 0 26 -1 23 -1 23 0 24 0 24 1 25 1 26 0 25 0 24 0 24 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2088006,0,37,0,0,2.47883,128,[37 80 2 0 0 0 0 0 0 0 0 0 -9 19 -8 18 -9 20 -8 20 -9 20 -9 17 -8 19 -9 18 -9 19 -11 19 -11 20 -11 21 -11 20 -11 20 -10 18 -11 23 -11 19 -11 18 -12 19 -11 20 -11 19 -12 21 -13 17 -12 20 -13 22 -12 21 0 0 -12 21 -13 22 -11 22 -12 21 -11 19 -11 21 -11 22 -11 20 -10 22 -13 21 -12 21 -11 19 -11 21 -11 21 -11 21 -10 21 -10 23 -10 21 -9 21 -9 22 -9 22 -9 23 -10 24 -9 24 -10 22 -10 23 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2089684,0,82,0,0,2.51368,128,[82 -96 4 0 0 0 0 0 0 0 0 0 20 5 19 4 21 4 21 4 21 5 18 5 20 4 19 5 21 5 20 6 22 6 23 7 22 6 21 7 20 6 24 6 20 7 21 7 20 7 21 6 21 7 23 7 19 8 21 8 24 8 23 8 0 0 23 6 24 7 24 6 23 6 21 6 23 5 24 5 23 5 23 5 22 7 23 6 21 5 22 5 23 5 23 5 23 4 25 4 23 3 23 3 24 2 24 2 25 1 25 2 26 2 24 3 24 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-56,11,0,0,0,0,0,0,0,0,0,-91,0,6,1,2403012,0,37,0,0,2.79365,128,[37 80 2 0 0 0 0 0 0 0 0 0 -5 20 -5 20 -5 20 -5 21 -5 19 -5 18 -6 19 -7 18 -6 20 -6 19 -5 22 -6 22 -6 22 -5 21 -6 19 -6 24 -7 21 -7 19 -7 20 -7 21 -8 20 -7 21 -7 19 -7 22 -6 24 -7 23 0 0 -7 23 -7 23 -6 24 -7 23 -7 21 -7 22 -7 24 -8 22 -7 23 -7 22 -6 24 -6 22 -5 23 -6 24 -6 23 -5 24 -5 26 -6 24 -6 24 -6 24 -6 24 -5 25 -5 25 -4 27 -5 25 -5 25 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-66,11,1,6,1,1,1,1,0,0,0,-91,4,6,1,2413806,0,110,0,0,2.82536,384,[110 96 6 0 0 0 0 0 0 0 0 0 -5 -13 -5 -13 -5 -12 -4 -12 -5 -12 -5 -13 -5 -12 -5 -12 -5 -13 -4 -13 -4 -13 -4 -14 -4 -13 -5 -13 -4 -14 -5 -14 -4 -14 -4 -14 -4 -14 -3 -14 -3 -14 -5 -14 -2 -14 -4 -15 -4 -14 -4 -15 0 0 -3 -16 -3 -16 -4 -14 -3 -15 -3 -14 -3 -16 -2 -15 -3 -15 -3 -14 -4 -14 -4 -14 -3 -14 -3 -14 -4 -15 -4 -14 -4 -15 -4 -15 -4 -15 -4 -14 -5 -15 -4 -15 -6 -15 -5 -15 -5 -16 -5 -16 -5 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-63,11,1,4,1,1,1,1,0,0,0,-91,1,6,1,2523652,0,110,0,0,2.914,384,[110 96 6 0 0 0 0 0 0 0 0 0 -13 -1 -12 -1 -14 0 -13 -1 -13 -1 -12 -2 -12 -1 -12 -1 -13 -2 -13 -1 -13 -2 -14 -2 -13 -2 -14 -3 -14 -2 -15 -2 -13 -2 -13 -3 -13 -2 -14 -2 -14 -3 -15 -3 -14 -4 -14 -3 -15 -4 -14 -3 0 0 -15 -4 -15 -4 -15 -4 -14 -3 -14 -4 -15 -4 -14 -4 -14 -4 -14 -4 -15 -3 -14 -3 -14 -4 -15 -4 -15 -2 -14 -3 -15 -2 -16 -3 -14 -2 -14 -2 -14 -1 -15 -2 -15 -3 -16 -3 -16 -2 -16 -3 -15 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,5,1,1,1,1,0,0,0,-91,1,6,1,2601353,0,110,0,0,2.99168,384,[110 96 6 0 0 0 0 0 0 0 0 0 -12 2 -12 2 -13 2 -13 2 -13 2 -12 2 -12 1 -12 2 -12 2 -13 2 -13 1 -13 1 -13 1 -14 2 -13 1 -14 1 -13 1 -13 1 -13 1 -13 0 -14 1 -14 1 -14 0 -14 0 -15 0 -14 1 0 0 -15 0 -15 0 -14 0 -14 1 -14 0 -15 0 -15 0 -14 0 -14 0 -14 1 -14 1 -14 0 -15 1 -14 1 -14 1 -14 2 -15 1 -14 2 -14 2 -14 2 -14 2 -15 2 -15 2 -15 3 -15 2 -15 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,58:BF:25:17:9A:5D,-64,11,1,5,1,1,1,1,0,0,0,-91,1,6,1,2694719,0,110,0,0,3.08515,384,[110 96 6 0 0 0 0 0 0 0 0 0 8 8 7 8 8 8 7 8 7 8 7 7 6 8 7 8 7 8 7 8 7 9 7 8 8 8 8 9 6 9 7 9 6 9 7 9 7 8 7 10 7 9 7 10 6 10 7 9 7 11 7 11 0 0 7 10 8 10 7 10 7 11 7 9 7 10 7 10 6 9 7 10 7 9 7 9 8 9 7 9 8 9 7 10 8 9 8 10 8 8 8 9 8 9 8 10 8 10 9 9 9 9 9 10 9 10 0 0 0 0 0 0 0 0 0 0 ]
