type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,78:21:84:7E:97:F9,-50,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,54097,0,131,0,0,0.451398,128,[-125 48 8 0 0 0 0 0 0 0 0 0 13 18 12 18 14 19 13 20 11 21 9 18 10 19 8 19 8 20 8 20 9 21 9 21 9 19 8 20 5 19 8 20 5 18 5 18 5 17 5 16 6 17 5 18 3 15 5 15 7 16 6 15 0 0 7 15 7 15 8 14 7 15 6 13 8 13 8 13 7 12 8 12 8 12 9 11 8 11 9 11 9 12 9 12 9 10 11 11 10 10 10 9 10 9 10 9 11 10 12 9 12 9 12 9 12 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-58,11,1,5,1,1,1,0,0,0,0,-94,0,6,1,55458,0,135,0,0,0.479331,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -4 11 -5 10 -5 10 -6 10 -5 8 -6 7 -6 10 -6 9 -6 9 -7 9 -6 10 -7 10 -6 9 -6 8 -7 8 -7 8 -7 8 -7 7 -6 7 -6 7 -7 8 -7 6 -6 7 -5 7 -6 7 -5 7 0 0 -5 7 -5 7 -4 7 -5 7 -5 7 -4 6 -4 7 -4 6 -4 7 -3 7 -2 7 -3 7 -2 7 -2 7 -2 7 -2 7 -1 6 -1 7 -1 7 -1 7 -1 7 -1 8 0 7 0 7 0 7 0 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-60,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,171031,0,239,0,0,0.567769,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 4 -23 4 -22 5 -22 5 -22 7 -21 7 -21 7 -20 7 -20 8 -20 7 -20 8 -21 9 -20 9 -19 9 -19 9 -18 8 -17 8 -17 8 -17 8 -16 9 -15 8 -15 8 -15 7 -15 7 -14 7 -13 7 -15 0 0 6 -15 6 -14 6 -14 5 -14 5 -14 5 -14 4 -14 3 -14 3 -13 2 -13 2 -13 2 -13 2 -14 2 -14 1 -14 0 -14 0 -14 -1 -14 -1 -14 -1 -14 -2 -14 -1 -14 -2 -14 -3 -14 -2 -14 -3 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-61,11,1,7,1,1,1,0,0,0,0,-93,0,6,1,2073354,0,82,0,0,2.47043,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -24 -7 -23 -7 -23 -8 -23 -9 -22 -9 -22 -10 -21 -10 -21 -11 -21 -11 -20 -11 -20 -12 -20 -12 -19 -12 -19 -12 -19 -12 -18 -12 -18 -11 -17 -11 -17 -12 -16 -11 -16 -11 -15 -11 -15 -10 -15 -9 -15 -10 -16 -9 0 0 -15 -9 -15 -8 -15 -8 -15 -7 -14 -7 -15 -6 -14 -6 -15 -5 -14 -5 -14 -4 -15 -4 -15 -3 -15 -3 -15 -3 -15 -3 -15 -2 -15 -2 -15 -1 -15 -1 -15 -1 -15 0 -16 0 -15 0 -15 1 -15 1 -15 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-52,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,2073461,0,37,0,0,2.50771,128,[37 80 2 0 0 0 0 0 0 0 0 0 -13 21 -14 21 -14 21 -15 22 -15 20 -15 18 -15 18 -15 17 -17 17 -17 16 -17 17 -18 18 -17 16 -17 16 -16 15 -17 16 -17 13 -16 13 -16 12 -15 13 -14 13 -16 13 -14 11 -13 12 -15 15 -13 13 0 0 -13 14 -13 14 -12 14 -11 13 -10 12 -10 14 -10 14 -9 13 -9 15 -9 13 -9 15 -8 13 -8 14 -8 15 -8 13 -8 15 -6 15 -6 15 -6 15 -5 15 -5 15 -5 16 -4 15 -4 16 -4 16 -4 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-51,11,0,0,0,0,0,0,0,0,0,-93,0,6,1,2410656,0,37,0,0,2.80758,128,[37 80 2 0 0 0 0 0 0 0 0 0 -20 12 -21 11 -21 11 -22 12 -21 8 -21 8 -21 8 -21 6 -22 6 -21 5 -23 7 -23 7 -22 7 -22 6 -21 4 -21 6 -20 3 -19 3 -19 3 -19 3 -18 3 -19 3 -16 1 -17 4 -19 5 -17 4 0 0 -17 5 -17 5 -17 5 -16 6 -14 5 -16 6 -16 6 -14 5 -15 7 -14 6 -14 8 -13 7 -13 8 -14 8 -13 8 -12 9 -13 10 -13 9 -12 9 -12 9 -12 9 -13 10 -12 11 -12 12 -11 11 -11 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-60,11,1,6,1,1,1,1,0,0,0,-93,4,6,1,2425299,0,110,0,0,2.83993,384,[110 96 6 0 0 0 0 0 0 0 0 0 -22 -12 -22 -12 -22 -13 -21 -14 -21 -14 -20 -14 -19 -14 -19 -15 -19 -16 -18 -16 -17 -17 -17 -17 -16 -16 -16 -16 -15 -16 -16 -17 -15 -16 -15 -15 -14 -15 -14 -14 -13 -15 -14 -15 -13 -15 -13 -13 -13 -14 -13 -13 0 0 -13 -12 -13 -12 -12 -11 -13 -11 -12 -10 -13 -10 -13 -10 -13 -9 -14 -9 -14 -9 -13 -9 -13 -8 -14 -7 -14 -6 -14 -7 -14 -6 -15 -6 -14 -5 -14 -5 -15 -5 -15 -4 -15 -4 -16 -4 -15 -3 -15 -4 -15 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-61,11,1,7,1,1,1,1,0,0,0,-93,2,6,1,2574306,0,110,0,0,2.97101,384,[110 96 6 0 0 0 0 0 0 0 0 0 -9 20 -9 19 -11 19 -11 19 -11 18 -11 18 -12 17 -12 16 -13 17 -13 16 -13 16 -13 16 -13 15 -13 14 -13 14 -13 15 -12 14 -12 13 -12 13 -12 13 -12 12 -12 12 -11 12 -10 12 -11 12 -10 12 0 0 -10 12 -9 12 -9 12 -8 12 -8 12 -8 12 -8 11 -7 11 -6 12 -6 12 -5 12 -5 12 -5 12 -4 12 -4 12 -4 12 -3 13 -2 13 -2 13 -2 13 -2 13 -2 13 -1 13 -1 13 -1 13 0 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-61,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,2682719,0,110,0,0,3.07938,384,[110 96 6 0 0 0 0 0 0 0 0 0 24 6 23 7 23 7 22 8 23 8 21 9 21 9 20 10 21 10 20 11 19 11 19 12 18 11 18 11 17 11 18 11 16 11 17 10 15 10 16 10 16 10 16 10 15 10 15 9 15 9 14 8 0 0 15 7 15 8 14 6 15 7 14 6 14 5 14 5 14 4 14 4 15 4 14 4 14 3 14 2 14 2 15 2 14 1 15 1 15 0 14 0 14 -1 15 -1 14 -2 15 -2 15 -2 15 -2 14 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-60,11,1,7,1,1,1,1,0,0,0,-93,1,6,1,2774607,0,110,0,0,3.17125,384,[110 96 6 0 0 0 0 0 0 0 0 0 3 24 2 24 2 24 0 24 0 24 0 24 -1 23 -1 23 -1 23 -2 23 -2 23 -4 23 -2 21 -3 21 -3 21 -3 22 -3 19 -4 22 -1 18 -3 17 -2 19 0 19 -4 18 -1 16 -3 21 -2 17 0 0 1 18 -1 14 -1 16 0 16 2 16 1 15 1 15 3 15 3 15 3 14 4 14 4 13 5 14 5 13 6 14 6 13 7 12 7 12 8 13 8 12 8 12 8 12 9 12 10 11 9 11 10 11 0 0 0 0 0 0 0 0 0 0 ]
