type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,78:21:84:7E:97:F9,-52,11,0,0,0,0,0,0,0,0,0,-94,0,6,1,51331,0,131,0,0,0.450722,128,[-125 48 8 0 0 0 0 0 0 0 0 0 18 20 16 20 17 22 18 23 15 22 13 21 14 22 12 21 12 23 11 22 12 23 13 24 11 22 11 22 9 21 10 24 7 22 7 20 7 20 7 20 7 19 8 20 6 18 7 18 9 19 9 18 0 0 9 18 9 18 9 18 9 16 7 15 9 15 10 15 9 14 10 14 9 14 10 14 9 13 10 13 11 13 9 12 10 12 12 12 11 11 11 10 12 10 12 10 12 10 13 9 13 9 13 9 13 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-61,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,51821,0,135,0,0,0.480367,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -22 -10 -22 -10 -22 -11 -21 -11 -21 -12 -20 -12 -19 -12 -19 -12 -19 -13 -18 -13 -18 -14 -18 -14 -17 -13 -17 -13 -16 -13 -16 -14 -15 -13 -16 -12 -15 -12 -14 -13 -15 -12 -15 -12 -14 -11 -14 -11 -14 -11 -14 -10 0 0 -14 -10 -14 -9 -13 -9 -13 -9 -13 -8 -13 -8 -13 -7 -13 -6 -14 -7 -13 -6 -14 -5 -13 -4 -13 -4 -13 -4 -13 -4 -13 -3 -13 -2 -13 -2 -14 -1 -13 -1 -13 -1 -13 0 -14 0 -14 1 -14 1 -13 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-61,11,1,7,1,1,1,0,0,0,0,-94,0,6,1,177023,0,239,0,0,0.575914,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 7 -22 6 -20 8 -21 9 -19 9 -20 8 -18 8 -19 9 -19 9 -19 11 -19 11 -17 10 -18 10 -17 11 -16 10 -16 11 -17 9 -15 10 -16 9 -14 10 -15 10 -14 10 -14 9 -14 9 -13 9 -13 8 -13 0 0 8 -13 8 -13 7 -12 7 -13 6 -12 6 -12 5 -12 5 -12 4 -13 4 -13 3 -12 3 -12 3 -12 2 -12 2 -13 2 -12 2 -13 1 -12 0 -12 0 -12 0 -12 -1 -12 0 -13 -2 -12 -1 -12 -2 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-54,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2079627,0,37,0,0,2.47884,128,[37 80 2 0 0 0 0 0 0 0 0 0 -21 18 -20 16 -23 18 -22 17 -23 16 -21 13 -22 15 -21 13 -22 14 -24 12 -23 13 -25 13 -23 12 -23 11 -21 9 -24 12 -21 8 -22 8 -20 8 -19 9 -19 8 -20 9 -19 7 -18 9 -20 10 -18 9 0 0 -17 10 -18 11 -16 10 -17 11 -14 8 -15 11 -14 11 -14 10 -14 12 -14 10 -14 11 -12 10 -12 11 -12 11 -12 12 -11 12 -11 14 -10 12 -10 13 -9 13 -9 13 -9 14 -9 14 -8 14 -8 14 -7 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-63,11,1,7,1,1,1,0,0,0,0,-92,0,6,1,2080161,0,82,0,0,2.51332,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -17 16 -17 16 -18 16 -18 14 -18 14 -18 13 -19 13 -18 12 -18 12 -19 11 -20 10 -19 10 -19 10 -19 9 -17 9 -18 10 -17 9 -17 9 -17 9 -17 9 -16 8 -16 8 -16 8 -15 7 -16 7 -15 8 0 0 -14 8 -14 8 -13 8 -13 8 -12 9 -12 9 -11 9 -11 10 -10 9 -9 9 -10 9 -9 9 -9 10 -8 10 -8 10 -7 10 -8 11 -6 11 -6 11 -6 11 -5 11 -5 11 -5 11 -4 12 -4 12 -4 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-54,11,0,0,0,0,0,0,0,0,0,-92,0,6,1,2396781,0,37,0,0,2.79579,128,[37 80 2 0 0 0 0 0 0 0 0 0 22 16 20 17 21 18 22 18 20 19 17 18 18 19 16 19 17 19 16 21 17 21 17 22 15 20 15 20 13 19 16 21 12 19 12 19 12 18 12 18 11 17 13 18 9 16 11 16 13 17 12 16 0 0 13 15 14 15 13 14 13 14 11 12 13 12 14 12 12 11 14 11 12 11 13 11 12 10 13 9 13 9 13 9 14 8 15 8 14 7 14 7 14 6 14 6 15 6 15 6 16 5 15 5 15 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-63,11,1,6,1,1,1,1,0,0,0,-92,2,6,1,2404765,0,110,0,0,2.82601,384,[110 96 6 0 0 0 0 0 0 0 0 0 21 -8 22 -8 21 -7 22 -7 21 -6 21 -5 21 -4 20 -4 22 -3 20 -4 21 -3 21 -2 20 -2 20 -2 20 -2 20 -1 19 -1 18 -1 18 -2 18 -2 17 -1 17 -1 16 -1 16 -2 17 -2 16 -2 0 0 16 -3 14 -3 14 -3 14 -3 14 -3 14 -4 13 -4 12 -4 13 -4 12 -5 12 -6 11 -6 11 -6 11 -7 10 -6 10 -7 10 -7 10 -8 9 -8 9 -9 9 -9 8 -9 8 -9 8 -10 8 -10 7 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-64,11,1,7,1,1,1,1,0,0,0,-92,1,6,1,2404968,0,110,0,0,2.86559,384,[110 96 6 0 0 0 0 0 0 0 0 0 -23 12 -22 12 -23 10 -24 10 -23 9 -23 8 -23 7 -23 7 -23 6 -23 5 -24 5 -23 5 -22 5 -23 5 -23 4 -22 4 -21 4 -21 4 -21 4 -20 3 -19 3 -20 3 -19 3 -19 4 -18 3 -18 4 0 0 -17 4 -16 4 -16 4 -16 4 -16 4 -15 4 -15 5 -14 5 -14 5 -14 6 -13 6 -13 6 -13 6 -13 7 -12 7 -12 8 -11 8 -11 9 -11 9 -10 9 -10 9 -10 10 -10 10 -9 11 -9 11 -9 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-62,11,1,6,1,1,1,1,0,0,0,-92,1,6,1,2406667,0,110,0,0,2.90629,384,[110 96 6 0 0 0 0 0 0 0 0 0 7 22 6 21 5 22 4 22 4 22 4 21 3 22 3 21 3 21 2 21 1 21 1 21 1 20 1 21 0 20 0 21 0 19 0 19 0 18 0 18 0 18 0 17 0 17 1 16 0 16 1 16 0 0 1 15 1 15 2 15 2 14 2 13 2 13 3 14 3 12 4 13 4 12 4 12 4 12 5 12 5 11 5 11 6 10 6 10 7 10 7 10 8 10 8 10 7 9 8 9 9 8 9 9 9 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,78:21:84:7E:97:F9,-62,11,1,5,1,1,1,1,0,0,0,-92,1,6,1,2406931,0,110,0,0,2.94153,384,[110 96 6 0 0 0 0 0 0 0 0 0 19 15 19 15 18 16 17 17 17 18 16 17 15 18 14 18 14 19 14 18 14 19 14 18 13 18 13 18 12 18 12 18 12 17 11 17 11 16 10 16 10 16 10 16 10 15 10 14 11 14 10 14 0 0 11 13 11 12 10 12 11 11 10 10 11 10 11 10 11 9 11 10 11 8 12 8 11 7 12 6 12 6 12 6 12 5 12 5 13 4 12 4 12 3 13 4 13 3 13 2 13 1 13 1 13 1 0 0 0 0 0 0 0 0 0 0 ]
