type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,58:BF:25:17:9A:5C,-83,11,1,2,1,1,1,0,0,0,0,-94,0,6,1,1678989,0,157,0,0,2.05162,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 10 -14 7 -18 8 -18 10 -16 8 -13 7 -12 6 -10 6 -13 7 -11 7 -12 8 -7 9 -11 6 -12 7 -15 6 -9 3 -9 2 -8 5 -6 4 -7 3 -11 3 -8 4 -10 3 -7 2 -5 2 -9 -1 -6 0 0 0 -7 -1 -6 -2 -7 -3 -6 -3 -8 -4 -6 -7 -6 -5 -4 -9 -7 -4 -3 -9 -7 -9 -6 -11 -10 -13 -7 -11 -8 -11 -9 -14 -12 -12 -10 -12 -9 -13 -12 -12 -13 -15 -13 -17 -14 -19 -13 -14 -18 -14 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-81,11,1,2,1,1,1,0,0,0,0,-94,0,6,1,1757271,0,135,0,0,2.12962,384,[-121 112 8 0 0 0 0 0 0 0 0 0 21 -12 19 -9 22 -13 22 -10 19 -10 15 -7 15 -12 18 -7 15 -6 15 -4 15 -10 14 -6 14 -5 12 -2 10 -2 10 -4 6 -1 7 -6 6 -3 5 0 3 -1 1 -2 1 -2 2 -4 1 -2 -2 -4 0 0 -4 -2 -3 1 -6 0 -6 0 -5 -2 -10 -2 -9 3 -10 2 -11 2 -13 7 -13 7 -15 4 -16 4 -13 5 -16 5 -14 9 -16 5 -16 5 -15 10 -18 10 -19 9 -20 5 -23 8 -19 6 -22 6 -19 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-79,11,1,2,1,1,1,0,0,0,0,-94,0,6,1,1827690,0,390,0,0,2.19998,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 24 -7 19 -4 20 -7 23 -5 22 -4 17 -4 19 -4 18 -4 18 -4 15 -6 15 -4 17 -2 13 -3 12 -6 14 -3 12 -3 11 -3 11 -4 10 -2 9 -2 7 -1 6 -1 5 0 5 -2 4 -2 5 -1 0 0 3 -1 5 1 4 2 3 1 4 2 2 3 3 3 2 6 0 4 -1 4 2 6 2 9 3 7 4 7 1 9 3 10 4 10 5 8 5 11 5 10 2 11 4 11 6 12 6 11 6 13 9 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-81,11,1,2,1,1,1,0,0,0,0,-94,0,6,1,1874237,0,390,0,0,2.24641,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -20 -6 -18 -5 -21 -7 -19 -9 -21 -6 -14 -6 -14 -8 -12 -5 -13 -5 -13 -6 -10 -7 -10 -4 -10 -7 -8 -4 -8 -5 -8 -5 -6 -4 -4 -2 -5 -1 -5 -2 -3 -1 -3 -1 -3 0 -3 1 -2 0 0 1 0 0 2 2 1 3 3 2 2 1 6 4 6 2 7 4 4 1 8 1 7 2 9 3 8 2 11 1 12 1 10 2 13 -1 14 1 13 0 14 -1 12 -3 15 -1 17 0 16 -2 17 0 17 1 16 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-80,11,1,2,1,1,1,0,0,0,0,-94,0,6,1,1915571,0,82,0,0,2.28763,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -6 -8 -5 -11 -7 -13 -4 -13 -5 -10 -6 -8 -4 -8 -2 -6 -4 -8 -5 -6 -5 -6 -4 -9 -6 -7 -5 -3 -5 -3 -5 -3 -5 -2 -4 0 -4 -2 -6 0 -8 1 -7 -1 -8 0 -10 -1 -10 0 -10 2 0 0 -11 1 -11 2 -11 3 -11 3 -13 1 -13 3 -15 3 -13 4 -15 3 -12 4 -16 4 -17 4 -18 5 -17 5 -17 6 -18 7 -21 5 -17 6 -18 8 -18 6 -21 4 -24 4 -24 2 -24 5 -22 2 -23 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-75,11,1,4,1,1,1,0,0,0,0,-94,0,6,1,2324766,0,82,0,0,2.69687,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -2 3 -1 4 -1 3 1 2 -1 4 0 4 1 3 0 4 0 5 2 6 3 6 2 8 1 8 3 7 3 8 3 10 3 10 3 11 3 11 3 12 3 11 4 10 4 11 4 14 4 14 3 14 0 0 4 14 5 15 6 16 5 15 5 15 4 16 5 16 5 16 7 18 5 16 7 17 8 17 7 19 8 18 5 18 6 19 8 21 9 18 8 19 7 20 7 22 6 22 7 21 10 20 7 23 6 21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-75,11,1,4,1,1,1,0,0,0,0,-94,0,6,1,2326577,0,82,0,0,2.72292,384,[82 -96 4 0 0 0 0 0 0 0 0 0 4 0 4 -2 2 -1 5 0 2 -2 4 -2 5 -2 3 -3 4 -3 5 -3 5 -4 6 -4 6 -7 6 -3 6 -5 8 -6 8 -6 7 -6 7 -6 9 -6 10 -6 11 -9 11 -6 10 -7 11 -8 11 -8 0 0 13 -8 12 -9 12 -10 13 -9 12 -7 14 -11 14 -9 14 -10 18 -11 16 -11 13 -12 15 -10 16 -12 15 -11 17 -12 17 -12 19 -12 15 -13 16 -12 17 -14 18 -12 19 -12 18 -12 19 -13 20 -11 19 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-76,11,1,4,1,1,1,0,0,0,0,-94,0,6,1,2825758,0,82,0,0,3.19792,384,[82 -96 4 0 0 0 0 0 0 0 0 0 0 0 1 -1 2 1 1 0 1 1 2 -1 3 -1 4 0 5 0 4 -2 4 -1 5 -2 6 -1 6 0 6 0 8 1 8 0 8 0 8 1 9 2 10 2 10 1 9 1 10 3 12 2 11 3 0 0 12 1 13 2 13 2 12 2 12 1 13 2 14 2 14 1 14 3 13 1 14 0 14 2 17 1 16 0 15 1 17 0 18 0 15 -1 15 1 16 1 19 3 18 2 19 2 18 0 20 2 17 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-76,11,1,4,1,1,1,0,0,0,0,-94,0,6,1,3327352,0,82,0,0,3.69949,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -1 1 -2 1 -2 -1 -2 -1 -3 -3 -5 0 -3 -1 -5 -3 -4 -4 -3 -5 -5 -5 -5 -6 -5 -8 -3 -7 -5 -8 -4 -7 -5 -6 -6 -9 -5 -10 -5 -10 -3 -10 -4 -10 -4 -12 -4 -13 -5 -12 -5 -11 0 0 -6 -12 -6 -13 -6 -11 -6 -13 -8 -13 -7 -14 -7 -14 -7 -14 -8 -17 -8 -16 -9 -14 -6 -16 -10 -16 -10 -14 -10 -16 -11 -13 -12 -18 -10 -16 -10 -16 -12 -15 -10 -17 -11 -17 -10 -18 -11 -15 -10 -19 -11 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,58:BF:25:17:9A:5C,-76,11,1,4,1,1,1,0,0,0,0,-94,0,6,1,3594612,0,82,0,0,3.96674,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -2 -2 0 0 1 -1 1 -1 3 2 2 1 3 2 1 1 4 1 2 3 3 3 5 3 5 5 6 7 5 6 6 7 5 7 4 8 6 8 6 10 3 9 5 11 4 10 6 11 6 10 5 11 0 0 5 11 8 12 6 12 8 12 7 13 7 13 6 14 7 14 8 14 8 11 8 13 9 12 11 15 8 14 9 16 11 16 11 15 10 15 10 15 10 16 9 16 9 16 11 16 11 16 9 18 11 15 0 0 0 0 0 0 0 0 0 0 ]
